"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"quests_quest"	"Tasks"	"タスク"	"Tâches"	"Tareas"	"Aufgaben"	"Missioni"	"과제"	"課題"	"Tarefas"
"quests_list_gui_title"	"Research Progress"	"ポケモンリサーチ"	"Progrès dans tes recherches"	"Progreso de la investigación"	"Forschungsfortschritt"	"Progressi delle ricerche"	"리서치"	"研究進度"	"Progresso da pesquisa"
"quests_list_gui_tab_challenges"	"Field"	"フィールド"	"Terrain"	"De campo"	"Feld"	"Sul campo"	"필드"	"田野調查"	"Campo"
"quests_list_gui_tab_special"	"Special"	"スペシャル"	"Spéciales"	"Especial"	"Spezial"	"Speciali"	"스페셜"	"特殊調查"	"Especial"
"quests_claim_reward"	"CLAIM REWARD!"	"リワードを受け取る"	"RÉCUPÈRE TA RÉCOMPENSE"	"¡RECLAMA RECOMPENSAS!"	"BELOHNUNG ABHOLEN!"	"Ottieni il premio!"	"리워드를 받자!"	"領取獎勵"	"Obter recompensa!"
"quests_professor_willow"	"Professor Willow"	"ウィロー博士"	"Professeur Willow"	"Profesor Willow"	"Prof. Willow"	"Professor Willow"	"윌로우박사"	"維羅博士"	"Professor Willow"
"quests_mobile_calling"	"mobile"	"着信"	"mobile"	"Llamada"	"Anruf"	"Chiamata in arrivo"	"수신"	"來電"	"Ligação"
"quests_remove_challenge_prompt"	"Remove Field Research?"	"このタスクをキャンセルしますか？"	"Veux-tu supprimer cette Étude de terrain ?"	"¿Eliminar investigación de campo?"	"Diese Feldforschung entfernen?"	"Vuoi annullare questa ricerca sul campo?"	"이 필드를 포기하겠습니까?"	"要移除這個課題嗎？"	"Quer remover esta pesquisa de campo?"
"quests_remove_challenge_desc"	"You can visit a PokéStop to find another."	"ポケストップを訪れて追加できます"	"Rends-toi à un PokéStop pour en recevoir une autre."	"Puedes visitar una Poképarada para encontrar otra."	"Du kannst einen PokéStop besuchen, um eine neue zu finden."	"Puoi visitare un Pokéstop per trovarne un’altra."	"포켓스톱을 방문하여 추가할 수 있습니다"	"拜訪寶可補給站，取得其他課題"	"Você pode visitar uma Poképarada para encontrar outra."
"quests_daily_challenge_reset"	"Daily challenge card resets in <color=cyan>{0}</color>."	"デイリーチャレンジ完了記録リセットまで<color=cyan>{0}</color>"	"Carte des défis quotidiens réinitialisée dans <color=cyan>{0}</color>."	"La tarjeta de desafíos diarios se restablece en <color=cyan>{0}</color>."	"Die Karte für Tägliche Herausforderungen wird in <color=cyan>{0}</color> zurückgesetzt."	"Il registro si azzererà tra <color=cyan>{0}</color>."	"데일리 챌린지 완료 기록 리셋까지 <color=cyan>{0}</color>."	"每日工作卡將在 <color=cyan>{0}</color> 後重設"	"O registro de desafios diários será redefinido em <color=cyan>{0}</color>."
"quests_new_challenge_received"	"New Field Research!"	"フィールドリサーチを受けとった！"	"Nouvelle Étude de terrain !"	"¡Nueva investigación de campo!"	"Neue Feldforschung!"	"Nuova ricerca sul campo disponibile!"	"필드리서치를 수신했다!"	"收到新的課題了！"	"Nova pesquisa de campo!"
"quests_get_new_challenge_prompt"	"Visit PokéStops to find more Field Research!"	"ポケストップでフィールドリサーチを手に入れよう！"	"Visite les PokéStops pour trouver davantage d’Études de terrain."	"¡Visita Poképaradas para encontrar más investigaciones de campo!"	"Besuche PokéStops, um mehr Feldforschungen zu finden!"	"Visita i Pokéstop per nuove ricerche sul campo!"	"포켓스톱에서 새로운 필드리서치를 손에 넣자!"	"拜訪寶可補給站，取得新的課題！"	"Visite Poképaradas para encontrar mais pesquisas de campo!"
"quests_step_complete"	"Tasks completed!"	"タスク完了"	"Tâche terminée."	"¡Tarea completada!"	"Aufgabe erledigt!"	"Missione completata!"	"과제 완료!"	"課題完成！"	"Tarefa completada!"
"quest_pokemon_appears"	"Pokémon appears!"	"ポケモン発見"	"Un Pokémon apparaît !"	"¡Aparece un Pokémon!"	"Pokémon erscheint!"	"Appare un Pokémon"	"포켓몬 발견!"	"寶可夢出現！"	"Apareceu um Pokémon!"
"quests_claim_field_research_first"	"You must claim your Research Breakthrough first!"	"大発見で研究が進んだ！ごほうびを受け取ろう！"	"Tu dois d’abord prendre ta récompense pour ta Phase d’Étude."	"¡Primero debes reclamar tu logro de investigación!"	"Du musst erst deinen Forschungsdurchbruch abholen!"	"Devi prima ottenere la ricompensa per la tua scoperta straordinaria."	"대발견으로 연구가 진행했다! 보상을 받자!"	"請先領取突破性進展的獎勵！"	"Deve obter sua recompensa por sua descoberta extraordinária!"
"quest_breakthrough_completed"	"Field Research completed!"	"フィールドリサーチ完了！"	"Étude de terrain terminée."	"¡Investigación de campo completada!"	"Feldforschung abgeschlossen!"	"Ricerca sul campo completata!"	"필드리서치 완료!"	"完成田野調查！"	"Pesquisa de campo completada!"
"quests_log_complete_quest"	"Completed Research: {0}."	"{0}達成！"	"Étude terminée : {0}."	"Investigación completada: {0}"	"Abgeschlossene Forschung: {0}"	"Ricerca completata: {0}"	"{0}(을)를 달성했다"	"完成的課題：{0}"	"Pesquisa completada: {0}"
"quests_log_research_breakthrough"	"Research Breakthrough achieved."	"大発見した！"	"Phase d’Étude complétée."	"Logro de investigación conseguido."	"Forschungsdurchbruch erzielt."	"Hai fatto una scoperta straordinaria!"	"대발견을 했다!"	"達成突破性進展"	"Você fez uma descoberta extraordinária!"
"quests_collect_stamps"	"Collect Stamps!"	"スタンプを集めよう！"	"Collectionne les tampons !"	"¡Colecciona sellos!"	"Sammle Stempel!"	"Raccogli i timbri!"	"스탬프를 모으자!"	"收集圖章！"	"Colecione os selos!"
"quests_collect_stamps_message"	"Complete Field Research to collect stamps toward rewards! You can earn one research stamp per day."	"フィールドリサーチを完了させるとスタンプが毎日1つスタンプがもらえます。スタンプを集めよう！"	"Termine des Études de terrain pour obtenir des tampons et gagner des récompenses. Tu peux recevoir un tampon de recherche par jour."	"¡Completa investigaciones de campo para coleccionar sellos y lograr recompensas! Solo puedes recibir un sello de investigación al día por completar una investigación de campo."	"Schließe Feldforschungen ab, um Stempel für Belohnungen zu sammeln! Du kannst pro Tag nur einen Forschungsstempel für abgeschlossene Feldforschungen erhalten."	"Completa una ricerca sul campo per raccogliere i timbri necessari per i premi. Ricorda che puoi ricevere al massimo un timbro al giorno per ogni ricerca sul campo portata a termine."	"박사의 리서치에 협력해서 매일 1개의 스탬프를 모으자!"	"幫助博士完成田野調查，收集圖章！每天最多可以收集1個。"	"Complete pesquisas de campo para receber selos e recompensas! Você pode receber um selo de pesquisa por dia."
"quest_battle_gym_plural"	"Battle in a Gym {0} times."	"ジムバトルを{0}回する"	"Combats {0} fois dans une Arène"	"Combate en un Gimnasio {0} veces"	"Kämpfe {0}-mal in einer Arena."	"Lotta in una Palestra {0} volte"	"체육관 배틀을 {0}회 한다"	"參加 {0} 次道館對戰"	"Batalhar {0} vezes em um Ginásio."
"quest_battle_gym_singular"	"Battle in a Gym."	"ジムバトルを1回する"	"Combats dans une Arène"	"Combate en un Gimnasio 1 vez"	"Kämpfe in einer Arena."	"Lotta in una Palestra"	"체육관 배틀을 1회 한다"	"參加1次道館對戰"	"Batalhar em um Ginásio."
"quest_battle_raid_plural"	"Battle in {0} raids."	"レイドバトルを{0}回する"	"Combats dans {0} Raids"	"Participa en {0} incursiones"	"Kämpfe in {0} Raids."	"Partecipa a {0} raid"	"레이드배틀을 {0}회 한다"	"參加 {0} 場團體戰"	"Batalhar {0} vezes em reides."
"quest_battle_raid_singular"	"Battle in a raid."	"レイドバトルを1回する"	"Combats dans un Raid"	"Participa en 1 incursión"	"Kämpfe in einem Raid."	"Partecipa a un raid"	"레이드배틀을 1회 한다"	"參加1場團體戰"	"Batalhar em 1 reide."
"quest_battle_supereffective_charge_plural"	"Use a supereffective Charged Attack in {0} Gym battles."	"効果ばつぐんのスペシャルアタックを使ってジムバトルする・{0}回"	"Utilise une Attaque Chargée très efficace dans {0} combats"	"Usa un ataque cargado supereficaz en {0} combates"	"Setze eine sehr effektive Lade-Attacke in {0} Kämpfen ein."	"Usa un attacco caricato superefficace in {0} lotte"	"효과가 굉장한 스페셜 어택을 사용해서 체육관 배틀한다 : {0}회"	"在 {0} 場對戰中使出效果絕佳的特殊招式"	"Usar um ataque carregado supereficaz em {0} batalhas."
"quest_battle_supereffective_charge_singular"	"Use a supereffective Charged Attack in a Gym battle."	"効果ばつぐんのスペシャルアタックを使ってジムバトルする・1回"	"Utilise une Attaque Chargée très efficace en combat"	"Usa un ataque cargado supereficaz en 1 combate"	"Setze eine sehr effektive Lade-Attacke in einem Kampf ein."	"Usa un attacco caricato superefficace in una lotta"	"효과가 굉장한 스페셜 어택을 사용해서 체육관 배틀한다 : 1회"	"在1場對戰中使出效果絕佳的特殊招式"	"Usar um ataque carregado supereficaz em 1 batalha."
