"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"test_key"	"Test"	"テスト"	"Test"	"Test"	"Test"	"Test"	"Test"	"測試"	"Teste"
"screen_you_title"	"me"	"自分"	"toi"	"yo"	"Du"	"io"	"나"	"自己"	"eu"
"screen_friends_title"	"friends"	"フレンド"	"amis"	"amigos"	"Freunde"	"amici"	"친구"	"朋友"	"amigos"
"social_add_friends"	"Add Friend"	"フレンド追加"	"Ajouter des amis"	"Añadir amigos"	"Freund hinzufügen"	"Aggiungi amici"	"친구 추가"	"新增朋友"	"Adicionar amigos"
"friend_code_title"	"Trainer Code"	"トレーナーコード"	"Code de Dresseur"	"Código de Entrenador"	"Trainercode"	"Codice Allenatore"	"트레이너 코드"	"訓練家代碼"	"Código de Treinador"
"enter_friend_code_prompt"	"To add someone to your Friend List, enter their Trainer Code."	"フレンドに登録したいトレーナーのコードを入力してください"	"Pour ajouter quelqu’un à ta Liste d’amis, saisis son Code de Dresseur."	"Para añadir a alguien a tu lista de amigos, introduce su código de Entrenador."	"Gib den Trainercode eines Trainers ein, um ihn als Freund hinzuzufügen."	"Per aggiungere un Allenatore alla tua lista amici, inserisci il suo codice Allenatore."	"친구에 등록하고 싶은 트레이너 코드를 입력"	"若要新增朋友，請輸入該訓練家的代碼"	"Para adicionar alguém à sua lista de amigos, insira o código de Treinador."
"your_friend_code_title"	"Your Trainer Code"	"自分のトレーナーコード"	"Ton Code de Dresseur"	"Tu código de Entrenador"	"Dein Trainercode"	"Il tuo codice Allenatore"	"자신의 트레이너 코드"	"自己的訓練家代碼"	"Seu código de Treinador"
"other_section_title"	"Other"	"コード入力以外の方法"	"Divers"	"Otros"	"Sonstiges"	"Altro"	"기타"	"其他"	"Outro"
"send_gift_action"	"Send Gift"	"ギフトを贈る"	"Envoyer un Cadeau"	"Enviar regalo"	"Geschenk schicken"	"Invia pacco amicizia"	"선물 보내기"	"傳送友情禮物"	"Enviar presente"
"trade_action"	"Trade"	"交換"	"Échanger"	"Intercambiar"	"Tauschen"	"Scambia"	"교환"	"交換"	"Trocar"
"incoming_friend_request_prompt"	"{0} people sent you Friend Requests."	"フレンド申請が{0}件届いています"	"{0} personnes souhaitent t’ajouter à leur Liste d’amis."	"{0} personas te han enviado solicitudes de amistad."	"{0} Freundschaftsanfragen erhalten."	"Hai ricevuto richieste di amicizia da parte di {0} persone."	"친구신청이 {0} 건 도착했습니다"	"收到 {0} 件朋友申請"	"{0} pessoas enviaram pedidos de amizade a você."
"incoming_friend_request_prompt_singular"	"One person sent you a Friend Request."	"フレンド申請が1件届いています"	"Une personne souhaite t’ajouter à sa Liste d’amis."	"1 persona te ha enviado una solicitud de amistad."	"1 Freundschaftsanfrage erhalten."	"Qualcuno ti ha inviato una richiesta di amicizia."	"친구신청이 1건 도착했습니다."	"收到1件朋友申請"	"1 pessoa enviou um pedido de amizade a você."
"Screen_Title_Friend_Requests"	"Friend Requests"	"フレンド申請"	"Invitations d’amis"	"Solicitudes de amistad"	"Freundschaftsanfragen"	"Richieste di amicizia"	"친구신청"	"朋友申請"	"Pedidos de amizade"
"accept_friend_request_prompt"	"Sent you a Friend Request!"	"フレンド申請が届いています"	"Invitation d’ami reçue."	"Has recibido una solicitud de amistad."	"Hat dir eine Freundschaftsanfrage geschickt!"	"Hai ricevuto una richiesta di amicizia."	"친구신청이 도착했습니다."	"收到1件朋友申請"	"Enviou um pedido de amizade para você!"
"became_friends_prompt"	"You and {0} are now friends."	"{0}さんとフレンドになりました！"	"{0} est désormais ton ami."	"Comienza tu amistad con {0}."	"{0} und du seid jetzt Freunde."	"Tu e {0} ora siete amici."	"{0}님과 친구가 되었습니다!"	"和 {0} 成為朋友了！"	"Sua amizade com {0} começou."
