"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"gymbadge_sort_recent"	"recent"	"日付"	"date"	"reciente"	"Datum"	"Data"	"날짜"	"日期"	"Recente"
"gymbadge_sort_alphabetical"	"name"	"名前"	"nom"	"nombre"	"Name"	"Nome"	"이름"	"名稱"	"Nome"
"gymbadge_sort_nearby"	"nearby"	"距離"	"proximité"	"cerca"	"Nähe"	"Vicinanze"	"거리"	"距離"	"Por perto"
"gymbadge_sort_score"	"points"	"ランク"	"points"	"puntos"	"Punkte"	"Punti"	"랭크"	"點數"	"Pontos"
"gymbadge_sort_progress"	"progress"	"進捗"	"progression"	"progreso"	"Fortschritt"	"Progressi"	"진척"	"進度"	"Progresso"
"day_abbrev"	"d"	"日"	"j"	"d"	"T"	"g"	"일"	"d"	"d"
"hour_abbrev"	"h"	"時間"	"h"	"h"	"Std"	"h"	"시간"	"h"	"h"
"minute_abbrev"	"m"	"分"	"m"	"m"	"M"	"m"	"분"	"m"	"m"
"second_abbrev"	"s"	"秒"	"s"	"s"	"S"	"s"	"초"	"s"	"s"
"gymbadge_aboutthisgym"	"about this gym"	"このジムの詳細"	"Infos sur l’Arène"	"Acerca de este Gimnasio"	"Über diese Arena"	"Info sulla Palestra"	"이 체육관에 대해"	"關於這間道館"	"Sobre este Ginásio"
"gymbadge_totalgymactivity"	"total gym activity"	"アクティビティ"	"Activité totale de l’Arène"	"Actividad total del Gimnasio"	"Arena-Aktivität"	"Attività generale della Palestra"	"활동"	"道館活動紀錄"	"Atividade total do Ginásio"
"gymbadge_statslabel_won"	"victories"	"倒した数"	"victoires"	"victorias"	"Siege"	"Vittorie"	"쓰러뜨린 수"	"獲勝次數"	"Vitórias"
"gymbadge_statslabel_defended"	"time defended"	"防衛時間"	"durée de défense"	"tiempo defendido"	"Verteidigung"	"Difesa (giorni)"	"방어시간"	"防禦時間"	"Defesa"
"gymbadge_statslabel_fed"	"treats"	"きのみ"	"friandises"	"alimentos"	"Snacks"	"Snack"	"나무열매"	"樹果"	"Guloseimas"
"gym_removal_notification_toast"	"{0} has fought hard and returned!"	"{0} がジムから戻ってきた！"	"{0} s’est bien battu et est revenu."	"¡{0} ha luchado duro y ha vuelto!"	"{0} hat hart gekämpft und ist zurückgekehrt!"	"{0} ha lottato con tutte le sue forze e ha fatto ritorno!"	"{0}(이)가 체육관에서 돌아왔다!"	"{0} 努力奮戰後回來了！"	"{0} batalhou duro e voltou!"
"pokemon_hungry_notification_toast"	"{0} needs a treat!"	"{0} が疲れてきたようだ！"	"{0} veut une friandise."	"¡{0} necesita alimento!"	"{0} braucht einen Snack!"	"{0} ha bisogno di uno snack!"	"{0}(이)가 지친것 같다!"	"{0} 需要一頓大餐！"	"{0} precisa de guloseima!"
"pokemon_won_notification_toast"	"{0} defended the Gym!"	"{0} がジムを守った！"	"{0} a défendu l’Arène."	"¡{0} ha defendido el Gimnasio!"	"{0} hat die Arena verteidigt!"	"{0} ha difeso la Palestra!"	"{0} (이)가 체육관을 지켰다!"	"{0} 成功防禦道館！"	"{0} defendeu o Ginásio!"
