"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"item_great_ball_desc"	"A high-performance ball with a higher catch rate than a standard Poké Ball."	"モンスターボールよりもさらにポケモンを捕まえやすくなった少し性能のいいボール。"	"Une balle dont le taux de réussite est supérieur à celui de la Poké Ball."	"Poké Ball de alto rendimiento. Tiene un índice de éxito superior al de la Poké Ball."	"Ein Ball mit guter Erfolgsquote. Dem Pokéball in allen Punkten überlegen."	"Poké Ball dalle ottime prestazioni: fornisce maggiori probabilità di cattura rispetto alla normale Poké Ball."	"몬스터볼보다도 더욱 포켓몬을 잡기 쉬워진 약간 성능이 좋은 볼."	"高性能的優良精靈球，捉到寶可夢的機率比精靈球高。"	"Poké Bola de alto rendimento. Tem um índice de êxito superior ao da Poké Bola padrão."
"item_great_ball_name"	"Great Ball"	"スーパーボール"	"Super Ball"	"Super Ball"	"Superball"	"Mega Ball"	"수퍼볼"	"超級球"	"Grande Bola"
"item_hyper_potion_desc"	"A spray-type medicine that restores the HP of one Pokémon by {1} points."	"スプレー式のキズぐすり。ポケモン1匹のHPを{1}だけ回復する。"	"Un spray qui soigne les blessures. Permet de restaurer {1} des PV d’un Pokémon."	"Medicina en espray que cura heridas y restaura {1} de los PS de un Pokémon."	"Hilft bei Wunden. Füllt {1} der KP eines Pokémon wieder auf."	"Rimedio spray per le ferite. Restituisce {1} dei PS a un Pokémon."	"스프레이식의 상처약. 포켓몬 1마리의 HP를 {1} 만큼 회복한다."	"噴霧式傷藥。能讓1隻寶可夢的HP回復{1}。"	"Remédio em spray que cura machucados e que restaura os PS de um Pokémon em {1} pontos."
"item_hyper_potion_name"	"Hyper Potion"	"すごいキズぐすり"	"Hyper Potion"	"Hiperpoción"	"Hypertrank"	"Iperpozione"	"고급상처약"	"厲害傷藥"	"Hiperpoção"
"item_master_ball_desc"	"The best Poké Ball with the ultimate level of performance. With it, you will catch any wild Pokémon without fail."	"野生のポケモンを必ず捕まえることができる最高性能のボール。"	"La balle la plus performante. Elle permet de capturer à coup sûr un Pokémon sauvage."	"La Poké Ball definitiva. Atrapa cualquier Pokémon salvaje y no falla nunca."	"Der beste Ball! Damit fängst du garantiert jedes wilde Pokémon."	"La Poké Ball dalle prestazioni migliori: cattura qualsiasi Pokémon selvatico senza mai fallire."	"야생 포켓몬을 반드시 잡을 수 있는 최고 성능의 볼."	"性能最優良的頂級精靈球。一定能捉到寶可夢，絕不失手。"	"A Poké Bola com melhor desempenho. Pega qualquer Pokémon selvagem sem falha."
"item_master_ball_name"	"Master Ball"	"マスターボール"	"Master Ball"	"Master Ball"	"Meisterball"	"Master Ball"	"마스터볼"	"大師球"	"Bola Mestra"
"item_max_potion_desc"	"A spray-type medicine that completely restores all HP of a single Pokémon."	"スプレー式のキズぐすり。ポケモン1匹のHPをすべて回復する。"	"Un spray qui soigne les blessures. Restaure tous les PV d’un seul Pokémon."	"Medicina en espray que cura heridas y restaura todos los PS de un Pokémon."	"Hilft bei Wunden. Füllt die KP eines Pokémon wieder vollständig auf."	"Rimedio spray per le ferite. Restituisce tutti i PS a un Pokémon."	"스프레이식의 상처약. 포켓몬 1마리의 HP를 모두 회복한다."	"噴霧式傷藥。能讓1隻寶可夢的HP完全回復。"	"Remédio em spray que cura machucados e que restaura todos os PS de um Pokémon."
"item_max_potion_name"	"Max Potion"	"まんたんのくすり"	"Potion Max"	"Poción Máxima"	"Top-Trank"	"Pozione Max"	"풀회복약"	"全滿藥"	"Poção Máxima"
"item_revive_desc"	"A medicine that can revive fainted Pokémon. It also restores half of a fainted Pokémon's maximum HP."	"ひんしになってしまったポケモン1匹のHPを半分回復する。"	"Un médicament qui ranime un Pokémon KO. Restaure également la moitié de ses PV."	"Medicina que revive a un Pokémon debilitado y le devuelve la mitad de sus PS."	"Eine Medizin, die ein kampfunfähiges Pokémon wiederbelebt. Die Hälfte der maximalen KP wird wiederhergestellt. "	"Rimedio che rianima un Pokémon esausto e gli restituisce metà dei suoi PS."	"기절해 버린 포켓몬 1마리의 HP를 절반 회복한다."	"讓瀕死的寶可夢重獲生機，並回復一半HP。"	"Remédio para reanimar Pokémon desmaiados e que também restaura metade de seus PS."
"item_revive_name"	"Revive"	"げんきのかけら"	"Rappel"	"Revivir"	"Beleber"	"Revitalizzante"	"기력의조각"	"活力碎片"	"Reviver"
"item_max_revive_desc"	"A medicine that can revive fainted Pokémon. It also fully restores a fainted Pokémon's maximum HP."	"ひんしになってしまったポケモン1匹のHPをすべて回復する。"	"Un médicament qui ranime un Pokémon KO. Restaure également tous ses PV."	"Medicina que revive a un Pokémon debilitado y le devuelve todos sus PS."	"Eine Medizin, die ein kampfunfähiges Pokémon wiederbelebt. Die KP werden vollständig wiederhergestellt."	"Rimedio che rianima un Pokémon esausto restituendogli tutti i PS."	"기절해 버린 포켓몬 1마리의 HP를 모두 회복한다."	"讓瀕死的寶可夢重獲生機，並回復所有HP。"	"Remédio para reanimar Pokémon desmaiados e que também restaura todos os seus PS."
"item_max_revive_name"	"Max Revive"	"げんきのかたまり"	"Rappel Max"	"Revivir Máximo"	"Top-Beleber"	"Revitalizzante Max"	"기력의덩어리"	"活力塊"	"Máximo Reviver"
"item_poke_ball_desc"	"A device for catching wild Pokémon. It's thrown like a ball, comfortably encapsulating its target."	"野生のポケモンに投げて捕まえるためのボール。カプセル式になっている。"	"Un objet semblable à une capsule, qui capture les Pokémon sauvages. Se jette comme une balle."	"Dispositivo con diseño capsular que captura Pokémon salvajes. Se lanza como una bola contra el blanco."	"Damit fängst du wilde Pokémon. Du wirfst ihn wie einen normalen Ball. Das Design ähnelt dem einer Kapsel."	"Strumento dotato di capsula usato per catturare Pokémon selvatici. Si lancia contro il bersaglio come una palla."	"야생 포켓몬에게 던져서 잡기 위한 볼. 캡슐식으로 되어 있다."	"捕捉野生寶可夢的道具。朝寶可夢投擲精靈球，精靈球就會像膠囊一樣打開，捕捉寶可夢。"	"Um dispositivo para pegar Pokémon selvagens, que é jogado como uma bola os encapsulando."
"item_poke_ball_name"	"Poké Ball"	"モンスターボール"	"Poké Ball"	"Poké Ball"	"Pokéball"	"Poké Ball"	"몬스터볼"	"精靈球"	"Poké Bola"
"item_potion_desc"	"A spray-type medicine that restores the HP of one Pokémon by {1} points."	"スプレー式のキズぐすり。ポケモン1匹のHPを{1}だけ回復する。"	"Un spray qui soigne les blessures. Permet de restaurer {1} des PV d’un Pokémon."	"Medicina en espray que cura heridas y restaura {1} de los PS de un Pokémon."	"Hilft bei Wunden. Füllt {1} der KP eines Pokémon wieder auf."	"Rimedio spray per le ferite. Restituisce {1} dei PS a un Pokémon."	"스프레이식의 상처약. 포켓몬 1마리의 HP를 {1} 만큼 회복한다."	"噴霧式傷藥。能讓1隻寶可夢的HP回復{1}。"	"Remédio em spray que cura machucados e que restaura os PS de um Pokémon em {1} pontos."
"item_potion_name"	"Potion"	"キズぐすり"	"Potion"	"Poción"	"Trank"	"Pozione"	"상처약"	"傷藥"	"Poção"
"item_razz_berry_desc"	"Feed this to a Pokémon to make it easier to catch."	"ポケモンに与えると捕まえやすくなるきのみ。"	"Si tu en donnes à manger à un Pokémon, il sera plus facile à attraper."	"Al usarla con un Pokémon, se captura con más facilidad en tu próximo lanzamiento."	"Wenn du sie einem Pokémon zum Essen gibst, lässt es sich leichter fangen."	"Dalla a un Pokémon e sarà più facile catturarlo."	"포켓몬에게 주면 잡기 쉬워지는 나무열매."	"寶可夢吃下這種樹果後，會變得比較容易捕捉。"	"Dê esta Fruta a um Pokémon para pegá-lo com mais facilidade."
"item_razz_berry_name"	"Razz Berry"	"ズリのみ"	"Baie Framby"	"Baya Frambu"	"Himmihbeere"	"Baccalampon"	"라즈열매"	"蔓莓果"	"Fruta Frambo"
"item_special_camera_name"	"Camera"	"カメラ"	"Appareil photo"	"Cámara"	"Kamera"	"Fotocamera"	"카메라"	"照相機"	"Câmera"
"item_special_camera_desc"	"When you encounter Pokémon in the wild, you can use your camera to photograph them."	"野生のポケモンの姿を撮影できるカメラ。"	"Permet de prendre des photos des Pokémon que tu rencontres."	"Cuando te encuentras con Pokémon salvajes, puedes usar tu cámara para sacarles fotos."	"Wenn du einem wilden Pokémon begegnest, kannst du es mit deiner Kamera fotografieren."	"Quando incontri un Pokémon selvatico, puoi usare la tua fotocamera per scattargli una foto."	"야생 포켓몬의 모습을 촬영할 수 있는 카메라."	"可用照相機拍攝野生寶可夢。"	"Você poderá usar a sua câmera para fotografar Pokémon selvagens quando os encontrar."
"item_super_potion_desc"	"A spray-type medicine that restores the HP of one Pokémon by {1} points."	"スプレー式のキズぐすり。ポケモン1匹のHPを{1}だけ回復する。"	"Un spray qui soigne les blessures. Permet de restaurer {1} des PV d’un Pokémon."	"Medicina en espray que cura heridas y restaura {1} de los PS de un Pokémon."	"Hilft bei Wunden. Füllt {1} der KP eines Pokémon wieder auf."	"Rimedio spray per le ferite. Restituisce {1} dei PS a un Pokémon."	"스프레이식의 상처약. 포켓몬 1마리의 HP를 {1} 만큼 회복한다."	"噴霧式傷藥。能讓1隻寶可夢回復 {1} HP。"	"Remédio em spray que cura machucados e que restaura os PS de um Pokémon em {1} pontos."
"item_super_potion_name"	"Super Potion"	"いいキズぐすり"	"Super Potion"	"Superpoción"	"Supertrank"	"Superpozione"	"좋은상처약"	"好傷藥"	"Superpoção"
"item_ultra_ball_desc"	"An ultra-performance ball with a higher catch rate than a Great Ball."	"スーパーボールよりもさらにポケモンを捕まえやすくなったすごく性能のいいボール。"	"Une balle ultra-performante dont le taux de réussite est supérieur à celui de la Super Ball."	"Poké Ball de rendimiento superior. Tiene un índice de éxito mayor al de la Super Ball."	"Ein Ball mit hoher Erfolgsquote. Dem Superball in allen Punkten überlegen."	"Poké Ball dalle prestazioni eccellenti: fornisce maggiori probabilità di cattura rispetto alla Mega Ball."	"수퍼볼보다도 더욱 포켓몬을 잡기 쉬워진 매우 성능이 좋은 볼."	"超高性能的優良精靈球，捉到寶可夢的機率比超級球高。"	"Poké Bola com desempenho superior. Tem um índice de êxito superior ao da Grande Bola."
"item_ultra_ball_name"	"Ultra Ball"	"ハイパーボール"	"Hyper Ball"	"Ultra Ball"	"Hyperball"	"Ultra Ball"	"하이퍼볼"	"高級球"	"Ultra Bola"
"item_x_attack_desc"	"UNDEFINED"	"未定義"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"	"UNDEFINED"	"未定"	"INDEFINIDO"
"item_x_attack_name"	"X Attack"	"プラスパワー"	"Attaque +"	"Ataque X"	"X-Angriff"	"Attacco X"	"플러스파워"	"力量強化"	"Ataque X"
"item_x_defense_desc"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"	"UNDEFINED"	"未定"	"INDEFINIDO"
"item_x_defense_name"	"X Defense"	"ディフェンダー"	"Défense +"	"Defensa X"	"X-Abwehr"	"Difesa X"	"디펜드업"	"防禦強化"	"Defesa X"
"item_x_miracle_desc"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"	"UNDEFINED"	"未定"	"INDEFINIDO"
"item_x_miracle_name"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"	"UNDEFINED"	"未定"	"INDEFINIDO"
"item_bluk_berry_desc"	"UNDEFINED"	"不明"	"UNDEFINED"	"SIN DEFINIR"	"Nicht definiert"	"UNDEFINED"	"UNDEFINED"	"未定"	"INDEFINIDO"
