"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"move_name_0001"	"Thunder Shock"	"でんきショック"	"Éclair"	"Impactrueno"	"Donnerschock"	"Tuonoshock"	"전기쇼크"	"電擊"	"Trovoada de Choques"
"move_name_0002"	"Quick Attack"	"でんこうせっか"	"Vive-Attaque"	"Ataque Rápido"	"Ruckzuckhieb"	"Attacco Rapido"	"전광석화"	"電光一閃"	"Ataque Rápido"
"move_name_0003"	"Scratch"	"ひっかく"	"Griffe"	"Arañazo"	"Kratzer"	"Graffio"	"할퀴기"	"抓"	"Arranhão"
"move_name_0004"	"Ember"	"ひのこ"	"Flammèche"	"Ascuas"	"Glut"	"Braciere"	"불꽃세례"	"火花"	"Brasa"
"move_name_0005"	"Vine Whip"	"つるのムチ"	"Fouet Lianes"	"Látigo Cepa"	"Rankenhieb"	"Frustata"	"덩굴채찍"	"藤鞭"	"Chicote de Vinha"
"move_name_0006"	"Tackle"	"たいあたり"	"Charge"	"Placaje"	"Tackle"	"Azione"	"몸통박치기"	"撞擊"	"Investida"
"move_name_0007"	"Razor Leaf"	"はっぱカッター"	"Tranch’Herbe"	"Hoja Afilada"	"Rasierblatt"	"Foglielama"	"잎날가르기"	"飛葉快刀"	"Folha Navalha"
"move_name_0008"	"Take Down"	"とっしん"	"Bélier"	"Derribo"	"Bodycheck"	"Riduttore"	"돌진"	"猛撞"	"Desmantelar"
"move_name_0009"	"Water Gun"	"みずでっぽう"	"Pistolet à O"	"Pistola Agua"	"Aquaknarre"	"Pistolacqua"	"물대포"	"水槍"	"Revólver d'Água"
"move_name_0010"	"Bite"	"かみつく"	"Morsure"	"Mordisco"	"Biss"	"Morso"	"물기"	"咬住"	"Mordida"
"move_name_0011"	"Pound"	"はたく"	"Écras’Face"	"Destructor"	"Pfund"	"Botta"	"막치기"	"拍擊"	"Pancada"
"move_name_0012"	"Double Slap"	"おうふくビンタ"	"Torgnoles"	"Doble Bofetón"	"Duplexhieb"	"Doppiasberla"	"연속뺨치기"	"連環巴掌"	"Tapa Duplo"
"move_name_0013"	"Wrap"	"まきつく"	"Ligotage"	"Constricción"	"Wickel"	"Avvolgibotta"	"김밥말이"	"緊束"	"Embrulho"
"move_name_0014"	"Hyper Beam"	"はかいこうせん"	"Ultralaser"	"Hiperrayo"	"Hyperstrahl"	"Iper Raggio"	"파괴광선"	"破壞光線"	"Hiper-raio"
"move_name_0015"	"Lick"	"したでなめる"	"Léchouille"	"Lengüetazo"	"Schlecker"	"Leccata"	"핥기"	"舌舔"	"Lambida"
