"Key"	"English"	"Japanese"	"French"	"Spanish"	"German"	"Italian"	"Korean"	"ChineseTraditional"	"BrazilianPortuguese"
"pokemon_name_0000"	"--"	"--"	"--"	"--"	"--"	"---"	"--"	"--"	"--"
"pokemon_name_0001"	"Bulbasaur"	"フシギダネ"	"Bulbizarre"	"Bulbasaur"	"Bisasam"	"Bulbasaur"	"이상해씨"	"妙蛙種子"	"Bulbasaur"
"pokemon_name_0002"	"Ivysaur"	"フシギソウ"	"Herbizarre"	"Ivysaur"	"Bisaknosp"	"Ivysaur"	"이상해풀"	"妙蛙草"	"Ivysaur"
"pokemon_name_0003"	"Venusaur"	"フシギバナ"	"Florizarre"	"Venusaur"	"Bisaflor"	"Venusaur"	"이상해꽃"	"妙蛙花"	"Venusaur"
"pokemon_name_0004"	"Charmander"	"ヒトカゲ"	"Salamèche"	"Charmander"	"Glumanda"	"Charmander"	"파이리"	"小火龍"	"Charmander"
"pokemon_name_0005"	"Charmeleon"	"リザード"	"Reptincel"	"Charmeleon"	"Glutexo"	"Charmeleon"	"리자드"	"火恐龍"	"Charmeleon"
"pokemon_name_0006"	"Charizard"	"リザードン"	"Dracaufeu"	"Charizard"	"Glurak"	"Charizard"	"리자몽"	"噴火龍"	"Charizard"
"pokemon_name_0007"	"Squirtle"	"ゼニガメ"	"Carapuce"	"Squirtle"	"Schiggy"	"Squirtle"	"꼬부기"	"傑尼龜"	"Squirtle"
"pokemon_name_0008"	"Wartortle"	"カメール"	"Carabaffe"	"Wartortle"	"Schillok"	"Wartortle"	"어니부기"	"卡咪龜"	"Wartortle"
"pokemon_name_0009"	"Blastoise"	"カメックス"	"Tortank"	"Blastoise"	"Turtok"	"Blastoise"	"거북왕"	"水箭龜"	"Blastoise"
"pokemon_name_0010"	"Caterpie"	"キャタピー"	"Chenipan"	"Caterpie"	"Raupy"	"Caterpie"	"캐터피"	"綠毛蟲"	"Caterpie"
"pokemon_name_0011"	"Metapod"	"トランセル"	"Chrysacier"	"Metapod"	"Safcon"	"Metapod"	"단데기"	"鐵甲蛹"	"Metapod"
"pokemon_name_0012"	"Butterfree"	"バタフリー"	"Papilusion"	"Butterfree"	"Smettbo"	"Butterfree"	"버터플"	"巴大蝶"	"Butterfree"
"pokemon_name_0013"	"Weedle"	"ビードル"	"Aspicot"	"Weedle"	"Hornliu"	"Weedle"	"뿔충이"	"獨角蟲"	"Weedle"
"pokemon_name_0014"	"Kakuna"	"コクーン"	"Coconfort"	"Kakuna"	"Kokuna"	"Kakuna"	"딱충이"	"鐵殼蛹"	"Kakuna"
"pokemon_name_0015"	"Beedrill"	"スピアー"	"Dardargnan"	"Beedrill"	"Bibor"	"Beedrill"	"독침붕"	"大針蜂"	"Beedrill"
"pokemon_name_0016"	"Pidgey"	"ポッポ"	"Roucool"	"Pidgey"	"Taubsi"	"Pidgey"	"구구"	"波波"	"Pidgey"
"pokemon_name_0017"	"Pidgeotto"	"ピジョン"	"Roucoups"	"Pidgeotto"	"Tauboga"	"Pidgeotto"	"피죤"	"比比鳥"	"Pidgeotto"
"pokemon_name_0018"	"Pidgeot"	"ピジョット"	"Roucarnage"	"Pidgeot"	"Tauboss"	"Pidgeot"	"피죤투"	"大比鳥"	"Pidgeot"
"pokemon_name_0019"	"Rattata"	"コラッタ"	"Rattata"	"Rattata"	"Rattfratz"	"Rattata"	"꼬렛"	"小拉達"	"Rattata"
"pokemon_name_0020"	"Raticate"	"ラッタ"	"Rattatac"	"Raticate"	"Rattikarl"	"Raticate"	"레트라"	"拉達"	"Raticate"
"pokemon_name_0021"	"Spearow"	"オニスズメ"	"Piafabec"	"Spearow"	"Habitak"	"Spearow"	"깨비참"	"烈雀"	"Spearow"
"pokemon_name_0022"	"Fearow"	"オニドリル"	"Rapasdepic"	"Fearow"	"Ibitak"	"Fearow"	"깨비드릴조"	"大嘴雀"	"Fearow"
"pokemon_name_0023"	"Ekans"	"アーボ"	"Abo"	"Ekans"	"Rettan"	"Ekans"	"아보"	"阿柏蛇"	"Ekans"
"pokemon_name_0024"	"Arbok"	"アーボック"	"Arbok"	"Arbok"	"Arbok"	"Arbok"	"아보크"	"阿柏怪"	"Arbok"
"pokemon_name_0025"	"Pikachu"	"ピカチュウ"	"Pikachu"	"Pikachu"	"Pikachu"	"Pikachu"	"피카츄"	"皮卡丘"	"Pikachu"
"pokemon_name_0026"	"Raichu"	"ライチュウ"	"Raichu"	"Raichu"	"Raichu"	"Raichu"	"라이츄"	"雷丘"	"Raichu"
"pokemon_name_0027"	"Sandshrew"	"サンド"	"Sabelette"	"Sandshrew"	"Sandan"	"Sandshrew"	"모래두지"	"穿山鼠"	"Sandshrew"
"pokemon_name_0028"	"Sandslash"	"サンドパン"	"Sablaireau"	"Sandslash"	"Sandamer"	"Sandslash"	"고지"	"穿山王"	"Sandslash"
"pokemon_name_0029"	"Nidoran♀"	"ニドラン♀"	"Nidoran♀"	"Nidoran♀"	"Nidoran♀"	"Nidoran♀"	"니드런♀"	"尼多蘭"	"Nidoran♀"
"pokemon_name_0030"	"Nidorina"	"ニドリーナ"	"Nidorina"	"Nidorina"	"Nidorina"	"Nidorina"	"니드리나"	"尼多娜"	"Nidorina"
"pokemon_name_0031"	"Nidoqueen"	"ニドクイン"	"Nidoqueen"	"Nidoqueen"	"Nidoqueen"	"Nidoqueen"	"니드퀸"	"尼多后"	"Nidoqueen"
"pokemon_name_0032"	"Nidoran♂"	"ニドラン♂"	"Nidoran♂"	"Nidoran♂"	"Nidoran♂"	"Nidoran♂"	"니드런♂"	"尼多朗"	"Nidoran♂"
"pokemon_name_0033"	"Nidorino"	"ニドリーノ"	"Nidorino"	"Nidorino"	"Nidorino"	"Nidorino"	"니드리노"	"尼多力諾"	"Nidorino"
"pokemon_name_0034"	"Nidoking"	"ニドキング"	"Nidoking"	"Nidoking"	"Nidoking"	"Nidoking"	"니드킹"	"尼多王"	"Nidoking"
"pokemon_name_0035"	"Clefairy"	"ピッピ"	"Mélofée"	"Clefairy"	"Piepi"	"Clefairy"	"삐삐"	"皮皮"	"Clefairy"
"pokemon_name_0036"	"Clefable"	"ピクシー"	"Mélodelfe"	"Clefable"	"Pixi"	"Clefable"	"픽시"	"皮可西"	"Clefable"
"pokemon_name_0037"	"Vulpix"	"ロコン"	"Goupix"	"Vulpix"	"Vulpix"	"Vulpix"	"식스테일"	"六尾"	"Vulpix"
"pokemon_name_0038"	"Ninetales"	"キュウコン"	"Feunard"	"Ninetales"	"Vulnona"	"Ninetales"	"나인테일"	"九尾"	"Ninetales"
"pokemon_name_0039"	"Jigglypuff"	"プリン"	"Rondoudou"	"Jigglypuff"	"Pummeluff"	"Jigglypuff"	"푸린"	"胖丁"	"Jigglypuff"
"pokemon_name_0040"	"Wigglytuff"	"プクリン"	"Grodoudou"	"Wigglytuff"	"Knuddeluff"	"Wigglytuff"	"푸크린"	"胖可丁"	"Wigglytuff"
"pokemon_name_0041"	"Zubat"	"ズバット"	"Nosferapti"	"Zubat"	"Zubat"	"Zubat"	"주뱃"	"超音蝠"	"Zubat"
"pokemon_name_0042"	"Golbat"	"ゴルバット"	"Nosferalto"	"Golbat"	"Golbat"	"Golbat"	"골뱃"	"大嘴蝠"	"Golbat"
"pokemon_name_0043"	"Oddish"	"ナゾノクサ"	"Mystherbe"	"Oddish"	"Myrapla"	"Oddish"	"뚜벅쵸"	"走路草"	"Oddish"
"pokemon_name_0044"	"Gloom"	"クサイハナ"	"Ortide"	"Gloom"	"Duflor"	"Gloom"	"냄새꼬"	"臭臭花"	"Gloom"
"pokemon_name_0045"	"Vileplume"	"ラフレシア"	"Rafflesia"	"Vileplume"	"Giflor"	"Vileplume"	"라플레시아"	"霸王花"	"Vileplume"
"pokemon_name_0046"	"Paras"	"パラス"	"Paras"	"Paras"	"Paras"	"Paras"	"파라스"	"派拉斯"	"Paras"
"pokemon_name_0047"	"Parasect"	"パラセクト"	"Parasect"	"Parasect"	"Parasek"	"Parasect"	"파라섹트"	"派拉斯特"	"Parasect"
"pokemon_name_0048"	"Venonat"	"コンパン"	"Mimitoss"	"Venonat"	"Bluzuk"	"Venonat"	"콘팡"	"毛球"	"Venonat"
"pokemon_name_0049"	"Venomoth"	"モルフォン"	"Aéromite"	"Venomoth"	"Omot"	"Venomoth"	"도나리"	"摩魯蛾"	"Venomoth"
"pokemon_name_0050"	"Diglett"	"ディグダ"	"Taupiqueur"	"Diglett"	"Digda"	"Diglett"	"디그다"	"地鼠"	"Diglett"
"pokemon_name_0051"	"Dugtrio"	"ダグトリオ"	"Triopikeur"	"Dugtrio"	"Digdri"	"Dugtrio"	"닥트리오"	"三地鼠"	"Dugtrio"
"pokemon_name_0052"	"Meowth"	"ニャース"	"Miaouss"	"Meowth"	"Mauzi"	"Meowth"	"나옹"	"喵喵"	"Meowth"
"pokemon_name_0053"	"Persian"	"ペルシアン"	"Persian"	"Persian"	"Snobilikat"	"Persian"	"페르시온"	"貓老大"	"Persian"
"pokemon_name_0054"	"Psyduck"	"コダック"	"Psykokwak"	"Psyduck"	"Enton"	"Psyduck"	"고라파덕"	"可達鴨"	"Psyduck"
"pokemon_name_0055"	"Golduck"	"ゴルダック"	"Akwakwak"	"Golduck"	"Entoron"	"Golduck"	"골덕"	"哥達鴨"	"Golduck"
"pokemon_name_0056"	"Mankey"	"マンキー"	"Férosinge"	"Mankey"	"Menki"	"Mankey"	"망키"	"猴怪"	"Mankey"
"pokemon_name_0057"	"Primeape"	"オコリザル"	"Colossinge"	"Primeape"	"Rasaff"	"Primeape"	"성원숭"	"火爆猴"	"Primeape"
"pokemon_name_0058"	"Growlithe"	"ガーディ"	"Caninos"	"Growlithe"	"Fukano"	"Growlithe"	"가디"	"卡蒂狗"	"Growlithe"
"pokemon_name_0059"	"Arcanine"	"ウインディ"	"Arcanin"	"Arcanine"	"Arkani"	"Arcanine"	"윈디"	"風速狗"	"Arcanine"
"pokemon_name_0060"	"Poliwag"	"ニョロモ"	"Ptitard"	"Poliwag"	"Quapsel"	"Poliwag"	"발챙이"	"蚊香蝌蚪"	"Poliwag"
