Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_gen3wave4	Discover Rayquaza and More Pokémon Originally from the Hoenn region!	Pokémon GO に伝説のポケモン「レックウザ」、そして「ホウエン地方」で見つかったポケモンがさらに登場！	Découvrez Rayquaza et d’autres Pokémon de la région de Hoenn !	¡Descubre a Rayquaza y a más Pokémon originarios de la región de Hoenn!	Entdecke Rayquaza und weitere Pokémon, die aus der Hoenn-Region stammen!	Scopri Rayquaza e altri Pokémon della regione di Hoenn!	Pokémon GO 에 전설의 포켓몬 「레쿠쟈」 그리고 「호연지방」에서 발견된 포켓몬이 추가 등장!		傳說的寶可夢烈空坐和其他豐緣地區的寶可夢登場	Descubra Rayquaza e Mais Pokémon Originários da Região de Hoenn!
news_subheader_gen3wave4	Discover Rayquaza and More Pokémon Originally from the Hoenn region!	Pokémon GO に伝説のポケモン「レックウザ」、そして「ホウエン地方」で見つかったポケモンがさらに登場！	Découvrez Rayquaza et d’autres Pokémon de la région de Hoenn !	¡Descubre a Rayquaza y a más Pokémon originarios de la región de Hoenn!	Entdecke Rayquaza und weitere Pokémon, die aus der Hoenn-Region stammen!	Scopri Rayquaza e altri Pokémon della regione di Hoenn!	Pokémon GO 에 전설의 포켓몬 「레쿠쟈」 그리고 「호연지방」에서 발견된 포켓몬이 추가 등장!		傳說的寶可夢烈空坐和其他豐緣地區的寶可夢登場	Descubra Rayquaza e mais Pokémon originários da região de Hoenn!
news_main_text_gen3wave4	Starting February 9, the Legendary Pokémon Rayquaza will appear in Raid Battles until March 16! And, in celebration of more than 100 Pokémon originally from the Hoenn region in Pokémon GO, they will take over wild encounters until February 13. Finally, new special boxes–which include Raid Passes, incubators, and Star Pieces–will arrive in the in-game store, and Lure Modules will continue to have an extended six-hour duration until February 23! Stay safe and happy exploring!	日本時間2月10日から3月16日まで、伝説のポケモン「レックウザ」が、ジムでのレイドバトルに登場します。 Pokémon GO に「ホウエン地方」で見つかったポケモンが100匹以上登場したことを記念し、日本時間2月13日までの間「ホウエン地方」のポケモンばかりがみなさんの周囲に現れるようです。ゲーム内のショップには「プレミアムレイドパス」、「ふかそうち」、「ほしのかけら」などが入ったスペシャルボックスが日本時間2月10日早朝から2月23日まで登場し、さらに、「ルアーモジュール」の効果は6時間継続します。 Pokémon GO で遊ぶ時は、周囲にお気をつけください。 	Du 9 février au 16 mars, le Pokémon légendaire Rayquaza apparaîtra dans les Combats de Raids. Et pour fêter plus de 100 Pokémon de la région de Hoenn dans Pokémon GO, ces derniers prendront le dessus sur les autres Pokémon sauvages jusqu’au 13 février. Enfin, de nouvelles boîtes spéciales (qui contiennent des passes de Raids, des incubateurs et des Morceaux d’Étoiles) seront bientôt disponibles dans la Boutique du jeu, et les Modules Leurre resteront actifs pendant six heures jusqu’au 23 février. Soyez prudents, et bonne exploration.	Del 9 de febrero al 16 de marzo, ¡el Pokémon legendario Rayquaza aparecerá en incursiones! Además, para celebrar los más de 100 Pokémon originarios de la región de Hoenn en Pokémon GO, estos son los Pokémon salvajes con los que te encontrarás hasta el 13 de febrero. Por último, nuevos packs especiales, con pases de incursión, incubadoras y Trozos Estrella, estarán disponibles en la tienda del juego. ¡Y los Módulos Cebo seguirán teniendo una duración de seis horas hasta el 23 de febrero! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Vom 9. Februar bis zum 16. März erscheint das Legendäre Pokémon Rayquaza in Raid-Kämpfen! Es gibt in Pokémon GO nun über 100 Pokémon, die aus der Hoenn-Region stammen. Aus diesem Anlass begegnest du bis zum 13. Februar nur wilden Pokémon, die zuerst in der Hoenn-Region entdeckt wurden. Außerdem sind bald neue Spezialboxen im In-Game-Shop verfügbar, die Raid-Pässe, Ei-Brutmaschinen und Sternenstücke enthalten, und Lockmodule werden bis zum 23. Februar für 6 Stunden aktiviert. Sei vorsichtig und viel Spaß beim Entdecken!	Il Pokémon leggendario Rayquaza apparirà nei raid a partire dal 9 febbraio e fino al 16 marzo. In più, per festeggiare l'introduzione di oltre 100 Pokémon originari della regione di Hoenn in Pokémon GO, fino al 13 febbraio saranno proprio questi ultimi ad apparire allo stato selvatico. Infine, nuove offerte speciali contenenti biglietti raid, Incubatrici e Pezzi Stella saranno presto disponibili nel negozio all'interno del gioco e i moduli esca resteranno attivi per ben sei ore fino al 23 febbraio. Ricorda di essere sempre prudente e buon divertimento!	한국 시간 2월 10일부터 3월 16일까지 전설의 포켓몬 「레쿠쟈」가 체육관 레이드배틀에 등장합니다. Pokémon GO 에 「호연지방」에서 발견된 포켓몬이 100마리 이상 등장한 것을 기념해서 한국 시간 2월 13일까지 「호연지방」 포켓몬만이 여러분 주변에 나타납니다. 게임 내 숍에서는 「프리미엄 레이드패스」, 「부화장치」, 「별의모래」 등이 들어 있는 스페셜박스가 한국시간 2월 10일 오전부터 2월 23일까지 등장하고 「루어모듈」의 효과는 6시간 계속됩니다.  Pokémon GO 를 플레이할 때는 주변을 주의해 주세요. 		自日本時間2月10日起至3月16日止，傳說的寶可夢「烈空坐」將會首次降臨各地道館的團體戰。  為了紀念有超過100隻來自豐緣地區的寶可夢在 Pokémon GO 中登場，即日起至日本時間2月13日止，來自豐緣地區的寶可夢將會占據各位訓練家的地圖。同時，商店裡將限時推出內含特級團體戰入場券、孵化器、星星碎片等道具特別禮盒；誘餌模組的效果也將延長至6小時！  玩 Pokémon GO 時請小心安全！ 	O Pokémon Lendário Rayquaza aparecerá nas Batalhas de Reide dos dias 9 de fevereiro a 16 de março! Para celebrar os mais de 100 Pokémon originários da região de Hoenn no Pokémon GO, eles dominarão os encontros selvagens até o dia 13 de fevereiro. E mais, novos combos especiais com Passes de Reide, Incubadoras e Pedaços de Estrela chegarão à loja do jogo e os Módulos Atrair ficarão ativados por seis horas até o dia 23 de fevereiro! Tome cuidado e divirta-se explorando o mundo!
news_header_gen3wave3	More Pokémon from the Hoenn region are here!	ホウエン地方のポケモンがさらに登場！	D’autres Pokémon originaires de la région d’Hoenn sont arrivés !	¡Tenemos más Pokémon originarios de la región Hoenn!	Weitere Pokémon, die zuerst in der Hoenn-Region entdeckt wurden, sind gesichtet worden!	Nuovi Pokémon direttamente dalla regione di Hoenn!	호연지방 포켓몬이 추가로 등장!		更多來自豐緣地區的寶可夢！	Mais Pokémon da região de Hoenn estão por aqui!
news_subheader_gen3wave3	More Pokémon from the Hoenn region are here!	ホウエン地方のポケモンがさらに登場！	D’autres Pokémon originaires de la région d’Hoenn sont arrivés !	¡Tenemos más Pokémon originarios de la región Hoenn!	Weitere Pokémon, die zuerst in der Hoenn-Region entdeckt wurden, sind gesichtet worden!	Nuovi Pokémon direttamente dalla regione di Hoenn!	호연지방 포켓몬이 추가로 등장!		更多來自豐緣地區的寶可夢！	Mais Pokémon da região de Hoenn estão por aqui!
news_main_text_gen3wave3	Starting later today, 23 additional Pokémon originally discovered in the Hoenn region in the Pokémon Ruby and Pokémon Sapphire video games will begin appearing in Pokémon GO for the very first time. As you’re out adventuring with friends and family and exploring your local neighborhoods, be sure to share your favorite moments and photos using #PokemonGO on your social media channels.	『ポケットモンスター ルビー・サファイア』の舞台「ホウエン地方」で発見された、23匹のポケモンが新たに Pokémon GO に登場します！ 友達や家族と一緒にポケモンを探してみてくださいね！そしてお気に入りのポケモンや写真を #PokémonGO のハッシュタグをつけてSNSにぜひ投稿してください。	À partir d’aujourd’hui, 23 Pokémon supplémentaires découverts dans la région d’Hoenn des jeux Pokémon Rubis et Pokémon Saphir feront leur apparition dans Pokémon GO pour la toute première fois. Partez à l’aventure entre amis ou en famille, explorez votre quartier, et partagez avec nous vos moments et photos préférés en utilisant le tag #PokemonGO sur les réseaux sociaux.	Desde hoy, 23 Pokémon adicionales, descubiertos originalmente en la región Hoenn en los videojuegos Pokémon Rubí y Pokémon Zafiro, empezarán a aparecer por primera vez en Pokémon GO. Mientras te lanzas a la aventura con tus amigos y familiares, y te adentras en otros barrios de tu ciudad, asegúrate de compartir tus fotos y momentos favoritos utilizando #PokemonGO en tus redes sociales.	ab heute erscheinen 23 zusätzliche Pokémon, die zuerst in der Hoenn-Region in den Videospielen Pokémon Rubin und Pokémon Saphir entdeckt wurden, zum ersten Mal in Pokémon GO. Starte ein Abenteuer mit deinen Freunden und deiner Familie, erkunde deine Nachbarschaft und teile deine besten Momente und Fotos unter dem Hashtag #PokemonGO auf deinen Social Media-Kanälen.	da oggi, 23 nuovi Pokémon della regione di Hoenn nei giochi Pokémon Rubino e Pokémon Zaffiro inizieranno ad apparire in Pokémon GO per la prima volta.  Mentre esplorate vari quartieri locali con amici e parenti, condividete i momenti e le foto più divertenti con #PokemonGO sui social.	『포켓몬스터 루비・사파이어』의 무대 「호연지방」에서 발견된 23마리 포켓몬이 Pokémon GO에 추가로 등장합니다! 친구, 가족과 함께 포켓몬을 찾아보세요! 그리고 마음에 든 포켓몬이나 사진을 #PokémonGO 해시태그와 같이 SNS에 올려주세요.		又有23隻來自豐緣地區的寶可夢要新加入 Pokémon GO 囉！快和親朋好友一起去捉寶可夢吧！另外，別忘了在社群網站上用 #PokemonGO 標籤和大家分享你的冒險歷程和最喜歡的寶可夢喔。	A partir de hoje, mais 23 Pokémon descobertos na região de Hoenn, cenário dos jogos Pokémon Ruby e Pokémon Sapphire, vão começar a aparecer no Pokémon GO. Ao sair por aí caçando Pokémon com os amigos, compartilhe fotos dos melhores momentos usando a hashtag #PokemonGO nas redes sociais.
news_header_kyogre	Kyogre in Raid Battles until Feb. 14	Pokémon GO に伝説のポケモン「カイオーガ」が登場！	Kyogre débarque dans les raids !	¡Kyogre aparece en Incursiones en todo el mundo!	Kyogre erscheint weltweit in Raid-Kämpfen!	Kyogre apparirà nelle Battaglie Raid di tutto il mondo!	Pokémon GO에 전설의 포켓몬 「가이오가」가 등장!		傳說的寶可夢「蓋歐卡」降臨 Pokémon GO！	Kyogre avistado em Batalhas de Reide ao redor do mundo!
news_subheader_kyogre	Kyogre in Raid Battles until Feb. 14	Pokémon GO に伝説のポケモン「カイオーガ」が登場！	Kyogre débarque dans les raids !	¡Kyogre aparece en Incursiones en todo el mundo!	Kyogre erscheint weltweit in Raid-Kämpfen!	Kyogre apparirà nelle Battaglie Raid di tutto il mondo!	Pokémon GO에 전설의 포켓몬 「가이오가」가 등장!		傳說的寶可夢「蓋歐卡」降臨 Pokémon GO！	Kyogre avistado em Batalhas de Reide ao redor do mundo!
news_main_text_kyogre	Kyogre, the Water-type Legendary Pokémon originally discovered in the Hoenn region, is now appearing in Raid Battles around the world! Keep an eye out for Kyogre at Gyms near you, and you may be one of the first to catch this Legendary Pokémon. But don’t delay—Kyogre will only be available until 1:00 P.M. PST on February 14, 2018. Good luck, Trainers!	『ポケットモンスター ルビー・サファイア』の舞台「ホウエン地方」で言い伝えられる伝説のポケモン、「カイオーガ」が Pokémon GO の世界中のジムに登場しました！ 「カイオーガ」は海の化身と言われ、大雨で海を生み出し、大波で海を広げたと語り継がれている「みずタイプ」の伝説のポケモンです。 近くのジムで「カイオーガ」とのレイドバトルに挑戦しよう！ 「カイオーガ」の登場は2月14日までです。	Kyogre, le Pokémon Légendaire de type Eau découvert dans la région d’Hoenn, débarque dans les raids ! Gardez l’oeil ouvert à la recherche de Kyogre près des Arènes et vous serez peut être l’un des premiers à capturer ce Pokémon Légendaire. Mais attention ne perdez pas de temps, Kyogre sera disponible que le 14 février jusqu’à 22H00 CET.	¡Kyogre, el Pokémon Legendario del tipo agua originalmente descubierto en la región de Hoenn, ahora está apareciendo en Incursiones alrededor del mundo! Manténte atento a Kyogre en los Gimnasios cerca de ti, y puedes ser uno de los primeros en atrapar a este Pokémon Legendario . Pero no te demores: Kyogre solo estará disponible hasta la 1:00 p.m. PST el 14 de febrero de 2018.	Kyogre, das Legendäre Wasser-Pokémon aus der Hoenn-Region, erscheint nun weltweit in Raid-Kämpfen! Haltet die Augen offen und ihr könntet unter den Ersten sein, die Kyogre in einer örtlichen Arena entdecken und dieses Legendäre Pokémon fangen. Lasst euch aber nicht zu viel Zeit, denn Kyogre taucht ab dem 14. Februar 2018 um 22:00 Uhr wieder ab.	Kyogre, Pokémon Leggendario di tipo Acqua originariamente scoperto nella regione di Hoenn, farà la sua comparsa nelle Battaglie Raid di tutto il mondo! Tenete gli occhi aperti per scovare Kyogre nelle Palestre vicino a voi e potreste essere i primi a catturare questo Pokémon Leggendario. Siate veloci però, poiché Kyogre sarà disponibile solo fino alle 1:00 P.M. PST del 14 febbraio 2018.	『포켓몬스터 루비・사파이어』의 무대 「호연지방」에서 전해내려오는 전설의 포켓몬 「가이오가」가 Pokémon GO의 전 세계 체육관에 등장합니다!  「가이오가」는 바다의 화신으로 불리며 큰비로 바다를 만들고 큰 파도로 바다를 넓혔다고 전해지는 「물타입」의 전설의 포켓몬입니다. 가까운 체육관에서 「가이오가」와의 레이드배틀에 도전합시다! 「가이오가」의 등장은 2월 14일까지입니다.		來自豐緣地區的傳說的寶可夢「蓋歐卡」降臨 Pokémon GO 的道館了！據說「蓋歐卡」這隻水屬性的傳說的寶可夢是大海的化身，牠用大雨造海，並用洶湧巨浪擴張海洋。蓋歐卡出現的時間只到2月14日為止，快到附近的道館去挑戰牠吧！	Kyogre, o Pokémon Lendário do tipo Água, descoberto originalmente na região de Hoenn, começou a aparecer em Batalhas de Reide ao redor do mundo! Fiquem ligados nos Kyogres em Ginásios próximos a vocês, e vocês poderão ser um dos primeiros a capturar este Pokémon Lendário. Mas não espere demais--Kyogre estará disponível apenas até as 14h de 14 de Fevereiro de 2018, no horário de Brasília.
news_header_febcmtyday	Community Day coming February 24									
news_subheader_febcmtyday	Community Day coming February 24									
news_main_text_febcmtyday	Mark your calendars, Trainers. The next Pokémon GO Community Day will take place on February 24, 2018, and it features the Dragon-type Pokémon Dratini! Explore your local parks with family and friends to catch as many Dratini as you can. While you’re out exploring your local parks and making new friends, you’ll also earn bonus Stardust for each Pokémon you catch during event hours. Visit PokemonGoLive.com/events to find out when Community Day starts in your region.									
news_header_gen3wave2	Water- and Ice-type Pokémon from the Hoenn region are now appearing!									
news_subheader_gen3wave2	Water- and Ice-type Pokémon from the Hoenn region are now appearing!									
news_main_text_gen3wave2	Water-type and Ice-type Pokémon originally discovered in the Hoenn region in the Pokémon Ruby and Pokémon Sapphire video games are now appearing in Pokémon GO for the very first time!									
