Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_japan_make_good		【重要】延期となっていた日本での「フリーザー・デイ」と7月の「コミュニティ・デイ」は8月4日（土）に開催いたします。								
news_subheader_japan_make_good		【重要】延期となっていた日本での「フリーザー・デイ」と7月の「コミュニティ・デイ」は8月4日（土）に開催いたします。								
news_main_text_japan_make_good		7月上旬に発生した西日本を中心とする豪雨でお亡くなりになられました方々へお悔やみを申し上げますとともに、被災された皆さまに謹んでお見舞いを申し上げます。皆さまの安全と、被災地の一日も早い復旧・復興を心よりお祈り申し上げます。  \n \n災害に伴い、延期しておりました日本での「フリーザー・デイ」とゼニガメが大量発生する「コミュニティ・デイ」につきましては、日本時間の下記日程で開催いたします。  \n \n8月4日（土）12時〜15時 「フリーザー・デイ」 8月4日（土）15時〜18時 「Pokémon GO コミュニティ・デイ」  \n \nなお、「Pokémon GO Safari Zone Dortmund」のグローバルチャレンジでアンロックされたボーナスは、12時〜18時の6時間の間にも再度提供いたします。 								
news_header_japanrain		【重要】フリーザー・デイの延期について								
news_subheader_japanrain		【重要】フリーザー・デイの延期について								
news_main_text_japanrain		一部の地域で大雨特別警報が発令されたことを受け、皆様の安全を考慮し、7月7日（土）正午12時〜15時実施予定だった日本での「フリーザー・デイ」を延期いたします。開催日については改めてお知らせいたします。イベント開始直前での中止につきまして、皆さまにご迷惑をおかけいたしますことをお詫び申しあげます。								
news_header_secondanniversary	Celebrate Pokémon GO’s Second Anniversary with Pikachu! 	ピカチュウといっしょに『Pokémon GO』2周年をお祝いしましょう！	Fêtons le second anniversaire de Pokémon GO avec Pikachu !	¡Celebra el segundo aniversario de Pokémon GO con Pikachu!	Feiere zwei Jahre Pokémon GO mit Pikachu!	Festeggia con Pikachu il secondo anniversario di Pokémon GO!	피카츄와 함께 “Pokémon GO” 2주년을 축하합시다!		和皮卡丘一起慶祝Pokémon GO的兩週年吧！	Celebre o segundo aniversário do Pokémon GO com Pikachu!
news_subheader_secondanniversary	Celebrate Pokémon GO’s Second Anniversary with Pikachu! 	ピカチュウといっしょに『Pokémon GO』2周年をお祝いしましょう！	Fêtons le second anniversaire de Pokémon GO avec Pikachu !	¡Celebra el segundo aniversario de Pokémon GO con Pikachu!	Feiere zwei Jahre Pokémon GO mit Pikachu!	Festeggia con Pikachu il secondo anniversario di Pokémon GO!	피카츄와 함께 “Pokémon GO” 2주년을 축하합시다!		和皮卡丘一起慶祝Pokémon GO的兩週年吧！ 	Celebre o segundo aniversário do Pokémon GO com Pikachu!
news_main_text_secondanniversary	Can you believe it’s already the second anniversary of Pokémon GO? The electrifying Pikachu is joining in to help celebrate this momentous occasion, so keep an eye out for Pikachu and Pichu—they will be appearing more frequently until July 31! Plus, during July you can encounter a special summer-style Pikachu that’s all decked out in a summery straw hat and sunglasses. To add to the fun, Pikachu Fan avatar items will be available for purchase in the shop. Trainers with a gold Pikachu Fan medal will be able to purchase all related items, including a T-shirt and Pikachu ears! Thank you for celebrating with us!	2016年7月に『Pokémon GO』がリリースされてから2年が経ちました。私たちといっしょにポケモンを探しに世界中を冒険してくださった皆さん、本当にありがとうございます。 この記念すべき2周年に際し、ピカチュウがお祝いに駆けつけてくれました。7月7日（土）早朝から7月31日（火）まで、いつもより多くピカチュウが出現するようになり、皆さんと2周年を祝ってくれます。今回のピカチュウは、麦わら帽子とサングラスを着けた「サマースタイル」でお祝いをしてくれるそうです！ \n \nさらに、ピカチュウが大好きなトレーナーに朗報です。「ピカチュウだいすきコスチューム」の着せ替えアイテムが7月7日（土）から販売開始となります！ピカチュウをよりたくさん捕まえることでもらえる「ピカチュウ だいすきクラブ」メダルのランクに応じて、これらの着せ替えアイテムは購入できるようになります。また、新たにピカチュウとおそろいの着せ替えアイテム「ティアドロップ」サングラスも発売になります。こちらはメダルランクに関係無く、どなたでも購入することができます。 \n \n―『Pokémon GO』開発チーム 	Incroyable, nous fêtons déjà le second anniversaire de Pokémon GO ! Le Pikachu électrique se joint à nous pour célébrer cette grande occasion, alors ouvrez l’œil pour ne pas manquer Pikachu et Pichu, qui apparaîtront plus souvent jusqu’au 31 juillet. En outre, vous pourrez rencontrer pendant le mois de juillet un Pikachu au look estival avec chapeau de paille et lunettes de soleil ! Et ce n’est pas tout : des objets pour avatars Fan de Pikachu sont disponibles à l’achat dans la Boutique du jeu. Les Dresseurs ayant une médaille Fan de Pikachu dorée pourront acheter tous les objets associés, dont un t-shirt et des oreilles Pikachu ! Merci pour votre participation à cette fête !	¿Te puedes creer que ya es el segundo aniversario de Pokémon GO? El electrizante Pikachu se une a la celebración de esta ocasión tan especial, así que presta atención para ver a Pikachu y Pichu, ¡que aparecerán con más frecuencia hasta el 31 de julio! Además, durante el mes de julio, puedes encontrarte con un especial Pikachu con un estilo veraniego que lleva un sombrero de paja y gafas de sol. Y, para añadir otro toque de diversión, ahora hay disponibles para su compra en la tienda artículos de avatar para los fans de Pikachu. Los Entrenadores que tengan la insignia Fan de Pikachu dorada podrán adquirir todos estos artículos relacionados con ese tema, ¡incluyendo una camiseta y unas orejas de Pikachu! ¡Gracias por celebrar este aniversario con nosotros!	Kaum zu glauben, aber wahr: Pokémon GO gibt es jetzt seit zwei Jahren! Das elektrisierende Pikachu wird beim Feiern dieses denkwürdigen Ereignisses mithelfen – halte also Ausschau nach Pikachu und Pichu, denn sie werden bis zum 31. Juli häufiger erscheinen! Außerdem kannst du im Juli einem besonderen, sommerlichen Pikachu mit Strohhut und Sonnenbrille begegnen. Zusätzlich sind im Shop jetzt Pikachu-Fan-Avatar-Artikel zum Kauf erhältlich. Trainer mit einer goldenen Pikachu-Fan-Medaille können all diese Artikel kaufen, darunter ein T-Shirt und Pikachu-Ohren! Danke fürs Mitfeiern!	Ma ci pensi? Pokémon GO compie già due anni! L’elettrizzante Pikachu si unirà a noi per immortalare questa occasione memorabile, per cui tieni gli occhi aperti per Pikachu e Pichu, poiché appariranno più frequentemente fino al 31 luglio! Inoltre, durante il mese di luglio potrai incontrare uno speciale Pikachu in versione estiva con tanto di cappello di paglia e occhiali da sole. E per rendere le cose ancora più interessanti, gli oggetti avatar per i fan di Pikachu sono ora disponibili nel negozio all’interno della app. Gli Allenatori che hanno raggiunto il livello oro dei premi per i fan di Pikachu potranno scegliere tutti gli oggetti a tema, inclusi la maglietta e le orecchie di Pikachu. Festeggia anche tu con noi!	2016년 7월에 “Pokémon GO”가 출시되고 2년이 지났습니다. 우리와 함께 포켓몬을 찾아 전 세계를 모험한 여러분에게 진심으로 감사합니다. 이 기념할만한 2주년을 맞이하여 피카츄가 축하하러 달려왔습니다. 7월 31일(화)까지 평소보다 많은 피카츄가 출현하게 되며 여러분과 2주년을 기념합니다. 이번 피카츄는 밀짚모자와 선글라스는 쓴 「서머스타일」로 축하해준다고 합니다. \n \n그리고 피카츄를 좋아하는 트레이너에게 기쁜 소식입니다. 「피카츄 애호가 코스튬」 의상이 아이템으로 판매 시작했습니다! 피카츄를 많이 잡으면 얻을 수 있는 「피카츄 애호가클럽」메달 랭크에 따라 이 의상 아이템을 구매할 수 있게 됩니다. 또, 새로운 피카츄와 페어인 의상 아이템 「티어드롭형 선글라스」도 판매합니다. 이것은 메달 랭크와 관계없이 누구라도 구매할 수 있습니다. 		你知道Pokémon GO已經兩歲了嗎？感謝各位在這兩年來陪伴我們一起冒險、一起捕捉寶可夢！ \n \n即日起至7月31日止，戴著草帽和太陽眼鏡的「夏日皮卡丘」將會出現在地圖上，和我們一起慶祝歡樂的兩週年！還想要更多皮卡丘嗎？商店裡準備了整組的「皮卡丘發燒友」換裝道具，只要你的「皮卡丘粉絲」獎牌等級越高，就能購買越多皮卡丘發燒友的換裝道具。快來和皮卡丘一起慶祝吧！ 	Dá para acreditar que este já é o segundo aniversário do Pokémon GO? O eletrizante Pikachu está ajudando a celebrar esta ocasião memorável, então fique de olhos bem abertos para encontrar Pikachu e Pichu, que aparecerão mais frequentemente até o dia 31 de julho! Além disso, durante o mês de julho, você poderá encontrar um Pikachu todo paramentado para o verão, com chapéu de palha e óculos escuros. Para tornar as coisas ainda mais divertidas, itens de avatar de Fã de Pikachu já estão disponíveis na loja do jogo. Treinadores com uma medalha dourada de Fã de Pikachu poderão comprar todos estes itens, entre eles uma camiseta e orelhas de Pikachu! Obrigado por celebrar conosco!
news_header_yokosuka	Please join the Pokémon GO Safari Zone event in Yokosuka, Japan!	横須賀で開催される「Pokémon GO Safari Zone in YOKOSUKA」に参加しよう！					요코스카에서 개최되는 「Pokémon GO Safari Zone in YOKOSUKA」에 참가하자!		一起去參加日本橫須賀市的「Pokémon GO Safari Zone in YOKOSUKA」吧！	
news_subheader_yokosuka	Please join the Pokémon GO Safari Zone event in Yokosuka, Japan!	横須賀で開催される「Pokémon GO Safari Zone in YOKOSUKA」に参加しよう！					요코스카에서 개최되는 「Pokémon GO Safari Zone in YOKOSUKA」에 참가하자!		一起去參加日本橫須賀市的「Pokémon GO Safari Zone in YOKOSUKA」吧！	
