Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_zapdos_day	Unlock Zapdos Day during Professor Willow’s Global Challenge!	「ウィロー博士のグローバルチャレンジ」に挑戦して、「サンダー・デイ」をアンロックしよう！	Accédez à la Journée Électhor au cours du Défi global du Professeur Willow !	¡Desbloquea el Día de Zapdos durante el desafío global del Profesor Willow!	Schalte während Prof. Willows globaler Herausforderung Zapdos-Tag frei!	È in arrivo lo Zapdos Day durante la sfida globale del Professor Willow!	「윌로우박사의 글로벌 챌린지」에 도전하고 「썬더데이」를 언록하자!		參加「維羅博士的全球大挑戰」，解鎖「閃電鳥日」！	Desbloqueie o dia de Zapdos durante o desafio global do Professor Willow!
news_subheader_zapdos_day	Unlock Zapdos Day during Professor Willow’s Global Challenge!	「ウィロー博士のグローバルチャレンジ」に挑戦して、「サンダー・デイ」をアンロックしよう！	Accédez à la Journée Électhor au cours du Défi global du Professeur Willow !	¡Desbloquea el Día de Zapdos durante el desafío global del Profesor Willow!	Schalte während Prof. Willows globaler Herausforderung Zapdos-Tag frei!	È in arrivo lo Zapdos Day durante la sfida globale del Professor Willow!	「윌로우박사의 글로벌 챌린지」에 도전하고 「썬더데이」를 언록하자!		參加「維羅博士的全球大挑戰」，解鎖「閃電鳥日」！	Desbloqueie o dia de Zapdos durante o desafio global do Professor Willow!
news_main_text_zapdos_day	Are you ready for round two of Professor Willow’s Global Challenge? Starting July 14 through July 15, each area of the world will have to meet the challenge requirements during Pokémon GO Fest in Chicago, USA! If each area achieves its respective goals, Candy-related bonuses will unlock starting on July 16—including bonuses for catching Pokémon and participating in Raid Battles. Trainers can also unlock a bonus to reduce the distance needed to hatch Eggs! \n  \nIf all goals are achieved, Trainers all over the globe will be able to receive up to five free Raid passes when they spin a Photo Disc at a Gym during Zapdos Day, featuring the Legendary Pokémon Zapdos. On Saturday, July 21, Zapdos will be exclusively available in Raid Battles around the world for a three-hour period. During that time, all Zapdos caught will know the Fast Attack Thunder Shock. You might even encounter a Shiny Zapdos! \n  \nAs this summer’s exciting Global Challenge events continue, please remember to be respectful of other Trainers and of PokéStops, Gyms, and other locations while you’re out there adventuring! \n  \nSee you out in the field, Trainers! 	第2回目の「ウィロー博士のグローバルチャレンジ」が、現地時間7月14日（土）から7月15日（日）にかけてアメリカのシカゴで開催される「Pokémon GO Fest」の期間中に始まります！「Pokémon GO Fest」に現地で参加されない方も、フィールドリサーチのタスクを達成することで、それぞれの地域でのチャレンジ目標達成を目指しましょう！ 各地域でそれぞれの目標が達成されると、日本時間7月17日（火）早朝から、ポケモンを捕まえた時、タマゴをかえしたときにより多くのアメがもらえるようになったり、レイドバトルでふしぎなアメがもらえたり、タマゴをかえすのに必要な距離が短くなりなどのボーナスが発生します！ \n \n全ての地域で目標が達成されれば、伝説のポケモン「サンダー」が伝説レイドバトルに舞い戻る「サンダー・デイ」が7月21日（土）にアンロック！「サンダー・デイ」の期間中は、世界中の全てのトレーナーがレイドパスを最大5枚まで無料で受け取ることができるようになります。このボーナスのレイドパスを受け取るには、「サンダー・デイ」開催期間中に、ジムでフォトディスクを回転させてください。「サンダー・デイ」での「サンダー」の登場は、各地域3時間限定！ 期間中に捕まえたサンダーは、必ずノーマルアタックのわざ「でんきショック」を覚えています！ 運がよければ色違いのサンダーにも出会えるかもしれません！ \n \nこの夏のグローバルチャレンジイベントはまだまだ続きますので、マナーを守りながらお楽しみください！ \n \nそれでは皆さん、またお会いしましょう！	Êtes-vous prêt pour la deuxième ronde du Défi global du Professeur Willow ? Les 14 et 15 juillet, chaque région du globe devra répondre à ce défi lors du Festival Pokémon GO de Chicago aux États-Unis. Si chacune atteint ses buts, des bonus de Bonbons seront déverrouillés à partir du 16 juillet, dont notamment des bonus pour vos captures de Pokémon et votre participation à des Combats de Raids. Les Dresseurs pourront également déverrouiller un bonus qui réduira la distance d’éclosion des Œufs.  \n \nSi tous les buts sont atteints, les Dresseurs du monde entier pourront recevoir jusqu’à cinq passes de Raids gratuits lorsqu’ils feront tourner le PhotoDisque d’une Arène pendant la Journée Électhor, qui mettra en vedette ce Pokémon légendaire. Samedi 21 juillet, Électhor sera disponible exclusivement dans les Combats de Raids du monde entier pendant trois heures. Pendant ce laps de temps, tous les Électhor attrapés connaîtront l’Attaque Immédiate Éclair. Et si vous avez de la chance, vous rencontrerez peut-être un Électhor chromatique ! \n \nAlors que les Défis globaux se poursuivent, n’oubliez pas de rester respectueux des autres Dresseurs et des lieux que vous visitez (Arènes, PokéStops) lors de vos aventures. \n \nOn se revoit sur le terrain, Dresseurs !	¿Estás preparado para la segunda ronda del desafío global del Profesor Willow? Del 14 al 15 de julio, se deberán cumplir los requisitos del desafío en cada parte del mundo durante el Festival de Pokémon GO de Chicago, Estados Unidos. A partir del 16 de julio, si en cada parte se cumplen los objetivos respectivos, se desbloquearán bonus de Caramelos, que incluirán bonus por atrapar Pokémon y por participar en incursiones. ¡Y también se podrá desbloquear un bonus para reducir la distancia necesaria para hacer eclosionar Huevos!  \n \nSi se cumplen todos los objetivos, Entrenadores de todo el mundo podrán recibir hasta cinco pases de incursión gratis al hacer girar un fotodisco en un Gimnasio durante el Día de Zapdos, destacando al Pokémon legendario Zapdos. El sábado 21 de julio, Zapdos estará únicamente disponible en incursiones de todo el mundo por un periodo de tres horas. Todos los Zapdos atrapados en ese tiempo conocerán el ataque rápido Impactrueno, ¡y puede que hasta te encuentres con un Zapdos variocolor!  \n \nMientras continúan los emocionantes eventos de desafío global de este verano, recuerda ser respetuoso con los demás Entrenadores y en las Poképaradas, Gimnasios o cualquier otro lugar en el que te encuentres disfrutando de tu aventura.  \n \n¡Nos vemos por ahí fuera!	Startklar für die zweite Runde von Prof. Willows globaler Herausforderung? Vom 14. Juli bis einschließlich 15. Juli muss jedes Gebiet der Welt während des Pokémon GO-Fests in Chicago, USA, die Bedingungen der Herausforderung erfüllen! Wenn jedes Gebiet seine jeweiligen Ziele erreicht, werden ab dem 16. Juli Bonbon-Bonusse freigeschaltet – darunter Bonusse für den Fang von Pokémon und die Teilnahme an Raid-Kämpfen. Trainer können auch einen Bonus freischalten, der die Distanz verringert, die für das Ausbrüten von Eiern erforderlich ist! \n \nWerden alle Ziele erreicht, können Trainer weltweit bis zu fünf kostenlose Raid-Pässe erhalten, wenn sie die Fotoscheibe an einer Arena während des Zapdos-Tags mit dem Legendären Pokémon Zapdos drehen. Am Samstag, den 21. Juli erscheint Zapdos drei Stunden lang exklusiv in Raid-Kämpfen auf der ganzen Welt. Alle in dieser Zeit gefangenen Zapdos können die Sofort-Attacke Donnerschock. Und wenn du Glück hast, begegnest du vielleicht sogar einem Schillernden Zapdos! \n \nDie spannenden Events der globalen Herausforderung des Sommers gehen weiter! Bitte denkt daran, euch auf euren Abenteuern immer respektvoll und höflich gegenüber anderen Trainern und an PokéStops, Arenen und anderen Orten zu verhalten! \n \nWir sehen uns draußen, Trainer!	È tutto pronto per il secondo round della sfida globale del Professor Willow! Il 14 e il 15 luglio, ogni area del mondo dovrà raggiungere gli obiettivi della sfida nel corso del Festival di Pokémon GO a Chicago. Se ciascuna area consegue il proprio, a partire dal 16 luglio verranno sbloccati dei bonus di caramelle ottenibili, per esempio, catturando Pokémon e partecipando ai raid. Gli Allenatori avranno anche la possibilità di sfruttare un ulteriore bonus che ridurrà la distanza da percorrere necessaria per far schiudere le loro Uova! Se tutti gli obiettivi saranno raggiunti, gli Allenatori di tutto il mondo potranno ricevere fino a cinque biglietti raid gratuiti facendo girare il disco foto di una Palestra nel corso dello Zapdos Day, l’evento ispirato al Pokémon leggendario Zapdos. Sabato 21 luglio sarà quindi possibile affrontare Zapdos nei raid in giro per il mondo per ben tre ore. Qualsiasi Zapdos catturato in questo frangente conoscerà l’attacco veloce Tuonoshock. E potresti addirittura incontrare uno Zapdos cromatico! Gli eventi della sfida globale di questa estate sembrano non finire mai! Durante le tue avventure, non dimenticare mai di essere rispettoso nei confronti degli altri Allenatori e delle tante località che ospitano Pokéstop e Palestre! Appuntamento sul campo, Allenatore!	제2회 「윌로우박사의 글로벌 챌린지」가 현지 시각 7월 14일(토)부터 7월 15일(일)에 걸쳐서 미국 시카고에서 개최되는 「Pokémon GO Fest」 기간에 시작합니다! 「Pokémon GO Fest」에 현지 참가를 안하는 분도 필드리서치 과제를 달성하는 것으로 각각 지역에서 챌린지의 목표 달성을 노려봅시다! 각 지역에서 목표가 달성되면 한국 시각 7월 17일(화) 새벽부터 포켓몬을 잡았을 때, 알을 부화했을 때 더 많은 사탕을 받게 되거나 레이드배틀에서 이상한사탕을 받게 되거나, 알을 부화하는 데 필요한 거리가 줄어드는 등 보너스가 발생합니다! \n \n모든 지역에서 목표가 달성되면 전설의 포켓몬 「썬더」가 전설 레이드배틀에 나타나는 「썬더데이」가 7월 21일(토)에 언록합니다! 「썬더데이」의 기간에는 전 세계 모든 트레이너가 레이드패스를 최대 5장까지 무료로 받을 수 있게 됩니다. 이 보너스 레이드패스를 받기 위해서는 「썬더데이」개최 중에 체육관에서 포토디스크를 회전시켜 주세요. 「썬더데이」에서 「썬더」의 등장은 각 지역 3시간 한정! 기간 중 잡은 썬더는 반드시 노말어택 기술 「전기쇼크」를 배우고 있습니다! 운이 좋으면 색이 다른 썬더를 만날 수 있을지도 모릅니다! \n \n올여름 글로벌 챌린지 이벤트는 계속해서 진행되니 매너를 지키면서 즐겨주세요! \n 그럼 여러분 다시 만나요! 		Pokémon GO Fest將於芝加哥當地時間7月14日～15日登場，而第二次「維羅博士的大挑戰」也將會在同一時間揭開序幕！無法親臨現場參加Pokémon GO Fest的訓練家們，請和附近的訓練家們一起挑戰完成更多課題。只要各個地區的訓練家們同心協力，完成大挑戰中規定的課題數，就能解鎖自7月17日起登場的特殊獎勵。這次的獎勵非常豐富，除了能在孵蛋時獲得更多糖果，孵蛋時所需的行走距離也會縮短，在團體戰中獲勝時還能獲得神奇糖果！ \n \n如果每個地區都成功達成目標，就能解鎖7月21日的「閃電鳥日」！解鎖閃電鳥獎勵的同時，世界上每位訓練家都可至道館領取免費的團體戰入場券，每個訓練家最多限領五張。在閃電鳥日捕捉到的每隻閃電鳥的一般招式都會是「電擊」，而且如果你運氣夠好，還能遇見異色閃電鳥也說不定喔！ \n \n這個夏天還有許多活動在等待各位參與，千萬別錯過！ \n \n出門冒險時請遵守各地規則，並小心自身安全。 	Está pronto para a segunda rodada do desafio global do Professor Willow? Entre os dias 14 e 15 de julho, cada área do mundo terá que cumprir os requisitos do desafio durante o Festival de Pokémon GO que ocorrerá em Chicago, nos EUA! Se cada área alcançar seus objetivos, bônus de doces serão desbloqueados a partir do dia 16 de julho, incluindo bônus por pegar Pokémon e participar de Batalhas de Reide. Os Treinadores também poderão desbloquear um bônus que reduz a distância necessária para chocar Ovos! \n \nSe todos os objetivos forem atingidos, Treinadores de todo o mundo poderão receber até cinco Passes de Reide gratuitos ao girar um fotodisco em um Ginásio durante o dia que celebra o Pokémon Lendário Zapdos. No sábado, dia 21 de julho, Zapdos estará disponível exclusivamente em Batalhas de Reide de todo o mundo por três horas. Durante este período, todos os Zapdos pegos saberão o ataque ágil Trovoada de Choques. Você poderá até encontrar um Zapdos Brilhante! \n \nÀ medida que os eventos empolgantes do desafio global continuam, por favor, lembre-se de sempre tratar de maneira respeitosa outros Treinadores e as Poképaradas, Ginásios e outros locais enquanto estiver se aventurando por aí! \n \nNos vemos no campo, Treinador! 
news_header_japan_make_good		【重要】延期となっていた日本での「フリーザー・デイ」と7月の「コミュニティ・デイ」は8月4日（土）に開催いたします。								
news_subheader_japan_make_good		【重要】延期となっていた日本での「フリーザー・デイ」と7月の「コミュニティ・デイ」は8月4日（土）に開催いたします。								
news_main_text_japan_make_good		7月上旬に発生した西日本を中心とする豪雨でお亡くなりになられました方々へお悔やみを申し上げますとともに、被災された皆さまに謹んでお見舞いを申し上げます。皆さまの安全と、被災地の一日も早い復旧・復興を心よりお祈り申し上げます。  \n \n災害に伴い、延期しておりました日本での「フリーザー・デイ」とゼニガメが大量発生する「コミュニティ・デイ」につきましては、日本時間の下記日程で開催いたします。  \n \n8月4日（土）12時〜15時 「フリーザー・デイ」 8月4日（土）15時〜18時 「Pokémon GO コミュニティ・デイ」  \n \nなお、「Pokémon GO Safari Zone Dortmund」のグローバルチャレンジでアンロックされたボーナスは、12時〜18時の6時間の間にも再度提供いたします。 								
news_header_japanrain		【重要】フリーザー・デイの延期について								
news_subheader_japanrain		【重要】フリーザー・デイの延期について								
news_main_text_japanrain		一部の地域で大雨特別警報が発令されたことを受け、皆様の安全を考慮し、7月7日（土）正午12時〜15時実施予定だった日本での「フリーザー・デイ」を延期いたします。開催日については改めてお知らせいたします。イベント開始直前での中止につきまして、皆さまにご迷惑をおかけいたしますことをお詫び申しあげます。								
news_header_secondanniversary	Celebrate Pokémon GO’s Second Anniversary with Pikachu! 	ピカチュウといっしょに『Pokémon GO』2周年をお祝いしましょう！	Fêtons le second anniversaire de Pokémon GO avec Pikachu !	¡Celebra el segundo aniversario de Pokémon GO con Pikachu!	Feiere zwei Jahre Pokémon GO mit Pikachu!	Festeggia con Pikachu il secondo anniversario di Pokémon GO!	피카츄와 함께 “Pokémon GO” 2주년을 축하합시다!		和皮卡丘一起慶祝Pokémon GO的兩週年吧！	Celebre o segundo aniversário do Pokémon GO com Pikachu!
