Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_adventureweek	No Stone Unturned during This Adventurous Event!	「アドベンチャーウィーク」が始まります！	Un évènement aventureux gravé dans la pierre !	¡Ve de roca en roca en este evento aventurero!	In diesem aufregenden Event wird jeder Stein umgedreht!	Non restare di sasso... ti aspetta un evento pieno di avventura!	「어드벤처위크」가 시작됩니다!		「驚奇冒險週」即將登場！	Este evento de aventura não deixará pedra sobre pedra!
news_subheader_adventureweek	No Stone Unturned during This Adventurous Event!	「アドベンチャーウィーク」が始まります！	Un évènement aventureux gravé dans la pierre !	¡Ve de roca en roca en este evento aventurero!	In diesem aufregenden Event wird jeder Stein umgedreht!	Non restare di sasso... ti aspetta un evento pieno di avventura!	「어드벤처위크」가 시작됩니다!		「驚奇冒險週」即將登場！	Este evento de aventura não deixará pedra sobre pedra!
news_main_text_adventureweek	Trainers, adventurous new research is on tap during an exciting in-game celebration! Starting on May 24 at 1:00 P.M. PDT, unique Field Research will be available with some exciting rewards, including a Raid Battle appearance by Pokémon such as Aerodactyl. Throughout the celebration, Rock-type Pokémon such as Geodude, Lileep, and Nosepass will appear more frequently in the wild. Your Buddy Pokémon will earn Candy 4× faster throughout the event, and you’ll receive extra XP for spinning the Photo Discs at PokéStops or Gyms! Fortune favors the bold, Trainers, so join this adventure before it ends on June 5! 	トレーナーの皆さん、「冒険」にフィーチャーしたイベント「アドベンチャーウィーク」を、5月25日（金）早朝から6月5日（月）の間、開催します！期間中、冒険がより楽しく刺激的になるような特別なフィールドリサーチがゲーム内に登場！この特別なフィールドリサーチを達成すると、特別なリワードがもらえるようです！また、イベント期間中は、イシツブテやリリーラ、アノプス、ノズパスといったいわタイプのポケモンたちと出会いやすくなるようです。レイドバトルでは、プテラなどのポケモンも登場します。さらに、相棒のポケモンからアメをもらうために必要な歩行距離が通常の1/4になり、ポケストップやジムのフォトディスクを回したときにもらえるXPも増加。なんと、初めて訪れるポケストップやジムでは、いつもの10倍のXPがもらえるようです！  	Dresseurs, de nouvelles études pleines d’aventures sont disponibles dans d’enthousiasmantes festivités en jeu ! À partir du 24 mai à 13h (heure d’été du Pacifique), des Études de terrain uniques seront disponibles et donneront droit à de super récompenses, notamment l’apparition de Pokémon tels que Ptéra dans des Combats de Raids ! Au cours des festivités, des Pokémon de type Roche, tels que Racaillou, Lilia et Tarinor, apparaitront plus fréquemment dans la nature. Votre Copain Pokémon trouvera des Bonbons quatre fois plus vite au cours de l’évènement, et vous recevrez des PX supplémentaires en faisant tourner les PhotoDisques des PokéStops et des Arènes. La fortune sourit aux audacieux, Dresseurs ; rejoignez l’aventure avant qu’elle ne se termine le 5 juin ! 	¡Nuevas e intrépidas investigaciones están disponibles en una emocionante celebración en el juego! A partir del 24 de mayo a la 1:00 p. m. PDT, estarán disponibles diferentes tareas de investigación de campo que tienen emocionantes recompensas, incluyendo la aparición de Pokémon como Aerodactyl en incursiones. A lo largo de la celebración, aparecerán con más frecuencia en su estado salvaje Pokémon de tipo Roca, como Geodude, Lileep y Nosepass. Durante el evento, tu Pokémon compañero conseguirá Caramelos 4 veces más rápido y recibirás PX adicionales por hacer girar el fotodisco en Poképaradas o Gimnasios. ¡La fortuna favorece a los valientes! ¡No esperes más para unirte a esta aventura antes de que termine el 5 de junio!	Abenteuerliche neue Forschung erwartet dich in einer spannenden Feier im Spiel, Trainer. Ab dem 24. Mai um 13.00 Uhr (PDT) erscheinen einzigartige Feldforschungsaufgaben mit besonderen Belohnungen, inklusive Raid-Kampf-Auftritte von Pokémon wie Aerodactyl. Während der Feierlichkeiten tauchen Gesteins-Pokémon wie Kleinstein, Liliep und Nasgnet mit vermehrter Häufigkeit im Freien auf. Außerdem verdienst du mit deinem Kumpel-Pokémon Bonbons in vierfacher Geschwindigkeit und du erhältst zusätzliche EP für das Drehen der Fotoscheibe eines PokéStops oder einer Arena! Das Glück ist mit den Mutigen, Trainer, also mach bei diesem Abenteuer mit, bevor es am 5. Juni endet!	Caro Allenatore, ci sono in serbo delle ricerche più entusiasmanti che mai per te in questo nuovo evento di gioco! A partire dalle 20:00 (UTC) del 24 maggio sarà disponibile una nuova ricerca sul campo con ricompense incredibili, come per esempio la possibilità di affrontare Pokémon del calibro di Aerodactyl. Inoltre, per l’intera durata dell’evento, i Pokémon selvatici di tipo Roccia come Geodude, Lileep e Nosepass appariranno più frequentemente del solito. E come se non bastasse, il tuo compagno Pokémon troverà le sue caramelle quattro volte più velocemente e tu riceverai PE extra ogni volta che farai girare il disco foto di un Pokéstop o di una Palestra! La fortuna aiuta gli audaci, per cui lanciati all’avventura prima che l’evento finisca il 5 giugno.	트레이너 여러분, 「모험」으로 특별기획한 「어드벤처위크」를 5월 25일(금) 새벽부터 6월 5일(월)까지 개최합니다! 이벤트 기간 동안 모험이 더 즐겁고 자극적일 수 있도록 특별한 필드리서치가 게임 내 등장합니다! 이 특별한 필드리서치를 달성하면 특별한 리워드를 받을 수 있습니다! 또, 이벤트 중에는 꼬마돌, 릴링, 아노딥스, 코코파스 등 바위타입 포켓몬들과 만나기 쉬워집니다. 레이드배틀에서는 프테라 등 포켓몬이 등장합니다. 게다가 파트너 포켓몬이 사탕을 받는 데 필요한 거리가 평소의 1/4이 되며 포켓스톱이나 체육관 포토디스크를 돌렸을 때 받을 수 있는 XP도 늘어납니다. 그리고 처음 방문하는 포켓스톱이나 체육관에서는 평소 10배의 XP를 받을 수 있습니다!		/n 以冒險為主題的「驚奇冒險週」將於5月25日清晨至6月5日登場！活動期間內，遊戲中將新增能讓冒險更刺激、更好玩的田野調查課題，只要完成課題，就能獲得特別的獎勵！/n  /n「驚奇冒險週」活動期間內，小拳石、觸手百合、太古羽蟲、朝北鼻等岩石屬性寶可夢的出現機率將會提高；團體戰中化石翼龍等寶可夢的出現機率也會提高，別忘了在活動期間內去拜訪附近的道館。/n   /n 此外，夥伴寶可夢獲得糖果所需的步行距離是平常的1/4，拜訪寶可補給站及道館時可獲得的XP也會比平常多。如果是第一次拜訪的寶可補給站或道館，可獲得的XP將會是平常的10倍喔！/n  /n「驚奇冒險週」將於6月5日結束，千萬別錯過！ 	Novas pesquisas para verdadeiros aventureiros estarão disponíveis em uma empolgante celebração dentro do jogo! A partir das 13h (horário do Pacífico) do dia 24 de maio, pesquisas de campo únicas estarão disponíveis e oferecerão recompensas incríveis, como a aparição de Pokémon como Aerodactyl em Batalhas de Reide. Durante a celebração, Pokémon selvagens de tipo Pedra como Geodude, Lileep e Nosepass aparecerão com mais frequência. Seu Pokémon companheiro receberá Doces quatro vezes mais rápido durante o evento e você receberá mais PE ao girar os fotodiscos das Poképaradas e dos Ginásios! A sorte favorece os valentes, então se junte a esta aventura antes que ela termine no dia 5 de junho!
news_header_articunoresearch	New Research Tasks Feature Water-Type Pokémon!	新たなリサーチタスク　ーみずタイプチャレンジー　が登場！	De nouvelles tâches d’Études de terrain se focalisent sur les Pokémon de type Eau.	¡Hay nuevas tareas de investigación centradas en los Pokémon de tipo Agua!	Neue Forschungsaufgaben mit Wasser-Pokémon!	Nuove missioni di ricerca con i Pokémon di tipo Acqua!	새로운 리서치 과제: 물타입 도전이 등장!		新增以水屬性寶可夢為主題的田野調查課題！	Os Pokémon de tipo Água são os protagonistas das próximas tarefas de pesquisa!
news_subheader_articunoresearch	New Research Tasks Feature Water-Type Pokémon!	新たなリサーチタスク　ーみずタイプチャレンジー　が登場！	De nouvelles tâches d’Études de terrain se focalisent sur les Pokémon de type Eau.	¡Hay nuevas tareas de investigación centradas en los Pokémon de tipo Agua!	Neue Forschungsaufgaben mit Wasser-Pokémon!	Nuove missioni di ricerca con i Pokémon di tipo Acqua!	새로운 리서치 과제: 물타입 도전이 등장!		新增以水屬性寶可夢為主題的田野調查課題！	Os Pokémon de tipo Água são os protagonistas das próximas tarefas de pesquisa!
news_main_text_articunoresearch	Get ready for more Field Research tasks and exciting rewards in June! On June 1 at 1:00 p.m. PDT, a brand-new set of Field Research tasks focusing on Water-type Pokémon will become available. These tasks will particularly highlight Water-type Pokémon such as Seel, Kingler, and Horsea. If you’re able to earn enough stamps for your Research Breakthrough, you’ll have the opportunity to catch the Legendary Ice- and Flying-type Pokémon originally discovered in the Kanto region—Articuno! Also, if you haven’t caught the Legendary Electric- and Flying-type Pokémon Zapdos, work toward a Research Breakthrough this week before it goes away! So get out there and conduct some cool research next month.	トレーナーの皆さん、毎日自分のペースで遊べる「フィールドリサーチ」は、お楽しみいただけていますか？素敵なリワードがもらえるこのフィールドリサーチに、日本時間6月2日（土）早朝、新たなタスクが登場！ \n \n 今回は、みずタイプのポケモンをテーマとしたタスクが遊べるようになるほか、スタンプを7個集め「大発見」が発生すると、こおり・ひこうタイプの伝説のポケモン「フリーザー」と出会えるようです！ \n \n 現在「大発見」で出会える伝説のポケモン「サンダー」をまだ捕まえていないトレーナーは、ぜひ今週中に捕まえましょう！ \n \n Pokémon GO で遊ぶ時は、周囲に注意しながらお楽しみください。 	Préparez-vous pour l’arrivée de nouvelles tâches d’Études de terrain et de super récompenses en juin ! Le 1er juin à 13h00 (heure d’été du Pacifique), une nouvelle série de tâches d’Études de terrain se focalisant sur les Pokémon de type Eau sera disponible. Ces tâches mettront en vedette des Pokémon de type Eau, tels qu’Otaria, Krabboss et Hypotrempe. Si vous obtenez assez de tampons pour compléter une Phase d’Étude, vous aurez l’occasion d’attraper Artikodin, le Pokémon légendaire de type Glace et Vol découvert dans la région de Kanto. Si vous n’avez pas attrapé Électhor, le Pokémon légendaire de type Électrik et Vol, terminez une Phase d’Étude cette semaine avant qu’il ne disparaisse ! Sortez vite pour entreprendre des recherches amusantes !	¡Prepárate para hacer más tareas de investigación de campo y conseguir emocionantes recompensas en junio! El 1 de junio a la 1:00 p. m. PDT, estará disponible un nuevo set de tareas de investigación de campo basadas en Pokémon de tipo Agua. Estas tareas se centrarán particularmente en Pokémon de tipo Agua, como Seel, Kingler y Horsea. Si eres capaz de conseguir suficientes sellos para obtener tu logro de investigación, tendrás la oportunidad de capturar al Pokémon legendario de tipo Hielo y Volador originalmente descubierto en la región de Kanto, ¡Articuno! Y, si no has capturado al Pokémon legendario de tipo Eléctrico y Volador Zapdos, ¡ponte con un logro de investigación esta semana antes de que desaparezca! Así que sal afuera y lleva a cabo alguna investigación refrescante y de altura el próximo mes.	Bereit für mehr Feldforschungsaufgaben und tollen Belohnungen im Juni? Ab 1. Juni um 13:00 Uhr (PDT) gibt es einen brandneuen Satz von Feldforschungsaufgaben, die sich um Wasser-Pokémon drehen. Diese Aufgaben heben insbesondere Wasser-Pokémon wie Jurob, Kingler und Seeper hervor. Wenn du es schaffst, genug Stempel für einen Forschungsdurchbruch zu sammeln, erhältst du die Chance, das Legendäre Eis- und Flug-Pokémon, das ursprünglich in der Kanto-Region entdeckt wurde, zu fangen – Arktos! Wenn du also Zapdos, das Legendäre Pokémon vom Typ Elektro und Flug bisher noch nicht gefangen hast, bleibt dir noch eine Woche Zeit, um einen Forschungsdurchbruch zu erreichen, bevor es verschwindet! Also nichts wie raus, denn nächsten Monat wird Feldforschung besonders erfrischend!	Preparati per nuove missioni di ricerca e tantissime ricompense speciali in arrivo a giugno! Il 1° giugno alle 20:00 (UTC), una nuova serie di missioni di ricerca sul campo incentrate sui Pokémon di tipo Acqua diverranno disponibili. In particolare, sotto i riflettori appariranno Pokémon di tipo Acqua come Seel, Kingler e Horsea. Se riuscirai a ottenere abbastanza timbri per la tua scoperta straordinaria, ti sarà offerta la possibilità di catturare Articuno: il Pokémon di tipo Ghiaccio e Volante originario della regione di Kanto. E se non sei riuscito ancora a catturare il Pokémon leggendario di tipo Elettro e Volante Zapdos, non dimenticare di darti da fare questa settimana. Ti serve a tutti i costi una scoperta straordinaria! Perciò questo mese parti alla volta di ricerche rinfrescanti.	트레이너 여러분 매일 자신의 페이스로 플레이 가능한 「필드리서치」는 즐기고 있나요? 멋진 리워드를 받을 수 있는 이 필드리서치에 한국 시간 6월 2일(토) 새벽부터 새로운 과제가 등장! \n  \n 이번에는 물타입 포켓몬을 주제로 한 과제를 플레이할 수 있으며 스탬프를 7개 모아 「대발견」이 발생하면 얼음・비행타입의 전설 포켓몬 「프리져」와 만날 수 있습니다! \n  \n 현재 「대발견」으로 만날 수 있는 전설의 포켓몬 「썬더」를 아직 못 잡은 트레이너는 꼭 이번 주 중으로 잡아봅시다! \n  \n Pokémon GO로 플레이할 때는 주변을 주의하면서 즐겨 주세요 		親愛的訓練家們：\n  \n 準備好要迎接更多田野調查課題和新獎勵了嗎？自台灣時間6月2日清晨起，遊戲中將新增許多以水屬性寶可夢為主題的課題。如果能集滿7個圖章，讓博士的研究有突破性進展，同時擁有冰屬性及飛行屬性的傳說的寶可夢「急凍鳥」就會現身！\n  \n 還沒捕捉到「閃電鳥」的訓練家們，請記得在本週內讓博士的研究有突破性的進展並捕捉閃電鳥，千萬別錯過！\n  \n 玩遊戲時，請注意周遭環境並小心安全。 	Prepare-se para mais tarefas de pesquisa de campo e mais recompensas maravilhosas em junho! Novas tarefas de pesquisa de campo protagonizadas por Pokémon de tipo Água estarão disponíveis no dia 1º de junho às 13h (horário do Pacífico). O foco principal dessas tarefas será os Pokémon de tipo Água, como Seel, Kingler e Horsea. Se você conseguir selos o suficiente para a sua descoberta extraordinária, terá a oportunidade de pegar o Pokémon Lendário de tipo Gelo e Voador originário da região de Kanto, Articuno! Além disso, se você ainda não tiver pego o Pokémon Lendário de tipo Elétrico e Voador Zapdos, empenhe-se para fazer uma descoberta extraordinária esta semana antes que Zapdos vá embora! Então, saia por aí conduzindo pesquisas arrepiantes durante o mês que vem.
news_header_juncmtyday	Larvitar Rocks June Community Day!	6月のコミュニティ・デイは、「ヨーギラス」が大量発生！	Embrylex en vedette lors de la Journée Communauté de juin !	¡La tierra tiembla con Larvitar el Día de la Comunidad de junio!	Larvitar bringt den Community Day im Juni zum Beben!	Un Community Day di giugno a muso duro con Larvitar!	6월의 커뮤니티 데이는 「애버라스」가 대량발생!		六月社群日的主角寶可夢是幼基拉斯！	Larvitar vai abalar o Dia Comunitário de junho!
news_subheader_juncmtyday	Larvitar Rocks June Community Day!	6月のコミュニティ・デイは、「ヨーギラス」が大量発生！	Embrylex en vedette lors de la Journée Communauté de juin !	¡La tierra tiembla con Larvitar el Día de la Comunidad de junio!	Larvitar bringt den Community Day im Juni zum Beben!	Un Community Day di giugno a muso duro con Larvitar!	6월의 커뮤니티 데이는 「애버라스」가 대량발생!		六月社群日的主角寶可夢是幼基拉斯！	Larvitar vai abalar o Dia Comunitário de junho!
news_main_text_juncmtyday	Trainers, a powerful Rock-type Pokémon stars in this month’s Community Day! On Saturday, June 16, the Rock- and Ground-type Pokémon Larvitar will appear in the wild more frequently for three hours, and if you evolve a Pupitar to Tyranitar during that three-hour window, it will learn an exclusive move that will be revealed in a few weeks. Put those TMs away, Trainers! This special move will only be available for Tyranitar that are evolved or caught during Community Day. You’ll also receive 3× XP for every Pokémon caught for the duration of the Community Day event. Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Plus, a special Community Day box will be available in the in-game shop. Visit PokemonGoLive.com/events to find out when Community Day starts in your region!	 トレーナーの皆さん \n \n次回の「Pokémon GO コミュニティ・デイ」は、日本時間6月16日(土)お昼の12時から15時の開催を予定しています。今回大量発生するポケモンは、いわ・じめんタイプのポケモン「ヨーギラス」です！さらに、イベント開催中の3時間の間に、サナギラスからバンギラスへ進化させると、そのバンギラスは 特別なわざを覚えるようです。  \n \n※イベント開催時間中に進化したバンギラスのみ、特別なわざを覚えます。 \n \nイベント開催時間中は、ルアーモジュールの効果が3時間継続し、ポケモンを捕まえたときにもらえるXPが3倍になります。また、ショップでは、コミュニティ・デイの冒険に役立つ道具の入ったお得なボックスもご用意いたします。 \n \n詳細は PokemonGOLive.com/events をご覧ください。 \n \n—Pokémon GO 開発チームより	Dresseurs, un puissant Pokémon de type Roche prend la scène pour la Journée Communauté de ce mois. Le samedi 16 juin, pendant trois heures, le Pokémon de type Roche et Sol Embrylex fera des apparitions fréquentes. Si vous faites évoluer un Ymphect en Tyranocif durant ce laps de temps, il apprendra une attaque exclusive qui vous sera révélée dans quelques semaines. Vous pouvez ranger vos CT, Dresseurs. Seuls les Tyranocif ayant évolué ou ayant été attrapés durant la Journée Communauté pourront apprendre cette attaque spéciale. Vous recevrez également trois fois la quantité de PX pour chaque Pokémon attrapé pendant cette Journée Communauté. Et n’oubliez pas vos Modules Leurre, qui resteront actifs pendant trois heures pour vous permettre de profiter au maximum de cet évènement. En outre, une boîte spéciale Journée Communauté sera disponible dans la Boutique du jeu. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur PokemonGoLive.com/fr/events.	¡Un poderoso Pokémon de tipo Roca y Tierra será la estrella del Día de la Comunidad de este mes! El sábado 16 de junio, el Pokémon de tipo Roca y Tierra Larvitar aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Pupitar a un Tyranitar durante ese periodo de tres horas, aprenderá un movimiento exclusivo que será revelado dentro de varias semanas. ¡Guarda esas MT! Este movimiento especial solo estará disponible para los Tyranitar que hayan evolucionado o sido atrapados durante el Día de la Comunidad. Además, recibirás el triple de PX por cada Pokémon que atrapes durante el evento del Día de la Comunidad. Y no te olvides de tus Módulos Cebo, porque permanecerán activos durante tres horas para ayudarte a que aproveches al máximo el evento. Y también habrá disponible un pack especial de Día de la Comunidad en la tienda del juego. ¡Visita PokemonGoLive.com/events para averiguar cuándo empieza el Día de la Comunidad en tu región!	Der Star des Community Day dieses Monats ist ein mächtiges Gesteins-Pokémon, Trainer! Am Samstag, den 16. Juni erscheint das Pokémon Larvitar vom Typ Gestein und Boden drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden ein Pupitar zu Despotar entwickelst, lernt es eine exklusive Attacke, die wir in wenigen Wochen enthüllen. Das geht ganz ohne TMs, Trainer! Diese spezielle Attacke gibt es nur für Despotar, die am Community Day entwickelt oder gefangen werden. Außerdem erhältst du für alle Pokémon, die du während des Community Day Event-Zeitraums fängst, die dreifache Menge EP! Vergiss auch nicht deine Lockmodule, denn sie bleiben drei Stunden lang aktiv, damit du auch wirklich alles aus dem Event rausschlagen kannst. Im In-Game-Shop wird außerdem eine besondere Community Day-Box erhältlich sein. Besuche PokemonGoLive.com/events, um herauszufinden, wann Community Day in deiner Gegend anfängt!	Un Pokémon di tipo Roccia davvero solido è il protagonista del Community Day di questo mese. Sabato 16 giugno tantissimi Larvitar selvatici, dei Pokémon di tipo Roccia e Terra, appariranno più frequentemente per tre ore, inoltre se riuscirai a far evolvere un Pupitar in Tyranitar durante quelle stesse tre ore, questo Pokémon imparerà una mossa particolare che sarà rivelata tra poche settimane. Manda pure in pensione tutte le tue TM attacco caricato! Tale mossa sarà disponibile solo per i Tyranitar che si evolvono o che vengono catturati durante il Community Day. Inoltre riceverai il triplo di PE per ogni Pokémon che catturerai nel corso dell’evento. E non dimenticare che i tuoi moduli esca resteranno attivi per ben tre ore per sfruttare al meglio quest’occasione! Infine, al negozio sarà disponibile una nuova offerta per celebrare l’evento. Visita www.pokemongolive.com/it/events per scoprire a che ora inizia il Community Day nel tuo paese.	트레이너 여러분 \n \n다음 「Pokémon GO 커뮤니티 데이」는 한국 시간 6월 16일(토) 낮 12시부터 15시에 개최 예정입니다. 이번에 대량발생하는 포켓몬은 바위・땅타입의 포켓몬 「애버라스」입니다! 이벤트 개최 중인 3시간 동안에 데기라스에서 마기라스로 진화시키면 그 마기라스는 특별한 기술를 배우고 있습니다. \n \n※이벤트 중에 진화한 마기라스만 특별한 기술을 배웁니다.  \n \n이벤트 중에는 루어모듈 효과가 3시간 계속되며 포켓몬을 잡았을 때 받을 수 있는 XP가 3배로 됩니다. 또 숍에서는 커뮤니티 데이 모험에 도움이 되는 도구가 든 박스가 준비되어 있습니다. \n \n자세한 내용은 PokemonGOLive.com/events 를 확인해 주세요. \n \n—The Pokémon GO 개발팀 		親愛的訓練家們： \n \n六月的Pokémon GO社群日將於台灣時間6月16日11:00-14:00登場。這次的主角寶可夢是同時擁有岩石屬性及地面屬性的幼基拉斯！活動時間內，幼基拉斯將會大量出現，如果能在活動時間內讓幼基拉斯一路進化成班基拉斯，牠就能學會特別的招式，敬請期待！ ※請注意，只有在活動時間內讓沙基拉斯進化成班基拉斯，牠才能學會特別的招式。 \n \n活動期間內，誘餌模組的效果將延長為3小時，捕獲寶可夢時可獲得的XP也將是平常的3倍。此外，商店裡也將限時推出最適合社群日冒險的禮盒，千萬別錯過！ \n \n關於更多活動資訊，請至 PokemonGoLive.com/events 確認。 \n \n—Pokémon GO開發團隊敬上  	Um poderoso Pokémon de tipo Pedra é a estrela do Dia Comunitário deste mês! No sábado, dia 16 de junho, o Pokémon de tipo Pedra e Terrestre Larvitar aparecerá mais frequentemente durante três horas, e, se você evoluir um Pupitar para Tyranitar durante essas três horas, Tyranitar aprenderá um movimento exclusivo que será revelado em algumas semanas. Você pode guardar as suas MTs! Esse movimento especial só estará disponível para Tyranitar que tiverem evoluído ou que tiverem sido pegos durante o Dia Comunitário. Além disso, você receberá o triplo de PE para cada Pokémon que pegar durante o evento do Dia Comunitário. Não se esqueça de usar seus Módulos Atrair, que ficarão ativados durante três horas para ajudá-lo a aproveitar ao máximo o evento. E mais, um combo especial do Dia Comunitário estará disponível na loja do jogo. Visite PokemonGoLive.com/events para descobrir que horas o Dia Comunitário começa na sua região!
news_header_alola	Alolan Forms of Pokémon Originally Discovered in the Kanto Region Are Coming to Pokémon GO!	「アローラのすがた」のポケモンが、Pokémon GO にやってきます！	Les formes d’Alola de Pokémon découverts à Kanto arrivent dans Pokémon GO.	¡Formas de Alola de Pokémon originalmente descubiertos en la región de Kanto llegan a Pokémon GO!	Alola-Formen von Pokémon, die ursprünglich in der Kanto-Region entdeckt wurden, gibt‘s bald in Pokémon GO.	Le Forme di Alola di Pokémon originari della regione di Kanto approdano su Pokémon GO!	「알로라의 모습」의 포켓몬이 Pokémon GO에 옵니다!		阿羅拉的樣子的寶可夢即將加入Pokémon GO！	As Formas de Alola de Pokémon originários da região de Kanto estão chegando ao Pokémon GO!
