Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_aprcmtyday	Get Ready for an Electrifying April Community Day—Starring Mareep!									
news_subheader_aprcmtyday	Get Ready for an Electrifying April Community Day—Starring Mareep!									
news_main_text_aprcmtyday	Trainers, a Pokémon originally discovered in the Johto region will be the star of April’s Pokémon GO Community Day! On Sunday, April 15, Electric-type Pokémon Mareep will appear in the wild more frequently for three hours, and if you evolve a Flaaffy to Ampharos during that three-hour window, it will learn an exclusive move that will be revealed in a few weeks. Put those Charged TMs away, Trainers! This special move will only be available for Ampharos that are evolved or caught during Community Day. You’ll also hatch Eggs four times as fast for the duration of the Pokémon GO Community Day event. When using an Incubator, 10 km Eggs will hatch after walking 2.5 km! Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Visit PokemonGoLive.com/events to find out when Community Day starts in your region!									
news_header_marchavatar	Show Your Team Pride with Gym Leader Avatar Items!	ジムリーダーの着せ替えアイテムが登場！	Affichez votre fierté avec des objets pour avatars de Champions d’Arènes.	¡Muestra tu orgullo por tu equipo con artículos de avatar de Líder de Gimnasio!	Zeig deinen Teamgeist mit Arenaleiter-Artikeln für deinen Avatar!	Tieni alti i colori della tua squadra sfoggiando con orgoglio il completo avatar da Capopalestra!	체육관 리더의 의상 아이템이 등장!		道館館主換裝道具登場！	Exiba com orgulho as cores da sua equipe com os itens para avatar de Líder de Ginásio!
news_subheader_marchavatar	Show Your Team Pride with Gym Leader Avatar Items!	ジムリーダーの着せ替えアイテムが登場！	Affichez votre fierté avec des objets pour avatars de Champions d’Arènes.	¡Muestra tu orgullo por tu equipo con artículos de avatar de Líder de Gimnasio!	Zeig deinen Teamgeist mit Arenaleiter-Artikeln für deinen Avatar!	Tieni alti i colori della tua squadra sfoggiando con orgoglio il completo avatar da Capopalestra!	체육관 리더의 의상 아이템이 등장!		道館館主換裝道具登場！	Exiba com orgulho as cores da sua equipe com os itens para avatar de Líder de Ginásio!
news_main_text_marchavatar	Controlling a Gym is a big responsibility, so we’re offering Trainers who are experts in defending Gyms the opportunity to claim a flashy new style! The Gym Leader outfit shows off the colors of Team Instinct, Team Mystic, or Team Valor, and you unlock it by piece as you reach each tier of the Gym Leader medal. Once you achieve gold, you’ll be able to purchase all of these avatar items from the in-game shop! Represent your team and show off your achievement with this outstanding look. Stay safe, and happy exploring!	新登場！「ジムリーダー」の着せ替えアイテムで、所属チームの誇りを表現してみましょう！ 今回登場する「ジムリーダー」の着せ替えアイテムには、チームインスティンクトの黄色、チームミスティックの青色、チームヴァーラーの赤色と、３つのチームのカラーバリエーションがラインナップされています。この着せ替えアイテムは、「ジムリーダー」メダルのランクによって、購入できるアイテムが増えていきます。 自分が所属するチームカラーの衣装に身を包み、チームの誇りをかけてジムバトルに挑みましょう！	Prendre possession d’une Arène, c’est du boulot ! Nous offrons aux Dresseurs qui sont experts en défense d’Arènes l’occasion d’afficher un nouveau look coloré. Les tenues de Champions d’Arènes sont aux couleurs des équipes Intuition, Sagesse ou Bravoure, et vous déverrouillerez chaque élément en atteignant les différents niveaux de la médaille de Champion d’Arène. Lorsque vous aurez atteint le niveau or, vous pourrez acheter tous ces objets pour avatars dans la Boutique du jeu. Avec ce look exceptionnel, représentez votre équipe tout en partageant vos prouesses. Soyez prudent, et bonne exploration.	Controlar un Gimnasio es una gran responsabilidad, por lo que les estamos ofreciendo a los Entrenadores que son expertos en defender Gimnasios la oportunidad de hacerse con un nuevo y llamativo estilo. El conjunto de Líder de Gimnasio muestra los colores del Equipo Instinto, el Equipo Sabiduría o el Equipo Valor, y se desbloquea prenda por prenda a medida que se alcanza cada insignia de Líder de Gimnasio. Cuando logres la dorada, podrás comprar todos estos artículos de avatar en la tienda del juego. Representa a tu equipo y presume de tu logros con este excepcional look. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Es ist eine große Verantwortung, eine Arena zu kontrollieren, daher bieten wir Trainern, die sich bei der Verteidigung von Arenen einen Namen gemacht haben, die Chance, sich entsprechend zu kleiden! Das Arenaleiter-Outfit erstrahlt in den Farben von Team Intuition, Team Weisheit oder Team Wagemut. Du schaltest mit jedem Rang der Arenaleiter-Medaille das Outfit Stück für Stück frei, bis du die Gold-Medaille erreicht hast und jeden dieser Avatar-Artikel im In-Game-Shop erwerben kannst! Repräsentiere mit diesem umwerfenden Look dein Team und stelle deinen Erfolg zur Schau. Allzeit sichere und schöne Entdeckungsreisen!	Dirigere una Palestra comporta grandi responsabilità, per questo stiamo dando la possibilità a tutti i veterani dediti alla difesa delle Palestre di distinguersi con un look tutto nuovo. I completi da Capopalestra si distinguono per i colori della Squadra Istinto, Squadra Saggezza o Squadra Coraggio. Puoi sbloccare un capo alla volta quando raggiungi ciascuno dei tre livelli del premio. Soltanto una volta ottenuto l’oro, potrai acquistarli tutti nel negozio all’interno del gioco. Tieni alti i colori della tua squadra e sfoggia i tuoi traguardi con un look esclusivo. Ricorda di essere sempre prudente e buon divertimento!	새 등장! 「체육관 리더」의 의상 아이템으로 소속 팀 자부심 나타내보자! 이번에 등장하는 「체육관 리더」의 의상 아이템에는 팀 인스팅트의 노랑, 팀 미스틱의 파랑, 팀 발로의 빨강으로 3개 팀의 색상이 라인업되었습니다. 이 의상 아이템은 「체육관 리더」 메달 랭크에 따라 구입할 수 있는 아이템이 추가됩니다. 자신의 소속 팀 컬러 의상을 입고 팀의 자존심을 걸고 체육관 배틀에 도전해 봅시다! 		負責掌管道館的館主責任重大，所以我們決定推出全新的道館館主換裝道具！ 不論你是黃色的靈犀隊、藍色的叡智隊，還是紅色的武勇隊，只要你手上的道館館主獎牌等級越高，就能購買越多種換裝道具。快換上我方隊伍的代表色，去道館挑戰其他隊伍吧！	É uma grande responsabilidade assumir o controle de Ginásios, por isso estamos oferecendo aos Treinadores especialistas na defesa de Ginásios a oportunidade de obter um look totalmente novo! As peças de Líder de Ginásio podem ter a cor da Equipe Instinto, Sabedoria ou Valor. Você poderá desbloquear as peças ao alcançar os diferentes níveis das insígnias de Líder de Ginásio. Quando chegar ao ouro, poderá adquirir todos os itens para avatar diretamente da loja do jogo! Represente a sua equipe e mostre suas conquistas com este look maravilhoso. Tome cuidado e divirta-se explorando o mundo!
news_header_eggstravaganza	The Pokémon GO Eggstravaganza Returns for More Hatching Excitement! 	ポケモンのタマゴを探せ！	Le Festival des Œufs de Pokémon GO sera l’occasion de nombreuses éclosions.	¡Regresa el emocionante Festival de Primavera de Pokémon GO con más eclosiones!	DasPokémon GO-Ei-Spektakel sorgt erneut für viel Trubel ums Ausbrüten von Eiern!	È di nuovo Uova à gogo in Pokémon GO!	포켓몬의 알을 찾아라! 		「全民找蛋大作戰」重返Pokémon GO！	A Extravagância de Ovos volta ao Pokémon GO para mais chocadas empolgantes! 
news_subheader_eggstravaganza	The Pokémon GO Eggstravaganza Returns for More Hatching Excitement! 	ポケモンのタマゴを探せ！	Le Festival des Œufs de Pokémon GO sera l’occasion de nombreuses éclosions.	¡Regresa el emocionante Festival de Primavera de Pokémon GO con más eclosiones!	DasPokémon GO-Ei-Spektakel sorgt erneut für viel Trubel ums Ausbrüten von Eiern!	È di nuovo Uova à gogo in Pokémon GO!	포켓몬의 알을 찾아라! 		「全民找蛋大作戰」重返Pokémon GO！	A Extravagância de Ovos volta ao Pokémon GO para mais chocadas empolgantes! 
news_main_text_eggstravaganza	The Pokémon GO Eggstravaganza is coming back on March 22 at 1:00 p.m. PDT! This year, an even greater variety of Pokémon will be found in 2 km Eggs, and only those Eggs will be available from PokéStops throughout the event! This means that Pokémon that normally hatch from 5 km or 10 km Eggs, such as Wynaut or Ralts, will be found in 2 km Eggs until the event ends on April 2 at 1:00 p.m. PDT. Plus: enjoy bonus Candy for each hatched Egg, and double Stardust throughout the event! The in-game shop also has special boxes to help you get the most out of hatching your Eggs, which include Super Incubators and Star Pieces. Stay safe, and happy exploring!	今年も3月23日(金)早朝から、「ポケモンのタマゴを探せ！」イベントを開催します。今年は、去年より多くのポケモンたちが、タマゴからかえるかもしれません。 \n \n4月2日(月)までの期間中、ポケストップから手に入るタマゴが、すべて2kmのタマゴになります。ふだん5km、10kmのタマゴからかえる、ソーナノやラルトスといったポケモンたちは、2kmのタマゴからかえるように！ほかにも、ピチュー、トゲピーなどのベビーポケモンたちがいつもより多くタマゴからかえるようです。 \n \nさらに、期間中もらえるほしのすなが通常の2倍になり、タマゴをかえすことでもらえるポケモンのアメも、いつもより多くなります！この機会に、ぜひタマゴをたくさんかえし、ポケモンたちをどんどん進化させましょう！ \n \nさらに、ゲーム内ショップでは、スーパーふかそうちやほしのかけらが入った「スペシャルボックス」も登場！ 日本にもそろそろ春が訪れます。春の陽気に誘われて、冒険に出かけよう！	Le Festival des Œufs de Pokémon GO sera de retour le 22 mars à 13h00 (heure d’été du Pacifique). Cette année, des Pokémon encore plus variés écloront d’Œufs de 2 km ; durant l’évènement, seuls ces Œufs seront disponibles dans les PokéStops. Ceci signifie que les Pokémon qui normalement éclosent d’Œufs de 5 ou 10 km, tels que Tarsal ou Okéoké, écloront d’Œufs de 2 km jusqu’à la fin de l’évènement le 2 avril à 13h00 (heure d’été du Pacifique). De plus, vous recevrez des Bonbons bonus et le double de Poussières Étoiles pour chaque Œuf qui éclora durant l’évènement. Dans la Boutique du jeu vous trouverez des boîtes spéciales contenant des Super-incubateurs et des Morceaux d’Étoiles, qui vous feront profiter au mieux de l’éclosion de vos Œufs. Soyez prudent, et bonne exploration !	¡El Festival de Primavera de Pokémon GO regresa el 22 de marzo a la 1:00 p. m. PDT! ¡Este año, podrás encontrar una variedad aún mayor de Pokémon en Huevos de 2 km que estarán disponibles en las Poképaradas durante el evento! Esto significa que los Pokémon que normalmente eclosionan de Huevos de 5 o 10 km, como Wynaut o Ralts, se podrán encontrar en Huevos de 2 km hasta que el evento finalice el 2 de abril a la 1:00 p. m. PDT. También recibirás Caramelos adicionales por cada Huevo que hagas eclosionar y el doble de Polvos Estelares a lo largo del evento. En la tienda dentro del juego también encontrarás packs especiales que te ayudarán a sacarle el máximo provecho a la eclosión de Huevos. Estos packs incluyen superincubadoras y Trozos Estrella. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	DasPokémon GO-Ei-Spektakel kehrt am 22. März um 13:00 Uhr (PDT) zurück! Dieses Jahr wirst du eine noch größere Pokémon-Vielfalt in 2-km-Eiern finden und für die Dauer des Events erhältst du bei PokéStops nur solche Eier! Das bedeutet, dass du Pokémon, die normalerweise aus 5-km- oder 10-km-Eiern schlüpfen, z. B. Isso oder Trasla, bis zum Ende des Events am 2. April um 13:00 (PDT) in 2-km-Eiern finden kannst. Außerdem erhältst du während des ganzen Events Bonus-Bonbons für jedes geschlüpfte Ei und doppelt so viel Sternenstaub! Im In-Game-Shop werden Spezialboxen erhältlich sein, um dir beim Ausbrüten zu helfen, darunter Super-Brutmaschinen und Sternenstücke. Allzeit sichere und schöne Entdeckungsreisen!	L’iniziativa incentrata sulle Uova di Pokémon GO ritorna a partire dal 22 marzo alle 20:00 (UTC)! Quest’anno nelle Uova da 2 km sarà possibile trovare una varietà ancora maggiore di Pokémon e per l’intera durata dell’evento presso i Pokéstop sarà possibile ottenere solo queste Uova speciali! Questo vuol dire che Pokémon che normalmente nascono dalle Uova da 5 o 10 km, come Wynaut e Ralts, nasceranno invece dalle Uova da 2 km fino al termine dell’evento previsto per il 2 aprile alle 20:00 (UTC). Come se non bastasse, per ogni Uovo che farai schiudere durante l’evento riceverai più caramelle e il doppio della polvere di stelle. Infine, il negozio all’interno del gioco metterà a disposizione delle offerte per Superincubatrici e Pezzi Stella per trarre il massimo dalla schiusa delle tue Uova. Ricorda di essere sempre prudente e buon divertimento!	올해도 3월 23일(금) 새벽부터 「포켓몬의 알을 찾아라!」 이벤트를 개최합니다. 올해는 작년보다 많은 포켓몬이 알에서 부화할지 모릅니다. 4월 2일(월)까지 이벤트 동안 포켓스톱에서 손에 넣을 수 있는 알은 2km 알만입니다. 평소 5km, 10km 알에서 부화하는 마자와 랄토스 등의 포켓몬이 2km 알에서 부화합니다! 그 외에도 피츄, 토게피 등의 베이비 포켓몬이 평소보다 많이 알에서 부화합니다. 이 기간에는 얻을 수 있는 별의모래도 평소의 2배가 되며 알에서 부화하면 받을 수 있는 포켓몬의 사탕도 평소보다 많아집니다! 이 기회에 포켓몬을 많이 진화시켜봅시다! 게임 내 숍에서는 슈퍼부화장치나 별의조각이 들어 있는 「스페셜박스」도 등장! \n \n이제 곧 완연한 봄입니다. 꽃피는 봄을 만끽하며 모험에 떠납시다		自3月23日清晨起，遊戲內將舉辦「全民找蛋大作戰」活動。今年或許有更多機會可以孵出特定的寶可夢也說不定喔！ \n \n自3月23日起至4月2日止，寶可補給站只會出現2公里的蛋，而這些蛋能孵出的寶可夢種類將會比平常更多！小果然、拉魯拉絲等平常只能從5公里蛋或10公里蛋裡孵出的寶可夢將會出現在2公里蛋裡，而且蛋孵出皮丘、波克比的機率也會比平常高。 \n \n除此之外，活動期間內星星沙子將會是平常的兩倍，蛋孵化時可獲得的糖果數量也會比平常多，所以快趁這個機會讓同行的寶可夢進化吧！ \n \n為了幫各位訓練家更有效率地孵蛋，商店裡將同時推出內含超級孵化器及星星碎片等道具的特別禮盒。 \n \n一起出門冒險吧！	O evento Extravagância de Ovos do Pokémon GO está voltando no dia 22 de março às 13h (horário do Pacífico)! Este ano, uma maior variedade de Pokémon poderá ser encontrada em Ovos de 2 km e somente estes Ovos estarão disponíveis nas Poképaradas durante o evento! Isto significa que os Pokémon que geralmente chocam de Ovos de 5 ou 10 km, como Wynaut ou Ralts, serão encontrados em Ovos de 2 km até o final do evento no dia 2 de abril às 13h (horário do Pacífico). E mais, receba mais doces para cada Ovo chocado e também o dobro de Poeira Estelar durante o evento! Há combos especiais na loja do jogo que ajudarão você a aproveitar ao máximo este evento com Superincubadoras e Pedaços de Estrela. Tome cuidado e divirta-se explorando o mundo!
news_header_lugiareturns	Legendary Pokémon Lugia Soars Back to Raid Battles in Pokémon GO   	伝説のポケモン「ルギア」がレイドバトルに帰って来ます！	Le Pokémon légendaire Lugia survole à nouveau les Combats de Raids de Pokémon GO. 	¡El Pokémon legendario Lugia llega de nuevo a incursiones de Pokémon GO!	Das Legendäre Pokémon Lugia erhebt sich erneut für Raid-Kämpfe in Pokémon GO!	Il Pokémon leggendario Lugia ritorna nei raid di Pokémon GO!	전설의 포켓몬 「루기아」가 레이드배틀에 돌아옵니다!		傳說的寶可夢洛奇亞重返Pokémon GO！	O Pokémon Lendário Lugia está voando de volta para as Batalhas de Reide do Pokémon GO!
