Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_bundlereminder	Special Boxes Featuring Premium Raid Passes, Lucky Eggs, and Max Revives Disappear Soon!	「スペシャルボックス」は3月11日（日）まで。お見逃しなく！								
news_subheader_bundlereminder	Special Boxes Featuring Premium Raid Passes, Lucky Eggs, and Max Revives Disappear Soon!	「スペシャルボックス」は3月11日（日）まで。お見逃しなく！								
news_main_text_bundlereminder	Seeking items that will aid you on your upcoming adventures in Pokémon GO? Prepare for battle with special boxes containing Premium Raid Passes. These boxes also include Lucky Eggs, Max Potions, and Max Revives, which are especially useful when fighting powerful Pokémon. They are only in the shop until March 11, so grab them before they’re gone! Stay safe, and happy exploring!	トレーナーの皆さん、   \nレイドバトルの準備はいかがでしょうか？手強いボスポケモンとの戦いに役立つ道具が入った「スペシャルボックス」の販売は、3月11日（日）まで。   \nスペシャルボックスには以下の道具が入っています。   \n・プレミアムレイドパス  \n・しあわせタマゴ  \n・まんたんのくすり  \n・げんきのかたまり   \n是非この機会にご利用下さい。   \nPokémon GO で遊ぶ時は、周囲に注意しながらお楽しみください。  								
news_header_minieggevent	Windy Weather Blows In a Special Egg Event 	強風の日に出会うことが多いポケモンがタマゴからいつもより多く登場！	Le vent amène un évènement spécial Œuf 	¡El viento sopla en un evento especial de Huevos Pokémon!	Windiges Wetter bringt ein besonderes Event mit sich!	Il vento soffia... le Uova si schiudono!	강한 바람의 날에 만나기 쉬운 포켓몬이 알에서 쉽게 등장!		孵出更多能在起風的日子遇的寶可夢	O vento sopra... os ovos chocam!
news_subheader_minieggevent	Windy Weather Blows In a Special Egg Event	強風の日に出会うことが多いポケモンがタマゴからいつもより多く登場！	Le vent amène un évènement spécial Œuf	¡El viento sopla en un evento especial de Huevos Pokémon!	Windiges Wetter bringt ein besonderes Event mit sich!	Il vento soffia... le Uova si schiudono!	강한 바람의 날에 만나기 쉬운 포켓몬이 알에서 쉽게 등장!		孵出更多能在起風的日子遇的寶可夢	O vento sopra... os ovos chocam!
news_main_text_minieggevent	The dust has settled on our legendary week of Raid Battles, and the ancient Legendary Pokémon Rayquaza has proven victorious! So from March 5 to March 16, Pokémon that prefer windy weather will hatch more often from Eggs. Raid Battles at Gyms near you will also favor appearances by Pokémon affected by windy weather. Plus, enjoy double XP until March 16! In need of Premium Raid Passes? Special boxes that contain them will be available in the shop until March 11. Stay safe, and happy exploring!	伝説のポケモン、グラードン・カイオーガ・レックウザの３匹が戦いを繰り広げたレイドバトル週間が終わりました。グラードン・カイオーガは姿を消し、再び眠りについたようです。 期間中、トレーナーの皆さんの活躍により、レックウザに勝利した数が、グラードンとカイオーガに勝利した数を上回りました。この成果により、3月6日（火）から3月16日（金）までの間に手に入れたタマゴからは、強風の日に出会いやすくなるドラゴン・ひこう・エスパータイプのポケモンが、いつもより多くかえります。 また、同期間中はレイドバトルにもドラゴン・ひこう・エスパータイプのポケモンが多く登場するほか、獲得できるXPがなんといつもの2倍になります！この機会に多くのポケモンを捕まえたり、タマゴをかえしたり、バトルをしたりして、トレーナーレベルを上げましょう！特にレイドバトルは勝利すると、一度にたくさんのXPを獲得できるのでオススメですよ。 また、3月11日（日）まで、ゲーム内ショップにてプレミアムレイドパスが入った「スペシャルボックス」を販売中です！期間中にレイドバトルをたくさん楽しみたい方は、是非この機会にご活用ください。 	La poussière est retombée sur une semaine légendaire de Combats de Raids, et le vénérable Pokémon légendaire Rayquaza en est sorti victorieux ! Du 5 au 16 mars, nous assisterons à une augmentation du nombre d’éclosions de Pokémon amateurs de vent. Les Pokémon qui aiment le vent apparaîtront également plus souvent dans les Combats de Raids des Arènes. Jusqu’au 16 mars, vous obtiendrez en outre le double de PX ! Vous avez besoin de passes de Raid Premium ? Ceux-ci seront disponibles dans des boîtes spéciales de la Boutique jusqu’au 11 mars. Soyez prudent, et bonne exploration.	Nuestra semana legendaria de incursiones ha terminado, ¡y el Pokémon legendario de la antigüedad Rayquaza ha salido victorioso! Así que, del 5 al 16 de marzo, los Pokémon que prefieren un tiempo con viento eclosionarán de Huevos Pokémon con más frecuencia. En las incursiones en Gimnasios de tu zona, también aparecerán más Pokémon a los que les favorezca el tiempo con viento. Además, ¡disfruta del doble de PX hasta el 16 de marzo! ¿Necesitas pases de incursión premium? Los packs especiales que contienen estos pases estarán disponibles en la tienda hasta el 11 de marzo. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Über die legendäre Woche voller Raid-Kämpfe ist schon Gras gewachsen und das vorzeitliche Legendäre Pokémon Rayquaza ist als Sieger hervorgegangen! Daher werden vom 5. bis 16. März Pokémon, die windiges Wetter bevorzugen, viel häufiger aus Eiern schlüpfen. Raid-Kämpfe in Arenen in deiner Nähe werden auch das Erscheinen von Pokémon begünstigen, die von windigem Wetter beeinflusst werden. Freue dich über doppelt so viele EP bis zum 16. März! Brauchst du Premium-Raid-Pässe? Spezialboxen, die mit diesen gefüllt sind, werden im Shop bis zum 11. März erhältlich sein. Sei wie immer vorsichtig – viel Spaß beim Erforschen!	La nostra leggendaria settimana di raid si è conclusa e il Pokémon leggendario Rayquaza ne è uscito vittorioso! Perciò dal 5 al 16 marzo i Pokémon che prediligono condizioni atmosferiche ventose avranno più possibilità di saltare fuori dalle Uova. Anche i raid presso le Palestre nella tua zona favoriranno l’apparizione di Pokémon influenzati dal vento. Infine, goditi il doppio dei PE fino al 16 marzo! Hai bisogno di biglietti raid premium? Fino all’11 marzo saranno disponibili nel negozio all’interno del gioco. Ricorda di essere sempre prudente e buon divertimento!	전설의 포켓몬 그란돈, 가이오가, 레쿠쟈의 3마리의 레이드배틀 주간이 종료되었습니다. 그란돈, 가이오가는 모습을 감추고 다시 잠든 것 같습니다. 기간 중 트레이너 여러분의 활약에 따라 레쿠쟈에 이긴 수가 그란돈, 가이오가를 이긴 수보다 많았습니다. 이 성과에 따라 3월 6일(화)부터 3월 16일(금)까지 손에 넣은 알에서는 강풍의 날에 만나기 쉬운 드래곤, 비행, 에스퍼타입의 포켓몬이 평소보다 많이 부화합니다. 또, 같은 기간에는 레이드배틀에도 드래곤, 비행, 에스퍼타입의 포켓몬이 많이 등장하며 얻을 수 있는 XP도 평소의 2배가 됩니다! 이번 기회에 많은 포켓몬을 잡거나 알을 부화시키거나 배틀하면서 트레이너 레벨을 올려봅시다! 특히 레이드배틀에 승리하면 한 번에 많은 XP를 얻을 수 있어 추천합니다. 3월 11일(일)까지 게임 내 숍에서는 프리미엄 레이드패스가 있는 「스페셜박스」를 판매합니다. 기간 중 레이드배틀을 많이 즐기고 싶은 분은 이번 기회에 활용해 주세요. 		在纏鬥一整週後，傳說的寶可夢固拉多和蓋歐卡退出戰場，再度沉眠。這段期間裡，各位訓練家擊敗的烈空坐數量比固拉多和蓋歐卡加起來還多！因此自3月6日起至3月16日止，除了XP加倍之外，孵出屬性為龍、飛行及超能力的寶可夢的機率將會比較高，而且團體戰中這些屬性的頭目寶可夢也會增加。此外，3月11日前，商店中將限時推出內含特級團體戰入場券的禮盒，想趁這個機會多挑戰團體戰的訓練家請記得在禮盒下架前選購。玩遊戲時請隨時注意周遭環境，小心安全。	A nossa semana lendária de Batalhas de Reide acabou e o antigo Pokémon Lendário Rayquaza saiu vitorioso! Portanto, de 5 a 16 de março, Pokémon que preferem climas com vento chocarão de Ovos com maior frequência. As Batalhas de Reide nos Ginásios perto de você também contarão com mais aparições de Pokémon afetados por climas com vento. Além disso, aproveite o dobro de PE até o dia 16 de março! Precisa de Passes de Reide Premium? Combos especiais com eles estarão disponíveis na loja até o dia 11 de março. Tome cuidado e divirta-se explorando o mundo!
news_header_marcmtyday	Gear Up for March’s Community Day, Starring Bulbasaur!	次回のPokémon GO コミュニティ・デイは3月25日(日)、フシギダネが大量発生！	Préparez-vous pour la Journée Communauté de mars avec Bulbizarre.	¡Prepárate para el Día de la Comunidad de marzo, con Bulbasaur como estrella!	Rüste dich für den Community Day im März, diesmal mit Bisasam! 	Preparati per il Community Day di marzo: il protagonista sarà Bulbasaur!	다음 Pokémon GO 커뮤니티 데이는 3월 25일(일), 이상해씨가 대량발생!		下次Pokémon GO社群日是3月25日星期日！主角寶可夢是妙蛙種子！	Está na hora de se equipar com Bulbasaur para o Dia Comunitário de março!
news_subheader_marcmtyday	Gear Up for March’s Community Day, Starring Bulbasaur!	次回のPokémon GO コミュニティ・デイは3月25日(日)、フシギダネが大量発生！	Préparez-vous pour la Journée Communauté de mars avec Bulbizarre.	¡Prepárate para el Día de la Comunidad de marzo, con Bulbasaur como estrella!	Rüste dich für den Community Day im März, diesmal mit Bisasam!	Preparati per il Community Day di marzo: il protagonista sarà Bulbasaur!	다음 Pokémon GO 커뮤니티 데이는 3월 25일(일), 이상해씨가 대량발생!		下次Pokémon GO社群日是3月25日星期日！主角寶可夢是妙蛙種子！	Está na hora de se equipar com Bulbasaur para o Dia Comunitário de março!
news_main_text_marcmtyday	Trainers, we have another opportunity to catch a classic Pokémon for March’s Pokémon GO Community Day! On March 25, Bulbasaur will appear in the wild more frequently for three hours, and if you evolve an Ivysaur to Venusaur during that three-hour window, it will learn an exclusive move that will be revealed later this month. Put those Charged TMs away, Trainers! This special move will only be available for Venusaur that are evolved or caught during Community Day. Plus, all Pokémon caught during event hours will also award triple XP! Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Visit PokemonGoLive.com/events to find out when Community Day starts in your region!	トレーナーの皆さん、 次回の 「Pokémon GO コミュニティ・デイ」は3月25日(日)、日本時間午後0時から午後3時の開催を予定しています。今回大量発生するポケモンは、フシギダネ！。イベント開催中の3時間の間に、フシギソウからフシギバナへ進化させると、そのフシギバナは特別なわざを覚えるようです。どんなわざを覚えるのかは、お楽しみに！ ※イベント開催時間中に進化したフシギバナのみ、特別なわざを覚えます。イベント開催時間中に出現する野生のフシギバナも、このわざを覚えています。 さらに、イベント開催時間中はルアーモジュールの効果が3時間継続し、どんなポケモンを捕まえても、XPが3倍得られます！トレーナーレベルを上げるチャンスでもあります！ 詳細は PokemonGoLive.com/events をご覧ください。 	Dresseurs, vous aurez l’occasion d’attraper un des premiers Pokémon durant la Journée Communauté de Pokémon GO. Le 25 mars, pendant trois heures, Bulbizarre fera des apparitions fréquentes. Si vous faites évoluer Herbizarre en Florizarre durant ce laps de temps, ce dernier apprendra une attaque exclusive qui vous sera révélée durant le mois. Vous pouvez ranger vos CT Attaques Chargées, Dresseurs. Seuls les Florizarre ayant évolué ou ayant été attrapés durant la Journée Communauté pourront apprendre cette attaque spéciale. En outre, les Pokémon attrapés durant cet évènement vous rapporteront trois fois la quantité de PX. Et n’oubliez pas vos Modules Leurre qui resteront actifs pendant trois heures pour vous permettre de profiter au maximum de cet évènement. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur PokemonGoLive.com/fr/events.	¡Tendrás otra oportunidad de capturar un Pokémon clásico durante el Día de la Comunidad de Pokémon GO de marzo! El 25 de marzo, Bulbasaur aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Ivysaur a un Venusaur durante ese periodo de tres horas, aprenderá un movimiento exclusivo que será revelado más adelante este mes. ¡Guarda esas MT de ataque cargado! Este movimiento especial solo estará disponible para los Venusaur que hayan evolucionado o sido atrapados durante el Día de la Comunidad. Además, todos los Pokémon capturados durante las horas de este evento también te concederán tres veces la cantidad usual de PX. Y no te olvides de tus Módulos Cebo, porque permanecerán activos durante tres horas para ayudarte a que aproveches al máximo el evento. ¡Visita PokemonGoLive.com/events para averiguar cuándo empieza el Día de la Comunidad en tu región!	Im März gibt es am Pokémon GO Community Day wieder die Gelegenheit, ein klassisches Pokémon zu fangen, Trainer! Am 25. März erscheinen wilde Bisasam drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden ein Bisaknosp zu Bisaflor entwickelst, kann es eine exklusive Attacke lernen, die wir etwas später enthüllen werden. Das geht ganz ohne Lade-TMs, Trainer! Diese spezielle Attacke gibt es nur für Bisaflor, die am Community Day entwickelt oder gefangen werden. Außerdem erhältst du für alle Pokémon, die du während des Event-Zeitraums fängst, die dreifache Menge EP! Vergiss auch nicht deine Lockmodule, denn sie bleiben drei Stunden lang aktiv, damit du auch wirklich alles aus dem Event rausschlagen kannst. Besuche PokemonGoLive.com/events, um herauszufinden, wann Community Day in deiner Gegend anfängt!	È in arrivo un’altra incredibile opportunità di catturare un Pokémon storico per il Community Day di marzo su Pokémon GO! Il 25 marzo tantissimi Bulbasaur selvatici appariranno più frequentemente per tre ore, inoltre se riuscirai a far evolvere un Ivysaur in Venusaur durante quelle stesse tre ore, questo imparerà una mossa esclusiva che sarà rivelata nel corso di questo mese. Manda pure in pensione tutte le tue TM attacco caricato! Questa mossa speciale sarà disponibile solo per i Venusaur che si sono evoluti o che sono stati catturati durante il Community Day. Tra l’altro, tutti i Pokémon catturati nel corso dell’evento ti faranno guadagnare il triplo dei PE! E non dimenticare che i tuoi moduli esca resteranno attivi per ben tre ore per sfruttare al meglio quest’occasione! Visita PokemonGOLive.com per scoprire a che ora inizia il Community Day nel tuo paese.	트레이너 여러분, 다음 「Pokémon GO 커뮤니티 데이」는 3월 25일(일), 한국 시간 12시부터 15시까지 개최를 예정하고 있습니다. 이번에 대량발생하는 포켓몬은 이상해씨! 이벤트 개최 3시간 동안에 이상해풀에서 이상해꽃으로 진화시키면 그 이상해꽃은 특별한 기술을 배우고 있습니다. 어떤 기술을 배울지 기대해 주세요! ※이벤트 개최 시간 중 진화한 이상해꽃만 특별한 기술을 배웁니다. 이벤트 개최 시간 중 출현하는 야생의 이상해꽃도 이 기술을 배우고 있습니다. 이벤트 개최 시간 중 루어모듈의 효과가 3시간 계속되며 어떤 포켓몬을 잡아도 XP가 3배 얻을 수 있습니다. 트레이너 레벨을 올릴 기회입니다!  자세한 내용은 Visit PokemonGoLive.com/events 를 확인해 주세요. 		親愛的訓練家們，下次Pokémon GO社群日將於台灣時間3月25日11:00~14:00舉行，這次的主角寶可夢是……妙蛙種子！如果你能在活動時間內捉到野生的妙蛙花，或是能在活動時間內讓妙蛙草進化為妙蛙花，牠就能學會一招連用了招式學習器都學不到的招式。招式名稱將於日後揭曉，敬請期待！ 除此之外，活動時間內誘餌模組的效果將延長為3小時，而且捕捉到任何寶可夢時皆可獲得3倍XP！這可是個提升訓練家等級的好機會，千萬別錯過！更多關於社群日的最新消息，請上 PokemonGoLive.com/events 確認。	Vocês terão mais uma chance de pegar um Pokémon clássico no Dia Comunitário do Pokémon Go do mês de março! No dia 25 de março, Bulbasaur selvagens aparecerão com mais frequência durante três horas, e, se você evoluir Ivysaur para Venusaur durante essas três horas, Venusaur aprenderá um movimento exclusivo que será revelado mais adiante neste mês. Treinadores, vocês podem guardar suas MTs ataque carregado! Este movimento especial só estará disponível para Venusaur que tiverem evoluído ou que tiverem sido pegos durante o Dia Comunitário. Além disso, todos os Pokémon pegos durante os horários do evento fornecerão o triplo de PE! Não se esqueçam dos seus Módulos Atrair, que ficarão ativados durante três horas para ajudá-los a aproveitar ao máximo o evento. Visitem PokemonGoLive.com/events para descobrir que horas o Dia Comunitário começa na sua região!
news_header_pokemonday	Grab a Throwback Look:  Pokémon FireRed and Pokémon LeafGreen Trainer Outfits Now Available on Pokémon Day!	ポケモン誕生の日！懐かしいあの主人公たちの着せ替えアイテムが登場！	Retrouvez un look classique : des tenues de Dresseur Rouge Feu et Vert Feuille sont disponibles lors de la Journée Pokémon.	        ¡Vístete con un estilo clásico! ¡Conjuntos de Entrenador de Pokémon Edición Rojo Fuego y Pokémon Edición Verde Hoja ahora disponibles para el Día de Pokémon!    	Hol dir einen klassischen Look: Trainer-Outfits im Stil von Pokémon Feuerrote und Blattgrüne Edition sind jetzt am Pokémon Day erhältlich!	Dai al tuo avatar un look classico ispirato a Rosso Fuoco e a Verde Foglia, disponibile adesso per il Pokémon Day!	포켓몬 탄생의 날! 옛날 주인공 의상 아이템이 등장!		寶可夢生日快樂！一起換上那套讓人懷念的服飾吧！	Adote um visual clássico com uniformes do Pokémon FireRed e do Pokémon LeafGreen, disponíveis para o Dia de Pokémon!
