Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_cdeevee_move	Get an Eevee That Knows Last Resort on August Community Day!	「Pokémon GO コミュニティ・デイ」で、「とっておき」を覚えたイーブイを捕まえよう！	Obtenez un Évoli qui connait Dernier Recours durant la Journée Communauté en août.	¡Hazte con un Eevee que conoce Última Baza en el Día de la Comunidad de agosto!	Schnapp dir am Community Day im August ein Evoli, das Zuflucht beherrscht!	Ottieni un Eevee con Ultimascelta per il Community Day di agosto!	「Pokémon GO 커뮤니티 데이」에서 「뒀다쓰기」를 배운 이브이를 잡자!		八月社群日的主角寶可夢是學會「珍藏」的伊布！	Obtenha um Eevee no Dia Comunitário de agosto que saiba usar Último Recurso!
news_subheader_cdeevee_move	Get an Eevee That Knows Last Resort on August Community Day!	「Pokémon GO コミュニティ・デイ」で、「とっておき」を覚えたイーブイを捕まえよう！	Obtenez un Évoli qui connait Dernier Recours durant la Journée Communauté en août. 	¡Hazte con un Eevee que conoce Última Baza en el Día de la Comunidad de agosto!	Schnapp dir am Community Day im August ein Evoli, das Zuflucht beherrscht!	Ottieni un Eevee con Ultimascelta per il Community Day di agosto!	「Pokémon GO 커뮤니티 데이」에서 「뒀다쓰기」를 배운 이브이를 잡자!		八月社群日的主角寶可夢是學會「珍藏」的伊布！	Obtenha um Eevee no Dia Comunitário de agosto que saiba usar Último Recurso!
news_main_text_cdeevee_move	Trainers, get ready for a unique back-to-back Community Day in August, featuring the Normal-type Pokémon Eevee! Because Eevee can evolve into many different Pokémon, this extended Community Day adventure will give you the opportunity to explore the wonders of Evolution. On both Saturday, August 11, and Sunday, August 12, the Evolution Pokémon will appear in the wild more frequently for three hours each day, and all Eevee caught during those three-hour windows will know the Normal-type attack Last Resort. Put those TMs away, Trainers! This special attack will only be available for Eevee that are caught or hatched during the Community Day event. Plus, you’ll earn 3× Stardust when catching all Pokémon, and Lure Modules will remain active for three hours during the event each day. A special Community Day box will also be available in the in-game shop throughout the entire weekend. Visit <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> to find out when Community Day starts in your region!  	夏休み真っ盛りの8月の「Pokémon GO コミュニティ・デイ」は、8月11日（土）と12日（日）のなんと2日間開催されます！今回大量発生するポケモンは、「イーブイ」！ ”しんかポケモン”のイーブイは、さまざな進化の可能性を秘めている特殊なポケモン。複数の進化の姿を持つことから、皆さんがよりたくさんのイーブイと出会い共に冒険をお楽しみいただけるよう、今回は特別に2日間の開催となります！ また、コミュニティ・デイ開催中につかまえたすべてのイーブイは、「とっておき」を覚えているようです。 \n \n開催時間は両日ともに夜18時から21時まで。この期間中は、ルアーモジュールの効果が3時間持続するほか、ポケモンを捕まえたときに手に入るほしのすなの量も3倍になります！さらに、「Pokémon GO コミュニティ・デイ」限定のおとくなボックスもゲーム内ショップに登場しますのでお見逃し無く！詳細は、<a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a>でご確認ください。 \n \n※当日の天候​条件や諸​事情により​、​イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。 \n※夏季は、こまめな水分補給を行い、気温の変化や熱中症などには十分お気をつけてお楽しみください。	Dresseurs, préparez-vous pour une double Journée Communauté en août, avec en vedette Évoli, le Pokémon de type Normal. Évoli pouvant évoluer en différents Pokémon, cette Journée Communauté étendue vous permettra d’explorer les miracles de l’Évolution. Samedi 11 et dimanche 12 août, pendant trois heures chaque jour, le Pokémon Évolutif fera des apparitions plus fréquentes. De plus, tous les Évoli capturés durant ce laps de temps connaîtront l'attaque de type Normal Dernier Recours. Vous pouvez ranger vos CT Attaques, Dresseurs. Seuls les Évoli ayant évolué ou éclos durant la Journée Communauté pourront apprendre cette attaque spéciale. Vous gagnerez également 3 fois plus de Poussières Étoiles pour chaque Pokémon attrapé, et les Modules Leurre resteront actifs pendant les trois heures de l’évènement lors de ces deux journées. Une boîte spéciale Journée Communauté sera disponible pendant tout le week-end dans la Boutique du jeu. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur <a href="https://pokemongolive.com/fr/events/community-day/"> PokemonGoLive.com/fr/events</a>.	¡Prepárate para un evento único, un Día de la Comunidad en agosto de dos días de duración, con el Pokémon de tipo Normal Eevee como protagonista! Como Eevee puede evolucionar a muchos Pokémon diferentes, estos dos días de aventura te darán la oportunidad de explorar las maravillas de la evolución. Tanto el sábado 11 de agosto como el domingo 12 de agosto, el Pokémon Evolución aparecerá en estado salvaje con más frecuencia durante tres horas cada día, y todos los Eevee atrapados durante esos periodos de tres horas conocerán el ataque de tipo Normal Última Baza. ¡Guarda esas MT! Este ataque especial solo estará disponible para los Eevee que hayan salido de un Huevo o hayan sido atrapados durante el evento del Día de la Comunidad. Además, recibirás el triple de Polvos Estelares por cada Pokémon que atrapes, y los Módulos Cebo permanecerán activos durante las tres horas de cada día del evento. Y también habrá disponible un pack especial de Día de la Comunidad en la tienda del juego durante todo el fin de semana. ¡Visita <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> para averiguar cuándo empieza cada Día de la Comunidad en tu región!	Mach dich startklar für einen einzigartigen zweitägigen Community Day im August mit dem Normal-Pokémon Evoli, Trainer! Da sich Evoli zu vielen verschiedenen Pokémon entwickeln kann, gibt dir dieses erweiterte Community Day-Abenteuer die Gelegenheit, die Wunder der Entwicklung zu erforschen. Sowohl am Samstag, den 11. August als auch am Sonntag, den 12. August erscheint das Evolution-Pokémon jeden Tag drei Stunden lang häufiger und alle innerhalb dieser drei Stunden gefangenen Evoli kennen die Normal-Attacke Zuflucht. Das geht ganz ohne TMs, Trainer! Diese spezielle Attacke gibt es nur für Evoli, die während des Community Day-Events gefangen oder ausgebrütet werden. Außerdem erhältst du für den Fang aller Pokémon die dreifache Menge Sternenstaub und alle Lockmodule bleiben an beiden Tagen des Events drei Stunden lang aktiv. Im In-Game-Shop wird außerdem das gesamte Wochenende lang eine besondere Community Day-Box erhältlich sein. Besuche <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a>, um herauszufinden, wann Community Day in deiner Gegend anfängt!	Psst... Allenatore! Preparati a un Community Day d’eccezione che durerà ben due giorni e avrà come protagonista il Pokémon di tipo Normale Eevee! Dato che Eevee si può evolvere in diversi Pokémon, questo Community Day prolungato ti darà la possibilità di esplorare le meraviglie dell’evoluzione. Sia sabato 11 che domenica 12 agosto, infatti, il Pokémon Evoluzione apparirà come Pokémon selvatico più frequentemente del solito per tre ore in entrambi i giorni. In più, tutti gli Eevee catturati durante questo evento conosceranno la mossa di tipo Normale Ultimascelta. Manda pure in pensione le tue TM attacco caricato! Tale mossa sarà disponibile solo per gli Eevee che si evolvono o che vengono catturati durante questo Community Day. Inoltre, nel corso dei due giorni dell’evento, otterrai il triplo della polvere di stelle per la cattura di tutti i Pokémon e i moduli esca resteranno attivi per tre ore. Infine, nel negozio all’interno della app sarà disponibile una nuova offerta per celebrare l’evento. Visita <a href="https://pokemongolive.com/events/community-day/">www.pokemongolive.com/it/events</a> per scoprire a che ora inizia il Community Day nel tuo paese.	한창 여름휴가인 8월의 「Pokémon GO 커뮤니티 데이」는 8월 11일(토)와 12일(일)로 2일간 개최됩니다! 이번 대량발생하는 포켓몬은 「이브이」! 진화포켓몬인 이브이는 다양한 진화 가능성을 간직하고 있는 특수한 포켓몬. 복수의 진화의 모습을 가지는 것부터 여러분이 더 많은 이브이와 만나고 함께 모험을 즐길 수 있도록 이번에는 특별히 2일간 개최합니다! 또한, 커뮤니티 데이 개최 중에 잡은 모든 이브이는 「뒀다쓰기」를 배우고 있습니다. \n \n개최 시간은 양일 똑같이 낮 12시부터 15시까지입니다. 이 기간에는 루어모듈 효과가 3시간 계속되며 포켓몬을 잡았을 때 얻을 수 있는 별의모래도 3배가 됩니다! 게다가 「Pokémon GO 커뮤니티 데이」한정 스페셜 박스도 게임 내 숍에서 등장하니 놓치지 마세요! 자세한 내용은 <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> 에서 확인해주세요. \n \n※ 당일 날씨에 따라 이벤트 시간, 장소, 내용이 변경될 수 있습니다. 양해 부탁드립니다. \n※ 여름철에는 수분을 자주 섭취하여 기온의 변화와 온열질환에 충분히 주의하고 즐겨주세요.  		準備好要迎接八月的社群日了嗎？八月的社群日將在8月11日及12日登場，主角寶可夢是伊布！為了讓各位訓練家發掘更多進化的可能性，伊布將在這兩天的11:00-14:00（台灣時間）大量出現，而且活動時間內捉到的所有伊布都會「珍藏」這一招喔！ 活動期間內，誘餌模組的效果將會持續3小時，而且捕捉到寶可夢時可獲得的星星沙子也會增加為平常的3倍。此外，商店裡也將限時推出最適合社群日冒險的禮盒喔！更多活動訊息，請上<a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a>確認。  \n \n※社群日可能因活動當天天氣狀況或其他理由變更活動時間及地點，敬請見諒。 \n※天氣炎熱，請記得補充水份，小心不要中暑。 \n \n—Pokémon GO開發團隊敬上 	Prepare-se para um Dia Comunitário duplo em agosto com o Pokémon de tipo Normal Eevee! Já que Eevee consegue evoluir para muitos Pokémon diferentes, estes dois dias de aventura oferecerão a oportunidade de explorar as maravilhas da Evolução. Tanto no sábado, dia 11 de agosto, quanto no domingo, dia 12 de agosto, o Pokémon Evolução aparecerá mais frequentemente durante três horas por dia e qualquer Eevee pego durante estes períodos de três horas saberá usar o ataque de tipo Normal Último Recurso. Você pode guardar as suas MTs! Este ataque especial só estará disponível para Eevee que tiverem sido pegos ou chocados durante o evento do Dia Comunitário. Além disso, você receberá o triplo de Poeira Estelar para cada Pokémon que pegar e os Módulos Atrair ficarão ativados por três horas durante os horários do evento. Um combo especial do Dia Comunitário também estará disponível na loja do jogo durante todo o fim de semana! Visite <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> para descobrir que horas o Dia Comunitário começa na sua região! 
news_header_trading_bonus	Earn More Bonuses during This Special Trading Event!	「ポケモン交換」特別ボーナス！ 期間中にポケモンをたくさん交換しよう！	Remportez davantage de bonus lors de cet évènement spécial rempli d’échanges !	¡Obtén más bonus durante este evento especial de intercambio!	Erhalte mehr Bonusse während dieses besonderen Tausch-Events!	Ottieni ancora più bonus con un evento speciale dedicato agli scambi!	「포켓몬 교환」 특별한 보너스! 기간에 포켓몬을 많이 교환하자! 		交換寶可夢將有特別獎勵！快趁現在多多交換寶可夢吧	Ganhe mais bônus durante o evento especial de troca!
news_subheader_trading_bonus	Earn More Bonuses during This Special Trading Event!	「ポケモン交換」特別ボーナス！ 期間中にポケモンをたくさん交換しよう！	Remportez davantage de bonus lors de cet évènement spécial rempli d’échanges !	¡Obtén más bonus durante este evento especial de intercambio!	Erhalte mehr Bonusse während dieses besonderen Tausch-Events!	Ottieni ancora più bonus con un evento speciale dedicato agli scambi!	「포켓몬 교환」 특별한 보너스! 기간에 포켓몬을 많이 교환하자! 		交換寶可夢將有特別獎勵！快趁現在多多交換寶可夢吧	Ganhe mais bônus durante o evento especial de troca!
news_main_text_trading_bonus	Whether you’re seeking a new Pokédex entry or awaiting the arrival of a Lucky Pokémon, you’ll get a chance to enjoy special bonuses starting August 2 at 1:00 P.M. PDT. All trades—including Special Trades—will cost 25% less Stardust to complete! This lasts until August 19 at 9:00 P.M. PDT and applies to all friends, even brand-new ones. \n \nYou can earn more Candy during every trade, netting up to six Candies total! Plus, keep an eye out when you encounter a Pokémon not currently in your Pokédex, as you’ll receive triple XP when you gain a new entry. \n \nSo, grab your friends and make some memorable trades. Stay safe, and happy exploring! 	ポケモン図鑑に新しいポケモンを登録したい方や、「キラポケモン」を心待ちにしている方に、嬉しいおしらせです。8月3日（金）朝6時ごろ から8月20日（月）13時ごろまでの間、「ポケモン交換」に関する特別なボーナスをご用意しています！ この期間は、「特別なポケモンの交換」を含む全ての「ポケモン交換」に必要なほしのすなが、なんといつもの3/4の量になります。フレンドになったばかりのトレーナーとも交換できます！ \n \nさらに、全ての「ポケモン交換」でもらえるポケモンのアメの数も、最大で6個までに増えます。 そしてなんと、ポケモン図鑑に登録されていない野生のポケモンを捕まえると、もらえるXPが、通常の3倍に！ \n \n「ポケモン交換」をみんなで楽しみましょう。遊ぶ際は周囲に注意しながらお楽しみください！	Que vous cherchiez à compléter votre Pokédex ou à obtenir un Pokémon Chanceux, vous allez bénéficier de bonus spéciaux à partir du 2 août à 13h PDT (UTC -7). Le coût en Poussière Étoile des échanges, et des Échanges spéciaux, sera réduit de 25 % ! Cette réduction durera jusqu’au 19 août à 21h PDT (UTC -7), et s’appliquera à tous les amis, même les plus récents. \n \nVous pourrez recevoir davantage de Bonbons pour chaque échange, jusqu’à six Bonbons par Pokémon ! Et gardez un œil ouvert pour les Pokémon qui ne font pas partie de votre Pokédex ; vous recevrez le triple des PX lorsque vous ajouterez de nouvelles données. \n \nRejoignez vite vos amis pour effectuer des échanges mémorables. Soyez prudent, et bonne exploration. 	Si estás buscando registrar una nueva entrada en la Pokédex o esperas la llegada de un Pokémon con suerte, tendrás la oportunidad de disfrutar de bonus especiales a partir del 2 de agosto a la 1:00 p. m. PDT (UTC -7). Todos los intercambios, incluidos los intercambios especiales, costarán 25 % menos de Polvos Estelares para completarse. Este evento está disponible hasta el 19 de agosto a las 9:00 p. m. PDT (UTC -7) y lo podrán disfrutar todos los amigos, incluso los más nuevos. \n \nPuedes conseguir más Caramelos en cada intercambio, ¡hasta seis Caramelos por el Pokémon! Además, estate pendiente cuando te encuentres con un Pokémon que no tengas en tu Pokédex, ya que recibirás el triple de PX cuando registres una nueva entrada. \n \n¡Así que reúnete con tus amigos y realiza unos intercambios memorables! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando! 	Egal, ob du auf der Jagd nach einem neuen Pokédex-Eintrag oder einem Glücks-Pokémon bist, ab dem 2. August um 22:00 Uhr MESZ (13:00 Uhr PDT) hast du die Chance auf besondere Bonusse. Jeder Tausch – auch Spezial-Tausch – kostet 25 % weniger Sternenstaub! Das Ganze hält bis zum 20. August um 6:00 Uhr MESZ (19. August, 21:00 Uhr PDT) an und gilt für das Tauschen mit all deinen Freunden, sogar brandneuen! \n \nFür jeden Tausch kannst du mehr Bonbons erhalten – in manchen Fällen bringt das erhaltene Pokémon bis zu sechs Bonbons ein! Achte vor allem bei Begegnungen mit Pokémon darauf, ob sie schon in deinem Pokédex sind, denn für jeden neuen Eintrag erhältst du die dreifache Menge EP. \n \nAlso schnapp dir deine Freunde und tausche drauf los. Allzeit sichere und schöne Entdeckungsreisen! 	Stai cercando di riempire una casella del tuo Pokédex oppure aspetti l’arrivo di un Pokémon fortunato? Niente paura, ci sono bonus speciali in arrivo a partire dalle 22:00 (ora locale) del 2 agosto. Infatti, tutti gli scambi, inclusi quelli speciali, costeranno il 25% in meno in termini di polvere di stelle! Questo particolare bonus durerà fino alle 6:00 (ora locale) del 20 agosto e varrà con tutti gli amici, inclusi quelli nuovi.  \n  \nInoltre, ogni scambio ti permetterà di ottenere più caramelle, precisamente fino a sei per ogni Pokémon! E non è finita qui: quando incontrerai un Pokémon non ancora presente nel tuo Pokédex, la sua registrazione ti regalerà il triplo dei soliti PE!  \n  \nChe aspetti? Organizzati subito con i tuoi amici per fare degli scambi davvero memorabili. Ricorda di essere sempre prudente e buon divertimento!	포켓몬 도감에 새로운 포켓몬을 등록한 분, 또는 「반짝반짝 포켓몬」을 기대하고 있는 분들에게 희소식입니다. 8월 3일(금) 오전 6시경부터 8월 20일(월) 13시경까지 「포켓몬 교환」에 관한 특별한 보너스를 준비했습니다! 이 기간에는 「특별한 포켓몬 교환」을 포함한 모든 「포켓몬 교환」에 필요한 별의모래가 놀랍게도 평소의 3/4의 양이 됩니다. 이제 막 프렌드가 된 트레이너와도 교환할 수 있습니다! \n \n모든 「포켓몬 교환」에서 받을 수 있는 포켓몬의 사탕 수도 최대 6개까지 늘어납니다. 그리고 포켓몬 도감에 등록되지 않은 야생 포켓몬을 잡으면 얻을 수 있는 XP는 평소의 3배가 됩니다! \n \n「포켓몬 교환」을 모두와 함께 즐겨보세요. 플레이할 때는 주변에 주의하면서 플레이해주십시오! 		不論你是想要在寶可夢圖鑑上登錄新寶可夢的訓練家，還是想要交換到亮晶晶寶可夢的訓練家，我們有個天大的好消息要告訴你！自台灣時間8月3日清晨起至8月20日中午止，遊戲裡將出現許多和寶可夢交換有關的獎勵！在這段時間裡，不論你是和新朋友還是正港好朋友交換寶可夢，所有的寶可夢交換（包含特殊交換）所需的星星沙子數量將比平常少25%！ \n \n此外，活動期間內，交換寶可夢時最多可獲得6顆糖果。而且如果你能在這段期間內捉到還沒登錄到圖鑑上的寶可夢，可獲得的XP將會是平常的3倍喔！ 	Quer esteja procurando por um Pokémon novo para incluir no seu Pokédex, quer esperando pela chegada de um Pokémon sortudo, você terá a chance de aproveitar bônus especiais a partir do dia 2 de agosto às 13h (horário do Pacífico). Todas as trocas, inclusive as trocas especiais, custarão 25% a menos de Poeira Estelar até o dia 19 de agosto às 21h (horário do Pacífico) e isto se aplicará a todas as suas amizades, até as que você acabou de fazer. \n \nVocê poderá receber mais Doces por cada troca e arrecadar até seis doces pelos Pokémon! Além disso, fique ligado quando encontrar um Pokémon que ainda não esteja no seu Pokédex, porque você receberá o triplo de PE ao registrá-lo. \n \nChame seus amigos para fazer trocas inesquecíveis. Tome cuidado e divirta-se explorando o mundo! 
news_header_JA_CD_Manner		「Pokémon GO コミュニティ・デイ」をお楽しみいただくためにお願いしたいこと								
news_subheader_JA_CD_Manner		「Pokémon GO コミュニティ・デイ」をお楽しみいただくためにお願いしたいこと								
news_main_text_JA_CD_Manner		Pokémon GO は世界中の人々が外に出て、交流を深める機会を提供したい、そんな思いで開発されています。そして、Pokémon GO を通して各地域のトレーナーの皆さんが定期的に集まって楽しむことができるように、今年1月から毎月1回「Pokémon GO コミュニティ・デイ」の開催をはじめました。今月で既に7回目を迎え、世界中のトレーナーの皆さんに楽しんでいただけているようで、チーム一同大変うれしく思っています。 \n \n一方で回を重ねるにつれ、公園やその他の施設を管理されている方々から、『Pokémon GO』のプレイマナーについてのご相談をいただくことが増えています。ポケモンたちを探して現実世界を冒険することはとてもワクワクすることです。ただ、ポケモン探しに熱中しすぎるあまりつい周囲への配慮を欠き、周りの方々に不快な思いをさせてしまっていることがあるかもしれません。 \n \nこれからも「Pokémon GO コミュニティ・デイ」を皆さんにお楽しみいただけるよう、公共の場所でプレイされる場合は下記にお気をつけいただきますよう、お願いいたします。 \n \n・施設によっては駐車場が小さいところもあります。施設を利用する他の方に迷惑にならないよう、なるべく公共交通機関をお使いいただき、迷惑駐車は避けましょう。 \n・複数人のトレーナーたちと集まってプレイする際には、周囲の邪魔にならないように気を付けましょう。 \n・飲食物や煙草の吸殻など、ゴミは必ず持ち帰りましょう。 \n・周囲の環境に気を配り、訪れた場所の運営者の方に迷惑がかかることのないようにしましょう。また、せっかく訪れた素敵な場所を楽しみましょう。 \n・歴史的建造物や神社、仏閣等、その場所の設立の主旨を理解し、敬意を払いましょう。 \n・訪れた場所で開催されている Pokémon GO 以外のイベントや、その参加者の皆さんへ配慮をしましょう。 \n \n引き続き「Pokémon GO コミニュティ・デイ」をお楽しみいただくために、ご理解とご協力をよろしくお願いします。 \n \n–Pokémon GO 開発チーム一同より 								
news_header_augustresearchupdate	New August Research Tasks Feature the Electric-type Legendary Pokémon Raikou!	8月の新たな「リサーチタスク」にでんきタイプの伝説ポケモン「ライコウ」が登場！	Les nouvelles tâches d’Études d’août se focalisent sur Raikou, le Pokémon légendaire de type Électrik !	¡Nuevas tareas de investigación en agosto con el Pokémon legendario de tipo Eléctrico Raikou!	Neue Forschungsaufgaben im August mit dem Legendären Pokémon Raikou vom Typ Elektro!	Le nuove missioni di ricerca di agosto hanno come protagonista il Pokémon leggendario di tipo Elettro Raikou!	8월의 새로운 리서치 과제에 전기타입 전설의 포켓몬 「라이코」가 등장! 		八月田野調查課題的主角是電屬性的傳說的寶可夢「雷公」！	Novas tarefas de pesquisa em agosto com o Pokémon Lendário de tipo Elétrico Raikou!
