Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_marcmtyday	Gear Up for March’s Community Day, Starring Bulbasaur!	次回のPokémon GO コミュニティ・デイは3月25日(日)、フシギダネが大量発生！	Préparez-vous pour la Journée Communauté de mars avec Bulbizarre.	¡Prepárate para el Día de la Comunidad de marzo, con Bulbasaur como estrella!	Rüste dich für den Community Day im März, diesmal mit Bisasam! 	Preparati per il Community Day di marzo: il protagonista sarà Bulbasaur!	다음 Pokémon GO 커뮤니티 데이는 3월 25일(일), 이상해씨가 대량발생!		下次Pokémon GO社群日是3月25日星期日！主角寶可夢是妙蛙種子！	Está na hora de se equipar com Bulbasaur para o Dia Comunitário de março!
news_subheader_marcmtyday	Gear Up for March’s Community Day, Starring Bulbasaur!	次回のPokémon GO コミュニティ・デイは3月25日(日)、フシギダネが大量発生！	Préparez-vous pour la Journée Communauté de mars avec Bulbizarre.	¡Prepárate para el Día de la Comunidad de marzo, con Bulbasaur como estrella!	Rüste dich für den Community Day im März, diesmal mit Bisasam!	Preparati per il Community Day di marzo: il protagonista sarà Bulbasaur!	다음 Pokémon GO 커뮤니티 데이는 3월 25일(일), 이상해씨가 대량발생!		下次Pokémon GO社群日是3月25日星期日！主角寶可夢是妙蛙種子！	Está na hora de se equipar com Bulbasaur para o Dia Comunitário de março!
news_main_text_marcmtyday	Trainers, we have another opportunity to catch a classic Pokémon for March’s Pokémon GO Community Day! On March 25, Bulbasaur will appear in the wild more frequently for three hours, and if you evolve an Ivysaur to Venusaur during that three-hour window, it will learn an exclusive move that will be revealed later this month. Put those Charged TMs away, Trainers! This special move will only be available for Venusaur that are evolved or caught during Community Day. Plus, all Pokémon caught during event hours will also award triple XP! Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Visit PokemonGoLive.com/events to find out when Community Day starts in your region!	トレーナーの皆さん、 次回の 「Pokémon GO コミュニティ・デイ」は3月25日(日)、日本時間午後0時から午後3時の開催を予定しています。今回大量発生するポケモンは、フシギダネ！。イベント開催中の3時間の間に、フシギソウからフシギバナへ進化させると、そのフシギバナは特別なわざを覚えるようです。どんなわざを覚えるのかは、お楽しみに！ ※イベント開催時間中に進化したフシギバナのみ、特別なわざを覚えます。イベント開催時間中に出現する野生のフシギバナも、このわざを覚えています。 さらに、イベント開催時間中はルアーモジュールの効果が3時間継続し、どんなポケモンを捕まえても、XPが3倍得られます！トレーナーレベルを上げるチャンスでもあります！ 詳細は PokemonGoLive.com/events をご覧ください。 	Dresseurs, vous aurez l’occasion d’attraper un des premiers Pokémon durant la Journée Communauté de Pokémon GO. Le 25 mars, pendant trois heures, Bulbizarre fera des apparitions fréquentes. Si vous faites évoluer Herbizarre en Florizarre durant ce laps de temps, ce dernier apprendra une attaque exclusive qui vous sera révélée durant le mois. Vous pouvez ranger vos CT Attaques Chargées, Dresseurs. Seuls les Florizarre ayant évolué ou ayant été attrapés durant la Journée Communauté pourront apprendre cette attaque spéciale. En outre, les Pokémon attrapés durant cet évènement vous rapporteront trois fois la quantité de PX. Et n’oubliez pas vos Modules Leurre qui resteront actifs pendant trois heures pour vous permettre de profiter au maximum de cet évènement. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur PokemonGoLive.com/fr/events.	¡Tendrás otra oportunidad de capturar un Pokémon clásico durante el Día de la Comunidad de Pokémon GO de marzo! El 25 de marzo, Bulbasaur aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Ivysaur a un Venusaur durante ese periodo de tres horas, aprenderá un movimiento exclusivo que será revelado más adelante este mes. ¡Guarda esas MT de ataque cargado! Este movimiento especial solo estará disponible para los Venusaur que hayan evolucionado o sido atrapados durante el Día de la Comunidad. Además, todos los Pokémon capturados durante las horas de este evento también te concederán tres veces la cantidad usual de PX. Y no te olvides de tus Módulos Cebo, porque permanecerán activos durante tres horas para ayudarte a que aproveches al máximo el evento. ¡Visita PokemonGoLive.com/events para averiguar cuándo empieza el Día de la Comunidad en tu región!	Im März gibt es am Pokémon GO Community Day wieder die Gelegenheit, ein klassisches Pokémon zu fangen, Trainer! Am 25. März erscheinen wilde Bisasam drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden ein Bisaknosp zu Bisaflor entwickelst, kann es eine exklusive Attacke lernen, die wir etwas später enthüllen werden. Das geht ganz ohne Lade-TMs, Trainer! Diese spezielle Attacke gibt es nur für Bisaflor, die am Community Day entwickelt oder gefangen werden. Außerdem erhältst du für alle Pokémon, die du während des Event-Zeitraums fängst, die dreifache Menge Sternenstaub! Vergiss auch nicht deine Lockmodule, denn sie bleiben drei Stunden lang aktiv, damit du auch wirklich alles aus dem Event rausschlagen kannst. Besuche PokemonGoLive.com/events, um herauszufinden, wann Community Day in deiner Gegend anfängt!	È in arrivo un’altra incredibile opportunità di catturare un Pokémon storico per il Community Day di marzo su Pokémon GO! Il 25 marzo tantissimi Bulbasaur selvatici appariranno più frequentemente per tre ore, inoltre se riuscirai a far evolvere un Ivysaur in Venusaur durante quelle stesse tre ore, questo imparerà una mossa esclusiva che sarà rivelata nel corso di questo mese. Manda pure in pensione tutte le tue TM attacco caricato! Questa mossa speciale sarà disponibile solo per i Venusaur che si sono evoluti o che sono stati catturati durante il Community Day. Tra l’altro, tutti i Pokémon catturati nel corso dell’evento ti faranno guadagnare il triplo dei PE! E non dimenticare che i tuoi moduli esca resteranno attivi per ben tre ore per sfruttare al meglio quest’occasione! Visita PokemonGOLive.com per scoprire a che ora inizia il Community Day nel tuo paese.	트레이너 여러분, 다음 「Pokémon GO 커뮤니티 데이」는 3월 25일(일), 한국 시간 12시부터 15시까지 개최를 예정하고 있습니다. 이번에 대량발생하는 포켓몬은 이상해씨! 이벤트 개최 3시간 동안에 이상해풀에서 이상해꽃으로 진화시키면 그 이상해꽃은 특별한 기술을 배우고 있습니다. 어떤 기술을 배울지 기대해 주세요! ※이벤트 개최 시간 중 진화한 이상해꽃만 특별한 기술을 배웁니다. 이벤트 개최 시간 중 출현하는 야생의 이상해꽃도 이 기술을 배우고 있습니다. 이벤트 개최 시간 중 루어모듈의 효과가 3시간 계속되며 어떤 포켓몬을 잡아도 XP가 3배 얻을 수 있습니다. 트레이너 레벨을 올릴 기회입니다!  자세한 내용은 Visit PokemonGoLive.com/events 를 확인해 주세요. 		親愛的訓練家們，下次Pokémon GO社群日將於台灣時間3月25日11:00~14:00舉行，這次的主角寶可夢是……妙蛙種子！如果你能在活動時間內捉到野生的妙蛙花，或是能在活動時間內讓妙蛙草進化為妙蛙花，牠就能學會一招連用了招式學習器都學不到的招式。招式名稱將於日後揭曉，敬請期待！ 除此之外，活動時間內誘餌模組的效果將延長為3小時，而且捕捉到任何寶可夢時皆可獲得3倍XP！這可是個提升訓練家等級的好機會，千萬別錯過！更多關於社群日的最新消息，請上 PokemonGoLive.com/events 確認。	Vocês terão mais uma chance de pegar um Pokémon clássico no Dia Comunitário do Pokémon Go do mês de março! No dia 25 de março, Bulbasaur selvagens aparecerão com mais frequência durante três horas, e, se você evoluir Ivysaur para Venusaur durante essas três horas, Venusaur aprenderá um movimento exclusivo que será revelado mais adiante neste mês. Treinadores, vocês podem guardar suas MTs ataque carregado! Este movimento especial só estará disponível para Venusaur que tiverem evoluído ou que tiverem sido pegos durante o Dia Comunitário. Além disso, todos os Pokémon pegos durante os horários do evento fornecerão o triplo de PE! Não se esqueçam dos seus Módulos Atrair, que ficarão ativados durante três horas para ajudá-los a aproveitar ao máximo o evento. Visitem PokemonGoLive.com/events para descobrir que horas o Dia Comunitário começa na sua região!
news_header_pokemonday	Grab a Throwback Look:  Pokémon FireRed and Pokémon LeafGreen Trainer Outfits Now Available on Pokémon Day!	ポケモン誕生の日！懐かしいあの主人公たちの着せ替えアイテムが登場！	Retrouvez un look classique : des tenues de Dresseur Rouge Feu et Vert Feuille sont disponibles lors de la Journée Pokémon.	        ¡Vístete con un estilo clásico! ¡Conjuntos de Entrenador de Pokémon Edición Rojo Fuego y Pokémon Edición Verde Hoja ahora disponibles para el Día de Pokémon!    	Hol dir einen klassischen Look: Trainer-Outfits im Stil von Pokémon Feuerrote und Blattgrüne Edition sind jetzt am Pokémon Day erhältlich!	Dai al tuo avatar un look classico ispirato a Rosso Fuoco e a Verde Foglia, disponibile adesso per il Pokémon Day!	포켓몬 탄생의 날! 옛날 주인공 의상 아이템이 등장!		寶可夢生日快樂！一起換上那套讓人懷念的服飾吧！	Adote um visual clássico com uniformes do Pokémon FireRed e do Pokémon LeafGreen, disponíveis para o Dia de Pokémon!
news_subheader_pokemonday	Grab a Throwback Look:  Pokémon FireRed and Pokémon LeafGreen Trainer Outfits Now Available on Pokémon Day!	ポケモン誕生の日！懐かしいあの主人公たちの着せ替えアイテムが登場！	Retrouvez un look classique : des tenues de Dresseur Rouge Feu et Vert Feuille sont disponibles lors de la Journée Pokémon.	¡Vístete con un estilo clásico! ¡Conjuntos de Entrenador de Pokémon Edición Rojo Fuego y Pokémon Edición Verde Hoja ahora disponibles para el Día de Pokémon!	Hol dir einen klassischen Look: Trainer-Outfits im Stil von Pokémon Feuerrote und Blattgrüne Edition sind jetzt am Pokémon Day erhältlich!	Dai al tuo avatar un look classico ispirato a Rosso Fuoco e a Verde Foglia, disponibile adesso per il Pokémon Day!	포켓몬 탄생의 날! 옛날 주인공 의상 아이템이 등장!		寶可夢生日快樂！一起換上那套讓人懷念的服飾吧！	Adote um visual clássico com uniformes do Pokémon FireRed e do Pokémon LeafGreen, disponíveis para o Dia de Pokémon!
news_main_text_pokemonday	Time for a throwback! Celebrate Pokémon Day with Trainer avatar items available from Pokémon FireRed and Pokémon LeafGreen. Plus, festive Pikachu wearing party hats will be available in the wild from February 26 at 2:00 P.M. PST to February 28 at 1:00 P.M. PST. Stay safe and happy exploring!	ポケモン誕生の日を記念して、『ポケットモンスター ファイアレッド・リーフグリーン』主人公の着せ替えアイテムがPokémon GO に登場しました！「カントー」メダルがブロンズ以上であればゲーム内ショップで購入できます！ そして、かわいいとんがり帽子をかぶったピカチュウが、日本時間2月27日早朝から2月28日まで登場します。 ポケモン誕生の日を一緒にお祝いしましょう！	Un petit retour en arrière ! Fêtez la Journée Pokémon avec des objets classiques pour avatar de Pokémon Version Rouge Feu et Pokémon Version Vert Feuille.  Des Pikachu coiffés de chapeaux de fête seront également disponibles dans la nature du 26 février à 14h (heure du Pacifique) au 28 février à 13h (heure du Pacifique). Soyez prudent, et bonne exploration.	¡Viajemos en el tiempo! ¡Celebra el Día de Pokémon con clásicos artículos de avatar de Entrenador de Pokémon Edición Rojo Fuego y Pokémon Edición Verde Hoja! Además, habrá festivos Pikachu que llevan gorros de fiesta, disponibles en estado salvaje desde la 2:00 p. m. PST del 26 de febrero hasta la 1:00 p. m. PST del 28 de febrero. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Zeit für einen Retro-Look! Feiere Pokémon Day in klassischen Avatar-Artikeln im Stil von Pokémon Feuerrote und Blattgrüne Edition. Zusätzlich erscheinen vom 26. Februar um 14:00 Uhr PST bis zum 28. Februar um 13:00 PST wilde Pikachu mit Partyhütchen. Allzeit sichere und schöne Entdeckungsreisen!	Nostalgia del passato? Festeggia il Pokémon Day dando al tuo avatar un look classico ispirato a Rosso Fuoco e a Verde Foglia. Inoltre tantissimi Pikachu selvatici che indossano un cappellino a tema appariranno dalle 23:00 (CET) del 26 febbraio alle 22:00 (CET) del 28 febbraio. Ricorda di essere sempre prudente e buon divertimento!	포켓몬 탄생의 날을 기념해서 「포켓몬스터 파이어레드・리프그린」의 주인공 의상 아이템이 Pokémon GO에 등장했습니다! 「관동」 메달의 브론즈이상이라면 게임내 숍에서 구입할 수 있습니다! 그리고 귀여운 고깔모자를 쓴 피카츄가 한국시간 2월 27일 새벽부터 2월 28일까지 등장합니다. 포켓몬 탄생의 날을 같이 축하합시다!		為了慶祝寶可夢的生日，商店裡推出『精靈寶可夢 火紅/葉綠』的換裝道具囉！只要是擁有關都銅徽章的訓練家，都可以進行選購！ 除此之外，自日本時間2月27日清晨起至2月28日止，地圖上將會出現戴著生日帽的可愛皮卡丘，和牠一起慶祝寶可夢的生日吧！	Que tal um visual retrô? Comemore o Dia de Pokémon com um visual clássico de Treinador inspirado em Pokémon FireRed e Pokémon LeafGreen. Além disso, Pikachu selvagens usando chapéus de festa estarão disponíveis a partir das 14h (PST) do dia 26 de fevereiro. Tome cuidado e divirta-se explorando o mundo!
news_header_legendaryweek	Kyogre and Groudon Join Rayquaza for a Legendary Week of Raid Battles!	伝説のポケモンとのレイドバトル週間: グラードン、カイオーガ、レックウザとバトルしよう！	Kyogre et Groudon rejoignent Rayquaza pour une semaine légendaire de Combats de Raids.	¡Kyogre y Groudon se unen a Rayquaza para una semana legendaria de incursiones!	Kyogre und Groudon schließen sich in einer Legendären Woche voller Raid-Kämpfe Rayquaza an!	Kyogre e Groudon si uniscono a Rayquaza per una leggendaria settimana di raid!	전설의 포켓몬과의 레이드배틀 주간: 그란돈, 가이오가, 레쿠쟈와 배틀하자!		傳說的寶可夢固拉多、蓋歐卡及烈空坐同時降臨團體戰！	Kyogre e Groudon se juntam a Rayquaza para uma semana lendária de Batalhas de Reide!
news_subheader_legendaryweek	Kyogre and Groudon Join Rayquaza for a Legendary Week of Raid Battles!	伝説のポケモンとのレイドバトル週間: グラードン、カイオーガ、レックウザとバトルしよう！ 	Kyogre et Groudon rejoignent Rayquaza pour une semaine légendaire de Combats de Raids.	¡Kyogre y Groudon se unen a Rayquaza para una semana legendaria de incursiones!	Kyogre und Groudon schließen sich in einer Legendären Woche voller Raid-Kämpfe Rayquaza an!	Kyogre e Groudon si uniscono a Rayquaza per una leggendaria settimana di raid!	전설의 포켓몬과의 레이드배틀 주간: 그란돈, 가이오가, 레쿠쟈와 배틀하자!		傳說的寶可夢固拉多、蓋歐卡及烈空坐同時降臨團體戰！	Kyogre e Groudon se juntam a Rayquaza para uma semana lendária de Batalhas de Reide!
news_main_text_legendaryweek	Now is the time to test your strength! Legendary Pokémon Kyogre and Groudon return to Raid Battles alongside Rayquaza for a limited time. Power up your strongest Pokémon, grab your friends, and head to nearby Gyms for a chance to battle and catch them until March 5. These battles will be tough, so we have new special boxes debuting on February 24 to help you prepare. Visit the in-game store to find out more! Stay safe, and happy exploring!	ホウエン地方の伝説のポケモン、グラードン・カイオーガが、レックウザと共にレイドバトルに2月24日から3月5日まで再登場します。レイドバトル参加に必要なプレミアムレイドパスの入った「スペシャルボックス」が、2月25日よりショップ内で登場していますので、是非準備に役立ててください。 Pokémon GO をプレイする時は周りをよく見て、常に注意してください。 	Il est temps de mettre votre puissance à l’épreuve ! Pour une durée limitée, les Pokémon légendaires Kyogre et Groudon apparaîtront à nouveau dans les Combats de Raids aux côtés de Rayquaza. Jusqu’au 5 mars, boostez vos Pokémon les plus forts, rassemblez vos amis, et dirigez-vous vers les Arènes les plus proches pour les combattre et les attraper. Ces combats seront rudes, nous proposons donc de nouvelles boîtes spéciales à partir du 24 février pour vous aider. Rendez-vous dans la Boutique du jeu pour en savoir plus. Soyez prudent, et bonne exploration.	¡Ahora es el momento de poner a prueba lo fuerte que eres! Los Pokémon legendarios Kyogre y Groudon vuelven a las incursiones junto con Rayquaza por un tiempo limitado. Dales más poder a tus Pokémon más fuertes, reúnete con tus amigos y dirigíos a Gimnasios cercanos para poder combatir contra ellos y capturarlos hasta el 5 de marzo. Estos combates serán difíciles, así que tendremos nuevos packs especiales a partir del 24 de febrero para ayudarte a que te prepares. Visita la tienda del juego para obtener más información. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Zeit, deine Kräfte zu testen! Die Legendären Pokémon Kyogre und Groudon erscheinen jetzt neben Rayquaza für begrenzte Zeit erneut in Raid-Kämpfen. Du solltest deine stärksten Pokémon hochleveln, deine Freunde zusammentrommeln und Arenen in deiner Nähe besuchen, um die Gelegenheit, diese Pokémon bis zum 5. März herauszufordern und zu fangen, nicht zu verpassen. Zur Vorbereitung auf diese schwierigen Kämpfe bieten wir ab 24. Februar neue Spezialboxen an. Besuche den In-Game-Shop, um mehr zu erfahren! Allzeit sichere und schöne Entdeckungsreisen!	È giunto il momento di mettere alla prova la tua forza. I Pokémon leggendari Kyogre e Groudon ricompariranno nei raid a fianco di Rayquaza per un periodo limitato di tempo. Potenzia i tuoi Pokémon più forti, raduna gli amici e visita le Palestre vicine per avere la possibilità di sfidarli e catturarli fino al 5 marzo. Saranno incontri molto difficili, per aiutarti abbiamo preparato delle offerte speciali disponibili dal 24 febbraio. Visita il negozio all’interno del gioco per scoprire tutti i dettagli. Ricorda di essere sempre prudente e buon divertimento!	호연지방 전설의 포켓몬 그란돈, 가이오가가  레쿠쟈와 함께 레이드배틀에 2월 24일부터 3월 5일까지 다시 등장합니다. 레이드배틀 참가에 필요한 프리미엄 레이드패스가 들어 있는 「스페셜박스」를 2월 25일부터 숍 내에 등장하니 플레이에 유용하게 사용하세요. Pokémon GO 를 플레이할 때는 주변에 주의하면서 플레이해주세요! 		自2月24日起至3月5日止，固拉多、蓋歐卡和烈空坐這三隻來自豐緣地區的傳說的寶可夢將同時降臨各地的團體戰，千萬別錯過！為了讓各位訓練家能更有效率地準備道具，商店也會自2月24日起推出內含特級團體戰入場券的特別禮盒，敬請多加利用。玩 Pokémon GO 時，請務必小心安全。  	Está na hora de testar a sua força! Os Pokémon Lendários Kyogre e Groudon retornam às Batalhas de Reide, juntando-se a Rayquaza por tempo limitado. Prepare seus Pokémon mais fortes, chame seus amigos e visite os Ginásios mais próximos para ter a chance de batalhar contra e pegar estes Pokémon até o dia 5 de março. Estas batalhas serão duras, e, por isso, lançaremos novos combos especiais no dia 24 de fevereiro que o ajudarão a se preparar. Visite a loja do jogo para maiores informações! Tome cuidado e divirta-se explorando o mundo!
news_header_chiayi									2018台灣燈會在嘉義 	
