Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_lny	Earn Extra Stardust with These Pokémon on Lunar New Year!	旧正月にはこのポケモンを捕まえて、いつもより多く「ほしのすな」をもらおう！	Obtenez de la Poussière Étoile supplémentaire pour le Nouvel An lunaire.	¡Consigue Polvos Estelares adicionales con estos Pokémon en el evento del Año Nuevo Lunar!	Verdiene mit diesen Pokémon zum Mondneujahr Extra-Sternenstaub!	Ricevi più polvere di stelle con questi Pokémon in occasione del Capodanno lunare.	설날에는 이 포켓몬을 잡아 평소보다 많은 「별의모래」를 받자!		過年時捉到這些寶可夢可以獲得額外的星星沙子！	Receba Poeira Estelar a mais com estes Pokémon no Ano Novo Lunar!
news_subheader_lny	Earn Extra Stardust with these Pokémon on Lunar New Year!	旧正月にはこのポケモンを捕まえて、いつもより多く「ほしのすな」をもらおう！	Obtenez de la Poussière Étoile supplémentaire pour le Nouvel An lunaire.	¡Consigue Polvos Estelares adicionales con estos Pokémon en el evento del Año Nuevo Lunar!	Verdiene mit diesen Pokémon zum Mondneujahr Extra-Sternenstaub!	Ricevi più polvere di stelle con questi Pokémon in occasione del Capodanno lunare.	설날에는 이 포켓몬을 잡아 평소보다 많은 「별의모래」를 받자!		過年時捉到這些寶可夢可以獲得額外的星星沙子！	Receba Poeira Estelar a mais com estes Pokémon no Ano Novo Lunar!
news_main_text_lny	Celebrate the good fortune of the Lunar New Year with Pokémon GO! From February 15 at 1:00 P.M. PST to February 17 at 1:00 P.M. PST, Trainers who catch a Growlithe, Eevee, Snubbull, Poochyena, or Electrike will receive bonus Stardust. Stay safe and happy exploring!	本日から2月17日まで、「ガーディ」、「イーブイ」、「ブルー」、「ポチエナ」、「ラクライ」をゲットすると、いつもより多く「ほしのすな」をもらえます。	Que la chance vous sourie pour le Nouvel An lunaire dans Pokémon GO ! Du 15 février à 13h (heure du Pacifique) au 17 février à 13h (heure du Pacifique), les Dresseurs qui attrapent un Caninos, Évoli, Snubbull, Medhyèna ou Dynavolt recevront de la Poussière Étoile supplémentaire. Soyez prudent, et bonne exploration.	¡Celebra la buena fortuna del Año Nuevo Lunar con Pokémon GO! Desde la 1:00 p. m. (PST) del 15 de febrero hasta la 1 p. m. (PST) del 17 de febrero, los Entrenadores que atrapen a Growlithe, Eevee, Snubbull, Poochyena o Electrike recibirán Polvos Estelares extras. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Pokémon GO wünscht ein glückliches neues Mondjahr! Vom 15. Februar um 13:00 Uhr PST bis zum 17. Februar um 13:00 Uhr PST erhalten alle Trainer, die ein Fukano, Evoli, Snubbull, Fiffyen oder Frizelbliz fangen, zusätzlichen Sternenstaub. Allzeit sichere und schöne Entdeckungsreisen!	Il Capodanno lunare porterà fortuna a tutti i giocatori di Pokémon GO! Dalle 22:00 (CET) del 15 febbraio alle 22:00 (CET) del 17 febbraio, gli Allenatori che cattureranno Growlithe, Eevee, Snubbull, Poochyena o Electrike riceveranno un bonus di polvere di stelle. Ricorda di essere sempre prudente e buon divertimento!	오늘부터 2월 17일까지 「가디」, 「이브이」, 「블루」, 「포챠나」, 「썬더라이」를 잡으면 평소보다 많이 「별의모래」를 받을 수 있습니다.		恭喜發財！自即日起至2月17日止，捉到卡蒂狗、伊布、布魯、土狼犬、落雷獸這些寶可夢時，可以獲得額外的星星沙子喔！	Comemore a boa sorte do Ano Novo Lunar com Pokémon GO! Do dia 15 de fevereiro às 13h até o dia 17 de fevereiro às 13h (horário do pacífico), os Treinadores que pegarem Growlithe, Eevee, Snubbull, Poochyena ou Electrike receberão Poeira Estelar a mais. Tome cuidado e divirta-se explorando o mundo!
news_header_chiayi									2018台灣燈會在嘉義 	
news_subheader_chiayi									2018台灣燈會在嘉義 	
news_main_text_chiayi									自2月26日起至3月3日止，Pokémon GO 將在嘉義縣主辦的2018台灣燈會中舉辦「 Pokémon GO Safari Zone in 2018 台灣燈會在嘉義」！活動期間內，迷你龍、魔牆人偶、卡蒂狗、燈籠魚及電燈怪等眾多寶可夢將會在不同時間出現。更多關於 Safari Zone 活動的訊息，請上我們的官方部落格確認。	
news_header_rocket	It’s Good Being Bad with These Team Rocket Avatar Items!	ロケット団着せ替えアイテム：みんなで悪の組織になりきろう！	C’est un plaisir d’être méchant avec ces objets pour avatars de la Team Rocket.	¡Viene bien ser malote con estos artículos de avatar del Team Rocket!	Schön taff mit diesen Team Rocket-Avatar-Artikeln!	Una volta tanto il crimine paga con gli oggetti avatar del Team Rocket!	로켓단 의상 아이템: 모두 악당이 되어보자!		火箭隊虛擬人偶：換上火箭隊的衣服，一起加入邪惡組織吧！	É bom ser do mau com estes itens da Equipe Rocket!
news_subheader_rocket	It’s Good Being Bad with These Team Rocket Avatar Items!	ロケット団着せ替えアイテム：みんなで悪の組織になりきろう！	C’est un plaisir d’être méchant avec ces objets pour avatars de la Team Rocket.	¡Viene bien ser malote con estos artículos de avatar del Team Rocket!	Schön taff mit diesen Team Rocket-Avatar-Artikeln!	Una volta tanto il crimine paga con gli oggetti avatar del Team Rocket!	로켓단 의상 아이템: 모두 악당이 되어보자!		火箭隊虛擬人偶：換上火箭隊的衣服，一起加入邪惡組織吧！	É bom ser do mau com estes itens da Equipe Rocket!
news_main_text_rocket	Give your avatar a bad new look! Purchase full outfits honoring the original villains of Pokémon, as well as Team Rainbow Rocket from Pokémon Ultra Sun and Pokémon Ultra Moon! Stay safe and happy exploring!	あの悪の組織、ロケット団の着せ替えアイテムが Pokémon GO に登場！『ポケットモンスター ウルトラサン・ウルトラムーン』に登場したレインボーロケット団の衣装もあわせて登場！みんなで悪の組織になりきろう！	Donnez à votre avatar un nouveau look malveillant. Achetez des tenues complètes en l’honneur des premiers scélérats de Pokémon ainsi que ceux de la Team Rainbow Rocket de Pokémon Ultra-Soleil et Pokémon Ultra-Lune. Soyez prudent, et bonne exploration.	¡Dale a tu avatar un look de malote! ¡Compra conjuntos enteros en honor de los primeros villanos de Pokémon, así como del Team Rainbow Rocket de Pokémon Ultrasol y Pokémon Ultraluna! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Verleihe deinem Avatar einen taffen neuen Look! Erstehe ganze Outfits, die den Pokémon-Originalschurken oder auch Team Rainbow Rocket aus Pokémon Ultrasonne und Pokémon Ultramond nachempfunden sind! Allzeit sichere und schöne Entdeckungsreisen!	Dai un look da furfante al tuo avatar! Acquista i completi dei cattivi per antonomasia del mondo Pokémon, oltre a quelli del Team Rainbow Rocket di Pokémon Ultrasole e Pokémon Ultraluna. Ricorda di essere sempre prudente e buon divertimento!	악의 조직 로켓단의 의상 아이템이  Pokémon GO 에 등장! 『포켓몬스터 울트라썬・울트라문』에 등장한 레인보우로켓단의 의상도 같이 등장! 다 같이 악당이 되어보자!		邪惡組織火箭隊的服飾在 Pokémon GO 裡登場囉！出現在『精靈寶可夢 究極之日/究極之月』中的彩虹火箭隊也會同時推出他們的服飾！一起加入邪惡組織吧！	Dê ao seu avatar um novo visual do mau! Compre uniformes completos dos vilões originais dos Pokémon e também da Equipe Rainbow Rocket dos jogos Pokémon Ultra Sun e Pokémon Ultra Moon! Tome cuidado e divirta-se explorando o mundo!
news_header_valentine	Wish Luvdisc a Happy Valentine’s Day!	ラブカスと一緒にバレンタインをお祝いしよう！	Fêtez la Saint-Valentin avec Lovdisc.	¡Celebra el Día de San Valentín con Luvdisc!	Wünsche Liebiskus einen schönen Valentinstag!	È San Valentino! Festeggia questa giornata speciale con Luvdisc!	사랑동이와 함께 밸런타인데이를 기념하자!		和愛心魚一起慶祝情人節！	Luvdisc e Chansey amam o amor!
