Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_febcmtydayapacextended		2/24 アジア地域の「Pokémon GO コミュニティ・デイ」は日本時間午後6時まで！								
news_subheader_febcmtydayapacextended		2/24 アジア地域の「Pokémon GO コミュニティ・デイ」は日本時間午後6時まで！								
news_main_text_febcmtydayapacextended		日本時間2月24日、正午過ぎに Pokémon GO へログインができない問題が発生し、ご迷惑をおかけし申し訳ございませんでした。 本日の 「Pokémon GO コミュニティ・デイは」3時間延長し、午後6時まで開催いたします。 引き続きお楽しみください。								
news_header_legendaryweek	Kyogre and Groudon Join Rayquaza for a Legendary Week of Raid Battles!	伝説のポケモンとのレイドバトル週間: グラードン、カイオーガ、レックウザとバトルしよう！	Kyogre et Groudon rejoignent Rayquaza pour une semaine légendaire de Combats de Raids.	¡Kyogre y Groudon se unen a Rayquaza para una semana legendaria de incursiones!	Kyogre und Groudon schließen sich in einer Legendären Woche voller Raid-Kämpfe Rayquaza an!	Kyogre e Groudon si uniscono a Rayquaza per una leggendaria settimana di raid!	전설의 포켓몬과의 레이드배틀 주간: 그란돈, 가이오가, 레쿠쟈와 배틀하자!		傳說的寶可夢固拉多、蓋歐卡及烈空坐同時降臨團體戰！	Kyogre e Groudon se juntam a Rayquaza para uma semana lendária de Batalhas de Reide!
news_subheader_legendaryweek	Kyogre and Groudon Join Rayquaza for a Legendary Week of Raid Battles!	伝説のポケモンとのレイドバトル週間: グラードン、カイオーガ、レックウザとバトルしよう！ 	Kyogre et Groudon rejoignent Rayquaza pour une semaine légendaire de Combats de Raids.	¡Kyogre y Groudon se unen a Rayquaza para una semana legendaria de incursiones!	Kyogre und Groudon schließen sich in einer Legendären Woche voller Raid-Kämpfe Rayquaza an!	Kyogre e Groudon si uniscono a Rayquaza per una leggendaria settimana di raid!	전설의 포켓몬과의 레이드배틀 주간: 그란돈, 가이오가, 레쿠쟈와 배틀하자!		傳說的寶可夢固拉多、蓋歐卡及烈空坐同時降臨團體戰！	Kyogre e Groudon se juntam a Rayquaza para uma semana lendária de Batalhas de Reide!
news_main_text_legendaryweek	Now is the time to test your strength! Legendary Pokémon Kyogre and Groudon return to Raid Battles alongside Rayquaza for a limited time. Power up your strongest Pokémon, grab your friends, and head to nearby Gyms for a chance to battle and catch them until March 5. These battles will be tough, so we have new special boxes debuting on February 24 to help you prepare. Visit the in-game store to find out more! Stay safe, and happy exploring!	ホウエン地方の伝説のポケモン、グラードン・カイオーガが、レックウザと共にレイドバトルに2月24日から3月5日まで再登場します。レイドバトル参加に必要なプレミアムレイドパスの入った「スペシャルボックス」が、2月25日よりショップ内で登場していますので、是非準備に役立ててください。 Pokémon GO をプレイする時は周りをよく見て、常に注意してください。 	Il est temps de mettre votre puissance à l’épreuve ! Pour une durée limitée, les Pokémon légendaires Kyogre et Groudon apparaîtront à nouveau dans les Combats de Raids aux côtés de Rayquaza. Jusqu’au 5 mars, boostez vos Pokémon les plus forts, rassemblez vos amis, et dirigez-vous vers les Arènes les plus proches pour les combattre et les attraper. Ces combats seront rudes, nous proposons donc de nouvelles boîtes spéciales à partir du 24 février pour vous aider. Rendez-vous dans la Boutique du jeu pour en savoir plus. Soyez prudent, et bonne exploration.	¡Ahora es el momento de poner a prueba lo fuerte que eres! Los Pokémon legendarios Kyogre y Groudon vuelven a las incursiones junto con Rayquaza por un tiempo limitado. Dales más poder a tus Pokémon más fuertes, reúnete con tus amigos y dirigíos a Gimnasios cercanos para poder combatir contra ellos y capturarlos hasta el 5 de marzo. Estos combates serán difíciles, así que tendremos nuevos packs especiales a partir del 24 de febrero para ayudarte a que te prepares. Visita la tienda del juego para obtener más información. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Zeit, deine Kräfte zu testen! Die Legendären Pokémon Kyogre und Groudon erscheinen jetzt neben Rayquaza für begrenzte Zeit erneut in Raid-Kämpfen. Du solltest deine stärksten Pokémon hochleveln, deine Freunde zusammentrommeln und Arenen in deiner Nähe besuchen, um die Gelegenheit, diese Pokémon bis zum 5. März herauszufordern und zu fangen, nicht zu verpassen. Zur Vorbereitung auf diese schwierigen Kämpfe bieten wir ab 24. Februar neue Spezialboxen an. Besuche den In-Game-Shop, um mehr zu erfahren! Allzeit sichere und schöne Entdeckungsreisen!	È giunto il momento di mettere alla prova la tua forza. I Pokémon leggendari Kyogre e Groudon ricompariranno nei raid a fianco di Rayquaza per un periodo limitato di tempo. Potenzia i tuoi Pokémon più forti, raduna gli amici e visita le Palestre vicine per avere la possibilità di sfidarli e catturarli fino al 5 marzo. Saranno incontri molto difficili, per aiutarti abbiamo preparato delle offerte speciali disponibili dal 24 febbraio. Visita il negozio all’interno del gioco per scoprire tutti i dettagli. Ricorda di essere sempre prudente e buon divertimento!	호연지방 전설의 포켓몬 그란돈, 가이오가가  레쿠쟈와 함께 레이드배틀에 2월 24일부터 3월 5일까지 다시 등장합니다. 레이드배틀 참가에 필요한 프리미엄 레이드패스가 들어 있는 「스페셜박스」를 2월 25일부터 숍 내에 등장하니 플레이에 유용하게 사용하세요. Pokémon GO 를 플레이할 때는 주변에 주의하면서 플레이해주세요! 		自2月24日起至3月5日止，固拉多、蓋歐卡和烈空坐這三隻來自豐緣地區的傳說的寶可夢將同時降臨各地的團體戰，千萬別錯過！為了讓各位訓練家能更有效率地準備道具，商店也會自2月24日起推出內含特級團體戰入場券的特別禮盒，敬請多加利用。玩 Pokémon GO 時，請務必小心安全。  	Está na hora de testar a sua força! Os Pokémon Lendários Kyogre e Groudon retornam às Batalhas de Reide, juntando-se a Rayquaza por tempo limitado. Prepare seus Pokémon mais fortes, chame seus amigos e visite os Ginásios mais próximos para ter a chance de batalhar contra e pegar estes Pokémon até o dia 5 de março. Estas batalhas serão duras, e, por isso, lançaremos novos combos especiais no dia 24 de fevereiro que o ajudarão a se preparar. Visite a loja do jogo para maiores informações! Tome cuidado e divirta-se explorando o mundo!
news_header_febcmtydayreminder	On February 24, Dratini Stars in Pokémon GO Community Day!		Le 24 février, Minidraco sera la star de la Journée Communauté de Pokémon GO.	¡El 24 de febrero Dratini es la estrella en el Día de la Comunidad de Pokémon GO!	Am 24. Februar ist Dratini der Star des Pokémon GO Community Day!	Il 24 febbraio, il protagonista del Community Day sarà Dratini!				No dia 24 de fevereiro, Dratini será a estrela do Dia Comunitário do Pokémon GO!
news_subheader_febcmtydayreminder	On February 24, Dratini Stars in Pokémon GO Community Day!		Le 24 février, Minidraco sera la star de la Journée Communauté de Pokémon GO.	¡El 24 de febrero Dratini es la estrella en el Día de la Comunidad de Pokémon GO!	Am 24. Februar ist Dratini der Star des Pokémon GO Community Day!	Il 24 febbraio, il protagonista del Community Day sarà Dratini!				No dia 24 de fevereiro, Dratini será a estrela do Dia Comunitário do Pokémon GO!
news_main_text_febcmtydayreminder	Trainers, don’t miss a unique chance to catch a special Pokémon during this month’s Community Day! On February 24, Dratini will appear in the wild more frequently for three hours, and if you evolve a Dragonair into Dragonite during that three-hour window, it will learn the special move Draco Meteor. Put those Charged TMs away, Trainers! This special move will only be available for Dragonite that are evolved or caught during Community Day. Plus, all Pokémon caught during event hours will also award 3× Stardust! Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Visit PokemonGoLive.com/events to find out when Community Day starts in your region!		Dresseurs, ne manquez pas votre chance d’attraper un Pokémon spécial lors de la Journée Communauté de ce mois. Pendant trois heures le 24 février, Minidraco apparaîtra plus fréquemment dans la nature, et si vous faites évoluer Draco en Dracolosse, il apprendra l’attaque spéciale Draco Météore. Vous pouvez ranger vos CT Attaques Chargées, Dresseurs. Seuls les Dracolosse qui évoluent ou sont attrapés pendant la Journée Communauté pourront apprendre cette attaque spéciale. En outre, les Pokémon attrapés durant cet évènement vous rapporteront trois fois la quantité de Poussière Étoile. Et n’oubliez pas vos Modules Leurre qui resteront actifs pendant trois heures, vous permettant de profiter au maximum de cet évènement. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur PokemonGoLive.com/events.	¡No te pierdas una oportunidad única de capturar un Pokémon especial durante el Día de la Comunidad de este mes! El 24 de febrero Dratini aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Dragonair a un Dragonite durante ese periodo de tres horas, aprenderá el movimiento especial Cometa Draco. ¡Guarda esas MT de ataque cargado! Este movimiento especial solo estará disponible para los Dragonite que hayan evolucionado o sido atrapados durante el Día de la Comunidad. Además, todos los Pokémon capturados durante las horas de este evento también te concederán tres veces la cantidad usual de Polvos Estelares. Y no te olvides de tus Módulos Cebo, porque permanecerán activos durante tres horas para ayudarte a que aproveches al máximo el evento. ¡Visita PokemonGoLive.com/events para averiguar cuándo empieza el Día de la Comunidad en tu región!	Lasst euch nicht die Chance entgehen, am Community Day dieses Monats ein besonderes Pokémon zu fangen, Trainer! Am 24. Februar erscheinen wilde Dratini drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden Dragonir zu Dragoran entwickelst, kann es die besondere Attacke Draco Meteor lernen. Das geht ganz ohne Lade-TMs, Trainer! Diese spezielle Attacke gibt es nur für Dragoran, die am Community Day entwickelt oder gefangen werden. Außerdem erhältst du für alle Pokémon, die du während des Event-Zeitraums fängst, die dreifache Menge Sternenstaub! Vergesst auch nicht eure Lockmodule, denn sie bleiben drei Stunden lang aktiv, damit du auch wirklich alles aus dem Event rausschlagen kannst. Besuche PokemonGoLive.com/events, um herauszufinden, wann Community Day in deiner Gegend anfängt!	Ehi, Allenatore, non perdere un’occasione unica di catturare un Pokémon speciale durante il Community Day di questo mese! Il 24 febbraio Dratini apparirà come Pokémon selvatico con una frequenza maggiore per tre ore e, se farai evolvere Dragonair in Dragonite in questo stesso frangente, il Pokémon imparerà la mossa speciale Dragobolide. Manda pure in pensione tutte le TM attacco caricato che hai! Questa mossa speciale sarà disponibile solo per i Dragonite che si sono evoluti o che sono stati catturati durante il Community Day. Tra l’altro, tutti i Pokémon catturati nel corso dell’evento ti faranno guadagnare il triplo della polvere di stelle! E non dimenticare che i tuoi moduli esca resteranno attivi per ben tre ore per sfruttare al meglio quest’occasione! Visita PokemonGOLive.com per scoprire a che ora inizia il Community Day nel tuo paese.				Treinadores, não percam a chance de pegar um Pokémon especial no Dia Comunitário deste mês! No dia 24 de fevereiro, Dratini selvagens aparecerão com mais frequência durante três horas e se você evoluir Dragonair para Dragonite durante essas três horas, Dragonite aprenderá o movimento especial Meteoro do Dragão. Podem guardar suas MTs ataque carregado, Treinadores! Este movimento especial só estará disponível para Dragonite que tiverem evoluído ou tiverem sido pegos durante o Dia Comunitário. Além disso, todos os Pokémon pegos durante os horários do evento fornecerão o triplo de Poeira Estelar! Não se esqueçam dos seus Módulos Atrair, que ficarão ativados durante três horas para ajudá-los a aproveitar ao máximo o evento. Visitem PokemonGoLive.com/events para descobrir a que horas o Dia Comunitário começa na sua região!
news_header_chiayi									2018台灣燈會在嘉義 	
