Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_shiny_meltan	Shiny Meltan returns for a limited time!	色違いの「メルタン」が期間限定で再登場！	Des Meltan chromatiques reviennent pour une période limitée.	¡Meltan variocolor vuelve por un tiempo limitado!	Schillerndes Meltan erscheint wieder für begrenzte Zeit!	La versione cromatica di Meltan ritorna per un periodo limitato di tempo!	색이 다른 「멜탄」이 기간 한정으로 다시 등장!		異色美錄坦將再次限時登場！	Meltan Brilhante está de volta por um tempo limitado!
news_subheader__shiny_meltan	Shiny Meltan returns for a limited time!	色違いの「メルタン」が期間限定で再登場！	Des Meltan chromatiques reviennent pour une période limitée.	¡Meltan variocolor vuelve por un tiempo limitado!	Schillerndes Meltan erscheint wieder für begrenzte Zeit!	La versione cromatica di Meltan ritorna per un periodo limitato di tempo!	색이 다른 「멜탄」이 기간 한정으로 다시 등장!		異色美錄坦將再次限時登場！	Meltan Brilhante está de volta por um tempo limitado!
news_main_text__shiny_meltan	We are excited to announce that Shiny Meltan is back for a limited time! Meltan, a mysterious and rare Pokémon, only appears when the Mystery Box is opened in Pokémon GO. If you’re lucky, you may encounter Shiny Meltan when you open the Mystery Box from Wednesday, April 24, at 1:00 p.m. PDT until Sunday, May 5, at 1:00 p.m. PDT! \n  \nThe key to catching Meltan is the Mystery Box, which can be obtained by sending a Pokémon from Pokémon GO to the Nintendo Switch titles Pokémon: Let’s Go, Pikachu! or Pokémon: Let’s Go, Eevee!  \n \nUntil now, Trainers had to wait seven days after opening the Mystery Box before opening it again. Starting Wednesday, April 24, at 1:00 p.m. PDT, you’ll be able to open the Mystery Box once every three days, making it easier to get Meltan! Don’t miss your chance to evolve Shiny Meltan into Shiny Melmetal! Start collecting those Meltan Candies, Trainer!  \n \nDate + Time \nWednesday, Apr. 24, at 1:00 p.m. PDT (GMT −7) until Sunday, May 5, at 1:00 p.m. PDT (GMT −7)  \n \nFeatures \n- When you open the Mystery Box, you may encounter the Shiny version of the Mythical Pokémon Meltan! \n- Trainers will now be able to open the Mystery Box every three days, even after the event ends.	トレーナーの皆さん！幻のポケモン「メルタン」の色違いが期間限定で再び登場します！ 「メルタン」は「ふしぎなはこ」を使うことで現れる珍しいポケモンで、今回、日本時間4月25日（木）朝5時00分から5月6日（月）朝5時00分までの期間中、「ふしぎなはこ」を使用している一定時間の間に、運が良ければ色違いのメルタンと出会えるようになるようです！ \n \n「メルタン」をゲットする鍵となる「ふしぎなはこ」は、『Pokémon GO』からNintendo Switchソフト『ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ』にポケモンを初めて連れてきた際に手に入れることができます。 \n \nさらに、今までは7日経過しなければ再び開けることができなかった「ふしぎなはこ」は、4月25日（木）朝5時00分以降からは3日に1回開けることができるようになり、よりメルタンをゲットしやすくなります！ また、「メルタン」は、「メルタンのアメ」を400個集めることで「メルメタル」に進化させることができます。この機会に色違いの「メルメタル」もゲットしましょう！ \n \n[日時] \n日本時間 2019年 4月25日（木）朝5時00分から5月6日（月）朝5時00分まで \n \n[内容] \n「ふしぎなはこ」を使用した際に幻のポケモン「メルタン」の色違いが現れることがある。 \n \n当日の天候​条件や諸​事情により​、​イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。 	Nous avons le plaisir de vous annoncer que les Meltan chromatiques sont de retour pour une durée limitée ! Meltan, un Pokémon mystérieux et rare, n’apparait que si vous ouvrez la Boîte Mystère dans Pokémon GO. Ouvrez la Boîte Mystère entre mercredi 24 avril à 13h PDT (UTC -7) et dimanche 5 mai à 13h PDT (UTC -7), et vous aurez peut-être la chance de rencontrer un Meltan chromatique.  \n \nPour attraper Meltan, il vous faut une Boîte Mystère, que vous pouvez obtenir en transférant un Pokémon depuis Pokémon GO vers les jeux Pokémon : Let’s Go, Pikachu ou Pokémon : Let’s Go, Évoli pour Nintendo Switch.  \n \nJusqu’à présent, un Dresseur devait attendre 7 jours après avoir ouvert la Boîte Mystère pour l’ouvrir de nouveau. Dès le mercredi 24 avril à 13h PDT (UTC -7), vous pourrez ouvrir la Boîte Mystère tous les trois jours et obtenir ainsi plus de Meltan... Ne ratez pas cette chance de faire évoluer un Meltan chromatique en Melmetal chromatique ! Commencez à collectionner ces Bonbons Meltan, Dresseur !  \n \nHoraire \nDu mercredi 24 avril à 13h PDT (UTC -7) au dimanche 5 mai à 13h PDT (UTC -7)  \n \nParticularités \n- En ouvrant la Boîte Mystère, vous rencontrerez peut-être la version chromatique du Pokémon fabuleux Meltan. \n- Vous pourrez désormais ouvrir la Boîte Mystère tous les trois jours, même après l’évènement.	¡Estamos encantados de anunciar que Meltan variocolor está de vuelta por un tiempo limitado! Meltan, un Pokémon misterioso y raro, aparece únicamente al abrir la Caja Misteriosa en Pokémon GO. Si tienes suerte, ¡puede que te encuentres con un Meltan variocolor cuando abras la Caja Misteriosa del miércoles 24 de abril a la 1:00 p. m. PDT al domingo 5 de mayo a la 1:00 p. m. PDT!.  \n \nLa clave para capturar a Meltan es la Caja Misteriosa, que se puede conseguir enviando un Pokémon de Pokémon GO a los juegos de Nintendo Switch Pokémon: Let’s Go, Pikachu! o Pokémon: Let’s Go, Eevee!  \n \nHasta ahora, has tenido que esperar siete días desde la apertura de la Caja Misteriosa para poder abrirla otra vez. A partir del 24 de abril a la 1:00 p. m. PDT, podrás volver a abrir la Caja Misteriosa una vez cada tres días, ¡haciendo que sea más fácil conseguir a Meltan! ¡No te pierdas la oportunidad de hacer evolucionar a Meltan variocolor a Melmetal variocolor! ¡Empieza a recolectar esos Caramelos Meltan!  \n \nFecha y horas: \nDesde el miércoles 24 de abril a la 1:00 p. m. PDT (GMT −7) hasta el domingo 5 de mayo a la 1:00 p. m. PDT (GMT −7).  \n \nDetalles: \n- Al abrir la Caja Misteriosa, ¡puede que te encuentres con la versión variocolor del Pokémon singular Meltan! \n- Se reducirá a cada tres días el tiempo de espera para poder abrir la Caja Misteriosa, incluso una vez que haya terminado el evento.	Wir haben gute Nachrichten! Schillerndes Meltan kehrt für kurze Zeit zurück! Meltan, ein geheimnisvolles und seltenes Pokémon erscheint nur, wenn eine Wunderbox in Pokémon GO geöffnet wird. Wenn du Glück hast, begegnest du sogar einem Schillernden Meltan, wenn du zwischen Mittwoch, den 24. April um 13:00 Uhr PDT und Sonntag, den 5. Mai um 13:00 Uhr PDT die Wunderbox öffnest!  \n \nWenn du Meltan fangen möchtest, ist die Wunderbox der Schlüssel zum Erfolg. Diese erhältst du, indem du ein Pokémon auf die Nintendo Switch-Spiele Pokémon: Let’s Go, Pikachu! oder Pokémon: Let’s Go, Evoli! überträgst!  \n \nBisher mussten Trainer nach dem Öffnen der Wunderbox sieben Tage warten, bevor sie erneut geöffnet werden konnte. Ab Mittwoch, dem 24. April um 13:00 Uhr PDT musst du nur drei Tage warten, bevor du die Wunderbox erneut öffnen kannst, wodurch es einfacher wird, Meltan zu fangen! Lass dir die Gelegenheit, ein Schillerndes Meltan zu Schillerndes Melmetal zu entwickeln, nicht entgehen! Fange an, Meltan-Bonbons zu sammeln, Trainer!  \n \nWann \nMittwoch, 24. April um 13:00 Uhr PDT (GMT -7) bis Sonntag, 5. Mai um 13:00 Uhr PDT (GMT -7)  \n \nDetails \n- Wenn du die Wunderbox öffnest, begegnest du vielleicht der Schillernden Version des Mysteriösen Pokémon Meltan! \n- Trainer können die Wunderbox jetzt alle drei Tage öffnen, sogar nach dem Ende des Events.	Siamo lieti di annunciare il ritorno di Meltan in versione cromatica, ma solo per un periodo di tempo limitato! Meltan, un Pokémon raro e misterioso, appare solo all’apertura del pacco sorpresa in Pokémon GO. E con un pizzico di fortuna, se aprirai il pacco sorpresa da mercoledì 24 aprile alle 13:00 PDT al 5 maggio alla stessa ora, potresti incontrare la versione cromatica del Pokémon Bullone!  \n \nPer ottenere il pacco sorpresa, indispensabile per la cattura di Meltan, dovrai trasferire un Pokémon da Pokémon GO a Pokémon: Let’s Go, Pikachu! o Pokémon: Let’s Go, Eevee! per Nintendo Switch.  \n \nA partire dal 24 aprile alle 13:00 PDT, inoltre, dopo l’apertura del pacco sorpresa, il tempo di attesa per poterlo aprire nuovamente sarà ridotto da sette a tre giorni, aumentando così le tue possibilità di catturare Meltan. Dulcis in fundo... Non perdere l’occasione di far evolvere la versione cromatica di Meltan per ottenere un Melmetal cromatico! Cosa aspetti? Inizia subito a raccogliere tantissime caramelle Meltan!  \n \n- Orari - \nDa mercoledì 24 aprile alle 13:00 PDT (GMT -7) a domenica 5 maggio alle 13:00 PDT (GMT -7)  \n \n- Dettagli - \nAll’apertura del pacco sorpresa potresti incontrare la versione cromatica del Pokémon misterioso Meltan. \nSarà possibile aprire il pacco sorpresa una volta ogni tre giorni, anche dopo il termine dell’evento.	트레이너 여러분! 환상의 포켓몬 「멜탄」의 색이 다른 포켓몬이 기간 한정으로 다시 등장합니다! 「멜탄」은 이상한 상자를 사용하면 나타나는 희귀한 포켓몬입니다. 이번에는 한국 시간 4월 25일(목) 아침 5시부터 5월 6일(월) 아침 5시까지 이상한 상자를 사용하는 일정 시간 동안에 운이 좋으면 색이 다른 「멜탄」과 만날 수 있습니다! \n \n「멜탄」을 잡는 열쇠인 이상한 상자는 “Pokémon GO”에서 Nintendo Switch 소프트웨어 「포켓몬스터 레츠고! 피가츄・레츠고! 이브이」로 포켓몬을 처음 데려갔을 때 손에 넣을 수 있습니다. \n \n그리고 지금까지는 7일이 지나야 다시 열 수 있었던 「이상한 상자」는 4월 25일(목) 아침 5시 이후부터 3일에 1번 열 수 있게 되어 더 쉽게 멜탄을 잡을 수 있게 됩니다! 또한, 「멜탄」은 「멜탄의 사탕」을 400개 모으면 「멜메탈」로 진화할 수 있습니다. 이번 기회에 색이 다른 「멜메탈」도 손에 넣어보세요! \n \n[일정] \n한국 시간 2019년 4월 25일(목) 아침 5시부터 5월 6일(월) 아침 5시까지 \n \n[내용] \n-「이상한 상자」를 사용했을 때 색이 다른 환상의 포켓몬 「멜탄」이 나타난다. \n \n※ 날씨 또는 기타 사정에 의해 개최 기간, 내용 등이 변경 될 수 있습니다. 미리 양해 부탁드립니다.		親愛的訓練家們！幻之寶可夢美錄坦的異色形態將再次限時登場！自台灣時間4月25日清晨4:00起至5月6日清晨4:00止，只要使用神秘盒子，就有機會遇見異色美錄坦！ \n \n神秘盒子是見到美錄坦的關鍵，只要從Pokémon GO將寶可夢傳送至Nintendo Switch遊戲軟體『精靈寶可夢 Let's Go！皮卡丘／Let's Go！伊布』，就能獲得神秘盒子。 \n \n此外，自4月25日清晨4:00起，使用神秘盒子後的倒數時間將會從原本的7天縮短為3天，捕捉美錄坦將變得更容易。只要收集到400顆美錄坦的糖果，就能牠進化成美錄梅塔，而且異色美錄坦將會進化成異色美錄梅塔，千萬別錯過！ \n \n【活動時間】 \n台灣時間 2019年 4月25日清晨4:00起至5月6日清晨4:00止 \n \n【活動內容】 \n使用神秘盒子時將有機會遇見異色的幻之寶可夢「美錄坦」 \n \n※活動時間與活動內容有可能受天氣或其他因素影響而有所變更，敬請見諒。	Ficamos empolgados em anunciar que Meltan Brilhante está de volta por um tempo limitado! Meltan é um Pokémon misterioso e raro e só aparece quando a Caixa Misteriosa é aberta no Pokémon GO. Se você tiver sorte, poderá encontrar Meltan Brilhante ao abrir a Caixa Misteriosa entre os dias 24 de abril, às 13h horário do pacífico, e 5 de maio, às 13h horário do pacífico!  \n \nO segredo para capturar Meltan se encontra na Caixa Misteriosa, que pode ser obtida enviando Pokémon do Pokémon GO para um dos jogos para Nintendo Switch, Pokémon: Let’s Go, Pikachu! ou Pokémon: Let’s Go, Eevee!.  \n \nAté agora, os Treinadores precisavam esperar sete dias depois de abrir a Caixa Misteriosa para abri-la novamente. A partir do dia 24 de abril, às 13h horário do pacífico, você poderá abrir a Caixa Misteriosa uma vez a cada três dias e terá mais chances de pegar Meltan! Não perca a chance de evoluir Meltan Brilhante para Melmetal Brilhante! Comece a juntar doces de Meltan agora mesmo!  \n \nData e hora \nDe quarta-feira, dia 24 de abril, às 13h horário do pacífico (GMT −7), a domingo, dia 5 de maio, às 13h horário do pacífico (GMT −7).  \n \nDetalhes \n- Ao abrir a Caixa Misteriosa, você poderá encontrar a versão Brilhante do Pokémon Mítico Meltan! \n- Os Treinadores agora poderão abrir a Caixa Misteriosa a cada três dias, mesmo depois que o evento acabar.
news_header_may_cd	Heat up your weekend on May Community Day with Torchic!	5月の「Pokémon GO コミュニティ・デイ」を「アチャモ」と一緒に楽しもう！	Ça va chauffer lors de la Journée Communauté de mai avec Poussifeu.	¡Sube la temperatura de tu finde en el Día de la Comunidad de mayo con Torchic!	Der Community Day mit Flemmli heizt dein Wochenende auf!	Il weekend si incendia con il Community Day di maggio dedicato a Torchic!	5월의 「Pokémon GO 커뮤니티 데이」를 「아차모」와 함께 즐기자!		和火稚雞一起在五月社群日裡燃燒週末吧！	Esquente o seu fim de semana no Dia Comunitário de maio com Torchic!
news_subheader_may_cd	Heat up your weekend on May Community Day with Torchic!	5月の「Pokémon GO コミュニティ・デイ」を「アチャモ」と一緒に楽しもう！	Ça va chauffer lors de la Journée Communauté de mai avec Poussifeu.	¡Sube la temperatura de tu finde en el Día de la Comunidad de mayo con Torchic!	Der Community Day mit Flemmli heizt dein Wochenende auf!	Il weekend si incendia con il Community Day di maggio dedicato a Torchic!	5월의 「Pokémon GO 커뮤니티 데이」를 「아차모」와 함께 즐기자!		和火稚雞一起在五月社群日裡燃燒週末吧！	Esquente o seu fim de semana no Dia Comunitário de maio com Torchic!
news_main_text_may_cd	Mark your calendars for May Community Day, featuring the Fire-type Pokémon Torchic, on the third Sunday in May! Check out the details below: \n \nDate + Time \nGlobally May 19, 2019, from 3:00 p.m. to 6:00 p.m. (local time)  \n \nFeatures \n- Torchic will appear more frequently in the wild. \n- Lure Modules will last three hours for the duration of the event. \n- You may encounter a Shiny Torchic if you’re lucky! \n- Evolve Combusken during the event or up to one hour afterward to obtain Blaziken that know a special move! \n \nBonuses \n- 3× Catch Stardust \n                 \nWe can’t wait to see you out there, Trainers! Stay safe, and happy exploring!	5月の「Pokémon GO コミュニティ・デイ」は、日本時間5月19日（日）昼の15時から18時に開催します！今回は、ほのおタイプのポケモン「アチャモ」が大量発生！詳細は以下の通りです： \n  \n[イベント日時] \n日本時間5月19日（日）昼の15時～18時 \n  \n[イベント内容] \n「アチャモ」がいつもより多く出現 \nイベント期間中はルアーモジュールの効果が3時間持続 \nまれに色違いの「アチャモ」が出現 \nイベント開始時から終了1時間後までに「ワカシャモ」を「バシャーモ」に進化させると、「バシャーモ」が特別なわざを覚えます！  \n \n[ボーナス] \nポケモンをつかまえた時にもらえるほしのすなが3倍  \n                \nトレーナーの皆さんにお会いできるのを楽しみにしています！ \n \n『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 \n※当日の天候条件や諸事情により、イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。 	Notez la date de la Journée Communauté de mai qui se déroulera le troisième dimanche de mai et mettra en vedette le Pokémon de type Feu Poussifeu. Voici les détails :  \n  \nHoraire  \nLe 19 mai 2019 de 15h à 18h partout dans le monde (heure locale).  \n  \nParticularités  \n- Poussifeu fera des apparitions plus fréquentes.  \n- Les Modules Leurre resteront actifs pendant trois heures durant l’évènement.  \n- Si vous êtes chanceux, vous pourriez rencontrer un Poussifeu chromatique.  \n- Faites évoluer des Galifeu pendant l’évènement (et jusqu’à une heure après celui-ci) pour obtenir des Braségali connaissant une attaque spéciale.  \n  \nBonus  \n- 3 fois plus de Poussières Étoiles de capture  \n   \nDresseurs, nous vous attendons avec impatience ! Soyez prudents, et bonne exploration.	¡Anota en tu calendario el Día de la Comunidad de mayo, con el Pokémon de tipo Fuego Torchic como protagonista, durante el tercer domingo de mayo! Echa un vistazo a los detalles a continuación:  \n  \nFecha y horas:  \nEn todo el mundo, el 19 de mayo de 2019 de 3:00 p. m. a 6:00 p. m. (hora local).  \n  \nDetalles:  \n- Torchic aparecerá en estado salvaje con más frecuencia.  \n- Los Módulos Cebo durarán tres horas durante el evento.  \n- ¡Si tienes suerte, puede que te encuentres con un Torchic variocolor!  \n- ¡Haz que un Combusken evolucione durante el evento o hasta una hora después del mismo para conseguir un Blaziken que conoce un movimiento especial!  \n  \nBonus:  \n- Triple de Polvos Estelares por captura.  \n   \n¡Esperamos verte por ahí! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Markiere deinen Kalender für den Community Day am dritten Sonntag im Mai mit dem Feuer-Pokémon Flemmli! Hier sind die Infos: \n \nWann Weltweit am 19. Mai 2019 von 15:00 Uhr bis 18:00 Uhr (Ortszeit) \n \nDetails \n- Wilde Flemmli erscheinen mit vermehrter Häufigkeit. \n- Lockmodule halten während des Events drei Stunden lang an. \n- Mit etwas Glück begegnest du vielleicht einem Schillernden Flemmli! \n- Entwickle Jungglut während oder bis zu einer Stunde nach Abschluss des Events, um Lohgock zu erhalten, die eine besondere Attacke beherrschen! \n \nBonusse \n Dreifache Menge Fang-Sternenstaub \n \nWir können es kaum erwarten, dich da draußen zu sehen, Trainer! Allzeit sichere und schöne Entdeckungsreisen!	Segna la data sul calendario, perché il Pokémon di tipo Fuoco Torchic farà capolino la terza domenica di maggio, in occasione del Community Day del mese. Ecco tutte le informazioni: \n \n- Orari e date - \nIn tutto il mondo: il 19 maggio 2019, dalle 15:00 alle 18:00, ora locale \n \n- Dettagli - \nTorchic apparirà più frequentemente allo stato selvatico. \nI moduli esca dureranno tre ore nel corso dell’evento. \nCon un po’ di fortuna, potresti persino incontrare un Torchic cromatico! \nSe farai evolvere Combusken fino a un’ora dopo la fine dell’evento, otterrai un Blaziken che conosce una mossa particolare! \n \n- Bonus - \nTriplo della polvere di stelle da cattura \n  \nGambe in spalla, ci vediamo in giro! Ricorda di essere sempre prudente e buon divertimento!	 5월의 「Pokémon GO 커뮤니티 데이」는 한국시간 5월 19일(일) 15시부터 18시까지 개최합니다! 이번에는 불꽃타입포켓몬 아차모가 대량발생! 자세한 내용은 아래를 확인해 주세요. \n  \n[이벤트 일정] \n한국 시간 2019년 5월 19일(일) 15시부터 18시까지 \n \n[이벤트 내용] \n- 아차모가 평소보다 많이 나타납니다. \n- 이벤트 기간에는 루어모듈의 효과가 3시간 동안 지속됩니다. \n- 운이 좋으면 색이 다른 아차모를 만날 수 있습니다! \n- 이벤트 시작부터 종료 1시간 후까지 영치코를 번치코로 진화시키면 특별한 기술을 배웁니다. \n \n[보너스] \n- 포켓몬을 잡았을 때 받을 수 있는 별의모래가 3배 \n \n트레이너 여러분과 만날 수 있길 기대하고 있습니다!  \n \n“Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		五月社群日將於五月的第三個星期日登場，這次的主角寶可夢是火稚雞！趕快在你的行程表上記下這個日子吧！活動詳情如下： \n \n活動日期 \n台灣時間5月19日15:00～18:00  \n \n活動內容 \n- 火稚雞出現在地圖上的機率將會提高 \n- 誘餌模組的效果將持續3小時 \n- 只要你夠幸運，或許有機會能遇見異色火稚雞！ \n- 只要在活動結束後1小時的最終期限內讓力壯雞進化成火焰雞，牠就能學會特別的招式！ \n \n獎勵 \n- 捕捉寶可夢時可獲得的星星沙子增加為平時的3倍 \n \n我們非常期待能在社群日當天見到各位訓練家！！ \n \n玩遊戲時請注意周遭環境，小心自身安全。 \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Não deixe de marcar o Dia Comunitário de maio na sua agenda. O evento está marcado para o terceiro domingo de maio e contará com o Pokémon de tipo Fogo Torchic! Confira os detalhes sobre o evento abaixo: \n \nData e hora \nGlobalmente, 19 de maio de 2019, das 15h às 18h (hora local). \n \nDetalhes \n- Torchic selvagens aparecerão com mais frequência. \n- Os Módulos Atrair durarão três horas durante o horário do evento. \n- Se tiver sorte, você poderá encontrar um Torchic Brilhante! \n- Ao evoluir Combusken até uma hora após o evento, você obterá Blaziken que saberá um movimento especial! \n \nBônus \n- O triplo de Poeira Estelar por captura. \n \nMal podemos esperar para ver você lá! Tome cuidado e divirta-se explorando o mundo!
news_header_gosnapshot_contest1	Show off your photography skills and win our GO Snapshot contest!	「GOスナップショットチャレンジ」開催！GOスナップショットで写真を撮影し、コンテストに応募しましょう！	Démontrez vos talents de photographe et gagnez notre concours Cliché GO.	¡Presume de tus habilidades fotográficas y gana el concurso Instantánea de GO!	Schnappt euch mit euren Fotos den Sieg beim GO-Schnappschuss-Wettbewerb!		「GO스냅샷 챌린지」 개최! GO스냅샷으로 사진을 찍고 콘테스트에 응모하자!		「GO Snapshot大賽」登場！用GO Snapshot拍照，和其他訓練家一較高下吧！	
news_subheader_gosnapshot_contest1	Show off your photography skills and win our GO Snapshot contest!	「GOスナップショットチャレンジ」開催！GOスナップショットで写真を撮影し、コンテストに応募しましょう！	Démontrez vos talents de photographe et gagnez notre concours Cliché GO.	¡Presume de tus habilidades fotográficas y gana el concurso Instantánea de GO!	Schnappt euch mit euren Fotos den Sieg beim GO-Schnappschuss-Wettbewerb!		「GO스냅샷 챌린지」 개최! GO스냅샷으로 사진을 찍고 콘테스트에 응모하자!		「GO Snapshot大賽」登場！用GO Snapshot拍照，和其他訓練家一較高下吧！	
news_main_text_gosnapshot_contest1	We have been so impressed by your photography skills using the new GO Snapshot feature while on adventures in the real world with your favorite Pokémon. Since the launch of GO Snapshot, Trainers around the world have been creating works of art! \n \nNow, it’s time to put those photography skills to the test! We are excited to announce the #GOsnapshot Challenge, where you can truly showcase your eye for creativity. Trainers are invited to participate in the three unique challenges of the contest, each with a specific focus and task for taking photos with your Pokémon. \n \nFor more information about our GO Snapshot contest, <a href="https://pokemongolive.com/post/gosnapshotsummer2019/">tap here to go to our blog</a>.	「GOスナップショット」が実装されてから、世界中のトレーナーがすてきな写真を撮影してくれています。ポケモンとの冒険の思い出をシェアしてくれて、ありがとうございます！ \n「GOスナップショットチャレンジ」を使って、皆さんのポケモンを魅力的に撮影してみてください！テーマの異なる3つのお題（チャレンジ）を用意しています。 \n \n<b>アドベンチャー#1：Buddy Challenge</b> \n<b>アドベンチャー#2：Habitat Challenge</b> \n<b>アドベンチャー#3：Go Create Challenge</b> \n \n「GOスナップショットチャレンジ」の詳細は<a href="https://pokemongolive.com/ja/post/gosnapshotsummer2019">こちら</a>でご確認ください。 \n \n皆さんの個性的かつ想像力豊かな写真を楽しみにしています！世界中に最高の一枚をシェアしましょう！	Nous sommes très impressionnés par les belles photos que vous avez prises avec Cliché GO durant vos aventures dans le monde avec vos Pokémon favoris. Depuis le lancement de Cliché GO, les Dresseurs du monde entier ont réalisé des œuvres d’art.  \n  \nIl est donc grand temps de tester vos talents de photographe. Nous sommes heureux de vous annoncer le Défi #GOsnapshot, durant lequel vous pourrez laisser libre cours à votre créativité. Pour ce concours, les Dresseurs sont invités à participer à trois défis uniques qui consisteront à prendre des photos avec vos Pokémon sur un thème spécifique.  \n  \nPour en savoir plus sur notre concours Cliché GO, touchez ici pour vous rendre sur <a href="https://pokemongolive.com/post/gosnapshotsummer2019/">notre blog</a>. 	\nEstamos realmente impresionados con las habilidades fotográficas de los Entrenadores con la nueva función Instantánea de GO durante las aventuras por el mundo real con vuestros Pokémon favoritos. ¡Desde el lanzamiento de Instantánea de GO, Entrenadores de todo el mundo han estado creando verdaderas obras de arte! \n \n¡Ahora es hora de poner a prueba esas habilidades fotográficas! Estamos muy contentos de anunciar el reto #GOsnapshot, en el que podrás demostrar tu creatividad. Estás invitado a participar en tres retos únicos dentro del concurso, cada uno con un enfoque y una tarea específicos para hacerte fotos con tus Pokémon. \n \nPara más información acerca de nuestro concurso Instantánea GO, <a href="https://pokemongolive.com/post/gosnapshotsummer2019/">pulsa aquí o visita nuestro blog</a>.	Wir sind wirklich beeindruckt von den Fotos, die ihr mit GO-Schnappschuss auf den Abenteuerreisen mit eurem Lieblings-Pokémon in der realen Welt gemacht habt. Seit der Veröffentlichung von GO-Schnappschuss haben die Trainer auf der ganzen Welt wahre Kunstwerke erschaffen! \n \nNun stellen wir eure Fähigkeiten als Fotografen auf die Probe! Bei der #GOSnapshot-Herausforderung könnt ihr eure kreative Ader unter Beweis stellen. Der Wettbewerb besteht aus drei einzigartigen Herausforderungen mit unterschiedlichen Schwerpunkten und Aufgaben für die Fotos von euren Pokémon.  \n \n<a href="https://pokemongolive.com/post/gosnapshotsummer2019/">Tippe hier, um unseren Blog zu besuchen</a> und mehr zu erfahren.		「GO스냅샷」이 추가되면서 전 세계 트레이너가 멋진 사진을 촬영하고 있습니다. 포켓몬과의 추억을 공유해 주셔서 감사합니다! \n「GO스냅샷 챌린지」를 통해 여러분의 포켓몬을 매력적으로 촬영해 보세요! 테마가 다른 3가지 주제(챌린지)를 준비했습니다. \n \n<b>어드벤처 #1: Buddy Challenge</b> \n<b>어브벤처 #2: Habitat Challenge</b> \n<b>어드벤처 #3: Go Create Challenge</b> \n \n「GO스냅샷 챌린지」의 자세한 내용은 <a href="https://pokemongolive.com/post/gosnapshotsummer2019">여기</a>에서 확인해 주세요. \n \n여러분의 개성과 창의력 넘치는 사진을 기대하고 있습니다! 전 세계에 최고의 1장을 공유해 주세요!		自GO Snapshot功能登場以來，我們不斷收到世界各地訓練家傳來的的精美照片。謝謝各位這麼熱情地跟我們分享你和寶可夢們的美好記憶！為了讓各位訓練家有更多大展身手的機會，我們將舉辦「GO Snapshot大賽」，大賽中共有三項挑戰，歡迎各位踴躍參加！ \n \n<b>挑戰#1：Buddy Challenge</b> \n<b>挑戰#2：Habitat Challenge</b> \n<b>挑戰#3：Go Create Challenge</b> \n \n更多GO Snapshot大賽的相關消息，請至<a href="https://pokemongolive.com/post/gosnapshotsummer2019">官方網站</a>確認。 \n \n我們非常期待各位創意滿分的照片！	
news_header_eggstravaganza	Hop to the Pokémon GO Eggstravaganza!	ポケモンのタマゴを探せ！	Rendez-vous au Festival des Œufs de Pokémon GO.	¡Únete al Festival de Primavera de Pokémon GO!	Hüpf ins Pokémon GO-Ei-Spektakel!	È di nuovo Uova à gogo con Pokémon GO!	포켓몬의 알을 찾아라!		Pokémon GO「全民找蛋大作戰」	É hora de botar para quebrar com a Extravagância de Ovos do Pokémon GO!
