Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_gen3wave3	More Pokémon from the Hoenn region are here!	ホウエン地方のポケモンがさらに登場！	D’autres Pokémon originaires de la région d’Hoenn sont arrivés !	¡Tenemos más Pokémon originarios de la región Hoenn!	Weitere Pokémon, die zuerst in der Hoenn-Region entdeckt wurden, sind gesichtet worden!	Nuovi Pokémon direttamente dalla regione di Hoenn!	호연지방 포켓몬이 추가로 등장!		更多來自豐緣地區的寶可夢！	Mais Pokémon da região de Hoenn estão por aqui!
news_subheader_gen3wave3	More Pokémon from the Hoenn region are here!	ホウエン地方のポケモンがさらに登場！	D’autres Pokémon originaires de la région d’Hoenn sont arrivés !	¡Tenemos más Pokémon originarios de la región Hoenn!	Weitere Pokémon, die zuerst in der Hoenn-Region entdeckt wurden, sind gesichtet worden!	Nuovi Pokémon direttamente dalla regione di Hoenn!	호연지방 포켓몬이 추가로 등장!		更多來自豐緣地區的寶可夢！	Mais Pokémon da região de Hoenn estão por aqui!
news_main_text_gen3wave3	Starting later today, 23 additional Pokémon originally discovered in the Hoenn region in the Pokémon Ruby and Pokémon Sapphire video games will begin appearing in Pokémon GO for the very first time. As you’re out adventuring with friends and family and exploring your local neighborhoods, be sure to share your favorite moments and photos using #PokemonGO on your social media channels.	『ポケットモンスター ルビー・サファイア』の舞台「ホウエン地方」で発見された、23匹のポケモンが新たに Pokémon GO に登場します！ 友達や家族と一緒にポケモンを探してみてくださいね！そしてお気に入りのポケモンや写真を #PokémonGO のハッシュタグをつけてSNSにぜひ投稿してください。	À partir d’aujourd’hui, 23 Pokémon supplémentaires découverts dans la région d’Hoenn des jeux Pokémon Rubis et Pokémon Saphir feront leur apparition dans Pokémon GO pour la toute première fois. Partez à l’aventure entre amis ou en famille, explorez votre quartier, et partagez avec nous vos moments et photos préférés en utilisant le tag #PokemonGO sur les réseaux sociaux.	Desde hoy, 23 Pokémon adicionales, descubiertos originalmente en la región Hoenn en los videojuegos Pokémon Rubí y Pokémon Zafiro, empezarán a aparecer por primera vez en Pokémon GO. Mientras te lanzas a la aventura con tus amigos y familiares, y te adentras en otros barrios de tu ciudad, asegúrate de compartir tus fotos y momentos favoritos utilizando #PokemonGO en tus redes sociales.	ab heute erscheinen 23 zusätzliche Pokémon, die zuerst in der Hoenn-Region in den Videospielen Pokémon Rubin und Pokémon Saphir entdeckt wurden, zum ersten Mal in Pokémon GO. Starte ein Abenteuer mit deinen Freunden und deiner Familie, erkunde deine Nachbarschaft und teile deine besten Momente und Fotos unter dem Hashtag #PokemonGO auf deinen Social Media-Kanälen.	da oggi, 23 nuovi Pokémon della regione di Hoenn nei giochi Pokémon Rubino e Pokémon Zaffiro inizieranno ad apparire in Pokémon GO per la prima volta.  Mentre esplorate vari quartieri locali con amici e parenti, condividete i momenti e le foto più divertenti con #PokemonGO sui social.	『포켓몬스터 루비・사파이어』의 무대 「호연지방」에서 발견된 23마리 포켓몬이 Pokémon GO에 추가로 등장합니다! 친구, 가족과 함께 포켓몬을 찾아보세요! 그리고 마음에 든 포켓몬이나 사진을 #PokémonGO 해시태그와 같이 SNS에 올려주세요.		又有23隻來自豐緣地區的寶可夢要新加入 Pokémon GO 囉！快和親朋好友一起去捉寶可夢吧！另外，別忘了在社群網站上用 #PokemonGO 標籤和大家分享你的冒險歷程和最喜歡的寶可夢喔。	A partir de hoje, mais 23 Pokémon descobertos na região de Hoenn, cenário dos jogos Pokémon Ruby e Pokémon Sapphire, vão começar a aparecer no Pokémon GO. Ao sair por aí caçando Pokémon com os amigos, compartilhe fotos dos melhores momentos usando a hashtag #PokemonGO nas redes sociais.
news_header_kyogre	Kyogre in Raid Battles until Feb. 14	Pokémon GO に伝説のポケモン「カイオーガ」が登場！	Kyogre débarque dans les raids !	¡Kyogre aparece en Incursiones en todo el mundo!	Kyogre erscheint weltweit in Raid-Kämpfen!	Kyogre apparirà nelle Battaglie Raid di tutto il mondo!	Pokémon GO에 전설의 포켓몬 「가이오가」가 등장!		傳說的寶可夢「蓋歐卡」降臨 Pokémon GO！	Kyogre avistado em Batalhas de Reide ao redor do mundo!
news_subheader_kyogre	Kyogre in Raid Battles until Feb. 14	Pokémon GO に伝説のポケモン「カイオーガ」が登場！	Kyogre débarque dans les raids !	¡Kyogre aparece en Incursiones en todo el mundo!	Kyogre erscheint weltweit in Raid-Kämpfen!	Kyogre apparirà nelle Battaglie Raid di tutto il mondo!	Pokémon GO에 전설의 포켓몬 「가이오가」가 등장!		傳說的寶可夢「蓋歐卡」降臨 Pokémon GO！	Kyogre avistado em Batalhas de Reide ao redor do mundo!
news_main_text_kyogre	Kyogre, the Water-type Legendary Pokémon originally discovered in the Hoenn region, is now appearing in Raid Battles around the world! Keep an eye out for Kyogre at Gyms near you, and you may be one of the first to catch this Legendary Pokémon. But don’t delay—Kyogre will only be available until 1:00 P.M. PST on February 14, 2018. Good luck, Trainers!	『ポケットモンスター ルビー・サファイア』の舞台「ホウエン地方」で言い伝えられる伝説のポケモン、「カイオーガ」が Pokémon GO の世界中のジムに登場しました！ 「カイオーガ」は海の化身と言われ、大雨で海を生み出し、大波で海を広げたと語り継がれている「みずタイプ」の伝説のポケモンです。 近くのジムで「カイオーガ」とのレイドバトルに挑戦しよう！ 「カイオーガ」の登場は2月14日までです。	Kyogre, le Pokémon Légendaire de type Eau découvert dans la région d’Hoenn, débarque dans les raids ! Gardez l’oeil ouvert à la recherche de Kyogre près des Arènes et vous serez peut être l’un des premiers à capturer ce Pokémon Légendaire. Mais attention ne perdez pas de temps, Kyogre sera disponible que le 14 février jusqu’à 22H00 CET.	¡Kyogre, el Pokémon Legendario del tipo agua originalmente descubierto en la región de Hoenn, ahora está apareciendo en Incursiones alrededor del mundo! Manténte atento a Kyogre en los Gimnasios cerca de ti, y puedes ser uno de los primeros en atrapar a este Pokémon Legendario . Pero no te demores: Kyogre solo estará disponible hasta la 1:00 p.m. PST el 14 de febrero de 2018.	Kyogre, das Legendäre Wasser-Pokémon aus der Hoenn-Region, erscheint nun weltweit in Raid-Kämpfen! Haltet die Augen offen und ihr könntet unter den Ersten sein, die Kyogre in einer örtlichen Arena entdecken und dieses Legendäre Pokémon fangen. Lasst euch aber nicht zu viel Zeit, denn Kyogre taucht ab dem 14. Februar 2018 um 22:00 Uhr wieder ab.	Kyogre, Pokémon Leggendario di tipo Acqua originariamente scoperto nella regione di Hoenn, farà la sua comparsa nelle Battaglie Raid di tutto il mondo! Tenete gli occhi aperti per scovare Kyogre nelle Palestre vicino a voi e potreste essere i primi a catturare questo Pokémon Leggendario. Siate veloci però, poiché Kyogre sarà disponibile solo fino alle 1:00 P.M. PST del 14 febbraio 2018.	『포켓몬스터 루비・사파이어』의 무대 「호연지방」에서 전해내려오는 전설의 포켓몬 「가이오가」가 Pokémon GO의 전 세계 체육관에 등장합니다!  「가이오가」는 바다의 화신으로 불리며 큰비로 바다를 만들고 큰 파도로 바다를 넓혔다고 전해지는 「물타입」의 전설의 포켓몬입니다. 가까운 체육관에서 「가이오가」와의 레이드배틀에 도전합시다! 「가이오가」의 등장은 2월 14일까지입니다.		來自豐緣地區的傳說的寶可夢「蓋歐卡」降臨 Pokémon GO 的道館了！據說「蓋歐卡」這隻水屬性的傳說的寶可夢是大海的化身，牠用大雨造海，並用洶湧巨浪擴張海洋。蓋歐卡出現的時間只到2月14日為止，快到附近的道館去挑戰牠吧！	Kyogre, o Pokémon Lendário do tipo Água, descoberto originalmente na região de Hoenn, começou a aparecer em Batalhas de Reide ao redor do mundo! Fiquem ligados nos Kyogres em Ginásios próximos a vocês, e vocês poderão ser um dos primeiros a capturar este Pokémon Lendário. Mas não espere demais--Kyogre estará disponível apenas até as 14h de 14 de Fevereiro de 2018, no horário de Brasília.
news_header_febcmtyday	Community Day coming February 24									
news_subheader_febcmtyday	Community Day coming February 24									
news_main_text_febcmtyday	Mark your calendars, Trainers. The next Pokémon GO Community Day will take place on February 24, 2018, and it features the Dragon-type Pokémon Dratini! Explore your local parks with family and friends to catch as many Dratini as you can. While you’re out exploring your local parks and making new friends, you’ll also earn bonus Stardust for each Pokémon you catch during event hours. Visit PokemonGoLive.com/events to find out when Community Day starts in your region.									
news_header_gen3wave2	Water- and Ice-type Pokémon from the Hoenn region are now appearing!									
