Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_aprilfools	Experience Pokémon GO Like NEVER BEFORE with Brand-New Graphics!	Pokémon GO に導入した最新グラフィックテクノロジーについて	Découvrez Pokémon GO comme vous ne L’AVEZ JAMAIS VU, avec un graphisme à la pointe de la technologie !	¡Disfruta de Pokémon GO como NUNCA ANTES con nuevos gráficos!	Erlebt Pokémon GO wie NIE ZUVOR mit brandneuer Grafik!	Scopri una grafica NUOVA DI ZECCA su Pokémon GO!	Pokémon GO에 도입한 최신 그래픽 테크놀로지에 대해		Pokémon GO隆重推出前所未見的嶄新繪圖技術	Aproveite gráficos impressionantes e inéditos no Pokémon GO!
news_subheader_aprilfools	Experience Pokémon GO Like NEVER BEFORE with Brand-New Graphics!	Pokémon GO に導入した最新グラフィックテクノロジーについて	Découvrez Pokémon GO comme vous ne L’AVEZ JAMAIS VU, avec un graphisme à la pointe de la technologie !	¡Disfruta de Pokémon GO como NUNCA ANTES con nuevos gráficos!	Erlebt Pokémon GO wie NIE ZUVOR mit brandneuer Grafik!	Scopri una grafica NUOVA DI ZECCA su Pokémon GO!	Pokémon GO에 도입한 최신 그래픽 테크놀로지에 대해		Pokémon GO隆重推出前所未見的嶄新繪圖技術	Aproveite gráficos impressionantes e inéditos no Pokémon GO!
news_main_text_aprilfools	Trainers, we always want to bring you the most immersive graphics experience possible, and we’re excited to share our latest breakthrough with millions of Pokémon GO Trainers around the world. Experience Pokémon GO like never before with cutting-edge 8-BIT GRAPHICS! Registering approximately twice the amount of definition of 4K, the chunky squares of each pixel provide realistic detail and unbelievable definition. Your Pokédex will feel lifelike in ways previously unimagined on any handheld device ever created. Enjoy it now!	Pokémon GO は常に技術の限界に挑戦し続け、グラフィックに関しても最新の技術を取り入れています。そして、本日より、世界でも最先端のテクノロジーを導入することを発表いたします。そのテクノロジーとは、最先端の8ビットグラフィックです。解像度は4Kの2倍、すべてのドットがより美しく表現され、「ポケモンずかん」で表現されるポケモンたちは、かつてないほど生き生きとして見えることでしょう。	Chers Dresseurs, nous essayons toujours de vous offrir la meilleure expérience graphique possible, et nous sommes heureux d’annoncer notre dernière prouesse technique aux millions de fans de Pokémon GO dans le monde. Voici Pokémon GO comme vous ne l’avez jamais vu auparavant, avec d’époustouflants GRAPHIQUES 8 BITS ! Avec une définition pratiquement double du 4K, les blocs de chaque pixel contiennent des détails du plus haut réalisme. Votre Pokédex prendra vie, d’une manière encore jamais vue sur appareils mobiles. Profitez-en vite !	Siempre nos gusta traerte la experiencia gráfica más envolvente posible, y nos emociona poder compartir nuestro logro más reciente con todos los Entrenadores de Pokémon GO de todo el mundo. ¡Disfruta como nunca antes de Pokémon GO con GRÁFICOS DE 8 BITS de última tecnología! Registrando aproximadamente el doble de definición que 4K, los robustos cuadros de cada píxel proporcionan detalles realistas y una definición increíble. Tu Pokédex tendrá un aspecto tan real, como nunca antes imaginado en ningún dispositivo portátil creado hasta ahora. ¡Disfrútala ya!	Wir wollen euch immer das grafisch umfassendste Erlebnis liefern, Trainer – und wir freuen uns, den neusten Durchbruch mit Millionen von Pokémon GO-Spielern in aller Welt zu teilen. Erlebt Pokémon GO wie nie zuvor mit atemberaubender GRAFIK IN 8-BIT! Mit einer Auflösung, die fast doppelt so viel verzeichnet wie 4K, liefern diese saftigen Pixel eine realistische Darstellung in unglaublicher Auflösung. Euer Pokédex wird sich noch lebendiger anfühlen, als ihr es euch jemals zu träumen gewagt habt. Erlebt es jetzt!	Uno dei nostri obiettivi è di portare sugli schermi di tutti gli Allenatori la grafica più realistica possibile, per questo siamo felici di annunciare un importante aggiornamento che cambierà l’esperienza di gioco a livello globale. Scopri una grafica nuova di zecca mai vista prima in Pokémon GO grazie alla rivoluzionaria tecnologia a 8 bit! Con l’impiego di una definizione doppia rispetto agli standard 4K, infatti, i quadrati di ciascun pixel porteranno il realismo dei dettagli a un livello mai immaginato. Il tuo Pokédex apparirà così realistico da rendere superato qualsiasi dispositivo mai creato in passato. Buon divertimento!	Pokémon GO는 항상 기술의 한계에 도전하며 그래픽에 관해서 최신 기술을 가지고 있습니다. 그리고 오늘 세계에서도 최첨단 테크놀로지 도입을 발표합니다. \n \n그 테크놀로지란 최첨단 8bit 그래픽입니다. 해상도는 4K의 2배 모든 도트가 더 아름답게 표현되어 「포켓몬 도감」에 표현되는 포켓몬들은 지금까지 없었던 생생함을 보여 줄 것입니다.		我們一直希望能用最頂尖的技術為世界各地的訓練家帶來最精美的介面，所以我們很高興能在此宣布：Pokémon GO將在今天導入凝聚頂尖技術的繪圖引擎！ \n \n導入最新的繪圖引擎後，Pokémon GO將得以推出走在時代最尖端的8-bit視覺效能，解析度高達4K的兩倍，每一個像素都將變得更加鮮明，「寶可夢圖鑑」上的每一隻寶可夢看起來都是前所未見地栩栩如生。 	Treinadores, queremos sempre trazer uma experiência de jogo incrível com os melhores gráficos e estamos muito empolgados por poder dividir nossa conquista com os milhares de Treinadores do Pokémon GO pelo mundo. Vocês poderão aproveitar o Pokémon GO de uma forma nova com gráficos superavançados de 8-bit, que possuem aproximadamente o dobro da qualidade da definição de 4K. Os quadrados dentro de cada pixel dão um detalhe mais realista e uma definição inacreditável ao jogo. Seu Pokédex vai parecer que tem vida própria. Esperamos que vocês se divirtam!
news_header_research	Trainers, It’s Time to Conduct Important Pokémon Research!	新要素「ポケモンリサーチ」で毎日の冒険がより楽しく！	Dresseurs, il est temps d’entreprendre des recherches Pokémon importantes.	¡Es hora de llevar a cabo importantes investigaciones Pokémon!	Es ist Zeit für wichtige Pokémon-Forschung, Trainer! 	Conduci importanti ricerche sul mondo Pokémon!	새로운 요소 「리서치」로 매일 모험이 더 즐겁게!		各位訓練家，一起來研究寶可夢吧！	Está na hora de conduzir pesquisas Pokémon importantes!
news_subheader_research	Trainers, It’s Time to Conduct Important Pokémon Research!	新要素「ポケモンリサーチ」で毎日の冒険がより楽しく！	Dresseurs, il est temps d’entreprendre des recherches Pokémon importantes.	¡Es hora de llevar a cabo importantes investigaciones Pokémon!	Es ist Zeit für wichtige Pokémon-Forschung, Trainer! 	Conduci importanti ricerche sul mondo Pokémon!	새로운 요소 「리서치」로 매일 모험이 더 즐겁게!		各位訓練家，一起來研究寶可夢吧！	Está na hora de conduzir pesquisas Pokémon importantes!
news_main_text_research	Trainers, a series of mysterious happenings is occurring all over the world, and Professor Willow is seeking Trainers to help him find out if this is connected to the Mythical Pokémon Mew. \n \nThere are two different types of research you can contribute to: Field Research and Special Research. Gather Field Research tasks by spinning nearby PokéStops, which will give you objectives that include discovering and catching certain Pokémon, engaging in battles, or other requests. Special Research tasks may be requested by Professor Willow himself, and these tasks will take you on a journey to make important discoveries! \n \nWe're excited to see your contributions to the exciting field of Pokémon research, and we can’t wait to hear about the adventures you have along the way! Let’s get moving! 	近頃、世界中で不思議な現象が起きているようです。ウィロー博士は、これら一連の現象が幻のポケモン「ミュウ」と関連があると考え、その研究調査を手伝ってくれるトレーナーを探しています。どのように調査をすすめ、博士からどんな依頼をされるのか？ \n Pokémon GO に、新要素「ポケモンリサーチ」が追加されます！トレーナーの皆さんは、日々受け取れる「リサーチタスク」を達成することで、博士の研究のお手伝いができるようになります。「ポケモンリサーチ」には、「フィールドリサーチ」と「スペシャルリサーチ」の2種類があります。 \n「フィールドリサーチ」のタスクはポケストップから受け取ることができ、特定のポケモンを捕まえる・タマゴをふかさせる・バトルに参加する、などの達成目標が定められています。 一方、「スペシャルリサーチ」のタスクはウィロー博士から直接依頼を受け、博士から与えられる様々な調査依頼を達成していくことになります。タスクを達成することで博士の研究が進み、重要な発見へとつながっていくかもしれません！  \n いずれのリサーチも、達成することで素敵なリワードを受け取ることができます。例えば、冒険に役立つ道具がもらえたり、特定のポケモンと出会うことができたりするようです。リサーチタスクには様々な難易度があり、難易度が高いほど、より大きなリワードを受け取ることができるでしょう。  \n \n一度に持てる「フィールドリサーチ」のタスクは3つまでですが、自分のペースで1日にいくつでも取り組むことができます。1つのリサーチタスクを完了するとリワードがもらえるだけでなく、タスク完了を示す「スタンプ」を1日1個もらうこともできます。「スタンプ」が7個集まると、博士の研究が大きく進む「大発見」が発生！博士からは特別なご褒美として、より貴重なリワードを受け取ることができます。時には、あの伝説のポケモンと出会えることもあるかもしれません。 \n \n日々の「ポケモンリサーチ」が、皆さんの冒険をさらに奥深く、エキサイティングにしてくれるでしょう。今すぐ、冒険に出かけましょう！ 	Dresseurs, une série de phénomènes mystérieux se produisent partout dans le monde, et le Professeur Willow recherche des Dresseurs pour l’aider à vérifier si le Pokémon fabuleux Mew en est à l’origine. \n \nIl existe deux types d’études : des Études de terrain et des Études spéciales. Afin de rassembler les tâches d’Études de terrain il suffit de faire tourner les PokéStops. Ceci vous permettra entre autres de découvrir et d’attraper certains Pokémon au cours de combats. Des tâches d’Études spéciales peuvent être proposées par le Professeur Willow lui-même ; elles vous conduiront vers d’importantes découvertes. \n \nNous sommes heureux de votre participation dans le monde passionnant de la recherche Pokémon et nous sommes impatients de découvrir les nombreuses aventures que vous allez vivre. Ne perdons pas de temps.	Se están produciendo una serie de hechos extraños por todo el mundo, y el Profesor Willow está buscando Entrenadores que puedan ayudarle a averiguar si esto está relacionado con el Pokémon singular Mew. \n \nHay dos tipos de investigaciones con las que puedes ayudar: de campo y especiales. Puedes encontrar tareas de investigación de campo girando los fotodiscos en Poképaradas cercanas, donde recibirás objetivos que consistirán en descubrir y capturar ciertos Pokémon, participar en combates u otras misiones. Las tareas de investigación especial te pueden llegar por medio del mismo Profesor Willow, y con ellas emprenderás aventuras para hacer importantes descubrimientos. \n \nEstamos deseando ver las contribuciones que haces en el fascinante campo de la investigación Pokémon y que nos cuentes las aventuras en las que te embarques. ¡Vamos allá!	Eine Reihe von geheimnisvollen Ereignissen findet rund um die Welt statt und Prof. Willow sucht Trainer, die ihm helfen, herauszufinden, ob eine Verbindung zum Mysteriösen Pokémon Mew besteht. \n \nEs gibt zwei verschiedene Arten von Forschungen, an denen ihr teilhaben könnt: Feldforschung und Spezialforschung. Indem ihr PokéStops dreht, erhaltet ihr Feldforschungsaufgaben, wie z. B. das Entdecken und Fangen eines bestimmten Pokémon, das Teilnehmen an Kämpfen oder das Erreichen anderer Ziele. Spezialforschungsaufgaben können von Prof. Willow höchstpersönlich aufgetragen werden und euch auf eine abenteuerliche Reise führen, auf der ihr wichtige Entdeckungen machen könnt! \n \nWir freuen uns auf eure Beiträge zum aufregenden Bereich der Pokémon-Forschung und sind gespannt, von euren damit verbundenen Abenteuern zu hören! Los geht‘s! 	Una serie di misteriosi eventi si sta verificando in giro per il mondo, per questo il Professor Willow sta reclutando degli Allenatori che lo aiutino a stabilire una possibile connessione con il Pokémon misterioso Mew. \n \nI tipi di ricerche in cui puoi cimentarti sono due: quelle sul campo e quelle speciali. Facendo girare il disco foto di un Pokéstop ti verranno assegnate nuove missioni per le ricerche sul campo che includono: scoprire e incontrare un determinato Pokémon, partecipare a delle lotte e altro ancora. Le ricerche speciali sono quelle che ti condurranno sul sentiero di importanti scoperte e vengono assegnate dal Professor Willow in persona. \n \nNon vediamo l’ora di scoprire quale sarà il tuo contributo alle ricerche sul mondo Pokémon e quali grandi avventure ti aspettano lungo il cammino. Presto, non perdere altro tempo!	최근 전 세계에서 신기한 현상이 일어나고 있습니다. 윌로우박사는 이 현상에 대해서 환상의 포켓몬 「뮤」와 관계있다고 생각해 그 연구조사를 도와줄 트레이너를 찾고 있습니다. 어떤 조사를 하고 박사로부터 어떤 의뢰를 받을까요?  \n \nPokémon GO에 새로운 요소 「리서치」가 추가됩니다! 트레이너 여러분은 매일 받는 「리서치 과제」를 달성하는 것으로 박사의 연구를 도와줄 수 있게 됩니다. 「리서치」에는 「필드 리서치」와 「스페셜 리서치」의 2종류가 있습니다. \n「필드 리서치」의 과제는 포켓스톱에서 받을 수 있으며 특정 포켓몬을 잡거나, 알을 부화하거나, 배틀에 참가하는 등 달성해야 할 목표가 정해져 있습니다. 한편 「스페셜 리서치」의 과제는 윌로우박사가 직접 의뢰를 주며 박사가 주는 다양한 조사의뢰를 달성해야 합니다. 과제를 달성하면 박사의 연구가 진행되어 중요한 발견으로 연결될지도 모릅니다. \n \n어떤 「리서치」라도 달성하면 멋진 리워드를 받을 수 있습니다. 예를 들어 모험에 도움이 되는 도구를 받을 수 있거나 특정 포켓몬과 만날 수 있거나 할 수 있습니다. 리서치 과제에는 다양한 난이도가 있어 어려울수록 더 큰 리워드를 받을 수 있습니다. \n \n한번에 가질 수 있는 「필드 리서치」의 과제는 3개까지지만 자신의 페이스로 하루에 몇 개라도 할 수 있습니다. 1개의 리서치 과제를 완료하면 리워드를 받을 수 있을 뿐 아니라 1일 1개의 과제를 완료를 나타내는 「스탬프」를 받을 수 있습니다. 「스탬프」가 7개 모이면 박사의 연구에 큰 진행을 주는 「리서치 브레이크스루」가 발생합니다! 박사로부터 특별한 보상으로 귀중한 리워드를 받을 수 있습니다. 때로는 전설의 포켓몬과 만날 수 있을지도 모릅니다. \n \n매일 진행하는 「리서치」 활동이 여러분의 모험을 더 심도 있고 익사이팅하게 만들어줄 겁니다. 지금 바로 모험에 떠나봅시다!		最近世界上發生了許多不可思議的現象，而維羅博士認為這一連串的現象都跟幻之寶可夢「夢幻」有關，所以他正在尋找願意幫他做調查的訓練家。 \n \n調查主要分做田野調查和特殊調查。在田野調查中，訓練家需要從寶可補給站收集課題，完成對戰或捕捉特定寶可夢等目標；特殊調查則有可能是維羅博士親自委託，只要完成指定的課題，或許就能有重大的發現！ \n \n我們希望博士的研究能讓你的冒險更加有趣、更加刺激。現在就出門去冒險吧！ 	Uma série de acontecimentos misteriosos vem acontecendo ao redor do mundo e o Professor Willow está à procura de Treinadores que o ajudem a descobrir se o Pokémon Mítico Mew está envolvido. \n \nHá dois tipos de pesquisa com as quais você pode ajudar: pesquisa de campo e pesquisa especial. As tarefas de pesquisa de campo podem ser encontradas girando o fotodisco de Poképaradas próximas, onde receberá objetivos, como descobrir e pegar certos Pokémon, participar de batalhas ou outras missões. O próprio Professor Willow pode pedir para que realize tarefas de pesquisa especial que levarão você a uma jornada de descobertas importantes! \n \nEstamos animados para ver as suas contribuições para o fascinante campo de pesquisa Pokémon e mal podemos esperar para que nos conte tudo sobre as suas aventuras ao longo do caminho! Vamos nessa!
news_header_salesreminderegg	Pokémon GO Eggstravaganza Boxes Disappear Soon!	「ポケモンのタマゴを探せ！」イベントの、スーパーふかそうちやおこう、ほしのかけらが入った「スペシャルボックス」は4月2日（月）まで。お見逃しなく！								
news_subheader_salesreminderegg	Pokémon GO Eggstravaganza Boxes Disappear Soon!	「ポケモンのタマゴを探せ！」イベントの、スーパーふかそうちやおこう、ほしのかけらが入った「スペシャルボックス」は4月2日（月）まで。お見逃しなく！								
news_main_text_salesreminderegg	The Pokémon GO Eggstravaganza is in full swing, and there are items in our shop to help you make the most of it! Special boxes containing Super Incubators are available to help you hatch Pokémon one and a half times as fast! The boxes also include Incense, Raid Passes and Star Pieces to help you discover, battle, and power up your Pokémon. These boxes are only in the shop until April 2 at 1:00 P.M. PDT, so grab them before they’re gone! Stay safe, and happy exploring!	トレーナーの皆さん、  \n \n現在、「ポケモンのタマゴを探せ！」イベントを開催中です。スーパーふかそうちやおこう、プレミアムレイドパス、ほしのかけらなど、イベントをより楽しめる道具がたくさん入った「スペシャルボックス」の販売は、4月2日（月）まで。  \n \n是非この機会にご利用下さい。  \n \nPokémon GO で遊ぶ時は、周囲に注意しながらお楽しみください。								
news_header_aprcmtyday	Get Ready for an Electrifying April Community Day—Starring Mareep!	4月のコミュニティ・デイは「メリープ」が登場！	Préparez-vous pour une Journée Communauté électrisante avec Wattouat.	¡Prepárate para un electrizante Día de la Comunidad de abril, con Mareep como estrella!	Halte dich bereit für einen elektrisierenden Community Day im April – diesmal mit Voltilamm!	In aprile è in arrivo un Community Day elettrizzante con protagonista Mareep!	4월 커뮤니티 데이에서는 「메리프」가 등장!		四月社群日的主角寶可夢是咩利羊！	Preparem-se para um Dia Comunitário eletrizante no mês de abril com Mareep!
