Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_apr_cd	Smash through the weekend on April Community Day with Bagon!	4月の「Pokémon GO コミュニティ・デイ」を「タツベイ」と一緒に楽しもう！	Foncez tête baissée avec Draby lors de la Journée Communauté d’avril.	¡Rompe con todo a tu paso junto a Bagon durante el fin de semana del Día de la Comunidad de abril!	Katapultiere dich durchs Wochenende mit Kindwurm!	Il Community Day di aprile con Bagon è da sbatterci la testa!	4월의 「Pokémon GO 커뮤니티 데이」를 「아공이」와 함께 즐기자!		四月社群日的主角寶可夢是寶貝龍！	Prepare-se para quebrar tudo no Dia Comunitário de abril com Bagon!
news_subheader_apr_cd	Smash through the weekend on April Community Day with Bagon!	4月の「Pokémon GO コミュニティ・デイ」を「タツベイ」と一緒に楽しもう！	Foncez tête baissée avec Draby lors de la Journée Communauté d’avril.	¡Rompe con todo a tu paso junto a Bagon durante el fin de semana del Día de la Comunidad de abril!	Katapultiere dich durchs Wochenende mit Kindwurm!	Il Community Day di aprile con Bagon è da sbatterci la testa!	4월의 「Pokémon GO 커뮤니티 데이」를 「아공이」와 함께 즐기자!		四月社群日的主角寶可夢是寶貝龍！	Prepare-se para quebrar tudo no Dia Comunitário de abril com Bagon!
news_main_text_apr_cd	Mark your calendars for April Community Day, featuring the Dragon-type Pokémon Bagon, during the second Saturday of April! Check out the details below:  \n \nDate + Time \nGlobally Apr. 13, 2019, from 3:00 p.m. to 6:00 p.m. (local time)  \n \nFeatures \n- Bagon will appear more frequently in the wild. \n- Lure Modules will last three hours for the duration of the event. \n- Evolve Shelgon during or up to one hour after the event to obtain Salamence that know a special move!  \n \nBonuses \n- 3× Catch XP \n                 \nWe can’t wait to see you out there, Trainers! Stay safe, and happy exploring!	 4月の「Pokémon GO コミュニティ・デイ」は、日本時間4月13日（土）昼の15時から18時に開催します！今回は、ドラゴンタイプのポケモン「タツベイ」が大量発生！詳細は以下のとおりです： \n \n[イベント日時] \n日本時間4月13日（土）昼の15時～18時 \n \n[イベント内容] \n「タツベイ」がいつもより多く出現 \nイベント期間中はルアーモジュールの効果が3時間持続 \n \n[ボーナス] \nポケモンをつかまえた時にもらえるXPが3倍 \n \nトレーナーの皆さんにお会いできるのを楽しみにしています！『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 \n \n※当日の天候​条件や諸​事情により​、​イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。 	Prenez note : la Journée Communauté d’avril, qui mettra à l’honneur le Pokémon de type Dragon Draby, se déroulera le deuxième samedi du mois d’avril. Voici les détails : \n \nHoraire \nLe 13 avril 2019 de 15h à 18h partout dans le monde (heure locale) \n \nParticularités \n- Draby fera des apparitions plus fréquentes. \n- Les Modules Leurre resteront actifs pendant trois heures durant l’évènement. \n- Faites évoluer Drackhaus pendant l’évènement (ou au plus tard une heure après celui-ci) pour obtenir un Drattak connaissant une attaque spéciale. \n \nBonus \n- 3 fois plus de PX de capture \n \nDresseurs, nous vous attendons avec impatience ! Soyez prudents, et bonne exploration.	¡Anota en tu calendario el Día de la Comunidad de abril con el Pokémon de tipo Dragón Bagon como protagonista, que tendrá lugar el segundo sábado de abril! Echa un vistazo a los detalles a continuación: \n \nFecha y horas: \nEn todo el mundo, el 13 de abril de 2019 de 3:00 p. m. a 6:00 p. m. (hora local). \n \nDetalles: \n- Bagon aparecerá en estado salvaje con más frecuencia. \n- Los Módulos Cebo durarán tres horas durante el evento. \n- ¡Haz que Shelgon evolucione durante el evento del Día de la Comunidad o hasta una hora después del mismo para conseguir un Salamence que conoce un movimiento especial! \n \nBonus: \n-Triple de PX por captura. \n \n¡Esperamos verte por ahí! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Markiere deinen Kalender für den Community Day am zweiten Samstag im April mit dem Drachen-Pokémon Kindwurm! Hier sind die Infos: \n \nWann Weltweit am 13. April 2019 von 15:00 Uhr bis 18:00 Uhr (Ortszeit) \n \nDetails \n- Wilde Kindwurm erscheinen mit vermehrter Häufigkeit. \n- Lockmodule halten während des Events drei Stunden lang an. \n- Entwickle Draschel während oder bis zu einer Stunde nach Abschluss des Events, um Brutalanda zu erhalten, die eine besondere Attacke beherrschen! \n \nBonuse \n- Dreifache Menge Fang-EP \n \nWir können es kaum erwarten, dich da draußen zu sehen, Trainer! Allzeit sichere und schöne Entdeckungsreisen!	Segna la data sul calendario, perché il Pokémon di tipo Drago Bagon farà capolino durante il secondo sabato di aprile, in occasione del Community Day del mese. Ecco tutte le informazioni: \n \n- Orari e date - \nIn tutto il mondo: il 13 aprile 2019 dalle 15:00 alle 18:00, ora locale \n \n- Dettagli - \nBagon apparirà più frequentemente allo stato selvatico. \nI moduli esca dureranno tre ore nel corso dell’evento. \nSe fai evolvere Shelgon fino a un’ora dopo la fine dell’evento, otterrai un Salamence che conosce una mossa particolare! \n \n- Bonus - \nTriplo dei PE da cattura \n  \nGambe in spalla, ci vediamo in giro! Ricorda di essere sempre prudente e buon divertimento!	4월의 「Pokémon GO 커뮤니티 데이」는 한국시간 4월 13일(토) 오후 15시부터 18시까지 개최합니다! 이번에는 드래곤타입의 포켓몬 「아공이」가 대량발생합니다! 자세한 내용은 아래를 확인하세요: \n \n[이벤트 일정] \n한국시간 4월 13일(토) 오후 15시~ 18시 \n \n[이벤트 내용] \n-「아공이」가 평소보다 많이 출현 \n-이벤트 기간 중에는 루어모듈 효과가 3시간 유지 \n \n[보너스] \n-포켓몬을 잡았을 때 받을 수 있는 XP가 3배 \n \n트레이너 여러분과 만날 수 있길 기대하고 있습니다! “Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n \n※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		四月的Pokémon GO社群日將於台灣時間4月13日15:00～18:00登場！龍屬性的寶可夢「寶貝龍」將於活動時間內大量出現！ \n \n[活動時間] \n台灣時間4月13日15:00～18:00 \n \n[活動內容] \n野生的寶貝龍將大量出現 \n誘餌模組的效果將延長為3小時 \n \n[獎勵] \n捕捉寶可夢時可獲得的XP增加為平時的3倍 \n \n我們非常期待能在社群日見到各位訓練家！玩遊戲時請注意周遭環境，小心自身安全。 \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Não deixe de marcar o Dia Comunitário de abril na sua agenda. O evento está marcado para o segundo sábado de abril e contará com o Pokémon de tipo Dragão Bagon! Confira os detalhes sobre o evento abaixo:  \n \Data e hora \nGlobalmente, 13 abril, das 15h às 18h (hora local).  \n \nDetalhes \n- Bagon selvagens aparecerão com mais frequência. \n- Os Módulos Atrair durarão três horas durante o horário do evento. \n- Ao evoluir Shelgon até uma hora após o evento, você obterá Salamence que saberá um movimento especial!  \n \nBônus \n- O triplo de PE por captura! \n                 \nMal podemos esperar para ver você lá! Tome cuidado e divirta-se explorando o mundo!
news_header_lotad	Weather-focused Limited Research, featuring Lotad!	期間限定の「フィールドリサーチ」で「ハスボー」と出会おう！	Étude ciblée sur la météo mettant Nénupiot à l’honneur.	¡Investigación limitada centrada en el tiempo atmosférico y con Lotad como protagonista!	Wetter im Fokus Begrenzter Forschung mit Loturzel!	Lotad emergerà per una ricerca mirata dedicata alle condizioni atmosferiche!	기간 한정 필드리서치에서 「연꽃몬」과 만나자!		完成期間限定的田野調查課題，捕捉蓮葉童子！	Pesquisa limitada de clima com Lotad!
news_subheader_lotad	Weather-focused Limited Research, featuring Lotad!	期間限定の「フィールドリサーチ」で「ハスボー」と出会おう！	Étude ciblée sur la météo mettant Nénupiot à l’honneur.	¡Investigación limitada centrada en el tiempo atmosférico y con Lotad como protagonista!	Wetter im Fokus Begrenzter Forschung mit Loturzel!	Lotad emergerà per una ricerca mirata dedicata alle condizioni atmosferiche!	기간 한정 필드리서치에서 「연꽃몬」과 만나자!		完成期間限定的田野調查課題，捕捉蓮葉童子！	Pesquisa limitada de clima com Lotad!
news_main_text_lotad	Professor Willow is looking to conduct Limited Research on the impact of weather on Pokémon, with a focus on the Water- and Grass-type Pokémon Lotad. Spin Photo Discs at nearby PokéStops to obtain Field Research tasks that lead to encounters with this Water Weed Pokémon. While you’re completing research, keep an eye out for other Pokémon that could be impacted by weather conditions, such as Castform! See more details below:  \n \nDate + Time \n- Mar. 30, 2019, from 11:00 a.m. to 8:00 p.m. in your local time zone. \n \nFeatures \n- Pokémon that appear due to weather conditions will appear more frequently during the event. \n- Limited Research tasks will be available when you spin Photo Discs at PokéStops. \n- Completing the Limited Research tasks will award you encounters with Lotad. \n- If you’re lucky, you may encounter Shiny Lotad and Shiny Castform in its Normal form! \n \nMove \n- The move Weather Ball for Castform will be permanently added to the game.  \n \nRemember, Trainers! As long as you’ve collected the Limited Research during the event window, you can complete it at any time. Don’t forget—you’ll need to venture onward to many PokéStops in order to get new Field Research tasks and encounter as many Lotad as possible!	ウィロー博士が新たな「フィールドリサーチ」を計画中です。今回は天候がポケモンに与える影響を調査するために、3月30日（土）の昼11時から夜20時までの期間限定で、特別な「フィールドリサーチ」タスクが登場します。イベント期間中は、てんきポケモンの「ポワルン」がいつもより多く出現するほか、一部のポケモンが天候によっていつもより強くブーストされます。また、期間中に受け取れる特別なタスクを完了すると、くさ・みずタイプのポケモン「ハスボー」と出会うことができます。近くのポケストップを回して「フィールドリサーチ」のタスクを受け取り、どんどん完了していきましょう！詳細は以下のとおりです： \n  \nイベント日時： \n- 日本時間3月30日（土）昼11時から夜20時まで \n \nイベント内容： \n- 天気の影響を受けるポケモンがいつもより多く出現 \n- 「ポケストップ」をまわすと期間限定の「フィールドリサーチ」の特別なタスクが手に入る \n- 特別なタスクを完了すると「ハスボー」に出会える \n- 運が良ければ、色違いの「ハスボー」や色違いの「ポワルン（ポワルンのすがた）」に出会える \n  \n新登場のわざ： \n-ポワルンが新しい技「ウェザーボール」を覚えるように \n \nなお、イベント期間中に特別なタスクを受け取っていれば、万一タスクの完了がイベント期間後になってしまってもリワードを受け取ることができます。ポケストップをたくさんまわってタスクを受け取り、たくさんの「ハスボー」と出会いましょう！トレーナーの皆さんにお会いできるのを楽しみにしています！ 『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。	Le Professeur Willow veut mener une Étude ciblée de l’impact de la météo sur les Pokémon, et se concentrera sur Nénupiot, un Pokémon de type Eau et Plante. Faites tourner les PhotoDisques des PokéStops pour obtenir des tâches d’Études de terrain qui vous permettront de rencontrer ce Pokémon Aquaplante. Au cours de vos recherches, gardez l’œil sur d’autres Pokémon qui pourraient être affectés par la météo, tels que Morphéo. Voici les détails : \n \nHoraire \n- Le 30 mars 2019 de 11h à 20h (heure locale). \n \nParticularités \n- Les Pokémon affectés par les conditions climatiques feront des apparitions plus fréquentes pendant l’évènement. \n- Des tâches de l’Étude ciblée seront disponibles lorsque vous ferez tourner les PhotoDisques des PokéStops. \n- Complétez ces tâches de l’Étude ciblée pour rencontrer Nénupiot. \n- Si vous êtes chanceux, vous rencontrerez peut-être un Nénupiot chromatique et un Morphéo chromatique dans sa forme Normale. \n \nAttaque \n- L’attaque Ball’Météo de Morphéo sera définitivement ajoutée au jeu.  \n \nEt n’oubliez pas, Dresseurs : tant que l’Étude ciblée est récupérée pendant l’évènement, vous pourrez la compléter quand vous voulez. N’oubliez pas de faire le tour des PokéStops pour obtenir de nouvelles tâches d’Études de terrain et rencontrer un maximum de Nénupiot.	El Profesor Willow va a llevar a cabo una investigación limitada acerca del impacto del tiempo atmosférico en los Pokémon, centrándose en el Pokémon de tipo Agua y Planta Lotad. Da vueltas a los fotodiscos en las Poképaradas cercanas para conseguir tareas de investigación de campo que te conduzcan al encuentro con este Pokémon Alga. ¡Mientras completas la investigación, mantente atento a otros Pokémon que pueden verse afectados por las condiciones atmosféricas, como Castform! Te dejamos más detalles a continuación: \n \nFecha y horas: \n-El 30 de marzo de 2019 de las 11:00 a. m. a las 8:00 p. m. en tu hora local. \n \nDetalles: \n- Los Pokémon que aparecen en función del tiempo atmosférico se presentarán con mayor frecuencia durante el evento. \n- Las tareas de investigación limitada estarán disponibles cuando des vueltas a los fotodiscos en las Poképaradas.  \n- Al completar las tareas de la investigación limitada, conseguirás encuentros con Lotad.  \n- Si tienes suerte, ¡puede que te encuentres con Lotad variocolor y Castform variocolor en su Forma Normal! \n \nMovimiento: \n- El movimiento Meteorobola de Castform se añadirá de forma permanente al juego. \n \n¡Recuerda! Mientras hayas conseguido la investigación limitada durante el tiempo del evento, podrás completarla en cualquier momento. ¡Y no olvides que deberás aventurarte a buscar muchas Poképaradas para conseguir nuevas tareas y encontrarte con tantos Lotad como puedas! 	Prof. Willow möchte den Einfluss des Wetters auf Pokémon erforschen, mit einem Schwerpunkt auf dem Wasser- und Pflanzen-Pokémon Loturzel. Drehe die Fotoscheibe der PokéStops in deiner Nähe, um Feldforschungsaufgaben zu erhalten, die zu Begegnungen mit diesem Wasserlinse-Pokémon führen. Während du deine Nachforschungen anstellst, halte die Augen nach anderen Pokémon offen, die vom Wetter beeinflusst sein könnten, wie z. B. Formeo. Hier sind die Infos:  \n \nWann \n- 30. März 2019 von 11:00 Uhr bis 20:00 Uhr Ortszeit. \n \nDetails \n- Pokémon, die aufgrund bestimmter Wetterbedingungen erscheinen, treten während des Events mit vermehrter Häufigkeit auf. \n- Erhalte Begrenzte Forschungsaufgaben durch das Drehen der Fotoscheiben an PokéStops. \n- Schließe die Begrenzten Forschungsaufgaben ab, um Loturzel zu begegnen. \n- Mit etwas Glück begegnest du vielleicht Schillernden Loturzel und Schillernden Formeo in Normalform! \n \nAttacke \n- Die Attacke Meteorologe für Formeo wird für immer ins Spiel aufgenommen.  \n \nSolange du die Begrenzten Forschungsaufgaben während des Event-Zeitfensters erhalten hast, kannst du sie jederzeit abschließen. Vergiss nicht, dass du viele PokéStops besuchen musst, um neue Feldforschungsaufgaben zu erhalten und so vielen Formeo wie möglich zu begegnen!	In che modo i Pokémon vengono influenzati dalle condizioni atmosferiche? Scoprilo insieme al Professor Willow nella sua ricerca mirata dedicata a Lotad, il Pokémon di tipo Acqua ed Erba. Fai girare il disco foto dei Pokéstop della tua zona e ricevi missioni di ricerca sul campo che culmineranno con un incontro con il Pokémon Alga. E giacché ci sei, tieni gli occhi aperti per gli altri Pokémon influenzati dalle condizioni atmosferiche, come ad esempio Castform! Ecco tutte le informazioni: \n \n- Orari e date - \nIl 30 marzo 2019 dalle 11:00 alle 20:00, ora locale. \n \n- Dettagli - \nI Pokémon che appaiono in particolari condizioni atmosferiche si faranno vedere più frequentemente durante l’evento. \nPotrai ricevere le missioni della ricerca mirata facendo girare i dischi foto presso i Pokéstop. \nUn incontro con Lotad sarà la tua ricompensa per aver completato tutte le missioni della ricerca mirata. E con un pizzico di fortuna, potresti anche incontrarne la versione cromatica, oppure quella di Castform nella sua Forma Normale! \n \nAttacchi \nL’attacco Palla Clima di Castform verrà aggiunto in maniera definitiva.  \n \nRicorda che se hai iniziato la ricerca mirata nella fascia oraria dell’evento, potrai completarla quando vuoi. Inoltre, dovrai visitare diversi Pokéstop per ricevere nuove missioni di ricerca sul campo e incontrare il maggior numero possibile di Lotad.	윌로우박사가 새로운 필드리서치를 계획 중입니다. 이번에는 날씨가 포켓몬에게 주는 영향을 조사하기 위해 3월 30일(토) 오전 11시부터 오후 20시까지 기간 한정으로 특별한 필드리서치 과제가 등장합니다. 이벤트 기간 중에는 날씨포켓몬 「캐스퐁」이 평소보다 많이 출현하고 일부 포켓몬이 날씨에 따라 평소보다 강하게 부스트됩니다. 또, 기간 중에 받을 수 있는 특별한 과제를 완료하면 풀・물타입의 포켓몬「연꽃몬」과 만날 수 있습니다. 가까운 포켓스톱을 돌려 필드리서치의 과제를 받아 완료해보세요! 자세한 내용은 아래를 확인하세요. \n \n이벤트 일정: \n- 한국시간 3월 30일(토) 오전 11시부터 오후 20시까지 \n \n이벤트 내용: \n- 날씨 영향을 받는 포켓몬이 평소보다 많이 출현 \n- 포켓스톱을 돌리면 기간 한정 필드리서치의 특별한 과제를 입수 \n- 특별한 관제를 완료하면 「연꽃몬」을 만남 \n- 운이 좋으면 색이 다른 「연꽃몬」 또는 캐스퐁의 모습인 색이 다른 「캐스퐁」이 출현 \n \n새로운 기술 \n- 「캐스퐁」이 새로운 기술 「웨더볼」을 배울 수 있음 \n \n이벤트 기간 중에 특별한 과제를 받았다면 과제 완료가 이벤트 기간 후가 되어도 리워드를 받을 수 있습니다. 포켓스톱을 많이 돌려 과제를 받아 많은 「연꽃몬」과 만나보세요!		維羅博士正在為新的田野調查做準備！為了調查天氣帶給寶可夢的影響，台灣時間3月30日11:00～20:00遊戲內將出現限時田野調查課題。活動時間內，天氣寶可夢飄浮泡泡出現的機率將比平常高，部分寶可夢將獲得更大的天氣優勢。此外，只要完成期間限定的田野調查課題，就能獲得捕捉蓮葉童子的機會。完成越多課題，就能遇見越多蓮葉童子！ \n \n【活動時間】 \n- 台灣時間3月30日11:00～20:00 \n  \n【活動內容】 \n- 出現機率依天氣而變化的寶可夢將出現得更加頻繁 \n- 旋轉寶可補給站的轉盤，便可取得期間限定的田野調查課題 \n- 完成期間限定的課題後，就能遇見蓮葉童子 \n- 有機會遇見異色的蓮葉童子和異色的飄浮泡泡（飄浮泡泡的樣子） \n \n【新登場招式】 \n- 飄浮泡泡將能學會新招式「氣象球」 \n \n此外，雖然期間限定的田野調查課題只能在活動時間內領取，但完成課題及領取獎勵並沒有時間限制。如果你希望能捕捉到蓮葉童子，請務必在活動時間內領取課題。趁活動時間內多多拜訪各地的寶可補給站，多多捕捉蓮葉童子吧！ 	O Professor Willow quer realizar uma pesquisa limitada sobre o impacto do clima nos Pokémon, com foco no Pokémon de tipo Água e Planta Lotad. Gire os fotodiscos de Poképaradas próximas para obter tarefas de pesquisa de campo que levam a encontros com este Pokémon Erva de Água. Ao completar a pesquisa, fique de olho em outros Pokémon que poderão ser impactados pelas condições climáticas, como Castform! Veja mais detalhes abaixo: \n \Data e hora \n- 30 de março, das 11h às 20h do seu horário local. \n \nDetalhes \n- Pokémon que aparecem por conta das condições climáticas aparecerão com mais frequência durante o evento. \n- Tarefas de pesquisa limitada estarão disponíveis quando vocês girarem os fotodiscos de Poképaradas. \n- Ao completar as tarefas de pesquisa limitada, vocês serão recompensados com encontros com Lotad. \n- Se tiverem sorte, poderão encontrar Lotad Brilhante e Castform Brilhante em sua forma Normal! \n \nMovimento \n- O movimento Esfera Climática para Castform será adicionado permanentemente ao jogo! \n \nLembrem-se, Treinadores: desde que vocês tenham coletado a pesquisa limitada durante os horários do evento, poderão completá-la a qualquer momento. E não se esqueçam, vocês terão que se aventurar em muitas Poképaradas para encontrar novas tarefas de pesquisa de campo e encontrar o maior número possível de Lotad!
news_header_giratina_altered	Giratina returns, ready to transform!	伝説のポケモン「ギラティナ」が姿を変えて帰ってきます！	Giratina revient, prêt à se transformer !	¡Vuelve Giratina preparado para la transformación!	Giratina kehrt zurück, wandelbereit!	Giratina ritorna con le sue trasformazioni!	「기라티나」가 모습을 바꿔서 돌아옵니다!		騎拉帝納將改變形態，再次降臨團體戰！	Giratina está de volta, pronto para se transformar!
news_subheader_giratina_altered	Giratina returns, ready to transform!	伝説のポケモン「ギラティナ」が姿を変えて帰ってきます！	Giratina revient, prêt à se transformer !	¡Vuelve Giratina preparado para la transformación!	Giratina kehrt zurück, wandelbereit!	Giratina ritorna con le sue trasformazioni!	「기라티나」가 모습을 바꿔서 돌아옵니다!		騎拉帝納將改變形態，再次降臨團體戰！	Giratina está de volta, pronto para se transformar!
news_main_text_giratina_altered	You did your team leaders proud back when you battled Giratina in its Altered Forme. However, there are still many mysteries to be unlocked about the Renegade Pokémon. Giratina has reemerged from the Distortion World to renew and transform. Starting March 28, Altered Forme Giratina will return to raids until April 2, when it will transform into Origin Forme to keep testing Trainers’ strength until April 29.   \n \nDate + Time \n- Giratina (Altered Forme): Thursday, Mar. 28, 2019, at 1 p.m. PDT (GMT −7) to Tuesday, Apr. 2, 2019, at 1 p.m. PDT (GMT −7) \n- Giratina (Origin Forme): Tuesday, Apr. 2, 2019, at 1 p.m. PDT (GMT −7) to Monday, Apr. 29, 2019, at 1 p.m. PDT (GMT −7) \n  \nStart prepping your teams to take on this Ghost- and Dragon-type Legendary Pokémon originally discovered in the Sinnoh region. Stay safe, and happy exploring!	かつてトレーナーのみなさんと伝説レイドバトルを繰り広げた伝説のポケモン、「ギラティナ」が姿を変えて再び登場するようです！日本時間3月29日（金）から、「ギラティナ アナザーフォルム」が登場し、さらに4月3日（水）からは「ギラティナ オリジンフォルム」が、4月29日（月）まで伝説レイドバトルに登場します。 \n \n日時 \n「ギラティナ アナザーフォルム」：日本時間2019年3月29日（金）早朝から2019年4月2日（火）まで \n「ギラティナ オリジンフォルム 」：日本時間2019年4月3日（水）早朝から2019年4月29日（月）まで  \n \n『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 \n \n※当日の天候条件や諸事情により、イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。	Vous avez fait la fierté de votre capitaine d’équipe quand vous avez combattu Giratina dans sa Forme Alternative. Il reste cependant bien des mystères à découvrir sur le Pokémon Renégat. Giratina a émergé du Monde Distorsion pour se renouveler et se transformer. Du 28 mars au 2 avril, Giratina Forme Alternative reviendra dans les Raids. Il prendra ensuite sa Forme Originelle et continuera de défier les Dresseurs jusqu’au 29 avril.   \n  \nHoraire  \n- Giratina (Forme Alternative) : du jeudi 28 mars 2019 à 13h PDT (UTC -7) au mardi 2 avril 2019 à 13h PDT (UTC -8) (attention au changement d’heure !)  \n- Giratina (Forme Originelle) : du mardi 2 avril 2019 à 13h PDT (UTC -8) au lundi 29 avril 2019 à 13h PDT (UTC -8)  \n   \nPréparez vos équipes à affronter ce Pokémon légendaire de type Spectre et Dragon originaire de la région de Sinnoh. Soyez prudents, et bonne exploration.	Hiciste que tus líderes de equipo se sintieran orgullosos cuando combatiste con la Forma Modificada de Giratina. Sin embargo, aún quedan por desvelar muchos misterios acerca de este Pokémon Renegado. Giratina ha resurgido del Mundo Distorsión para renovarse y transformarse. A partir del día 28 de marzo, la Forma Modificada de Giratina volverá a las incursiones hasta el día 2 de abril, cuando se transformará en su Forma Origen para continuar poniendo a prueba la fuerza de los Entrenadores hasta el 29 de abril. \n \nDía y horas: \n- Giratina (Forma Modificada): Del jueves 28 de marzo de 2019 a la 1 p. m. PDT (GMT −7) al martes 2 de abril de 2019 a la 1 p. m. PDT (GMT −7). \n- Giratina (Forma Origen): Del martes 2 de abril de 2019 a la 1 p. m. PDT (GMT −7) al lunes 29 de abril de 2019 a la 1 p. m. PDT (GMT −7). \n  \nEmpieza a preparar tus equipos para enfrentarte a este Pokémon legendario de tipo Fantasma y tipo Dragón descubierto originalmente en la región de Sinnoh. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Beim Kampf gegen Giratina in seiner Wandelform hast du deinem Teamleader damals alle Ehre gemacht. Aber es gibt immer noch viele Geheimnisse um das Rebell-Pokémon zu lüften. Giratina ist aus der Zerrwelt zurückgekehrt, um sich zu erneuern und zu verwandeln. Ab dem 28. März erscheint Giratina erneut in seiner Wandelform in Raids, bis es sich dann am 2. April in seine Urform wandelt, um bis zum 29. April weiter die Stärke aller Trainer zu testen. \n \nWann \n– Giratina (Wandelform): Donnerstag, 28. März 2019 um 13:00 Uhr PDT (GMT −7) bis Dienstag, 2. April 2019 um 13:00 Uhr PDT (GMT −7) \n– Giratina (Urform): Dienstag, 2. April 2019 um 13:00 Uhr PDT (GMT −7) bis Montag, 29. April 2019 um 13:00 Uhr PDT (GMT −7) \n \nBereite dein Team auf dieses Legendäre Pokémon vom Typ Geist und Drache vor, das ursprünglich in der Sinnoh-Region entdeckt wurde. Allzeit sichere und schöne Entdeckungsreisen!	Il capo della tua squadra si è riempito di orgoglio quando hai sfidato Giratina nella sua Forma Alterata. Nonostante ciò, il Pokémon Ribelle nasconde ancora tanti altri misteri. Giratina è riemerso dal Mondo Distorto e si prepara a rovesciare le nostre certezze, ricomparendo nei raid nella sua Forma Alterata a partire dal 28 marzo e fino al 2 aprile. Al termine di questo periodo, riprenderà la sua Forma Originale e continuerà a mettere alla prova gli Allenatori fino al 29 aprile.  \n \n- Orari e date - \nGiratina (Forma Alterata): da giovedì 28 marzo 2019 alle 13:00 PDT (GMT -7) a martedì 2 aprile 2019 alle 13:00 PDT (GMT -7) \nGiratina (Forma Originale): da martedì 2 aprile 2019 alle 13:00 PDT (GMT -7) a lunedì 29 aprile 2019 alle 13:00 PDT (GMT -7) \n  \nInizia a preparare la tua squadra in vista della battaglia contro questo Pokémon leggendario di tipo Spettro e Drago, scoperto nella regione di Sinnoh. Ricorda di essere sempre prudente e buon divertimento!	한 때 트레이너 여러분과 전설 레이드배틀을 펼친 전설의 포켓몬 「기라티나」가 모습을 바꿔 다시 등장합니다! 한국시간 3월 29일(금)부터 「기라티나 어나더폼」이 등장하고 4월 3일(수)부터는 「기라티나 오리진폼」이 4월 29일(월)까지 전설 레이드배틀에 등장합니다. \n \n일정 \n- 「기라티나 어나더폼」: 한국시간 2019년 3월 29일(금) 새벽부터 2019년 4월 2일(화)까지 \n- 「기라티나 오리진폼」: 한국시간 2019년 4월 3일(수) 새벽부터 2019년 4월 29일(월)까지 \n \n“Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n \n※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		曾經讓各位陷入苦戰的騎拉帝納即將改變形態，重返團體戰！自台灣時間3月29日起，騎拉帝納（別種形態）將降臨各地的傳說團體戰。此外，騎拉帝納將於4月3日再次轉變形態，以起源形態之姿在各地傳說團體戰登場！  \n \n【騎拉帝納登場時間】 \n騎拉帝納（別種形態）：台灣時間3月29日清晨起至4月2日 \n騎拉帝納（起源形態）：台灣時間4月3日清晨起至4月29日  \n \n玩遊戲時請注意周遭環境，小心安全。 \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Você foi motivo de orgulho para o seu líder de equipe quando batalhou contra Giratina em sua Forma Alterada. Mas o Pokémon Renegado ainda guarda muitos mistérios esperando para serem desvendados. Giratina ressurgiu do Mundo da Distorção para se renovar e transformar. A partir do dia 28 de março, Giratina Forma Alterada voltará aos Reides até o dia 2 de abril, quando se transformará na Forma Origem para continuar testando a força dos Treinadores até o dia 29 de abril. \n \nData e hora \n- Giratina (Forma Alterada): de quinta, 28 de março de 2019, às 13h horário do Pacífico (GMT −7), a terça, dia 2 de abril de 2019, às 13h horário do Pacífico (GMT −7). \n- Giratina (Forma Origem): de terça, 2 de abril de 2019, às 13h horário do Pacífico (GMT −7), a segunda, dia 29 de abril de 2019, às 13h horário do Pacífico (GMT −7). \n  \nComece a preparar as suas equipes para enfrentar este Pokémon Lendário de tipo Fantasma e Dragão originário da região de Sinnoh. Tome cuidado e divirta-se explorando o mundo!
news_header_defense_deoxys	Get ready! Defense Forme Deoxys alters EX Raids!	ディフェンスフォルムの「デオキシス」が「EXレイドバトル」に襲来！	Préparez-vous, Deoxys Forme Défense modifie les Raids EX !	¡Prepárate! ¡Deoxys Forma Defensa altera las incursiones EX!	Aufgepasst! Die Verteidigungsform von Deoxys macht EX-Raids unsicher!	Preparati... Deoxys Forma Difesa sta per alterare i raid EX!	디펜스폼의 「테오키스」가 EX 레이드배틀에 등장!		 請注意！防禦形態的「代歐奇希斯」即將佔領VIP團體戰！	Prepare-se! Deoxys Forma Defesa está chegando para alterar os Reides EX!
