Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_defense_deoxys	Get ready! Defense Forme Deoxys alters EX Raids!	ディフェンスフォルムの「デオキシス」が「EXレイドバトル」に襲来！	Préparez-vous, Deoxys Forme Défense modifie les Raids EX !	¡Prepárate! ¡Deoxys Forma Defensa altera las incursiones EX!	Aufgepasst! Die Verteidigungsform von Deoxys macht EX-Raids unsicher!	Preparati... Deoxys Forma Difesa sta per alterare i raid EX!	디펜스폼의 「테오키스」가 EX 레이드배틀에 등장!		 請注意！防禦形態的「代歐奇希斯」即將佔領VIP團體戰！	Prepare-se! Deoxys Forma Defesa está chegando para alterar os Reides EX!
news_subheader_defense_deoxys	Get ready! Defense Forme Deoxys alters EX Raids!	ディフェンスフォルムの「デオキシス」が「EXレイドバトル」に襲来！	Préparez-vous, Deoxys Forme Défense modifie les Raids EX !	¡Prepárate! ¡Deoxys Forma Defensa altera las incursiones EX!	Aufgepasst! Die Verteidigungsform von Deoxys macht EX-Raids unsicher!	Preparati... Deoxys Forma Difesa sta per alterare i raid EX!	디펜스폼의 「테오키스」가 EX 레이드배틀에 등장!		 請注意！防禦形態的「代歐奇希斯」即將佔領VIP團體戰！	Prepare-se! Deoxys Forma Defesa está chegando para alterar os Reides EX!
news_main_text_defense_deoxys	The DNA Pokémon, Deoxys, has tested the strength of Trainers in EX Raids and has changed form again! Defense Forme Deoxys will be in EX Raids with stronger defenses than previously seen, so make sure your team is prepared. This Psychic-type Mythical Pokémon will be available to challenge beginning March 25. \n \nDate + Time \nMar. 25, 2019, at 1:00 p.m. PDT (GMT −7)  \n  \nFeatures \n- The Mythical Pokémon Deoxys will change form in EX Raids to Defense Forme Deoxys. \n- You can invite one Ultra Friend or Best Friend to an upcoming EX Raid. \n  \nDo you have what it takes? Best of luck, Trainer—Deoxys Defense Forme is waiting!	「EXレイドバトル」でトレーナーたちの挑戦を受けるＤＮＡポケモン「デオキシス」が、新たなフォルムで登場！ 今回はディフェンスフォルムの「デオキシス」が登場します。 \n \nイベント日時 \n- 日本時間2019年3月26日（火）早朝から \n  \nイベント内容 \n- 幻のポケモン「デオキシス」がディフェンスフォルムに姿を変えて「EXレイドバトル」に登場 \n- 「EXレイドパス」を受け取ったトレーナーは、仲良し度が「親友」または「大親友」のフレンド1人を招待することができることもお忘れなく！ \n \n皆さんの健闘を祈ります！ \n \n『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 \n※当日の天候条件や諸事情により、イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。	Deoxys, le Pokémon ADN, a mis les Dresseurs à l’épreuve dans les Raids EX, et a encore changé de forme ! Deoxys Forme Défense apparaîtra dans les Raids EX et sera plus puissant qu’auparavant ; entraînez bien votre équipe avant de l’affronter. Vous pourrez défier ce Pokémon fabuleux de type Psy dès le 25 mars. \n  \nHoraire  \nLe 25 mars 2019 à 13h PDT (UTC -7)  \n  \nParticularités  \n- Dans les Combats de Raids EX, Deoxys, le Pokémon fabuleux, prendra la forme Deoxys Forme Défense.  \n- Vous pourrez inviter un Excellent ou un Meilleur ami à un Raid EX prochain.  \n  \nTiendrez-vous le coup ? Bonne chance, Dresseurs, Deoxys Forme Défense vous attend !	El Pokémon ADN, Deoxys, ha puesto a prueba la fuerza de los Entrenadores en las incursiones EX, ¡y ahora ha cambiado de forma! Deoxys Forma Defensa estará en incursiones EX con un poder defensivo más fuerte que nunca, así que asegúrate de que tu equipo esté preparado. Este Pokémon singular de tipo Psíquico estará disponible para enfrentarse en desafíos a partir del 25 de marzo. \n \nFecha y horas: \n- 25 de marzo de 2019 a la 1:00 p. m. PDT (GMT −7). \n \nDetalles: \n- El Pokémon singular Deoxys cambiará de forma en incursiones EX a Deoxys Forma Defensa. \n- Puedes invitar a alguien con quien tengas una ultraamistad o una amistad sin igual a la próxima incursión EX.  \n \n¿Te atreves? ¡Deoxys Forma Defensa te aguarda! ¡Buena suerte!	Das DNS-Pokémon Deoxys hat die Stärke von Trainern in EX-Raid-Kämpfen auf die Probe gestellt und ändert jetzt erneut seine Form! In seiner Verteidigungsform wird Deoxys mit einer stärkeren Abwehr als zuvor in EX-Raid-Kämpfen auftauchen, also bereite dein Team gut vor! Dieses Mysteriöse Pokémon vom Typ Psycho kann ab dem 25. März herausgefordert werden. \n \nWann \n25. März 2019 um 13:00 Uhr PDT (GMT -7) \n \nDetails \n- Das Mysteriöse Pokémon Deoxys wechselt seine Form in EX-Raids zur Verteidigungsform. \n- Du kannst einen Hyperfreund oder Besten Freund zu einem bevorstehenden EX-Raid einladen. \n \nHast du das Zeug dazu? Viel Glück, Trainer – Deoxys in seiner Verteidigungsform erwartet dich!	Il Pokémon DNA ha saggiato la forza degli Allenatori che l’hanno sfidato nei raid EX e ha cambiato forma di nuovo! Deoxys Forma Difesa si farà vivo molto presto nei raid EX e sarà più resistente che mai, per cui prepara a dovere la tua squadra. Potrai sfidare questo Pokémon misterioso di tipo Psico a partire dal 25 marzo. \n \n- Orari e date - \nIl 25 marzo 2019 alle ore 13:00 PDT (GMT -7) \n \n- Dettagli - \nIl Pokémon misterioso Deoxys assumerà la Forma Difesa nei raid EX. \nPotrai invitare i tuoi amici per la pelle o i tuoi migliori amici a unirsi a te in uno dei prossimi raid EX. \n \nPensi di averne la stoffa? Deoxys nella sua Forma Difesa ti aspetta. Buona fortuna!	EX 레이드배틀에서 트레이너들의 도전을 기다리는 DNA포켓몬 「테오키스」가 새로운 폼으로 등장! 이번에는 디펜스폼의 「테오키스」가 등장합니다. \n \n이벤트 일정 \n-한국시간 2019년 3월 26일(화) 새벽부터 \n \n이벤트 내용 \n-환상의 포켓몬 「테오키스」가 디펜스폼으로 모습을 바꿔 EX 레이드배틀에 등장 \n- 「EX 레이드패스」를 받은 트레이너는 우정레벨이 「울트라 프렌드」 또는 「베스트 프렌드」 1명을 초대할 수 있습니다!  여러분의 행운을 빕니다! \n \n“Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		VIP團體戰的頭目寶可夢「代歐奇希斯」將以新形態登場！這次登場的新形態為「防禦形態」，強化防禦特性的代歐奇希斯將自台灣時間3月26日清晨起佔領VIP團體戰！  \n \n防禦形態的代歐奇希斯是非常難纏的對手，記得邀請朋友一起參戰。不過可邀請的對象僅限友誼等級在「麻吉好朋友」以上的朋友。多和朋友對戰、互送禮物和交換寶可夢，提高你與朋友的友誼等級吧！  \n \n準備好挑戰防禦形態的「代歐奇希斯」了嗎？祝各位訓練家旗開得勝！ \n \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Deoxys, o Pokémon DNA, já testou a força de Treinadores em Reides EX no passado, mas mudou de forma de novo! Deoxys Forma Defesa está chegando aos Reides EX com defesas mais poderosas do que antes, então prepare bem a sua equipe. Este Pokémon Mítico de tipo Psíquico estará disponível para desafios a partir do dia 25 de março. \n \nData e hora \n25 de março de 2019, às 13h horário do Pacífico (GMT −7). \n  \nDetalhes \n- O Pokémon Mítico Deoxys mudará de forma em Reides EX e se tornará Deoxys Forma Defesa. \n- Você pode convidar um amigo com quem tenha uma ultra-amizade ou amizade sem igual para um dos próximos Reides EX. \n \nEstá preparado? Boa sorte, pois Deoxys Forma Defesa está esperando por você!
news_header_rayquaza	Challenge Rayquaza in this Special Raid Weekend!	「レイドウィークエンド」で「レックウザ」に挑戦しよう！	Affrontez Rayquaza lors d’un week-end de Raids spéciaux !	¡Desafía a Rayquaza este fin de semana de incursión especial!	Fordere Rayquaza an diesem besonderen Raid-Wochenende heraus!	Sfida Rayquaza in un weekend di raid speciali!	「레이드 위켄드」로 「레쿠쟈」에 도전하자!		在「團體戰週末」中挑戰烈空坐吧！	Desafie Rayquaza neste fim de semana especial de Reides!
news_subheader_rayquaza	Challenge Rayquaza in this Special Raid Weekend!	「レイドウィークエンド」で「レックウザ」に挑戦しよう！	Affrontez Rayquaza lors d’un week-end de Raids spéciaux !	¡Desafía a Rayquaza este fin de semana de incursión especial!	Fordere Rayquaza an diesem besonderen Raid-Wochenende heraus!	Sfida Rayquaza in un weekend di raid speciali!	「레이드 위켄드」로 「레쿠쟈」에 도전하자!		在「團體戰週末」中挑戰烈空坐吧！	Desafie Rayquaza neste fim de semana especial de Reides!
news_main_text_rayquaza	Are you ready for a challenge? From Friday, March 15, to Monday, March 18, there will be a Special Raid Weekend! The Legendary Pokémon Rayquaza will be available in Raid Battles! Take a look at the details below: \n \nDate + Time \nFriday, Mar. 15, 2019, at 1 p.m. PDT (GMT −7) to Monday, Mar. 18, 2019, at 1 p.m. PDT (GMT −7)  \n \nFeatures \n- The Legendary Pokémon Rayquaza will be joining Raid Battles! \n \nDo you have what it takes to take on Rayquaza? Get ready to GO, Trainer—and best of luck!	日本時間の3月16日（土）早朝から3月18日（月）にかけて、「レイドウィークエンド」が開催されます！ 期間中は、伝説のポケモン「レックウザ」が「伝説レイドバトル」に姿を現すようです！ 詳細は以下のとおりです： \n \n日時: \n日本時間2019年3月16日（土）早朝から2019年3月18日（月）まで  \n \nイベント内容: \n-伝説のポケモン「レックウザ」が「伝説レイドバトル」に登場 \n※今回のイベントでは、色違いの「レックウザ」は出現いたしません。 \n \n「レックウザ」はドラゴン・ひこうタイプのポケモン。こおりタイプやいわタイプのポケモンを育て、バトルに挑みましょう！  \n \n『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 \n※当日の天候条件や諸事情により、イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。 	Êtes-vous prêts à relever le défi ? Du vendredi 15 mars au lundi 18 mars, participez à un week-end de Raids spéciaux ! Le Pokémon légendaire Rayquaza sera disponible dans les Combats de Raids. Voici les détails :  \n  \nHoraire  \nDu vendredi 15 mars 2019 à 13h PDT (UTC -7) au lundi 18 mars 2019 à 13h PDT (UTC -7)  \n  \nParticularités  \n- Le Pokémon légendaire Rayquaza sera présent dans les Combats de Raids.  \n  \nSerez-vous capables d’affronter Rayquaza ? Dresseurs, préparez-vous, et bonne chance !	¿Listo para un desafío? Del viernes 15 de marzo al lunes 18 de marzo, ¡habrá un desafío de incursión especial! ¡El Pokémon legendario Rayquaza estará disponible en incursiones! Echa un vistazo a los detalles a continuación: \n  \nFecha y horas: \nDel viernes 15 de marzo de 2019 a la 1 p. m. PDT (GMT −7) al lunes 18 de marzo de 2019 a la 1 p. m. PDT (GMT −7). \n  \nDetalles: \n- ¡El Pokémon legendario Rayquaza se unirá a las incursiones! \n  \n¿Te atreves a enfrentarte a Rayquaza? ¡Prepárate y suerte!	Bist du bereit für eine Herausforderung? Ein besonderes Raid-Wochenende findet von Freitag, den 15. März bis Montag, den 18. März statt! Das Legendäres Pokémon Raquaza erwartet dich in Raid-Kämpfen! Hier sind die Infos: \n \nWann \n- Freitag, 15. März 2019 um 13:00 Uhr PDT (GMT −7) bis Montag, 18. März 2019 um 13:00 Uhr PDT (GMT −7) \n \nDetails \n- Das Legendäre Pokémon Raquaza erscheint in Raid-Kämpfen! \n \nHast du das Zeug dazu, Raquaza zu besiegen? Nichts wie raus und GO, Trainer – und viel Glück!	Te la senti di accettare la sfida? Preparati a un weekend di raid speciali, in arrivo da venerdì 15 marzo a lunedì 18 marzo, durante il quale il Pokémon leggendario Rayquaza sarà disponibile nei raid! Ecco i dettagli: \n \n- Orari e date - \nDa venerdì 15 marzo 2019 alle 13:00 PDT (GMT -7) a lunedì 18 marzo 2019 alle 13:00 PDT (GMT -7) \n \n- Dettagli - \nIl Pokémon leggendario Rayquaza si lancerà nei raid. \n \nPensi di avere la stoffa per sfidarlo? Pronti, partenza... GO! Buona fortuna! 	한국 시간 3월 16일(토) 새벽부터 3월 18일(월)까지 「레이드 위켄드」를 개최합니다! 기간 동안은 전설의 포켓몬 「레쿠쟈」가 전설 레이드배틀에 모습을 나타냅니다! 자세한 내용은 아래를 확인하세요: \n \n일정 \n한국시간 2019년 3월 16일(토) 새벽부터 2019년 3월 18일(월)까지 \n \n이벤트 내용 \n-전설의 포켓몬 「레쿠쟈」가 전설 레이드배틀에 등장 \n※이번 이벤트에서 색이 다른 「레쿠쟈」는 나오지 않습니다. \n \n「레쿠쟈」는 드래곤・비행타입 포켓몬입니다. 얼음타입 또는 바위타입 포켓몬을 키워서 배틀에 도전하세요! 여러분의 행운을 빕니다! \n \n“Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n※당일 날씨 또는 기타 사정에 의해 이벤트 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		台灣時間3月16日清晨起至3月18日止，遊戲中將舉辦「團體戰週末」活動。屆時，傳說的寶可夢烈空坐將降臨傳說團體戰！ \n \n【活動時間】 \n台灣時間3月16日清晨起至3月18日止  \n \n【活動內容】 \n傳說的寶可夢烈空坐降臨各地傳說團體戰！ \n※本次活動中將不會出現異色烈空坐 \n \n準備好冰屬性或岩石屬性的寶可夢，一起挑戰強大的烈空坐吧！ \n \n玩遊戲時請注意周遭環境，小心安全。  \n \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Estão prontos para um desafio? Um fim de semana especial de Reides acontecerá entre os dias 15 e 18 de março! O Pokémon Lendário Rayquaza estará disponível em Batalhas de Reide! Confira os detalhes abaixo: \n \nData e hora \nDe sexta-feira, 15 de março de 2019, 13h horário do Pacífico (GMT -7), a segunda-feira, 18 de março de 2019, às 13h horário do Pacífico (GMT -7).  \n \nDetalhes \n-O Pokémon Lendário Rayquazza se juntará às Batalhas de Reide! \n \nVocês acham que conseguem enfrentar Rayquaza? Boa sorte, Treinadores!
news_header_sentosa	Please join us for the Pokémon GO Safari Zone event in Sentosa, Singapore!									
news_subheader_sentosa	Please join us for the Pokémon GO Safari Zone event in Sentosa, Singapore!									
news_main_text_sentosa	The first Pokémon GO Safari Zone in Southeast Asia is taking place in Sentosa, Singapore! Sentosa is known for its pristine beaches, tropical landscape, and wide range of entertainment. Ticket holders will encounter rare Pokémon—such as the Grass- and Flying-type Pokémon Tropius—roaming around the beautiful island of Sentosa from Thursday, April 18, to Monday April 22.  \n \nRegister now for a chance to receive a free one-day ticket for our Safari Zone event in Sentosa by visiting the <a href="https://safarizone.sentosa.com.sg">event website</a> from 5 March to 7 March. Tickets will be sent to selected Trainers via email no later than 11 March. Please note, Trainers with a ticket will only be able to find the special Safari Zone event Pokémon during the day the ticket was first claimed. Trainers without a ticket will experience normal gameplay. 									
news_header_special_weekend		今年二回目の「Pokémon GO Special Weekend」が4月に開催決定！								
