Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_dialga	Don’t waste time - challenge Dialga in Raids!	伝説のポケモン「ディアルガ」が伝説レイドバトルに登場！	Pas de temps à perdre, il faut défier Dialga en Combats de Raids.	¡No pierdas tiempo y desafía a Dialga en incursiones!	Verliere keine Zeit – fordere Dialga in Raid-Kämpfen heraus!	Il tempo è tiranno: sfida Dialga nei raid!	전설의 포켓몬 「디아루가」가 전설 레이드배틀에 등장!		傳說的寶可夢「帝牙盧卡」即將降臨傳說團體戰！	Não perca tempo e desafie Dialga em Reides agora mesmo!
news_subheader_dialga	Don’t waste time - challenge Dialga in Raids!	伝説のポケモン「ディアルガ」が伝説レイドバトルに登場！	Pas de temps à perdre, il faut défier Dialga en Combats de Raids.	¡No pierdas tiempo y desafía a Dialga en incursiones!	Verliere keine Zeit – fordere Dialga in Raid-Kämpfen heraus!	Il tempo è tiranno: sfida Dialga nei raid!	전설의 포켓몬 「디아루가」가 전설 레이드배틀에 등장!		傳說的寶可夢「帝牙盧卡」即將降臨傳說團體戰！	Não perca tempo e desafie Dialga em Reides agora mesmo!
news_main_text_dialga	A new arrival to Raids will test your strength this next month! The Steel- and Dragon-type Temporal Pokémon, Dialga, will join Raid Battles across the world from March 1 at 1:00 p.m. PST to March 28 at 1:00 p.m. PDT! \n  \nWith the ability to warp time by slowing it down, speeding it up, and even stopping it altogether, Sinnoh region mythology says that time began moving when Dialga was born. Be sure to assemble a team that includes Fighting- and Ground-type Pokémon to take down this Legendary Pokémon of Sinnoh before it overpowers your Pokémon with its special attacks! \n  \nDon’t miss this chance to catch this Legendary Pokémon before it leaves for a new dimension! Stay safe, and happy exploring!	はがね・ドラゴンタイプのじかんポケモン「ディアルガ」が日本時間の3月2日（土）早朝から3月28日（木）にかけて、世界中の「伝説レイドバトル」に登場！ 新たな伝説のポケモンがトレーナーの皆さんを待っています！ \n \n時間の流れを自在に操る力を持つ「ディアルガ」。シンオウ地方の神話では、「ディアルガ」が生まれたことで、この世界の「時間」が動き出したとされています。かくとうタイプやじめんタイプのポケモン中心に、十分にポケモンを育てておきましょう！  \n \n「ディアルガ」が新たな次元へと旅立ってしまう前に、ぜひゲットしておきましょう！  『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 \n \n※当日の天候条件や諸事情により、イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。	Un nouvel arrivant dans les Raids vous mettra à l’épreuve le mois prochain. Dialga, le Pokémon Temps de type Acier et Dragon, rejoindra les Combats de Raids du monde entier du 1er mars à 13h PST (UTC -8) au 28 mars à 13h PDT (UTC -7) (attention au changement d’heure américain !). \n  \nDialga peut ralentir, accélérer, voire arrêter le temps ; selon la mythologie de la région de Sinnoh, c’est à sa naissance que le temps s’est mis en mouvement. Formez une équipe incluant des Pokémon de types Combat et Sol pour affronter ce Pokémon légendaire de Sinnoh et ses attaques spéciales avant qu’il ne prévale sur vos Pokémon. \n  \nNe ratez pas cette chance d’attraper ce Pokémon légendaire avant qu’il ne disparaisse dans une autre dimension. Soyez prudents, et bonne exploration.	¡Una nueva aparición en incursiones pondrá a prueba tu fuerza el mes que viene! El Pokémon Temporal, de tipo Acero y Dragón, aparecerá en incursiones en todo el mundo del 1 de marzo a la 1:00 p. m. PST al 28 de marzo a la 1:00 p. m. PDT. \n \nCon el poder de controlar el tiempo haciendo que vaya más despacio, que vaya más rápido o que se detenga del todo, en los mitos de la región de Sinnoh se dice que el tiempo empezó a avanzar cuando nació Dialga. ¡Asegúrate de reunir un equipo que incluya Pokémon de tipo Lucha y Tierra para poder derribar a este Pokémon legendario de Sinnoh antes de que acabe con tus Pokémon con sus ataques especiales! \n \n¡No te pierdas esta oportunidad de capturar a este Pokémon lgendario antes de que se vaya a otra dimensión! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Ein Raid-Neuzugang stellt deine Stärke im nächsten Monat auf die Probe! Dialga, das Zeitweilig-Pokémon vom Typ Stahl und Drache ist vom 1. März um 13:00 Uhr (PST) bis zum 28. März um 13:00 Uhr (PDT) in Raid-Kämpfen rund um die Welt anzutreffen!  \n   \nDa es die Fähigkeit besitzt, Zeit zu verlangsamen, zu beschleunigen oder sie sogar zum Stillstand zu bringen, begann laut den Mythen von Sinnoh der Lauf der Zeit, als Dialga geboren wurde. Stelle ein Team zusammen, das Kampf- und Boden-Pokémon enthält, um dieses mächtige Legendäre Pokémon herauszufordern, bevor es deine Pokémon mit seinen Spezial-Attacken überwältigt!  \n   \nVerpasse nicht die Chance, dieses Legendäre Pokémon zu fangen, bevor es in eine andere Dimension verschwindet! Allzeit sichere und schöne Entdeckungsreisen! 	Questo mese, un nuovo ospite nei raid metterà a dura prova la tua esperienza. Dialga, il Pokémon Tempo di tipo Acciaio e Drago, piomberà nei raid di tutto il mondo dal 1° marzo alle 13:00 PST al 28 marzo alle 13:00 PDT!  \n \nNei miti della regione di Sinnoh si dice che il tempo abbia avuto origine alla nascita di Dialga e che questo abbia la capacità di rallentarlo, accelerarlo e addirittura fermarlo. Vuoi sconfiggere questo Pokémon leggendario di Sinnoh prima che abbia la meglio grazie ai suoi attacchi micidiali? E allora farai meglio a radunare una squadra che includa Pokémon di tipo Lotta e di tipo Terra. \n \nNon perdere l’occasione di catturare questo Pokémon leggendario prima che sparisca in un’altra dimensione. Ricorda di essere sempre prudente e buon divertimento!	강철・드래곤타입의 시간포켓몬 「디아루가」가 한국시간 3월 2일(토) 새벽부터 3월 28일(목) 동안 전 세계의 전설 레이드배틀에 등장합니다! 새로운 전설의 포켓몬이 트레이너 여러분을 기다리고 있습니다! \n \n시간을 자유자재로 조종하는 힘을 가진 「디아루가」. 신오지방 신화에서는 「디아루가」가 태어났기 때문에 세계의 시간이기 움직이기 시작했다고 전해집니다. 격투타입 또는 땅타입 포켓몬을 중심으로 충분히 포켓몬을 키워보세요! \n \n「디아루가」가 새로운 차원으로 떠나기 전에 어서 손에 넣어보세요!  \n“Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n \n※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		擁有鋼屬性及龍屬性的時間寶可夢「帝牙盧卡」將於台灣時間3月2日清晨起至3月28日占領全世界各地的傳說團體戰！ \n \n帝牙盧卡可以自由操縱時間，根據神奧地區神話的記載，是牠的誕生讓時間得以開始流動。快準備好強大的格鬥屬性或地面屬性的寶可夢，挑戰帝牙盧卡吧！  \n \n玩遊戲時請注意周遭環境，小心安全。  \n \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Este mês, os Reides recebem mais um Pokémon que desafiará o seu potencial! Dialga, o Pokémon Temporal de tipo Aço e Dragão, estará nas Batalhas de Reide de todo o mundo entre os dias 1º de março, às 13h horário do Pacífico, e 28 de março, às 13h horário do Pacífico. \n  \nDialga tem o poder de acelerar e desacelerar o tempo, e até de paralisá-lo completamente. Segundo a mitologia de Sinnoh, seu nascimento fez com que o tempo começasse a andar. Não se esqueça de formar uma equipe com Pokémon de tipo Lutador e Terrestre para derrotar este Pokémon Lendário de Sinnoh antes que ele surpreenda os seus Pokémon com seus ataques especiais! \n  \nNão perca a chance de pegar este Pokémon Lendário antes que ele parta para uma nova dimensão! Tome cuidado e divirta-se explorando o mundo!
news_header_latias	Challenge Latias in this Special Raid Week!	「レイドウィーク」で「ラティアス」に挑戦しよう！	Affrontez Latias lors d’une semaine de Raids spéciaux !	¡Desafía a Latias esta semana de incursión especial!	Fordere Latias in dieser besonderen Raid-Woche heraus!	Sfida Latias in una settimana di raid speciali!	「스페셜 레이드 위크」로 「라티아스」에 도전하자!		 拉帝亞斯即將降臨特別團體戰週！	Desafie Latias nesta semana especial de Reides!
news_subheader_latias	Challenge Latias in this Special Raid Week!	「レイドウィーク」で「ラティアス」に挑戦しよう！	Affrontez Latias lors d’une semaine de Raids spéciaux !	¡Desafía a Latias esta semana de incursión especial!	Fordere Latias in dieser besonderen Raid-Woche heraus!	Sfida Latias in una settimana di raid speciali!	「스페셜 레이드 위크」로 「라티아스」에 도전하자!		 拉帝亞斯即將降臨特別團體戰週！	Desafie Latias nesta semana especial de Reides!
news_main_text_latias	Are you ready for a challenge? From Friday, February 22, to Friday, March 1, there will be a Special Raid Week! The Legendary Pokémon Latias will be available in Raid Battles! Take a look at the details below: \n  \nDate + Time \nFriday, Feb. 22, 2019, at 1 p.m. PST (GMT −8) to Friday, Mar. 1, 2019, at 1 p.m. PST (GMT −8) \n  \nFeatures \n- The Legendary Pokémon Latias will be joining Raid Battles! \n- If you’re lucky, you may encounter a Shiny Latias! \n  \nLooking for Latios? Fear not, Trainer! Latios will appear during its own Special Raid Week at a later date! \n  \nDo you have what it takes to take on Latias? Get ready to GO, Trainer—and best of luck!	「レイドウィーク」が、日本時間2月23日（土）早朝から3月1日（金）まで開催されます！今回は伝説のポケモン「ラティアス」が「伝説レイドバトル」に登場！ 詳細は以下のとおりです： \n \n日時 \n日本時間2019年2月23日（土）早朝から3月1日（金）まで  \n \nイベント内容 \n伝説のポケモン「ラティアス」が「伝説レイドバトル」に登場 \nまれに色違いの「ラティアス」が出現 \n \n「ラティオス」は今後の「レイドウィーク」で登場予定なのでお楽しみに！ \n \n「ラティアス」はドラゴン・エスパータイプのポケモン。むしタイプやあくタイプのポケモンを育て、バトルに挑みましょう！ 皆さんの幸運を祈ります！ \n \n『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 \n※当日の天候条件や諸事情により、イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。 	Pourrez-vous relever le défi ? Du vendredi 22 février au vendredi 1er mars, participez à une semaine de Raids spéciaux ! Le Pokémon légendaire Latias sera disponible dans les Combats de Raids. Voici les détails :  \n   \nHoraire  \nDu vendredi 22 février 2019 à 13h PST (UTC -8) au vendredi 1er mars 2019 à 13h PST (UTC -8).  \n   \nParticularités  \n- Le Pokémon légendaire Latias rejoindra les Combats de Raids.  \n- Si vous avez de la chance, vous rencontrerez peut-être un Latias chromatique !  \n   \nVous cherchez Latios ? N’ayez aucune crainte, Dresseur ; Latios apparaîtra bientôt dans sa propre semaine de Raids spéciaux !  \n   \nSerez-vous capable d’affronter Latias ? Dresseur, préparez-vous, et bonne chance !	¿Listo para un desafío? La semana del viernes 22 de febrero al viernes 1 de marzo, ¡habrá un desafío de incursión especial! ¡El Pokémon legendario Latias estará disponible en incursiones! Echa un vistazo a los detalles a continuación: \n \nFecha y horas: \nDel viernes 22 de febrero de 2019 a la 1 p. m. PST (GMT −8) al viernes 1 de marzo de 2019 a la 1 p. m. PST (GMT −8). \n \nDetalles: \n- ¡El Pokémon legendario Latias se unirá a las incursiones! \n- Si tienes suerte, ¡podrías encontrarte con un Latias variocolor! \n \n¿Buscas a Latios? ¡No temas! ¡Latios aparecerá durante su propia semana de incursión especial más adelante! \n \n¿Te atreves a enfrentarte a Latias? ¡Prepárate y suerte!	Bist du bereit für eine Herausforderung? Von Freitag, dem 22. Februar bis Freitag, dem 1. März findet eine besondere Raid-Woche statt, in der das Pokémon Latias dich in Raid-Kämpfen erwartet! Hier sind die Infos: \n \nWann \nFreitag, 22. Februar 2019 um 13:00 Uhr PST (GMT -8) bis Freitag, 1. März 2019 um 13:00 Uhr PST (GMT -8) \n \nDetails \n- Das Legendäre Pokémon Latias erscheint in Raid-Kämpfen! \n- Mit etwas Glück begegnest du vielleicht einem Schillernden Latias! \n \nAuf der Suche nach Latios? Keine Angst, Trainer! Latios bekommt seine eigene Raid-Woche zu einem späteren Zeitpunkt. \n \nHast du das Zeug dazu, es mit Latias aufzunehmen? Mach dich bereit, Trainer – und viel Glück!	Te la senti di accettare la sfida? Preparati a una settimana di raid speciali in arrivo da venerdì 22 febbraio a venerdì 1° marzo, durante la quale il Pokémon leggendario Latias sarà disponibile nei raid! Ecco i dettagli: \n \n- Orari e date - \nDa venerdì 22 febbraio 2019 alle 13:00 PST (GMT -8) a venerdì 1° marzo 2019 alle 13:00 PST (GMT -8) \n \n- Dettagli - \nIl Pokémon leggendario Latias si lancerà nei raid. \nCon un pizzico di fortuna, potrai persino incontrarne uno cromatico! \n \nE Latios? Niente paura, Latios avrà il suo raid speciale dedicato molto presto! \n \nPensi di avere la stoffa per sfidare Latias? Pronti, partenza... GO! E buona fortuna! 	「스페셜 레이드 위크」가 한국 시간 2월 23일(토) 새벽부터 3월 1일(금)까지 개최합니다! 이번에는 전설의 포켓몬 「라티아스」가 전설 레이드배틀에 등장합니다! 자세한 내용은 아래를 확인하세요: \n \n[일정] \n한국시간 2019년 2월 23일(토) 새벽부터 3월 1일(금)까지 \n \n[이벤트 내용] \n- 전설의 포켓몬 「라티아스」가 전설 레이드배틀에 등장 \n- 가끔 색이 다른 「라티아스」가 출현 \n \n「라티오스」는 앞으로의 「스페셜 레이드 위크」에 등장 예정이니 기대하세요! \n \n「라티아스」는 드래곤・에스퍼타입의 포켓몬입니다. 벌레타입, 악타입의 포켓몬을 키워서 배틀에 도전하세요! 여러분의 행운을 빕니다! \n \n“Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		「特別團體戰週」將於台灣時間2月23日清晨起至3月1日在遊戲中登場！活動期間內，擁有龍屬性及超能力屬性的傳說的寶可夢拉帝亞斯將降臨各地道館的傳說團體戰！準備好蟲屬性及惡屬性的寶可夢，一起挑戰拉帝亞斯吧！  \n \n活動時間 \n台灣時間2月23日清晨起至3月1日止  \n \n活動內容 \n傳說的寶可夢拉帝亞斯重返傳說團體戰 \n有機會遇見異色拉帝亞斯 \n \n現在就去為團體戰做準備吧！ \n玩遊戲時請注意周遭環境，小心自身安全。 \n \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Estão prontos para um desafio? A semana especial de Reides ocorrerá de sexta-feira, dia 22 de fevereiro, a sexta-feira, dia 1º de março! O Pokémon Lendário Latias estará disponível em Batalhas de Reide! Confira os detalhes abaixo: \n  \nData e hora \nDe sexta, dia 22 de fevereiro de 2019, às 13h horário do pacífico (GMT −8), a sexta, dia 1º de março de 2019, às 13h horário do pacífico (GMT −8). \n  \nDetalhes \n- O Pokémon Lendário Latias participará das Batalhas de Reide! \n- Se tiverem sorte, poderão acabar encontrando um Latias Brilhante! \n  \nEstão procurando por Latias? Não se preocupem! Em breve, Latias aparecerá durante a sua própria semana especial de Reides! \n  \nVocê acham que conseguem enfrentar Latias? Boa sorte, Treinadores! 
news_header_march_cd	Explore the natural world on March Community Day with Treecko!	3月の「Pokémon GO コミュニティ・デイ」を「キモリ」と一緒に楽しもう！	La Journée Communauté de mars sera naturelle avec Arcko !	¡Explora la naturaleza el Día de la Comunidad de marzo con Treecko!	Entdecke die Natur am Community Day im März mit Geckarbor!	Esplora la natura con Treecko nel Community Day di marzo!	3월의 「Pokémon GO 커뮤니티 데이」를 「나무지기」와 함께 즐기자!		三月社群日的主角寶可夢是木守宮！	Explore a natureza no Dia Comunitário de março com Treecko!
news_subheader_march_cd	Explore the natural world on March Community Day with Treecko!	3月の「Pokémon GO コミュニティ・デイ」を「キモリ」と一緒に楽しもう！	La Journée Communauté de mars sera naturelle avec Arcko !	¡Explora la naturaleza el Día de la Comunidad de marzo con Treecko!	Entdecke die Natur am Community Day im März mit Geckarbor!	Esplora la natura con Treecko nel Community Day di marzo!	3월의 「Pokémon GO 커뮤니티 데이」를 「나무지기」와 함께 즐기자!		三月社群日的主角寶可夢是木守宮！	Explore a natureza no Dia Comunitário de março com Treecko!
news_main_text_march_cd	Mark your calendars for March Community Day, featuring the Grass-type Pokémon Treecko, during the fourth weekend of March! Check out the details below: \n \nDate + Time \nGlobally Mar. 23, 2019, from 3:00 p.m. to 6:00 p.m. (local time) \n \nFeatures \n- Treecko will appear more frequently in the wild. \n- Lure Modules will last three hours for the duration of the event. \n \nBonuses \n- 4× Incubator effectiveness \n \nWe can’t wait to see you out there, Trainers! Stay safe, and happy exploring!	3月の「Pokémon GO コミュニティ・デイ」は、日本時間3月23日（土）15時から18時に開催します！ 今回は、くさタイプのポケモン「キモリ」が大量発生！ 詳細は以下のとおりです： \n \n[イベント日時] \n日本時間2019年3月23日（土）15時～18時 \n \n[イベント内容] \n「キモリ」がいつもより多く出現 \nイベント期間中はルアーモジュールの効果が3時間持続 \n \n[ボーナス] \nタマゴがかえるのに必要な距離が1/4に \n \nトレーナーの皆さんにお会いできるのを楽しみにしています！ 『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 \n \n※当日の天候​条件や諸​事情により​、​イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。 	La Journée Communauté de mars, qui mettra à l’honneur le Pokémon de type Plante Arcko, se déroulera le quatrième week-end de mars ! Voici les détails :  \n  \nHoraire  \nLe 23 mars 2019 de 15h à 18h, heure locale, dans le monde entier.  \n  \nParticularités  \n- Arcko fera des apparitions plus fréquentes.  \n- Les Modules Leurre resteront actifs pendant trois heures durant l’évènement.  \n  \nBonus  \n- Des Incubateurs 4 fois plus rapides  \n  \nNous vous souhaitons une excellente Journée Communauté, Dresseurs ! Soyez prudents, et bonne exploration.	¡Anota en tu calendario el Día de la Comunidad de marzo, con el Pokémon de tipo Planta Treecko como protagonista, que tendrá lugar el cuarto fin de semana de marzo! Echa un vistazo a los detalles a continuación: \n \nFecha y horas: \nGlobalmente el 23 de marzo de 2019, de 3:00 p. m. a 6:00 p. m. (hora local). \n \nDetalles: \n- Treecko aparecerá en estado salvaje con más frecuencia. \n- Los Módulos Cebo durarán tres horas durante el evento. \n \nBonus: \n- 4 veces de efectividad de las incubadoras. \n \n¡Esperamos verte por ahí! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Markiere deinen Kalender für den Community Day am vierten Wochenende im März mit dem Pflanzen-Pokémon Geckarbor! Hier sind die Infos: \n \nWann \nWeltweit am 23. März 2019 von 15:00 Uhr bis 18:00 Uhr (Ortszeit) \n \nDetails \n- Wilde Geckarbor erscheinen mit vermehrter Häufigkeit. \n- Lockmodule halten während des Events drei Stunden lang an. \n \nBonusse \n- Vierfache Brutmaschinen-Geschwindigkeit \n \nWir können es kaum erwarten, euch da draußen zu sehen, Trainer! Allzeit sichere und schöne Entdeckungsreisen!	Segna la data sul calendario, perché il Pokémon di tipo Erba Treecko farà capolino durante il quarto weekend di marzo, in occasione del Community Day del mese. Ecco tutte le informazioni: \n \n- Orari e date - \nIn tutto il mondo il 23 marzo 2019, dalle 15:00 alle 18:00 (ora locale) \n \n- Dettagli - \nTreecko apparirà più frequentemente allo stato selvatico. \nI moduli esca dureranno tre ore nel corso dell’evento. \n \n- Bonus - \nIncubatrici efficaci il quadruplo! \n \nGambe in spalla, ci vediamo in giro! Ricorda di essere sempre prudente e buon divertimento!	3월의 「Pokémon GO 커뮤니티 데이」는 한국 시간 3월 23일(토) 15시부터 18시에 개최합니다! 이번에는 풀타입 포켓몬 「나무지기」가 대량발생합니다! 자세한 내용은 아래를 확인하세요: \n \n[이벤트 일정] \n한국시간 2019년 3월 23일(토) 낮 15시부터 18시까지 \n \n[이벤트 내용] \n- 「나무지기」가 평소보다 많이 출현 \n- 이벤트 기간에는 루어모듈 효과가 3시간 유지 \n \n[보너스] \n- 알을 부화하는 데 필요한 거리가 1/4이 됨 \n \n트레이너 여러분과 만날 수 있길 기대하고 있습니다! “Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n \n※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		三月的Pokémon GO社群日將於台灣時間3月23日15:00～18:00登場！草屬性的寶可夢「木守宮」將於活動時間內大量出現！ \n \n[活動時間] \n台灣時間3月23日15:00～18:00 \n \n[活動內容] \n- 野生的木守宮將大量出現 \n- 誘餌模組的效果將延長為3小時 \n \n[獎勵] \n- 孵蛋所需的行走距離縮短為平時的1/4 \n \n我們非常期待能在社群日見到各位訓練家！玩遊戲時請注意周遭環境，小心自身安全。 \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Não deixe de marcar o Dia Comunitário de março na sua agenda. O evento está marcado para o quarto fim de semana de março e contará com o Pokémon de tipo Planta Treecko! Confira os detalhes sobre o evento abaixo: \n \nData e hora \nGlobalmente, 23 de março, das 15h às 18h (hora local). \n \nDetalhes \n- Treecko selvagens aparecerão com mais frequência. \n- Os Módulos Atrair durarão três horas durante os horários do evento. \n \nBônus \n- As Incubadoras serão quatro vezes mais eficazes. \n \nMal podemos esperar para ver você lá! Tome cuidado e divirta-se explorando o mundo!
news_header_team_change	New Team Medallion allows Trainers to switch teams!	「チームへんこう メダリオン」により、チームの変更ができるようになります	Le nouveau Médaillon d’équipe permet aux Dresseurs de changer d’équipe.	¡El nuevo Medallón de Equipos permite a los Entrenadores cambiar de equipo!	Neues Team-Medaillon lässt Trainer das Team wechseln!	Cambiare fazione non sarà un problema con il nuovo medaglione delle squadre!	「팀변경 메달리온」으로 팀을 변경할 수 있습니다!		用「轉隊獎章」來轉隊吧！	O novo Medalhão de Equipes permite que Treinadores troquem de equipe!
