Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_gen4	Encounter Pokémon originally discovered in the Sinnoh region! 	シンオウ地方で発見されたポケモンが登場！	Rencontrez des Pokémon découverts dans la région de Sinnoh !	¡Encuéntrate con Pokémon originalmente descubiertos en la región de Sinnoh!	Begegne Pokémon, die ursprünglich in der Sinnoh-Region entdeckt wurden!	Incontra i Pokémon scoperti nella regione di Sinnoh!	신오지방에서 발견된 포켓몬 등장!		神奧地區的寶可夢加入Pokémon GO！ 	Encontre Pokémon originários da região de Sinnoh!
news_subheader_gen4	Encounter Pokémon originally discovered in the Sinnoh region! 	シンオウ地方で発見されたポケモンが登場！ 	Rencontrez des Pokémon découverts dans la région de Sinnoh !	¡Encuéntrate con Pokémon originalmente descubiertos en la región de Sinnoh!	Begegne Pokémon, die ursprünglich in der Sinnoh-Region entdeckt wurden!	Incontra i Pokémon scoperti nella regione di Sinnoh!	신오지방에서 발견된 포켓몬 등장!		神奧地區的寶可夢加入Pokémon GO！ 	Encontre Pokémon originários da região de Sinnoh!
news_main_text_gen4	The world of Pokémon GO is evolving once again! This week, keep an eye out for Pokémon originally discovered in the Sinnoh region, featured in Pokémon Diamond, Pokémon Pearl, and Pokémon Platinum! Get ready to see Pokémon like Turtwig, Chimchar, and Piplup as they appear in Pokémon GO for the first time ever. \n \nPokémon originally discovered in the Sinnoh region will be making their way to Pokémon GO in waves! So, you can look forward to discovering even more Pokémon over the next few weeks appearing in the wild, hatching from Eggs, and battling in raids. Stay tuned to our official channels for updates about new Pokémon, new features, and expansions to existing features like Pokémon storage and more!  \n \nMore discoveries from the Sinnoh region await, Trainers, so let’s get ready to GO! 	 『Pokémon GO』の世界が新たな進化を迎えようとしています！ 今週、『ポケットモンスター ダイヤモンド・パール』『ポケットモンスター プラチナ』の舞台であるシンオウ地方で発見されたポケモンが、ついに『Pokémon GO』に登場します。「ナエトル」、「ヒコザル」、「ポッチャマ」といったポケモンたちと、『Pokémon GO』で出会いましょう！ \n \nシンオウ地方で発見されたポケモンは、これから数週間に渡って続々と『Pokémon GO』にやってきます！ 数週間の間、新たなポケモンが野生で出現したり、「タマゴ」からかえったり、「レイドバトル」に登場したりするようです。また、「ポケモンボックスアップグレード」で増やすことのできる持てるポケモンの上限をさらに引き上げるなど、従来のシステムもパワーアップする予定ですので、お楽しみに！ \n \n新たなポケモンとの出会いがみなさんを待っています。トレーナーの皆さん、『Pokémon GO』と一緒に出かけましょう！ 	L’univers de Pokémon GO évolue à nouveau ! Cette semaine, vous apercevrez peut-être des Pokémon découverts dans la région de Sinnoh, qui nous ont été présentés dans Pokémon Version Diamant, Pokémon Version Perle et Pokémon Version Platine. Attendez-vous à rencontrer des Pokémon tels que Tortipouss, Ouisticram et Tiplouf alors qu’ils apparaissent pour la toute première fois dans Pokémon GO. \n \nDes Pokémon découverts dans la région de Sinnoh vont arriver par vagues dans Pokémon GO ! Dans les semaines à venir, vous pourrez découvrir davantage de Pokémon dans la nature, dans les Œufs, et dans les Combats de Raids. Restez connectés à nos chaînes officielles pour plus d’infos à propos de nouveaux Pokémon, de nouvelles fonctionnalités, et de l’amélioration des fonctions actuelles, telles que le stockage de Pokémon et bien plus encore ! \n \nD’autres découvertes de la région de Sinnoh vous attendent, Dresseurs, alors partez vite à l’aventure !	¡El mundo de Pokémon GO evoluciona una vez más! Esta semana estate pendiente de Pokémon originalmente descubiertos en la región de Sinnoh, ¡que aparecieron en Pokémon Edición Diamante, Pokémon Edición Perla y Pokémon Edición Platino! ¡Prepárate para ver Pokémon como Turtwig, Chimchar y Piplup cuando aparezcan por primera vez en Pokémon GO! \n \n¡Pokémon originalmente descubiertos en la región de Sinnoh llegarán a Pokémon GO en oleadas! Así que espera descubrir aún más Pokémon apareciendo en su estado salvaje, eclosionando de Huevos y combatiendo en incursiones durante las próximas semanas. ¡Estate pendiente de nuestros canales oficiales para enterarte de las novedades de nuevos Pokémon, nuevas funciones y mejoras de las funciones ya existentes, como el espacio de almacenamiento de Pokémon, entre otras cosas! \n \n¡Te esperan más descubrimientos de la región de Sinnoh! ¡Prepárate para salir a explorar! 	Die Welt von Pokémon GO ist wieder im Wandel! Halte diese Woche Ausschau nach Pokémon, die ursprünglich in der Sinnoh-Region entdeckt wurden, Schauplatz der Spiele Pokémon Diamant-Edition, Pokémon Perl-Edition und Pokémon Platin-Edition! Schon bald kannst du in Pokémon GO zum ersten Mal auf Pokémon wie Chelast, Panflam und Plinfa treffen. \n \nPokémon, die ursprünglich in der Sinnoh-Region entdeckt wurden, finden sich nach und nach in Pokémon GO ein! Also kannst du dich in den nächsten Wochen darauf freuen, noch mehr von ihnen zu begegnen, sie aus Eiern auszubrüten und in Raid-Kämpfen herauszufordern. Folge unseren offiziellen Kanälen, um über neu hinzugekommene Pokémon, neue Features sowie Erweiterungen vorhandener Funktionen wie Pokémon-Aufbewahrung und mehr auf dem neusten Stand zu bleiben! \n \nMehr Entdeckungen aus der Sinnoh-Region warten, Trainer. Also nichts wie raus und GO!	Il mondo di Pokémon GO si sta evolvendo di nuovo! Questa settimana tieni gli occhi aperti e cerca i Pokémon scoperti nella regione di Sinnoh e protagonisti di Pokémon Versione Diamante, Pokémon Versione Perla e Pokémon Versione Platino. Preparati a incontrare Pokémon come Turtwig, Chimchar e Piplup per la prima volta in assoluto su Pokémon GO. \n \nI Pokémon scoperti nella regione di Sinnoh approderanno su Pokémon GO in diverse ondate. Perciò, nel corso delle prossime settimane, aspettati di scoprirne moltissimi allo stato selvatico, alla schiusa delle Uova e nei raid. Segui i canali ufficiali e non perderti gli aggiornamenti sui Pokémon, sulle nuove funzionalità e sulle espansioni di funzionalità esistenti come lo spazio Pokémon e tanto altro ancora. \n \nTante nuove scoperte in arrivo direttamente dalla regione di Sinnoh. Che aspetti? Pronti, partenza e... GO!	“Pokémon GO” 세계에 새로운 진화를 맞이하려고 합니다! 「포켓몬스터DP 디아루가·펄기아」, 「포켓몬스터Pt 기라티나」의 무대인 신오지방에서 발견된 포켓몬들이 드디어 이번 주 “Pokémon GO”에 등장합니다. 「모부기」, 「불꽃숭이」, 「팽도리」와 같은 포켓몬을 “Pokémon GO”에서 만나보세요! \n \n신오지방에서 발견된 포켓몬은 앞으로 몇 주간에 걸쳐서 계속해서 “Pokémon GO”에 옵니다! 몇 주 동안 새로운 포켓몬이 야생에서 나타나거나 알에서 부화하거나 레이드배틀에 등장한다고 합니다. 또한 「포켓몬 박스 업그레이드」로 늘릴 수 있는 포켓몬 상한을 더 올리는 등, 지금까지 시스템도 파워업할 예정이니 기대해주세요! \n \n새로운 포켓몬과의 만남이 여러분을 기다리고 있습니다. 트레이너 여러분, “Pokémon GO”로 함께 떠납시다! 		Pokémon GO的世界正不斷進化！來自『精靈寶可夢 鑽石/珍珠』及『精靈寶可夢 白金』（『ポケットモンスター ダイヤモンド・パール』『ポケットモンスター プラチナ』）的舞台「神奧地區」的寶可夢們將於本週加入Pokémon GO！一起去尋找草苗龜、小火焰猴和波加曼等寶可夢吧！ \n \n在神奧地區被發現的寶可夢將在接下來的這幾週陸續加入，牠們不只會出現在地圖上，還有可能會攻佔各地道館團體戰，或是從蛋裡出現。此外，我們也提升了寶可夢盒子的上限，並將持續改遊戲功能，敬請期待！  	O mundo do Pokémon GO está evoluindo novamente! Fique atento para os Pokémon originários da região de Sinnoh dos jogos Pokémon Diamond, Pokémon Pearl e Pokémon Platinum durante esta semana! Prepare-se para encontrar Pokémon que aparecerão pela primeira vez no Pokémon GO, como Turtwig, Chimchar e Piplup! \n \nOs Pokémon originários da região de Sinnoh chegarão em ondas ao Pokémon GO! Aproveite para descobrir ainda mais Pokémon durante as próximas semanas, seja capturando-os, chocando Ovos ou batalhando em Reides. Fique ligado nos nossos canais oficiais para receber as últimas notícias e novidades sobre os novos Pokémon e as atualizações que serão feitas a funções já existentes, como o estoque de Pokémon! \n \nMais descobertas da região de Sinnoh esperam por você! Prepare-se para o mais novo desafio do Pokémon GO! 
news_header_octcd_move	Get a Metagross with Meteor Mash on October Community Day! 	10月のコミュニティ・デイで「コメットパンチ」を覚えた「メタグロス」をゲットしよう！	Obtenez un Métalosse avec Poing Météore durant la Journée Communauté d’octobre.	¡Consigue un Metagross con Puño Meteoro durante el Día de la Comunidad de octubre!	Schnapp dir ein Metagross mit Sternenhieb am Community Day im Oktober!	Ottieni un Metagross con l’attacco Meteorpugno durante il Community Day di ottobre!	10월의 커뮤니티 데이에서 「코멧펀치」를 배운 「메타그로스」를 손에 넣자! 		 在10月社群日讓學會「彗星拳」的巨金怪成為夥伴吧！ 	Obtenha Metagross com Meteoro Esmagador no Dia Comunitário de outubro!
news_subheader_octcd_move	Get a Metagross with Meteor Mash on October Community Day! 	10月のコミュニティ・デイで「コメットパンチ」を覚えた「メタグロス」をゲットしよう！	Obtenez un Métalosse avec Poing Météore durant la Journée Communauté d’octobre.	¡Consigue un Metagross con Puño Meteoro durante el Día de la Comunidad de octubre!	Schnapp dir ein Metagross mit Sternenhieb am Community Day im Oktober!	Ottieni un Metagross con l’attacco Meteorpugno durante il Community Day di ottobre!	10월의 커뮤니티 데이에서 「코멧펀치」를 배운 「메타그로스」를 손에 넣자! 		 在10月社群日讓學會「彗星拳」的巨金怪成為夥伴吧！ 	Obtenha Metagross com Meteoro Esmagador no Dia Comunitário de outubro!
news_main_text_octcd_move	Mark your calendars for October Community Day, featuring the Steel- and Psychic-type Pokémon Beldum, on Sunday, October 21! Check out the details below: \n \nDate + Time \n- October 21, 2018 \n- Asia-Pacific: 12:00pm to 3:00pm JST (GMT +9) \n- Europe, the Middle East, Africa, and India: 9:00am to 12:00pm UTC (GMT +0) \n- The Americas and Greenland: 11:00am to 2:00pm PDT (GMT −7) \n \nFeatures \n- Beldum will appear more frequently in the wild \n- Lures last three hours for the duration of the event \n- Evolve Metang up to one hour after the event to obtain Metagross that know the Steel-type move Meteor Mash! \n \nBonuses \n- Eggs hatch 4× faster for the duration of the event	10月のコミュニティ・デイは日本時間10月21日(日）お昼の12時から15時に開催します。今回は、はがね・エスパータイプのポケモン「ダンバル」にいつもより多く出会えるようです！ \n \n[イベント内容] \n「ダンバル」がいつもより多く出現します \nイベント期間中はルアーモジュールの効果が3時間持続します \nイベント期間終了1時間後までに、「メタング」を「メタグロス」に進化させると、はがねタイプのわざ「コメットパンチ」を覚えます \n \n[ボーナス] \nイベント期間中はタマゴが4倍早くかえります  \n \nトレーナーの皆さんにお会いできるのを楽しみにしています！ 遊ぶ際は周囲に注意しながらお楽しみください！ \n \n※当日の天候​条件や諸​事情により​、​イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。 	Notez dès maintenant la date de la prochaine Journée Communauté, qui se déroulera le dimanche 21 octobre et mettra en vedette Terhal, le Pokémon de type Acier et Psy. Voici les détails :  \n  \n[Horaire]  \n- le 21 octobre 2018  \n- Asie-Pacifique : de 12h à 15h JST (UTC +9)  \n- Europe, Moyen-Orient, Afrique et Inde : de 9h à 12h (UTC)  \n- Continent américain et Groenland : de 11h à 14h PDT (UTC −7)  \n  \n[Particularités]  \n- Terhal fera des apparitions plus fréquentes.  \n- Les Modules Leurre resteront actifs pendant trois heures durant l’évènement.  \n- Faites évoluer Métang jusqu’à une heure après l’évènement pour obtenir un Métalosse connaissant l’attaque de type Acier Poing Météore.  \n  \n[Bonus]  \n- Les Œufs écloront 4 fois plus vite durant l’évènement	¡Anota en tu calendario el domingo 21 de octubre como el Día de la Comunidad de octubre, con el Pokémon de tipo Acero y Psíquico Beldum! Echa un vistazo a los detalles a continuación: \n \nFecha y horas: \n- 21 de octubre de 2018 \n- Asia Pacífico: De 12:00 p. m. a 3:00 p. m. JST (GMT +9) \n- Europa, Oriente Medio, África e India: De 9:00 a. m. a 12:00 p. m. UTC (GMT +0) \n- América y Groenlandia: De 11:00 a. m. a 2:00 p. m. PDT (GMT -7) \n \nDetalles: \n- Beldum aparecerá en su estado salvaje con más frecuencia. \n- Los Módulos Cebo durarán tres horas durante el evento. \n- Haz que evolucione un Metang hasta una hora después del evento para obtener un Metagross que conozca el movimiento de tipo Acero Puño Meteoro. \nBonus: \n- Haz eclosionar Huevos 4 veces más rápido de lo normal durante el transcurso del evento.	Markiere deinen Kalender für den Community Day am Sonntag, den 21. Oktober mit dem Stahl- und Psycho-Pokémon Tanhel! Hier sind die Infos: \n \nWann \n- 21. Oktober 2018 \n- Asien-Pazifik: 12:00 bis 15:00 Uhr JST (GMT +9) \n- Europa, Mittlerer Osten, Afrika und Indien: 9:00 bis 12:00 Uhr UTC (GMT +0) \n- Amerika und Grönland: 11:00 bis 14:00 Uhr PDT (GMT −7) \n \nDetails \n- Wilde Tanhel erscheinen mit vermehrter Häufigkeit. \n- Lockmodule halten während des Events drei Stunden lang an. \n- Entwickle Metang bis zu einer Stunde nach Abschluss des Events, um Metagross zu erhalten, die die Stahl-Attacke Sternenhieb beherrschen. \n \nBonusse \n- Während des Events schlüpfen Eier viermal schneller.	Non dimenticare di aggiungere il Community Day del 21 ottobre al tuo calendario perché ti aspetta il Pokémon di tipo Acciaio e Psico Beldum! Ecco tutte le informazioni:  \n  \n- Orari -  \n21 ottobre 2018  \nAsia Pacifica: dalle 12:00 alle 15:00 JST (GMT +9)  \nEuropa, Medio Oriente, Africa e India: dalle 11:00 alle 14:00 ora italiana (9:00-12:00 UTC) (GMT +0)  \nAmerica e Groenlandia: dalle 11:00 alle 14:00 PDT (GMT -7)  \n  \n- Dettagli -  \nBeldum apparirà più frequentemente allo stato selvatico.  \nI moduli esca dureranno tre ore nel corso dell’evento.  \nSe farai evolvere Metang fino a un’ora dal termine dell’evento otterrai un Metagross che conosce la mossa di tipo Acciaio, Meteorpugno.  \n  \n- Bonus -  \nLe Uova si schiuderanno quattro volte più velocemente nel corso dell’evento.	10월의 커뮤니티 데이는 한국시간 10월 21일(일) 낮 12시부터 15시에 개최합니다. 이번에는 강철 에스퍼타입의 포켓몬 「메탕」을 평소보다 많이 만날 수 있습니다! \n \n[이벤트 내용] \n- 「메탕」이 평소보다 많이 출현합니다 \n- 이벤트 기간에는 루어모듈의 효과가 3시간 유지됩니다 \n- 이벤트 종료 1시간 후까지 「메탕구」를 「메타그로스」로 진화시키면 강철타입의 기술 「코멧펀치」를 배웁니다 \n \n[보너스] \n- 이벤트 기간에는 알이 4배 빨리 부화합니다 \n \n트레이너 여러분과 만날 수 있길 기대하고 있습니다. 플레이할 때는 주변을 주의하면서 플레이해주세요! \n \n※당일 날씨 등의 사정에 따라 이벤트 시간, 장소, 내용이 변경될 수 있습니다. 미리 양해 부탁드립니다. 		10月的Pokémon GO社群日將於台灣時間10月21日11:00～14:00登場！同時擁有鋼屬性與超能力屬性的寶可夢「鐵啞鈴」將於活動時間內大量出現！ \n \n[活動內容] \n- 野生的鐵啞鈴將會大量出現 \n- 活動期間內誘餌模組的效果將持續3小時 \n- 只要在活動結束後1小時的最終期限前讓金屬怪進化成巨金怪，牠就能學會鋼屬性的招式「彗星拳」 \n[特別獎勵] \n- 活動期間內蛋孵化的速度為平常的4倍  \n \n我們非常期待能在社群日見到各位訓練家！玩遊戲時請注意周遭環境，小心自身安全。 \n \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。 	Não deixe de marcar o Dia Comunitário de outubro na sua agenda para domingo, dia 21 de outubro. Este evento trará o Pokémon de tipo Aço e Psíquico Beldum! Confira os detalhes sobre o evento abaixo: \n \nData e hora \n- 21 de outubro de 2018 \n- Ásia-Pacífico: das 12h às 15h horário padrão do Japão (TMG +9) \n- Europa, Oriente Médio, África e Índia: das 9h às 12h Tempo Universal Coordenado (TMG +0) \n- Américas e Groenlândia: das 11h às 14h horário do Pacífico (TMG −7) \n \nDetalhes \n- Beldum selvagens aparecerão com mais frequência. \n- Os Módulos Atrair durarão três horas durante os horários do evento. \n- Ao evoluir Metang até uma hora após o evento, você obterá Metagross que saberá o movimento de tipo Aço Meteoro Esmagador! \n \nBônus \n- Os Ovos chocarão 4 vezes mais rápido durante os horários do evento. 
news_header_152_pt2	Professors Oak and Willow Discover New Information on Meltan! 	「メルタン」の知られざる生態が判明！	Les Professeurs Chen et Willow découvrent de nouvelles données concernant Meltan ! 	¡El Profesor Oak y el Profesor Willow han hecho un nuevo descubrimiento sobre Meltan! 	Die Professoren Eich und Willow decken neue Informationen zu Meltan auf! 	Il Professor Oak e il Professor Willow hanno scoperto alcune novità su Meltan! 	「멜탄」의 몰랐던 생태가 밝혀졌다!		美錄坦不為人知的生態逐漸明朗化！	Os Professores Carvalho e Willow têm novas informações sobre Meltan! 
news_subheader_152_pt2	Professors Oak and Willow Discover New Information on Meltan! 	「メルタン」の知られざる生態が判明！	Les Professeurs Chen et Willow découvrent de nouvelles données concernant Meltan ! 	¡El Profesor Oak y el Profesor Willow han hecho un nuevo descubrimiento sobre Meltan! 	Die Professoren Eich und Willow decken neue Informationen zu Meltan auf! 	Il Professor Oak e il Professor Willow hanno scoperto alcune novità su Meltan! 	「멜탄」의 몰랐던 생태가 밝혀졌다!		美錄坦不為人知的生態逐漸明朗化！	Os Professores Carvalho e Willow têm novas informações sobre Meltan! 
news_main_text_152_pt2	Since the existence of the Mythical Pokémon Meltan has been discovered, further research has brought new information about its biology! Meltan appears to be cute and innocent, and we are excited to learn more as research continues. Professor Willow and the Kanto region’s Professor Oak have apparently made some progress in their investigation, so be sure to check out their latest <a href="https://pokemonletsgo.pokemon.com/en-us/new-pokemon/">video</a>!  \n \nWhat’s more, Professor Willow needs you to do some Special Research to seek out the Mythical Pokémon Meltan! Look for this Special Research to begin later this year. You’ll also learn more about the details of the investigation Professor Willow and Professor Oak carried out to unlock the mysteries of Meltan. Conduct research alongside the Professor and catch Meltan! 	先日、存在が明らかになった幻のポケモン「メルタン」について、生態が徐々に明らかになってきました！どうやら「メルタン」には無邪気でかわいい一面があるようです。 また、ウィロー博士とカントー地方のオーキド博士による「メルタン」の調査にも進展があるようですので、そちらの映像もぜひご覧ください！ \n \n特別映像「メルタンの秘密―私の前に現れた、謎のポケモンについての記録―」 \n<a href="https://www.youtube.com/watch?v=OqQit0JrdFQ&feature=youtu.be">https://www.youtube.com/watch</a> \nウィロー博士とカントー地方のオーキド博士による調査映像 \n<a href="https://www.pokemon.co.jp/ex/pika_vee/maboroshi/?utm_campaign=Gobanner&utm_medium=cpc&utm_source=pokemongo">https://www.pokemon.co.jp</a> \n \nさらに、幻のポケモン「メルタン」を探す「スペシャルリサーチ」の登場が決定しました！この「スペシャルリサーチ」は、冬頃から登場予定です。ウィロー博士は、どのような調査を経て、「メルタン」の謎を解き明かしたのか、その経緯が明らかに！博士と共に、様々な調査に挑み、「メルタン」を捕まえましょう！ 	Après la découverte de l’existence du Pokémon fabuleux Meltan, de nouvelles recherches ont révélé des informations sur ses caractéristiques biologiques  ! Meltan semble mignon et innocent, et nous sommes heureux d’en apprendre plus sur lui au fil de nos recherches. Le Professeur Willow et le Professeur Chen de la région de Kanto ont semble-t-il fait des progrès dans leur enquête, alors dépêchez-vous de visionner leur dernière <a href="https://pokemonletsgo.pokemon.com/fr-fr/new-pokemon/">vidéo</a>!   \n \nMaintenant, le Professeur Willow a besoin que vous fassiez une Étude spéciale pour trouver Meltan, le Pokémon fabuleux. Vous découvrirez cette Étude spéciale plus tard dans l’année. Vous en apprendrez également plus sur l’enquête que le Professeur Willow et le Professeur Chen ont menée pour percer les mystères de Meltan. Faites vos propres recherches en parallèle à celles du Professeur, et attrapez Meltan !  	Desde que se descubrió la existencia del Pokémon singular Meltan, se han realizado más investigaciones que han resultado en nueva información sobre su biología. Meltan parece ser un Pokémon muy lindo e inocente, y estamos deseando que sigan estas investigaciones para saber más sobre él. Parece que el Profesor Willow y el Profesor Oak, de la región de Kanto, han logrado avanzar en su investigación, ¡así que no te pierdas su último <a href="https://pokemonletsgo.pokemon.com/es-es/new-pokemon/">vídeo</a>!  \n  \n¡Y eso no es todo! El Profesor Willow necesita que hagas una tarea de investigación especial para encontrar al Pokémon singular Meltan. Esta tarea de investigación especial empezará más adelante este año. También averiguarás más detalles sobre la investigación que han llevado a cabo el Profesor Willow y el Profesor Oak para desbloquear los misterios de Meltan. ¡Realiza tu investigación con el Profesor Willow y atrapa a Meltan!  	Seit die Existenz des Mysteriösen Pokémon Meltan bestätigt wurde, haben weitere Forschungsarbeiten neue Erkenntnisse zu seiner biologischen Beschaffenheit hervorgebracht! Meltan scheint niedlich und harmlos zu sein, und wir sind gespannt, während der angehenden Forschungsarbeiten noch mehr zu erfahren. Prof. Willow und der aus der Kanto-Region stammende Prof. Eich haben augenscheinlich bei ihren Nachforschungen Fortschritte gemacht, daher solltest du dir auf jeden Fall ihr neuestes <a href="https://pokemonletsgo.pokemon.com/de-de/new-pokemon/">Video</a> ansehen!   \n  \nProf. Willow ist auf deine Hilfe angewiesen. Du musst für ihn eine Spezialforschung vollziehen, um das Mysteriöse Pokémon Meltan ausfindig zu machen. Halte nach dieser Spezialforschung Ausschau, die im späteren Verlauf dieses Jahres beginnt. Du erhältst auch mehr Details zu den Nachforschungen, die von Prof. Willow und Prof. Eich ausgetragen wurden, um Meltans Geheimnisse zu lüften. Führe zusammen mit dem Professor Forschungen durch und fange Meltan! 	Sin dalla scoperta della sua esistenza, le ricerche condotte hanno rivelato nuove entusiasmanti informazioni riguardo il Pokémon misterioso Meltan. Meltan sembra così carino e innocente, e noi non vediamo l’ora di saperne di più sul suo conto. A questo proposito, pare proprio che il Professor Willow e il Professor Oak della regione di Kanto abbiano fatto dei progressi nelle loro ricerche, per cui cosa aspetti? Dai subito un’occhiata al nuovo <a href="https://pokemonletsgo.pokemon.com/it-it/new-pokemon/">video</a>!   \n \nInoltre, il Professor Willow ha bisogno del tuo aiuto per condurre una ricerca speciale con lo scopo di rintracciare il Pokémon misterioso Meltan! Tieni gli occhi ben aperti: la ricerca speciale inizierà più avanti nel corso dell’anno. Avrai anche l’opportunità di scoprire altri dettagli delle ricerche condotte dal Professor Willow e dal Professor Oak riguardo ai misteri che avvolgono Meltan. Collabora con il Professore e cattura Meltan!  	얼마 전 존재가 밝혀진 환상의 포켓몬 「멜탄」에 대해 생태가 조금씩 밝혀지고 있습니다. 「멜탄」에게는 천진난만하고 귀여운 구석이 있는 것 같습니다. 또한 윌로우박사와 관동지방의 오박사에 의한 <a href="https://pokemongolive.com/post/meltan-update">「멜탄」</a>조사에도 진척이 있다고 합니다. \n \n그리고 환상의 포켓몬 「멜탄」을 찾는 스페셜리서치 등장이 결정되었습니다! 이 스페셜리서치는 앞으로 등장 예정입니다. 윌로우박사는 어떤 조사를 거쳐서 「멜탄」의 수수께끼를 밝혔는지 그 과정이 밝혀졌습니다! 박사와 함께 다양한 조사에 도전해서 「멜탄」을 잡아보세요!		日前現身的幻之寶可夢「美錄坦」的生態逐漸明朗化了！看來美錄坦似乎有牠天真無邪的一面呢。 對了，維羅博士和關都地區大木博士的美錄坦研究似乎也有了進展，記得去確認一下喔！ \n \n- <a href="https://tw.portal-pokemon.com/special/pika_vee/tc/20181010/">特別影片</a>「美錄坦的秘密 -謎之寶可夢的觀察筆記-」 \n- 維羅博士及關都地區大木博士的美錄坦研究 \n \n除此之外，尋找幻之寶可夢「美錄坦」的特殊調查也將會在遊戲中登場！我們將有機會一睹維羅博士是如何解開美錄坦之謎的！幫博士一起做調查，挑戰捕捉美錄坦！ 	Desde que o Pokémon Mítico Meltan foi descoberto, mais pesquisas foram realizadas, o que gerou novas informações sobre sua biologia! Meltan parece ser fofo e inocente e estamos empolgados para descobrir mais coisas sobre ele. Parece que o Professor Willow e o Professor Carvalho, da região de Kanto, fizeram progresso na sua investigação. Por isso, não deixe de conferir o seu <a href="https://pokemonletsgo.pokemon.com/en-us/new-pokemon/">vídeo</a> mais recente! \n \nO Professor Willow precisa da sua ajuda para realizar pesquisas especiais em busca do Pokémon Mítico Meltan! Esta pesquisa especial começará no final do ano, então fique ligado. Você ficará sabendo dos detalhes sobre a investigação dos Professores Willow e Carvalho em sua busca para desvendar os mistérios de Meltan. Conduza sua pesquisa ao lado do Professor e capture Meltan! 
news_header_fujiwara	Embrace Streetwear Avatar Items Developed by Hiroshi Fujiwara	藤原ヒロシ氏デザインの着せ替えアイテムで、ストリートファッションを楽しもう！	Adoptez le streetwear pour votre avatar avec une ligne créée par Hiroshi Fujiwara	Nuevos artículos de avatar de prendas de vestir diseñadas por Hiroshi Fujiwara	Kleide deinen Avatar in Streetwear von Hiroshi Fujiwara	Scopri i nuovi capi streetwear per il tuo avatar ideati da Hiroshi Fujiwara	후지와라 히로시(Hiroshi Fujiwara) 디자인의 의상 아이템으로 스트리트 패션을 즐기자! 		 換上潮流教主藤原浩設計的T恤和帽子，一起走在時代的最尖端！ 	Adote os itens para avatar com looks streetwear desenhados por Hiroshi Fujiwara!
