Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_lunar_new_year	Celebrate the Lunar New Year with Pokémon GO!	『Pokémon GO』で旧正月をお祝いしよう！	Fêtez le Nouvel An lunaire avec Pokémon GO !	¡Celebra el Año Nuevo Lunar con Pokémon GO!	Feier das Mondneujahr in Pokémon GO!	Festeggia il Capodanno lunare con Pokémon GO!	“Pokémon GO”에서 설날을 축하하자!		和Pokémon GO一起歡樂過新年！	Comemore o Ano Novo Lunar com Pokémon GO! 
news_subheader_lunar_new_year	Celebrate the Lunar New Year with Pokémon GO!	『Pokémon GO』で旧正月をお祝いしよう！	Fêtez le Nouvel An lunaire avec Pokémon GO !	¡Celebra el Año Nuevo Lunar con Pokémon GO!	Feier das Mondneujahr in Pokémon GO!	Festeggia il Capodanno lunare con Pokémon GO!	“Pokémon GO”에서 설날을 축하하자!		和Pokémon GO一起歡樂過新年！	Comemore o Ano Novo Lunar com Pokémon GO! 
news_main_text_lunar_new_year	Happy Year of the Pig! The Pokémon GO Lunar New Year event is happening once again, spotlighting 12 Pokémon and beginning February 4 at 1 p.m. PST. Take a look at the details below:  \n \nEvent Date + Time \nFeb. 4, 2019, at 1:00 p.m. PST (GMT −8) to Feb. 13, 2019, at 1:00 p.m. PST (GMT −8)  \n \nFeatures \n- Rattata, Ekans, Mankey, Ponyta, Electabuzz, Dratini, Mareep, Miltank, Torchic, Poochyena, Spoink, and Buneary will appear more frequently in the wild! \n- If you’re lucky, you may encounter a Shiny Spoink! \n  \nBonuses \n- 2× Catch XP \n- 2× XP when evolving Pokémon \n- When you trade a Pokémon, there is an increased chance it will become a Lucky Pokémon!  \n \nWishing you health, wealth, and luck during the Lunar New Year! Stay safe, and happy exploring!	日本時間2月5日(火)早朝から2月13日(水)まで、旧正月をお祝いするイベントを開催します。期間中は干支にちなんだ12種類のポケモンたちに多く出会えるほか、ボーナスもたくさん！ とびはねポケモン「バネブー」と、素敵な冒険がいっぱいの飛躍の年にしましょう！詳細は以下をご覧ください。 \n \n日時 \n日本時間2019年2月5日(火)早朝から2月13日(水)まで  \n イベント内容 \n「コラッタ」「ミルタンク」「エレブー」「ミミロル」「ミニリュウ」「アーボ」「ポニータ」「メリープ」「マンキー」「アチャモ」「ポチエナ」「バネブー」がいつもより多く出現！ \nまれに色違いの「バネブー」が出現！ \n ボーナス \nポケモンを捕まえた際にもらえるXPが通常の2倍 \nポケモンを進化させた際にもらえるXPが通常の2倍 \nポケモンを交換した際に「キラポケモン」になる確率が上昇！  \n 『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 ※当日の天候​条件や諸​事情により​、​イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。	Bonne année du cochon ! L’évènement du Nouvel An lunaire de Pokémon GO reprend le 4 février à 13h PST (UTC -8) et met 12 Pokémon en vedette. Voici les détails : \n \nHoraire de l’évènement \nDu 4 février 2019 à 13h PST (UTC -8) au 13 février 2019 à 13h PST (UTC -8). \n \nParticularités \n- Rattata, Abo, Férosinge, Ponyta, Élektek, Minidraco, Wattouat, Écrémeuh, Poussifeu, Medhyèna, Spoink et Laporeille apparaîtront plus fréquemment. \n- Si vous avez de la chance, vous rencontrerez peut-être un Spoink chromatique. \n \nBonus \n- 2 fois plus de PX de capture. \n- 2 fois plus de PX lors de l’Évolution d’un Pokémon. \n- Lors de l’échange d’un Pokémon, il y a plus de chance qu’il devienne un Pokémon Chanceux. \n \nQue le Nouvel An lunaire vous apporte une bonne année, une bonne santé et plein de sous dans le porte-monnaie ! Soyez prudents, et bonne exploration.	¡Feliz Año del Cerdo! Una vez más, llega el evento del Año Nuevo Lunar de Pokémon GO, en el que, a partir del 4 de febrero a la 1 p. m. PST,  se destacarán 12 Pokémon. Echa un vistazo a los detalles a continuación: \n \nFecha y horas del evento: \nDel 4 de febrero de 2019 a la 1:00 p. m. PST (GMT −8) al 13 de febrero de 2019 a la 1:00 p. m. PST (GMT −8). \n \nDetalles: \n- Rattata, Ekans, Mankey, Ponyta, Electabuzz, Dratini, Mareep, Miltank, Torchic, Poochyena, Spoink y Buneary aparecerán en su estado salvaje con más frecuencia. \n- Si tienes suerte, ¡podrías encontrarte con un Spoink variocolor! \n \nBonus: \n- Doble de PX por captura. \n- Doble de PX por hacer evolucionar Pokémon. \n- ¡Al intercambiar un Pokémon, habrá una mayor probabilidad de que este se convierta en un Pokémon con suerte! \n \n¡Deseamos que tengas mucha salud, suerte y bienestar durante este Año Nuevo Lunar! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Guten Rutsch ins Jahr des Schweins! Auch dieses Jahr gibt es wieder einen Mondneujahr-Event in Pokémon GO, diesmal stehen zwölf Pokémon im Rampenlicht. Der Event beginnt am 4. Februar um 13:00 Uhr PST. Hier sind die Infos: \n \nWann \n4. Februar 2019 um 13:00 Uhr PST (GMT −8) bis 13. Februar 2019 um 13:00 Uhr PST (GMT −8) \n \nDetails \n- Rattfratz, Rettan, Menki, Ponita, Elektek, Dratini, Voltilamm, Miltank, Flemmli, Fiffyen, Spoink und Haspiror erscheinen mit vermehrter Häufigkeit! \n- Wenn du Glück hast, begegnest du vielleicht einem Schillernden Spoink! \n  \nBonusse \n- Zweifache Menge Fang-EP \n- Zweifache Menge EP für das Entwickeln von Pokémon \n- Wenn du ein Pokémon tauschst, ist die Chance, dass es ein Glücks-Pokémon wird, größer! \n \nWir wünschen dir Gesundheit, Wohlstand und Glück im neuen Mondjahr! Allzeit sichere und schöne Entdeckungsreisen!	Buon anno del Maiale! L’evento di Pokémon GO dedicato al Capodanno lunare, che avrà inizio il 4 febbraio alle 13:00 PST, vede come protagonista una rosa di 12 Pokémon. Ecco i dettagli: \n \n- Orari e date -  nDal 4 febbraio 2019 alle 13:00 PST (GMT -8) al 13 febbraio 2019 alle 13:00 PST (GMT -8) \n \n- Dettagli - \nRattata, Ekans, Mankey, Ponyta, Electabuzz, Dratini, Mareep, Miltank, Torchic, Poochyena, Spoink e Buneary appariranno più frequentemente allo stato selvatico.  \nCon un pizzico di fortuna, potresti persino incontrare uno Spoink cromatico! \n \n- Bonus - \nDoppio dei PE da cattura. \nDoppio dei PE da evoluzione. \nSarà più facile che i Pokémon ricevuti dagli scambi diventino fortunati!  \n  \nChe questo Capodanno lunare ti porti salute, ricchezza e fortuna! Ricorda di essere sempre prudente e buon divertimento!	한국 시간 2월 5일(화) 새벽부터 2월 13일(수)까지 설날을 축하하는 이벤트를 개최합니다. 기간 중에는 십이간지와 닮은 12종류의 포켓몬이 많이 출현하며 보너스도 많습니다! 튀다포켓몬 「피그점프」와 멋진 모험이 가득한 한 해로 만들어 보세요! 자세한 내용은 아래를 확인하세요. \n \n일정 \n한국시간 2019년 2월 5일(화) 새벽부터 2월 13일(수)까지  \n \n이벤트 내용 \n「꼬렛」, 「밀탱크」, 「에레브」, 「이어롤」, 「미뇽」, 「아보」, 「포니타」, 「메리프」, 「망키」, 「아차모」, 「포챠나」, 「피그점프」가 평소보다 많이 출현! \n색이 다른 「피그점프」가 출현! \n \n보너스 \n포켓몬을 잡았을 때 받을 수 있는 XP가 평소의 2배 \n포켓몬을 진화시켰을 때 받을 수 있는 XP가 평소의 2배 \n포켓몬을 교환했을 때 「반짝반짝 포켓몬」이 될 확률이 상승!  \n \n“Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. ※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		為了慶祝農曆新年，自台灣時間2月5日清晨起至2月13日止，象徵十二生肖的12隻寶可夢在地圖上出現的機率將會提高，而且遊戲裡還準備了豐富的獎勵，希望各位能和寶可夢們一起度過一個愉快的春節假期！祝各位豬年行大運！ \n \n【活動時間】 \n台灣時間2月5日清晨起至2月13日  \n \n【活動內容】 \n小拉達、大奶罐、電擊獸、捲捲耳、迷你龍、阿柏蛇、小火馬、咩利羊、猴怪、火雉雞、土狼犬、跳跳豬出現在地圖上的機率將會提高。 \n有機會遇見異色跳跳豬！ \n \n【獎勵】 \n捕捉寶可夢時的XP加倍 \n讓寶可夢進化時的XP加倍 \n交換寶可夢時獲得「亮晶晶寶可夢」的機率提高！  \n \n玩遊戲時請注意周遭環境，小心安全。  \n \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Feliz Ano do Porco! O evento do Ano Novo Lunar do Pokémon GO voltou, destacando 12 Pokémon a partir do dia 14 de fevereiro, às 13h horário do pacífico. Confira os detalhes abaixo: \n \nData e hora do evento \nDe 4 de fevereiro de 2019, às 13h horário do pacífico (GMT −8), a 13 de fevereiro de 2019, às 13h horário do pacífico (GMT −8). \n \nDetalhes \n- Rattata, Ekans, Mankey, Ponyta, Electabuzz, Dratini, Mareep, Miltank, Torchic, Poochyena, Spoink e Buneary selvagens aparecerão com mais frequência! \n- Se você tiver sorte, poderá encontrar um Spoink Brilhante! \n  \nBônus \n- O dobro de PE de captura. \n- O dobro de PE ao evoluir Pokémon. \n- Ao trocar um Pokémon, as chances dele se tornar um Pokémon sortudo são maiores! \n \nDesejamos toda a saúde, bonança e sorte durante o Ano Novo Lunar! Tome cuidado e divirta-se explorando o mundo!
news_header_gen4_batch5	Evolved forms discovered in the Sinnoh region emerge in Pokémon GO!	新たなシンオウ地方のポケモンたちが登場！さらなる進化も！	Les formes évoluées de Pokémon découverts dans la région de Sinnoh apparaissent dans Pokémon GO.	¡Formas evolucionadas descubiertas en la región de Sinnoh aparecen en Pokémon GO!	Entwickelte Formen aus der Sinnoh-Region erscheinen in Pokémon GO!	Le evoluzioni scoperte nella regione di Sinnoh sono in arrivo su Pokémon GO!	새로운 신오지방 포켓몬이 등장! 추가된 진화도!		更多來自神奧地區的寶可夢！更多進化形態！	Formas evoluídas descobertas na região de Sinnoh emergem no Pokémon GO!
news_subheader_gen4_batch5	Evolved forms discovered in the Sinnoh region emerge in Pokémon GO!	新たなシンオウ地方のポケモンたちが登場！さらなる進化も！	Les formes évoluées de Pokémon découverts dans la région de Sinnoh apparaissent dans Pokémon GO.	¡Formas evolucionadas descubiertas en la región de Sinnoh aparecen en Pokémon GO!	Entwickelte Formen aus der Sinnoh-Region erscheinen in Pokémon GO!	Le evoluzioni scoperte nella regione di Sinnoh sono in arrivo su Pokémon GO!	새로운 신오지방 포켓몬이 등장! 추가된 진화도!		更多來自神奧地區的寶可夢！更多進化形態！	Formas evoluídas descobertas na região de Sinnoh emergem no Pokémon GO!
news_main_text_gen4_batch5	Did you know that some Pokémon originally discovered in the Sinnoh region evolve from Pokémon previously discovered in other regions? Starting today, you’ll be able to use a Sinnoh Stone to evolve Lickitung into Lickilicky, Tangela into Tangrowth, and more! \n \nPlus, more Pokémon originally discovered in the Sinnoh region, such as Cranidos and Shieldon, will appear in the wild for the first time! You may also see more Pokémon originally discovered in the Sinnoh region appearing in Eggs. \n \nThere are also some big changes coming! You may notice that Pokémon that appear in Raid Battles are more powerful and sturdy when you challenge them. Plus, some moves that certain Pokémon know may be stronger or weaker when used in battle. Finally, certain Pokémon may be able to learn new moves via TM that will help them perform in battle, such as Machamp now being able to know the Rock-type move Rock Slide!	新たなシンオウ地方のポケモンたちが、『Pokémon GO』に続々と登場しました！ 化石から復活したポケモン「ズガイドス」や「タテトプス」などのほか、今回はシンオウ地方でさらなる進化をとげたポケモンたちが多数いるようです！   「ベロリンガ」から「ベロベルト」、「モンジャラ」から「モジャンボ」など、「シンオウのいし」を使ってさらに進化をさせれば、活躍の場が一層広がります！ \n \nまた、新たなシンオウ地方のポケモンがタマゴからふかするようになりました。寒さに負けず、ポケモンたちとの出会いと冒険をお楽しみください！ \n \nトレーナーの皆さんへ重要なお知らせです。ポケモンバトルの戦略性や幅を拡張し、皆さんによりお楽しみいただくために、バトル時のわざの威力やスペシャルアタックのたまりやすさなど、バランス調整を一部行いました。また、「わざマシン」を使うことで、例えば「カイリキー」がいわタイプのわざ「いわなだれ」を覚えるようになるなど、一部ポケモンが覚えるわざの種類が増えました。レイドバトルではこれまでよりも手強くなったボスポケモンが登場しますが、ポケモンの相性やわざの組み合わせをよく考え、戦略的に勝利をおさめましょう！	Saviez-vous que certains Pokémon découverts dans la région de Sinnoh sont des formes évoluées de Pokémon découverts dans d’autres régions ? À partir d’aujourd’hui, vous pourrez utiliser une Pierre Sinnoh pour faire évoluer Excelangue en Coudlangue, Saquedeneu en Bouldeneu, et bien d’autres encore. \n \nDe plus, d’autres Pokémon découverts dans la région de Sinnoh, tels que Kranidos et Dinoclier, feront leur apparition pour la première fois. Vous verrez également davantage de Pokémon découverts dans la région de Sinnoh éclore des Œufs. \n \nD’autres changements importants vont se produire. Vous remarquerez peut-être que les Pokémon qui font leur apparition dans les Combats de Raids sont plus puissants et résistants en combat. De plus, des attaques connues par certains Pokémon peuvent être plus ou moins efficaces en combat. Finalement, des Pokémon pourront apprendre de nouvelles attaques grâce à des CT qui leur permettront d’être performants en combat. Mackogneur peut ainsi connaître l’attaque de type Roche, Éboulement.	¿Sabías que algunos Pokémon originalmente descubiertos en la región de Sinnoh evolucionan de Pokémon descubiertos previamente en otras regiones? A partir de hoy, podrás usar Piedras Sinnoh para hacer evolucionar Lickitung a Lickilicky y Tangela a Tangrowth, entre otros.  \n  \nAdemás, más Pokémon originalmente descubiertos en la región de Sinnoh, como Cranidos y Shieldon, aparecerán en su estado salvaje por primera vez. Puede que también veas más Pokémon originalmente descubiertos en la región de Sinnoh eclosionar de Huevos.  \n  \n¡También llegan grandes cambios! Te darás cuenta de que los Pokémon que aparecen en incursiones son más poderosos y robustos cuando te enfrentes a ellos. Además, algunos movimientos conocidos por determinados Pokémon podrían ser más fuertes o más débiles cuando se usan en combate. Por último, determinados Pokémon pueden ser capaces de aprender nuevos movimientos al usar una MT, lo que ayudará a que rindan mejor en combate, ¡como Machamp, que ahora puede aprender el movimiento de tipo Roca Avalancha!	Wusstest du, dass einige Pokémon, die ursprünglich in der Sinnoh-Region entdeckt wurden, sich aus Pokémon entwickeln, die in anderen Regionen entdeckt wurden? Ab heute kannst du einen Sinnoh-Stein verwenden, um unter anderem Schlurp zu Schlurplek und Tangela zu Tangoloss zu entwickeln! \n \nAußerdem erscheinen jetzt noch mehr Pokémon, die ursprünglich in der Sinnoh-Region entdeckt wurden, zum ersten Mal als wilde Pokémon, darunter Koknodon und Schilterus! Zusätzlich wirst du wahrscheinlich auch mehr Pokémon, die ursprünglich in der Sinnoh-Region entdeckt wurden, in Eiern finden. \n \nWeitere große Änderungen erwarten dich! Dir wird vielleicht auffallen, dass die Pokémon, denen du in Raid-Kämpfen gegenüberstehst, jetzt noch stärker und zäher sind. Außerdem sind einige Attacken, die bestimmte Pokémon können, ab sofort stärker oder schwächer im Kampf. Zu guter Letzt können bestimmte Pokémon nun via TM neue Attacken lernen, die ihnen im Kampf helfen werden, so kann z. B. Machomei jetzt die Gesteins-Attacke Steinhagel lernen!	Lo sapevi che alcuni Pokémon scoperti nella regione di Sinnoh si evolvono da Pokémon originari di altre regioni? A partire da oggi, infatti, le Pietre Sinnoh possono essere usate per far evolvere ancora più Pokémon, ad esempio Lickitung in Lickilicky e Tangela in Tangrowth. \n \nInoltre, ancora più Pokémon originariamente scoperti nella regione di Sinnoh, inclusi Cranidos e Shieldon, appariranno allo stato selvatico per la prima volta! E chissà che alcuni di questi non sbuchino anche dalle Uova... \n \nMa non è tutto: sono in arrivo alcuni grandi cambiamenti. Per cominciare, i Pokémon contro cui lotterai nei raid diventeranno più potenti e resistenti che mai. Inoltre, determinate mosse conosciute da alcuni Pokémon potrebbero risultare più o meno efficaci durante la lotta e alcuni Pokémon potrebbero anche imparare nuove mosse tramite MT. Machamp, ad esempio, potrebbe imparare Frana, la mossa di tipo Roccia: senz’altro un bel vantaggio!	새로운 신오지방 포켓몬이 “Pokémon GO”에 계속해서 등장합니다! 화석에서 부활한 포켓몬 「두개도스」나 「방패톱스」 등 외에, 이번에는 신오지방에서 추가 진화를 한 포켓몬이 많이 있습니다! 「내루미」에서 「내룸벨트」, 「덩쿠리」에서 「덩쿠림보」 등 신오의 돌을 사용해서 진화시키면 활약할 수 있는 장이 더 넓어집니다! \n \n또한 새로운 신오지방 포켓몬이 알에서 부화하게 되었습니다. 추위에 가만히 있지 말고 포켓몬과의 만남과 모험을 즐기세요! \n \n트레이너 여러분에게 중요한 안내입니다. 포켓몬 배틀의 전략성과 폭을 확장하여 여러분이 더욱 즐길 수 있도록 배틀을 할 때 기술의 위력과 스페셜어택을 모으는 시간과 균형 조정을 일부 진행했습니다. 또한 「기술머신」을 사용하면 예를 들어 「괴력몬」이 바위타입의 기술 「스톤샤워」을 배울 수 있게 되는 등 일부 포켓몬이 배울 수 있는 기술의 종류가 늘어났습니다. 레이드배틀에서는 지금까지보다 강해진 보스 포켓몬을 등장하지만, 포켓몬의 상성과 기술의 조합을 잘 생각해서 전략적으로 승리를 거머쥐세요!		更多來自神奧地區的寶可夢們加入Pokémon GO了！除了從化石中復活的「頭蓋龍」及「盾甲龍」之外，還有許多在神奧地區進一步進化的寶可夢也會加入遊戲，你將可以使用「神奧之石」讓大舌頭進化成大舌舔，或是讓蔓藤怪進化成巨蔓藤！除了野生寶可夢之外，新加入的神奧地區寶可夢也有機會從蛋裡孵出來。和朋友們多多出門走路，多多孵蛋吧！ \n \n此外，我們有一件重要的事情要向各位訓練家宣布。為了讓各位訓練家能夠更進一步享受對戰的樂趣，我們針對招式威力和特殊招式能量條的累積時間等對戰要素進行調整，藉以提升對戰的戰略性並改善遊戲平衡度。此外，使用招式學習器時，寶可夢將能學會更多種類的招式。舉例來說，在這次的遊戲平衡度調整後，怪力將能學會岩石屬性的招式「岩崩」。今後在團體戰中登場的頭目寶可夢將會變得更強大，記得適當運用寶可夢的相剋屬性和招式組合，一舉擊敗頭目寶可夢！	Você sabia que alguns Pokémon originários da região de Sinnoh evoluem de Pokémon previamente descobertos em outras regiões? A partir de hoje, você poderá usar uma Pedra de Sinnoh para evoluir Lickitung para Lickilicky, Tangela para Tangrowth e muito mais! \n \nAlém disso, outros Pokémon selvagens originários da região de Sinnoh, como Cranidos e Shieldon, aparecerão pela primeira vez! Você também poderá encontrar mais Pokémon originários da região de Sinnoh ao chocar Ovos. \n \nGrandes mudanças também estão chegando! Você notará que os Pokémon que desafiar nas Batalhas de Reide estarão mais poderosos e robustos. Além disso, alguns movimentos que certos Pokémon sabem poderão ser mais fortes ou mais fracos quando usados em batalha. Por fim, usando MT, certos Pokémon poderão aprender novos movimentos que os ajudarão em batalha. Machamp, por exemplo, agora poderá saber o movimento de tipo Pedra, Deslize de Pedras!
news_header_palkia	Enter a new dimension of Raid Battles with Palkia!	伝説のポケモン「パルキア」が伝説レイドバトルに登場！	Entrez dans une nouvelle dimension de Combats de Raids avec Palkia !	¡Entra en una nueva dimensión de incursiones con Palkia!	Betritt eine neue Dimension von Raid-Kämpfen mit Palkia!		전설의 포켓몬 「펄기아」가 전설 레이드배틀에 등장! 		傳說的寶可夢「帕路奇亞」即將降臨傳說團體戰！	Descubra uma nova dimensão das Batalhas de Reide com Palkia!
news_subheader_palkia	Enter a new dimension of Raid Battles with Palkia!	伝説のポケモン「パルキア」が伝説レイドバトルに登場！	Entrez dans une nouvelle dimension de Combats de Raids avec Palkia !	¡Entra en una nueva dimensión de incursiones con Palkia!	Betritt eine neue Dimension von Raid-Kämpfen mit Palkia!		전설의 포켓몬 「펄기아」가 전설 레이드배틀에 등장! 		傳說的寶可夢「帕路奇亞」即將降臨傳說團體戰！	Descubra uma nova dimensão das Batalhas de Reide com Palkia!
news_main_text_palkia	A new arrival to raids will test your strength in 2019! The Water- and Dragon-type Spatial Pokémon, Palkia, will join Raid Battles across the world from January 29 at 1:00 p.m. PST to February 28 at 1:00 p.m. PST! Details below:  \n \nDate + Time \nJan. 29, 2019, at 1:00 p.m. PST (GMT −8) to Feb. 28, 2019, at 1:00 p.m. PST (GMT −8)  \n \nFeatures \n- Palkia will appear in Raid Battles!  \n \nDon’t miss this chance to catch this Legendary Pokémon before it returns to its own spatial dimension! Stay safe, and happy exploring!	みず・ドラゴンタイプのくうかんポケモン「パルキア」が、日本時間の1月30日（水）早朝から2月28日（木）にかけて、世界中の「伝説レイドバトル」に登場！今年も新たな伝説のポケモンがトレーナーの皆さんを待ち構えています！ \n \n日時 \n日本時間2019年1月30日（水）早朝から2月28日（木）まで \n \nイベント内容  \n「パルキア」が「伝説レイドバトル」に登場！ \n \n伝説のポケモン「パルキア」が空間の狭間へと帰ってしまう前に、ぜひゲットしておきましょう！ 『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。 \n※当日の天候条件や諸事情により、イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。 	Un nouvel ajout aux Raids va vous mettre à l’épreuve en 2019. Palkia, le Pokémon Espace de type Eau et Dragon, rejoindra les Combats de Raids du monde entier du 29 janvier à 13h PST (UTC -8) au 28 février à 13h PST (UTC -8) ! Voici les détails : \n \nHoraire \nDu 29 janvier 2019 à 13h PST (UTC -8) au 28 février 2019 à 13h PST (UTC -8) \n \nParticularités \n- Palkia apparaîtra dans les Combats de Raids. \n \nNe ratez pas cette chance d’attraper ce Pokémon légendaire avant qu'il ne disparaisse dans une autre dimension spatiale. Soyez prudents, et bonne exploration.	¡Una nueva aparición en incursiones pondrá a prueba tu fuerza en 2019! El Pokémon Espacial de tipo Agua y Dragón, Palkia, aparecerá en incursiones en todo el mundo del 29 de enero a la 1:00 p. m. PST al 28 de febrero a la 1:00 p. m. PST. Echa un vistazo a los detalles a continuación:  \n  \nFecha y horas:  \nDel 29 de enero de 2019 a la 1:00 p. m. PST (GMT −8) al 28 de febrero de 2019 a la 1:00 p. m. PST (GMT −8).  \n  \nDetalles:  \n- ¡Palkia aparecerá en incursiones!  \n  \n¡No te pierdas la oportunidad de capturar a este Pokémon legendario antes de que vuelva a su dimensión espacial! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Ein weiterer neuer Raid-Gegner steht bereit, um dich 2019 zu testen! Das Räumlich-Pokémon vom Typ Wasser und Drache Palkia ist vom 29. Januar um 13:00 Uhr (PST) bis zum 28. Februar um 13:00 Uhr (PST) in Raid-Kämpfen rund um die Welt anzutreffen! Hier sind die Infos:  \n  \nWann  \n29. Januar 2019 um 13:00 Uhr PST (GMT −8) bis 28. Februar 2019 um 13:00 Uhr PST (GMT −8)  \n  \nDetails  \n- Palkia erscheint in Raid-Kämpfen!  \n  \nNutze die Chance, dieses Legendäre Pokémon zu fangen, bevor es sich wieder in seine eigene räumliche Dimension zurückzieht! Allzeit sichere und schöne Entdeckungsreisen!		물・드래곤타입의 공간포켓몬 「펄기아」가 한국시간 1월 30일(수) 새벽부터 2월 28일(목)까지 전 세계의 전설 레이드배틀에 등장합니다! 올해도 새로운 전설의 포켓몬이 트레이너 여러분을 기다리고 있습니다!  \n \n일정 \n한국시간 2019년 1월 30일(수) 새벽부터 2월 28일(목)까지 \n \n이벤트 내용 \n「펄기아」가 전설 레이드배틀에 등장!  \n \n전설의 포켓몬 「펄기아」가 공간의 틈새에 돌아가기 전에 손에 넣어보세요! “Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다.		擁有水屬性及龍屬性的空間寶可夢「帕路奇亞」將於台灣時間1月30日清晨起至2月28日止，占領全世界各地的傳說團體戰！  \n \n【活動時間】 \n台灣時間1月30日清晨起至2月28日止 \n \n【活動內容】 \n帕路奇亞降臨傳說團體戰！  \n \n記得在帕路奇亞回到空間的狹縫前，一起去挑戰這隻強大的寶可夢吧！  \n \n玩遊戲時請注意周遭環境，小心安全。  \n \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Um Pokémon recém-chegado aos Reides testará a sua força em 2019! O Pokémon Espacial de tipo Água e Dragão, Palkia, entrará nas Batalhas de Reide ao redor do mundo entre 29 de janeiro, às 13h horário do Pacífico, e 28 de fevereiro, às 13h horário do pacífico! Detalhes abaixo: \n \nData e hora \n- De 29 de janeiro de 2019, às 13h horário do Pacífico (GMT −8), a 28 de fevereiro de 2019, às 13h horário do Pacífico (GMT −8). \n \nDetalhes \n- Palkia aparecerá nas Batalhas de Reide! \n \nNão perca esta chance de pegar este Pokémon Lendário antes que ele retorne à sua dimensão espacial! Tome cuidado e divirta-se explorando o mundo!
news_header_feb_cd	Chill out on February Community Day with Swinub!	2月の「Pokémon GO コミュニティ・デイ」を「ウリムー」と一緒に楽しもう！	Décompressez lors de la Journée Communauté de février avec Marcacrin !	¡Disfruta del Día de la Comunidad de febrero con Swinub!	Freue dich auf einen coolen Community Day im Februar mit Quiekel!	Rinfrescati le idee con Swinub durante il Community Day di febbraio!	2월의 「Pokémon GO 커뮤니티 데이」를 「꾸꾸리」와 함께 즐기자!		二月社群日的主角寶可夢是小山豬！	Fique frio no Dia Comunitário de fevereiro com Swinub!
