Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_LunchGiratina	Legendary Lunch Hour experiment: Origin Forme Giratina	「ランチレイドアワー」の第二回フィールドテストを実施いたします。	Faites l’expérience d’un Déjeuner légendaire avec Giratina Forme Originelle	Un Almuerzo Legendario con la Forma Origen de Giratina	Ein Experiment zur Legendären Mittagspause: Giratinas Urform	L’esperimento del Pranzo leggendario continua: Giratina Forma Originale	「런치 레이드 아워」 제2회 필드 테스트를 실시합니다.		「傳說團體戰午餐約會」測試：起源形態的騎拉帝納	Experimento do Almoço Lendário: Giratina (Forma Origem)
news_subheader_LunchGiratina	Legendary Lunch Hour experiment: Origin Forme Giratina	「ランチレイドアワー」の第二回フィールドテストを実施いたします。	Faites l’expérience d’un Déjeuner légendaire avec Giratina Forme Originelle	Un Almuerzo Legendario con la Forma Origen de Giratina	Ein Experiment zur Legendären Mittagspause: Giratinas Urform	L’esperimento del Pranzo leggendario continua: Giratina Forma Originale	「런치 레이드 아워」 제2회 필드 테스트를 실시합니다.		「傳說團體戰午餐約會」測試：起源形態的騎拉帝納	Experimento do Almoço Lendário: Giratina (Forma Origem)
news_main_text_LunchGiratina	We had our first Legendary Lunch Hour together on March 13, and we thank you for your participation and feedback. More research is needed, and we need your help! On Wednesday, April 10, from 12:00 p.m. to 1:00 p.m. in your local time zone, there will be an increased number of five-star raids featuring Origin Forme Giratina to test your battle skills alongside your friends, coworkers, and classmates. \n \nDate + Time \n- Apr. 10, 2019, from 12:00 p.m. to 1:00 p.m. in your local time zone \n \nFeatures \n- There will be an increased number of five-star raids featuring Origin Forme Giratina during the event hour. \n \nThank you for your feedback as we create more ways for you to enjoy Pokémon GO—because of your input, we’re able to create new events like this one for your enjoyment. We are continuing to test this event to make it even better. We understand that not every Trainer can participate in every event, but these tests are the first step in creating more events focused on different play styles. As always, Trainers, be mindful of your surroundings and others around you while playing Pokémon GO. Stay tuned for more updates!	3月13日（水）に開催された「ランチレイドアワー」のフィールドテストに参加してくださった皆さん、ありがとうございました。お送りいただいたフィードバックをもとに、第二回フィールドテストを実施いたします。ぜひともまた皆さんのお力をお貸しください！第二回フィールドテストは、日本時間4月10日（水）お昼の12時から13時に開催いたします。イベント中は、「ギラティナ オリジンフォルム」の「伝説レイドバトル」が各地でいつもより多く発生しますので、ぜひ友達や会社の同僚、クラスメイトと一緒にバトルをお楽しみください！ \n \n[イベント日時] \n-日本時間4月10日（水）昼12時から13時まで \n[イベント内容] \n-「ギラティナ オリジンフォルム」の「伝説レイドバトル」の数が増加 \n \n前回の「ランチレイドアワー」のフィールドテストでは、たくさんのフィードバックをお送りいただきありがとうございました。さらに良いイベントとなるように、皆さまから寄せられたフィードバックをもとに、引き続き改善をしてまいります。一連のフィールドテストは、今後開催するイベントの参考にさせていただきますので、ぜひともご参加・ご協力をお願いします。 \n \n『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。  \n \n※当日の天候条件や諸事情により、イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。  \n \n—Pokémon GO開発チームより 	Nous avons pris ensemble notre premier Déjeuner légendaire le 13 mars, et nous vous remercions de votre participation et de vos commentaires. Nous allons encore avoir besoin de votre aide. Mercredi 10 avril, de midi à 13h (heure locale), les Raids cinq étoiles avec Giratina Forme Originelle seront plus fréquents et mettront vos stratégies de combat à l’épreuve en collaboration avec vos amis, vos collègues ou vos camarades de classe. \n \nHoraire \nLe 10 avril 2019 de midi à 13h (heure locale) \n \nParticularités \nLes Raids cinq étoiles avec Giratina Forme Originelle seront plus fréquents durant tout l’évènement. \n \nN’hésitez pas à nous faire part de vos impressions sur les nouveautés de Pokémon GO ; grâce à vous, nous pouvons créer de nouveaux évènements comme celui-ci et améliorer votre expérience de jeu. Nous continuons à tester cet évènement afin de le rendre encore plus intéressant. Les Dresseurs ne peuvent pas tous participer à chacun de ces évènements, cependant ces tests sont déterminants dans la création d’autres évènements adaptés à différentes stratégies de jeu. Comme toujours, soyez respectueux des gens qui vous entourent lorsque vous jouez à Pokémon GO. Revenez vite pour d’autres nouvelles.	El 13 de marzo tuvimos nuestro primer Almuerzo Legendario y te agradecemos tu participación y tus comentarios. Pero se precisa más investigación, ¡y para ello necesitamos tu ayuda! El miércoles 10 de abril, de 12:00 p. m. a 1:00 p. m. en tu hora local, habrá un mayor número de incursiones de nivel 5 con la Forma Origen de Giratina como protagonista, para que puedas poner a prueba tus habilidades de combate con tus amigos, compañeros de trabajo y compañeros de clase.  \n \nFecha y horas: \n - El 10 de abril de 2019 de 12:00 p. m. a 1:00 p. m. (hora local). \n \nDetalles: \n - Habrá un mayor número de incursiones de nivel 5 con la Forma Origen de Giratina como protagonista durante la hora del evento. \n \nGracias por tus comentarios mientras creamos nuevas formas para que disfrutes de Pokémon GO. Gracias a tu participación, podemos crear eventos como estos para tu diversión. Continuaremos esforzándonos para mejorar este evento. Entendemos que no todos los Entrenadores pueden participar en todos los eventos, pero estas pruebas son el primer paso en la creación de eventos centrados en distintos estilos de juego. Como siempre, no olvides prestar atención a tus alrededores mientras juegas a Pokémon GO. ¡Estate pendiente de más novedades!	Wir hatten unsere erste Mittagspause zusammen am 13. März und bedanken uns für die rege Teilnahme und das viele Feedback. Mehr Forschung ist erforderlich und wir brauchen deine Hilfe! Am Mittwoch, dem 10. April von 12:00 Uhr bis 13:00 Uhr Ortszeit, finden vermehrt Raids mit Giratina in seiner Urform statt, um dein Geschick im Kampf zusammen mit deinen Freunden, Mitarbeitern und Klassenkameraden auf die Probe zu stellen. \n \nWann \n 10. April 2019 von 12:00 Uhr bis 13:00 Uhr Ortszeit \n \nDetails \n- Während der Event-Stunde finden vermehrt Level-5-Raids mit Giratina in seiner Urform statt. \n \nDanke für dein Feedback. Es hilft uns dabei, Pokémon GO noch dynamischer zu gestalten, indem wir Events wie dieses erstellen. Wir werden dieses Event zur Verbesserung weiterhin testen. Wir sind uns bewusst, dass nicht jeder Trainer an jedem Event teilnehmen kann, aber diese Tests sind der erste Schritt zur Erstellung von mehr Events mit unterschiedlichen Spielweisen. Behaltet wie immer eure Umgebung und andere im Auge, während ihr Pokémon GO spielt, Trainer! In Kürze gibt es weitere Updates!	Grazie per aver partecipato al nostro primo Pranzo leggendario lo scorso 13 marzo e per tutti i commenti che abbiamo ricevuto. Le ricerche, però, non sono ancora finite e abbiamo ancora bisogno del tuo aiuto! Mercoledì 10 aprile, dalle 12:00 alle 13:00 ora locale, il numero di raid di livello cinque sarà più alto del solito e avrai l’opportunità di mettere alla prova la tua abilità nella lotta insieme ai tuoi amici, colleghi e compagni di scuola sfidando Giratina nella sua Forma Originale. \n \n- Orari e date - \nIl 10 aprile 2019 dalle 12:00 alle 13:00 ora locale \n \n- Dettagli - \nDurante l’evento, il numero di raid di livello cinque sarà più alto del solito e potrai catturare Giratina Forma Originale. \n \nTi siamo grati per il prezioso aiuto! Questo evento è il risultato della nostra continua ricerca di soluzioni nuove per migliorare Pokémon GO e renderlo ancora più divertente grazie al supporto dei nostri fan. Pranzo leggendario è infatti ancora in fase di testing. Sappiamo che non tutti gli Allenatori possono partecipare a tutti gli eventi e questi test sono necessari proprio per creare nuovi eventi che si adattino meglio a diversi stili di gioco. Durante il gioco, come sempre, ricorda di prestare attenzione all’ambiente circostante e torna a trovarci per ulteriori aggiornamenti.	3월 13일(수)에 개최된 「런치 레이드 아워」의 필드 테스트에 참가해주신 여러분 감사합니다. 보내주신 피드백을 바탕으로 제2회 필드 테스트를 합니다. 다시 한번 여러분의 힘을 빌려주십시오! 제2회 필드 테스트는 한국 시간 4월 10일(수) 낮 12시부터 13시에 개최합니다. 이벤트 중에는 「기라티나 오리진폼」의 전설 레이드배틀이 각지에서 평소보다 많이 발생하니 친구와 회사 동료와 함께 배틀을 즐겨주세요! \n \n[이벤트 일정] \n-한국시간 4월 10일(수) 낮 12시부터 13시까지 \n \n[이벤트 내용]  \n-「기라티나 오리진폼」의 전설 레이드배틀의 수 증가 \n \n지난번 「런치 레이드 아워」 필드 테스트에서 많은 피드백을 보내 주셔서 감사합니다. 더 좋은 이벤트를 위해 여러분이 주신 피드백을 바탕으로 계속해서 개선하겠습니다. 일련의 필드 테스트는 앞으로 개최하는 이벤트에 참고할 예정이니 부디 참가 및 협력을 부탁드립니다. \n \n“Pokémon GO”를 플레이할 때는 주변 안전에 주의하고 매너를 지키면서 플레이해주세요. \n \n※당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다. \n \n—Pokémon GO 개발팀		我們在3月13日完成了首個「團體戰午餐約會」的測試，感謝大家踴躍參與及意見。我們仍然需要您的協助來完成接下來的測試！下一輪測試將於台灣時間4月10日星期三 12:00～13:00登場，活動時間內，由起源形態的騎拉帝納鎮守的傳說團體戰在各地道館出現的機率將會提高，歡迎各位訓練家和朋友、同事或同學一起參加。 \n  \n【活動時間】 \n- 台灣時間4月10日星期三 12:00～13:00 \n  \n【活動內容】 \n- 起源形態的騎拉帝納傳說團體戰出現機率提高 \n  \n有賴大家的全情投入及寶貴意見，我們才能夠打造一個又一個新的遊戲活動形式。我們將繼續測試「團體戰午餐約會」，更臻完美。 我們深知並非每個訓練家都能參加所有測試，而這些測試正是為了打造適合不同遊戲模式的活動的第一步。 一如往常，訓練家在玩Pokémon GO時請注意周遭環境和途人。 敬請期待更多的新消息！ \n  \n注意安全，愉快探索！ \n  \n—Pokémon GO團隊敬上 \n  \n#玩遊戲時請注意周遭環境，小心安全。	O nosso primeiro Almoço Lendário aconteceu no dia 13 de março. Agradecemos a participação de todos vocês e os comentários que recebemos sobre o nosso primeiro experimento, mas, ele ainda não acabou, e precisamos da sua ajuda em nossa pesquisa! No dia 10 de abril, das 12h às 13h do seu horário local, aumentaremos o número de Reides com Giratina em sua Forma Origem para testar as suas habilidades de batalha junto com seus amigos, colegas de trabalho e colegas de classe. \n \Data e hora \n- 10 de abril, das 12h às 13h do seu horário local. \n \nDetalhes \n- Haverá uma quantidade maior de Reides de cinco estrelas com Giratina na sua Forma Origem no horário do evento. \n \nAgradecemos a todos pelos comentários e sugestões ao criarmos novas maneiras de jogar Pokémon GO. Suas contribuições nos ajudam a criar novos eventos para tornar o jogo ainda mais divertido. Continuaremos a testar este evento para torná-lo ainda melhor. Entendemos que nem todos os Treinadores podem participar dos eventos disponíveis, porém, estes testes são apenas o primeiro passo para criarmos outros voltados a estilos de jogo diferentes. Como sempre, prestem atenção à sua volta enquanto jogam Pokémon GO. Fiquem ligados para receber novas notícias! 
news_header_special_weekend		今年二回目の「Pokémon GO Special Weekend」が4月に開催決定！								
news_subheader_special_weekend		今年二回目の「Pokémon GO Special Weekend」が4月に開催決定！								
news_main_text_special_weekend		今年2回目の「Pokémon GO Special Weekend」を2019年4月6日（土）、7日（日）に開催します！新生活が始まるこの季節に、『Pokémon GO』と共に冒険に出かけましょう！ \n \nPokémon GO Special Weekend (スペシャル・ウィークエンド)とは？  \nPokémon GO 公式パートナーで引き換えることができる「Pokémon GO Special Weekend 参加券」を使って参加する『Pokémon GO』のゲーム内イベントです。「参加券」には二次元バーコード／コードナンバーがついていますので、イベント当日に公式パートナーのポケストップを訪れ、二次元バーコード／コードナンバーを読み込み、チェックインしてイベントに参加しましょう。チェックインをしたら、午後8時まで、一部離島を除く日本全国どこでもイベントに参加できます。朝、ご自宅近所でチェックインしてから遠出をしても、お出かけ先でイベントに参加できます。海外へお出かけの場合は参加できませんので、ご注意ください。 \n \nイベントは、4月6日（土）、7日（日）の午前10時から午後8時までの開催を予定しています。 イベントに参加すると、イベント時間中はもらえる「ほしのすな」が通常の2倍に、そして日本中で特別なポケモンに出会えるチャンスがいつもより増えるようです。 \n \n「Pokémon GO Special Weekend 参加券」は、日本の『Pokémon GO』公式パートナーである、伊藤園、TSUTAYA、セブン-イレブン  でお買い物等を行うことで入手できます。「参加券」を入手する公式パートナーによって、「参加券」の引換え方法や参加できるイベントの日程が異なります。詳細は<a href="https://pokemongolive.com/ja/post/201904specialweekend/">ブログ</a>をご覧ください。 \n \n『Pokémon GO』を遊ぶ際は、周囲の安全に注意のうえマナーを守ってお楽しみください。  \n \n※当日の天候条件や諸事情により、イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。								
news_summer_2019	You’ll need a bigger bottle of sunscreen for our Pokémon GO summer events 2019!	『Pokémon GO』のサマーイベント発表！今年も熱い夏が始まる！	Faites le plein de crème solaire pour ces évènements estivaux de Pokémon GO de 2019.	¡Vas a necesitar un bote más grande de protección solar para nuestros eventos de verano de Pokémon GO de 2019!	Du brauchst mehr Sonnencreme für unsere Pokémon GO-Sommerevents 2019!	Tira fuori la crema solare, perché sono in arrivo gli eventi estivi di quest’anno targati Pokémon GO!	“Pokémon GO”서머 이벤트 발표! 올해도 뜨거운 여름이 시작한다!		為繽紛盛夏準備好防曬霜，Pokémon GO Summer Events 2019 來了!	Prepare-se para os próximos eventos de 2019 do Pokémon GO!
news_subheader_summer_2019	You’ll need a bigger bottle of sunscreen for our Pokémon GO summer events 2019!	『Pokémon GO』のサマーイベント発表！今年も熱い夏が始まる！	Faites le plein de crème solaire pour ces évènements estivaux de Pokémon GO de 2019.	¡Vas a necesitar un bote más grande de protección solar para nuestros eventos de verano de Pokémon GO de 2019!	Du brauchst mehr Sonnencreme für unsere Pokémon GO-Sommerevents 2019!	Tira fuori la crema solare, perché sono in arrivo gli eventi estivi di quest’anno targati Pokémon GO!	“Pokémon GO”서머 이벤트 발표! 올해도 뜨거운 여름이 시작한다!		為繽紛盛夏準備好防曬霜，Pokémon GO Summer Events 2019 來了!	Prepare-se para os próximos eventos de 2019 do Pokémon GO!
news_main_text_summer_2019	In 2018, we had an incredible year of live events for Pokémon GO, with our return to Chicago for Pokémon GO Fest as well as 4 Safari Zones, 12 Community Days, and tons of fun events for Trainers in between. This year, you can look forward to even more events in more locations! \n \nWe’re excited to reveal that Pokémon GO Fest is coming to three cities around the world! \n-June 13–16: Pokémon GO Fest Chicago \n-July 4–7: Pokémon GO Fest Dortmund \n-Dates and location to be announced: Pokémon GO Fest APAC \nStay tuned in the upcoming weeks for details on how to secure tickets to this summer’s biggest Pokémon GO events. A number of Safari Zone events are coming up in the second half of 2019, so keep your eyes peeled for more! \n  \nIf you can’t make it in person to any of our summer events, don’t worry! There will be plenty of ways to participate in Pokémon GO Fest no matter where you are around the world. Stay tuned for more information on this soon! \n  \nFinally, for those interested in the upcoming worldwide Community Day events, mark your calendars for the following dates: \n-May 19 \n-June 8 \n-July 21 \n-August 3 \nWe can’t wait to see you at one of the many Pokémon GO events of 2019 and beyond!	2018年は、シカゴの「Pokémon GO Fest」をはじめとして、4都市で開催された「Safari Zone」、毎月の「コミュニティ・デイ」など、トレーナー同士で楽しめるたくさんのイベントを開催してきました。今年はさらにパワーアップしたリアルイベントを開催します！ \n \n2019年1月には、南米初となる「Safari Zone」をブラジルのポルト・アレグレで開催、今月中旬にはシンガポールのセントーサ島で「Safari Zone」を開催します。今後、さらに3地域で「Pokémon GO Fest」を開催する予定です！ \n \n- アメリカ シカゴ：現地時間6月13日（木）～16日（日） 「Pokémon GO Fest Chicago」 \n- ドイツ ドルトムント：現地時間7月4日（木）～7日（日） 「Pokémon GO Fest Dortmund」 \n- アジア太平洋地域：2019年夏 「Pokémon GO Fest AsiaAPAC（開催地未定）」 \n \n『Pokémon GO Fest Chicago』『Pokémon GO Fest Dortmund』の各イベントのチケット購入についての詳細や、アジア太平洋地域での「Pokémon GO Fest」開催日程や開催地などの詳細は、今後あらためてお知らせいたします。2019年の後半には、複数の国と地域で「Safari Zone」の開催を予定していますので、最新情報のチェックをお忘れなく！ \n \nもし、この夏のライブイベントに現地で参加ができなくても、世界中のトレーナーの皆さんがひとつになりこれらのイベントをお楽しみいただけるよう準備しています。詳細は、近日中にお知らせしますので、今しばらくお待ちください！ \n \nそしてなんと、「Pokémon GO コミュニティ・デイ」の今後8月までのスケジュールを発表いたします！ぜひ今のうちにカレンダーにチェックをして、イベント当日に向けて準備をしましょう！ \n \n- 5月19日（日） \n- 6月8日（土） \n- 7月21日（日） \n- 8月3日（土） \n \n2019年の『Pokémon GO』のイベントでも、また皆さんとお会いできるのを楽しみにしています！	L’année 2018 a été remplie d’évènements Pokémon GO, notamment notre retour à Chicago pour le Festival Pokémon GO, ainsi que 4 Zones Safari, 12 Journées Communauté, et bien d’autres évènements pour nos Dresseurs. Cette année, participez à encore plus d’évènements dans le monde entier ! \n \nNous sommes heureux d’annoncer que le Festival Pokémon GO se déroulera dans trois villes ! \n-Du 13 au 16 juin : Festival Pokémon GO de Chicago \n-Du 4 au 7 juillet : Festival Pokémon GO de Dortmund \n-Dates et lieu à confirmer : Festival Pokémon GO d’Asie-Pacifique \nRestez à l’écoute dans les semaines à venir pour plus de détails sur l’obtention des tickets pour ces évènements estivaux de Pokémon GO. Quelques évènements Zone Safari se dérouleront dans la seconde partie de l’année 2019, ne les manquez pas ! \n \nSi vous n’avez pas l’occasion de participer à ces évènements estivaux en personne, ne vous en faites pas ! Vous aurez d’autres façons de participer au Festival Pokémon GO, où que vous soyez. Plus d’informations seront bientôt partagées. \n \nEnfin, notez dans vos calendriers les dates des prochaines Journées Communauté : \n-le 19 mai \n-le 8 juin \n-le 21 juillet \n-le 3 août \nNous espérons vous rencontrer bientôt à l’un de ces évènements Pokémon GO de 2019 !	En 2018, tuvimos un año increíble de eventos en vivo de Pokémon GO, con nuestro regreso a Chicago para el Festival de Pokémon GO, así como 4 eventos de Zona Safari, 12 Días de la Comunidad y un montón de eventos divertidos para Entrenadores. Este año, ¡puedes esperar incluso más eventos en más lugares! \n \n¡Nos complace revelar que los Festivales de Pokémon GO se celebrarán en tres ciudades del mundo! \n-Del 13 al 16 de junio: Festival de Pokémon GO de Chicago \n-Del 4 al 7 de julio: Festival de Pokémon GO de Dormund \n-Fechas y lugar por determinar: Festival de Pokémon GO de Asia Pacífico \nEstate pendiente en las próximas semanas para obtener más detalles sobre cómo conseguir entradas para los mayores eventos de Pokémon GO. En la segunda mitad de 2019, se avecinan varios eventos de Zona Safari, ¡así que mantén los ojos bien abiertos! \n \nSi no puedes asistir en persona a ninguno de nuestros eventos de verano, ¡no te preocupes! Habrá muchas formas de participar en los Festivales de Pokémon GO, independientemente de dónde estés en el mundo. ¡Estate pendiente para obtener más información pronto! \n \nFinalmente, si te interesan los próximos eventos mundiales del Día de la Comunidad, marca en tu calendario las próximas fechas: \n-19 de mayo \n-8 de junio \n-21 de julio \n-3 de agosto \n¡Esperamos verte en alguno de los muchos eventos de Pokémon GO de 2019 y en los años siguientes!	2018 war ein spektakuläres Jahr voller Live-Events in Pokémon GO. Das Pokémon GO-Fest kehrte nach Chicago zurück, es gab vier Safari-Zonen und zwölf Community Days, und zwischendurch fanden zahlreiche aufregende Events für Trainer statt. Dieses Jahr kannst du dich auf noch mehr Events an noch mehr Schauplätzen freuen! \n \nWir freuen uns, bekannt zu geben, dass das Pokémon GO-Fest in drei Städten Einzug erhält! \n-13.–16. Juni: Pokémon GO-Fest Chicago \n-4.–7. Juli: Pokémon GO-Fest Dortmund \n-Zeitraum und Veranstaltungsort werden noch bekannt gegeben: Pokémon GO-Fest APAC \nIn den kommenden Wochen erfährst du mehr darüber, wie du dir Tickets für die größten Pokémon GO-Events dieses Sommers sichern kannst. In der zweiten Jahreshälfte erwarten dich einige Safari-Zone-Events, also halte die Augen offen für weitere Infos! \n \nWenn du es nicht selbst zu einem dieser Sommerevents schaffst, ist das kein Problem! Es wird etliche Möglichkeiten geben, an Pokémon GO-Festen teilzunehmen, egal wo du dich gerade in der Welt aufhältst. Weitere Informationen dazu folgen bald! \n \nUnd wenn du dich für unsere bevorstehenden, weltweiten Community Day-Events interessierst, merke dir die folgenden Daten: \n-19. Mai \n-8. Juni \n-21. Juli \n-3. August \nWir können es kaum erwarten, dich 2019 und darüber hinaus auf einem der vielen Pokémon GO-Events zu sehen!	Il 2018 è stato un anno incredibilmente ricco di appuntamenti dal vivo, con il ritorno a Chicago del Festival di Pokémon GO, quattro eventi Zona Safari e dodici Community Day, intervallati da tante altre fantastiche iniziative. Ebbene, quest’anno probabilmente ci supereremo! \n \nPer cominciare, il Festival di Pokémon GO si estenderà a ben tre città: \nChicago, dal 13 al 16 giugno \nDortmund, dal 4 al 7 luglio \nAsia Pacifica, date e località ancora da definirsi \nTorna a trovarci nelle prossime settimane per scoprire come mettere le mani sui biglietti per gli eventi più importanti dell’estate targati Pokémon GO. E non è finita, perché la seconda metà del 2019 pullulerà di eventi Zona Safari, quindi tieni gli occhi aperti e non perderti i prossimi aggiornamenti. \n \nNon potrai esserci di persona? Niente paura! Potrai comunque partecipare al Festival di Pokémon GO in tanti altri modi e da qualunque angolo del mondo. Torna a trovarci per scoprire tutti i dettagli. \n \nPer chiudere in bellezza, ecco alcune date da segnare sul calendario per tutti i fan dei Community Day: \n19 maggio \n8 giugno \n21 luglio \n3 agosto \nGli eventi del 2019 firmati Pokémon GO ti aspettano. Non vediamo l’ora di incontrarti!	2018년에는 시카고의 「Pokémon GO Fest」를 시작으로 4개 도시에서 개최된 「Safari Zone」, 매월 있는 「커뮤니티 데이」 등 트레이너가 즐길 수 있는 많은 이벤트를 개최했습니다. 올해는 더 파워업한 리얼 이벤트를 개최합니다! \n \n2019년 1월에는 남미 첫 「Safari Zone」을 브라질의 포르투알레그리에서 개최, 이번 달 중순에는 싱가포르 센토사섬에서 「Safari Zone」을 개최합니다. 앞으로 추가로 3개 지역에서 「Pokémon GO Fest」를 개최할 예정입니다. \n \n- 미국 시카고: 현지 시간 6월 13일(목)~16일(일)：「Pokémon GO Fest Chicago」 \n- 독일 도르트문트: 현지 시간 7월 4일(목)~ 7일(일) 「Pokémon GO Fest Dortmund」 \n- 아시아: 2019년 여름 「Pokémon GO Fest Asia(개최지 미정)」 \n \n「Pokémon GO Fest Chicago」, 「Pokémon GO Fest Dortmund」의 각 이벤트 티켓 구입에 대한 자세한 내용과 아시아의 「Pokémon GO Fest」 개최 일정과 개최지 등의 자세한 내용은 추후 다시 알려드리겠습니다. 2019년에 하반기에는 여러 나라와 지역에서 「Safari Zone」의 개최를 예정하고 있으니 최신 정보를 확인하세요! \n \n만약 이 여름의 라이브 이벤트에 현지로 참가할 수 없어도 전 세계 트레이너 여러분이 하나가 되어 이벤트를 즐길 수 있도록 준비하고 있습니다. 자세한 내용은 가까운 시일에 안내하니 기다려 주세요! \n \n그리고 「Pokémon GO 커뮤니티 데이」의 8월까지의 스케줄을 발표합니다! 지금 바로 달력에 체크하고 이벤트 당일을 위한 준비를 하세요! \n \n- 5월 19일(일) \n- 6월 8일(토) \n- 7월 21일(일) \n- 8월 3일(토) \n \n2019년 “Pokémon GO” 이벤트에서도 여러분과 만날 수 있길 기대하고 있습니다!		親愛的訓練家們： \n \n在2018年，Pokémon GO為訓練家們舉辦了一系列令人難以忘懷的現實世界活動。包括在芝加哥舉辧的Pokémon GO Fest，4個Safari Zone，12個社群日，及其他數之不盡的歡樂活動。今年，你可以在更多地點參加更多活動！ \n \n2019年1月，我們在巴西愉港以南美洲首個Safari Zone 為今年拉開序幕。接下來，我們將在本月中旬在新加坡聖淘沙舉辦東南亞首個 Safari Zone。而後，我們將在3個地區舉辦Pokémon GO Fest！ \n- 當地時間6月13日至6月16日：在美國芝加哥舉辦「Pokémon GO Fest Chicago」 \n- 當地時間7月4日至7月7日：在德國多特蒙德舉辦「Pokémon GO Fest Dortmund」 \n- 2019年夏季：在亞太地區舉辦「Pokémon GO Fest Asia」（舉辦城市未定） \n我們會陸續公佈各活動的購票方法，以及亞太地區「Pokémon GO Fest」的舉辦日期、舉辦地點等資訊，敬請期待。下半年還有更多「Safari Zone」活動，請務必持續追蹤！ \n \n即使你無法親身前往今夏任何活動的舉辦城市，也不必擔心！無論身在何處，你都可以參加 Pokémon GO Fest。請密切留意我們的公告！ \n \n最後，我們要在此公布到8月份為止的Pokémon GO社群日舉辦日程，請記好以下日期： \n- 5月19日 \n- 6月8日 \n- 7月21日 \n- 8月3日 \n我們期待在眾多2019和未來的Pokémon GO活動中與你相見！ \n—Pokémon GO 開發團隊敬上	O ano de 2018 trouxe vários eventos ao vivo incríveis do Pokémon GO, com nosso retorno a Chicago para o Festival de Pokémon GO, além de 4 Zonas de Safári, 12 Dias Comunitários, além de vários outros eventos para Treinadores. Este ano, você pode esperar um número ainda maior de eventos sediados em mais lugares diferentes! \n \nEstamos muito felizes em revelar que o Festival de Pokémon GO será realizado em três cidades diferentes ao redor do mundo!  \n-De 13 a 16 de junho: Festival de Pokémon GO em Chicago, nos Estados Unidos. \n-De 4 a 7 de julho: Festival de Pokémon GO em Dortmund, na Alemanha. \n-Datas e local a serem anunciados: Festival de Pokémon GO na região Ásia-Pacífico. \nFique ligado durante as próximas semanas para saber como adquirir ingressos para os maiores eventos do Pokémon GO dos próximos meses. Vários eventos de Zona de Safári serão realizados no segundo semestre de 2019, então fique atento às notícias! \n  \nCaso você não possa comparecer a estes eventos, não se preocupe! Existirão muitas outras maneiras de participar do Festival de Pokémon GO de qualquer lugar do mundo. Novas informações estarão disponíveis em breve, então fique ligado! \n  \nE por fim, para quem quiser saber quando ocorrerão os próximos eventos de Dia Comunitário por todo o mundo, é só marcar estas datas na sua agenda: \n-19 de maio \n-8 de junho \n-21 de julho \n-3 de agosto \nMal podemos esperar para ver você nos muitos eventos do Pokémon GO de 2019 e além!
news_apr_cd	Smash through the weekend on April Community Day with Bagon!	4月の「Pokémon GO コミュニティ・デイ」を「タツベイ」と一緒に楽しもう！	Foncez tête baissée avec Draby lors de la Journée Communauté d’avril.	¡Rompe con todo a tu paso junto a Bagon durante el fin de semana del Día de la Comunidad de abril!	Katapultiere dich durchs Wochenende mit Kindwurm!	Il Community Day di aprile con Bagon è da sbatterci la testa!	4월의 「Pokémon GO 커뮤니티 데이」를 「아공이」와 함께 즐기자!		四月社群日的主角寶可夢是寶貝龍！	Prepare-se para quebrar tudo no Dia Comunitário de abril com Bagon!
