Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_novcontent	Break through Field Research tasks with Shedinja! 	「フィールドリサーチ」の「大発見」で「ヌケニン」が登場！ 	Faites une percée dans les tâches d’Études de terrain avec Munja.	¡Llega hasta el final de las tareas de investigación de campo con Shedinja!	Durchbrich die Feldforschung mit Ninjatom!	Fai una scoperta straordinaria e incontra Shedinja!	「필드리서치」의 대발견으로 「껍질몬」 등장! 		11月田野調查課題的主角是「脫殼忍者」！ 	Realize pesquisas de campo extraordinárias com Shedinja!
news_subheader_novcontent	Break through Field Research tasks with Shedinja! 	「フィールドリサーチ」の「大発見」で「ヌケニン」が登場！ 	Faites une percée dans les tâches d’Études de terrain avec Munja.	¡Llega hasta el final de las tareas de investigación de campo con Shedinja!	Durchbrich die Feldforschung mit Ninjatom!	Fai una scoperta straordinaria e incontra Shedinja!	「필드리서치」의 대발견으로 「껍질몬」 등장! 		11月田野調查課題的主角是「脫殼忍者」！ 	Realize pesquisas de campo extraordinárias com Shedinja!
news_main_text_novcontent	A peculiar Bug- and Ghost-type Pokémon leads Field Research in November—Shedinja!  Remember, if you haven’t yet caught the Legendary Pokémon Suicune, you should work toward a Research Breakthrough this week before it goes away! Check out details below: \n \nDate + Time \n- Nov. 1, 2018, at 1:00 p.m. PDT (GMT −7) \n \nFeatures \n- Take on Field Research featuring Bug-type Pokémon. \n- If you’re lucky, you may encounter a shiny Caterpie! \n \nBonuses \n- Achieve a Research Breakthrough to earn an encounter with the Bug- and Ghost-type Pokémon, Shedinja! \n \n So break out of your shell and prepare for exciting tasks next month. Let’s get out and GO! 	11月の「フィールドリサーチ」のテーマは、むしタイプのポケモン！タスクを完了しスタンプを７個集めて「大発見」を達成すると、むし・ゴーストタイプの不思議なポケモン「ヌケニン」が登場します！ 詳細は以下のとおりです： \n \n[日時] \n日本時間11月2日（金）早朝から \n \n[概要] \nむしタイプのポケモンに関する「フィールドリサーチ」が登場 \n運が良ければ色違いの「キャタピー」に出会える \n \n[ボーナス詳細] \nむし・ゴーストタイプのポケモン「ヌケニン」が「大発見」で登場！ \n \n伝説のポケモン「スイクン」をまだ捕まえていないトレーナーは、早めに「大発見」を達成しゲットしておきましょう！ それでは、来月の「フィールドリサーチ」をお楽しみに！ 	Munja, un Pokémon particulier de type Insecte et Spectre mènera les Études de terrain en novembre. Attention, si vous n’avez pas encore attrapé le Pokémon légendaire Suicune, terminez une Phase d’Étude cette semaine avant qu’il ne disparaisse. Voici les détails : \n \nHoraire \n- le 1er nov 2018 à 13h PDT (UTC −7) \n \nParticularités \n- Effectuez des Études de terrain se focalisant sur les Pokémon de type Insecte. \n- Si vous avez de la chance, vous rencontrerez peut-être un Chenipan chromatique. \n \nBonus \n- Complétez une Phase d’Étude pour rencontrer Munja, le Pokémon de type Insecte et Spectre. \n \nSortez de votre coquille et préparez-vous à des tâches passionnantes le mois prochain. Tous dehors, et en route ! 	Un peculiar Pokémon de tipo Bicho y Fantasma lidera las tareas de investigación de campo en noviembre: ¡Shedinja! Y recuerda que, si aún no has capturado al Pokémon legendario Suicune, ¡deberías ponerte a investigar para conseguir un logro de investigación esta semana antes de que desaparezca! Echa un vistazo a los detalles a continuación: \n \nFecha y horas: \n- 1 de noviembre de 2018 a la 1:00 p. m. PDT (GMT −7) \n \nDetalles: \n- Realiza tareas de investigación de campo con Pokémon de tipo Bicho. \n- Si tienes suerte, ¡puede que te encuentres con un Caterpie variocolor! \n \nBonus: \n- ¡Consigue un logro de investigación para poder encontrarte con el Pokémon de tipo Bicho y Fantasma Shedinja! \n \n Así que sal de tu caparazón y prepárate para realizar emocionantes tareas el mes que viene, ¡y sal a explorar!	Ein ganz besonderes Käfer- und Geist-Pokémon führt die Feldforschung im November an – Ninjatom! Wenn du das Legendäre Pokémon Suicune noch nicht gefangen hast, vergiss nicht, dass du noch diese Woche Zeit hast, einen Forschungsdurchbruch zu erreichen, bevor es verschwindet! Hier sind die Infos: \n \nWann \n- 1. November 2018 um 21:00 Uhr MEZ (13:00 Uhr PDT) \n \nDetails \n- Stelle dich Feldforschungsaufgaben mit Käfer-Pokémon. \n- Wenn du Glück hast, begegnest du einem Schillernden Raupy! \n \nBonusse \n- Erziele einen Forschungsdurchbruch, um dem Käfer- und Geist-Pokémon Ninjatom zu begegnen! \n \n Sei bereit, wenn sich nächsten Monat aufregende Aufgaben entpuppen. Nichts wie raus und GO!	Un Pokémon di tipo Coleottero e Spettro è il protagonista della ricerca sul campo di novembre: Shedinja! Ricorda: se non hai ancora catturato il Pokémon leggendario Suicune, questa settimana metticela tutta a completare una scoperta straordinaria! Ecco tutte le informazioni: \n \n- Orari - \n- Alle ore 13:00 PDT (GMT -7) del 1° novembre 2018 \n \n- Dettagli - \nRicerca sul campo con protagonisti i Pokémon di tipo Coleottero \nE se sarai baciato dalla fortuna, potrai persino incontrare un Caterpie cromatico! \n \n- Bonus - \nCompleta una scoperta straordinaria e aggiudicati un incontro con il Pokémon di tipo Coleottero e Spettro Shedinja! \n \nChe aspetti? Esci dal tuo guscio e preparati alle nuove entusiasmanti missioni del prossimo mese. Pronti, partenza... GO!	11월의 「필드리서치」 주제는 벌레타입 포켓몬! 과제를 완료하고 스탬프를 7개 모아 「대발견」을 발생시키면 벌레・고스트타입의 신기한 포켓몬 「껍질몬」이 등장합니다! 자세한 내용은 아래를 확인하세요. \n \n[일시] \n- 한국시간 11월 2일(금) 새벽부터 \n \n[개요] \n- 벌레타입 포켓몬에 관한 「필드리서치」 등장 \n- 운이 좋으면 색이 다른 「캐터피」와 만날 수 있다 \n \n[보너스] \n- 벌레・고스트타입 포켓몬 「껍질몬」이 대발견으로 등장! \n \n전설의 포켓몬 「스이쿤」을 아직 잡지 않은 트레이너는 어서 대발견을 발생시켜서 잡아보세요! 그럼 다음 달 「필드리서치」도 기대해주세요! 		在11月的新一輪田野調查中，同時擁有蟲屬性和幽靈屬性的寶可夢「脫殼忍者」將會登場！如果你還沒在10月的田野調查中取得突破性進展，把傳說的寶可夢「水君」捉到手，也別忘了把握本週的最後機會喔！ \n \n[活動時間] \n- 台灣時間11月2日清晨起 \n \n[概要] \n- 以蟲屬性寶可夢為主題的田野調查課題登場 \n- 有機會遇見異色的綠毛蟲 \n  \n[活動獎勵] \n- 同時擁有蟲屬性和幽靈屬性的寶可夢「脫殼忍者」將在田野調查有突破性進展時出現！ \n \n 一起期待11月的新課題吧！	O estranho Pokémon de tipo Inseto e Fantasma Shedinja será a estrela das pesquisas de campo de novembro! Se você ainda não tiver capturado o Pokémon Lendário Suicune, não se esqueça de completar uma descoberta extraordinária esta semana, antes que ele vá embora! Confira os detalhes abaixo: \n \nData e hora \n- 1º de novembro de 2018 às 13h horário do Pacífico (TMG −7) \n \nDetalhes \n- Realize pesquisa de campo com Pokémon de tipo Inseto. \n- Se tiver sorte, você poderá encontrar um Caterpie Brilhante! \n \nBônus \n- Complete uma descoberta extraordinária para encontrar o Pokémon de tipo Inseto e Fantasma Shedinja! \n \n Saia do seu casulo, prepare-se e divirta-se com as tarefas emocionantes do mês que vem no Pokémon GO! 
news_header_specialraid_gengar1	Gengar steals the spotlight in a Special Raid Challenge!	ゲンガーがスペシャルレイドチャレンジに登場！ 	Ectoplasma fait la vedette dans un Défi de Raid spécial.	¡Gengar es el protagonista en un desafío de incursión especial!	Gengar stiehlt das Rampenlicht in einer besonderen Raid-Herausforderung!	Gengar ruba la scena in una sfida raid speciale!	팬텀이 스페셜 레이드 챌린지에 등장! 		耿鬼將在團體戰大挑戰中現身！	Gengar rouba os holofotes em um desafio especial de Reide!
news_subheader_specialraid_gengar1	Gengar steals the spotlight in a Special Raid Challenge!	ゲンガーがスペシャルレイドチャレンジに登場！ 	Ectoplasma fait la vedette dans un Défi de Raid spécial.	¡Gengar es el protagonista en un desafío de incursión especial!	Gengar stiehlt das Rampenlicht in einer besonderen Raid-Herausforderung!	Gengar ruba la scena in una sfida raid speciale!	팬텀이 스페셜 레이드 챌린지에 등장! 		耿鬼將在團體戰大挑戰中現身！	Gengar rouba os holofotes em um desafio especial de Reide!
news_main_text_specialraid_gengar1	Are you ready for a challenge? On Saturday, November 3, there will be a Special Raid Challenge! For three hours, Gengar will be available in Raid Battles! Take a look at the details below by region: \n \nDate + Time \n- Asia-Pacific: 12:00 p.m. to 3:00 p.m. JST (GMT +9) \n- Europe, the Middle East, Africa, and India: 10:00 a.m. to 1:00 p.m. UTC (GMT +0) \n- The Americas and Greenland: 11:00 a.m. to 2:00 p.m. PDT (GMT −7) \n \nFeatures \n- Gengar will be featured in Raid Battles! \n- Receive up to five Raid Passes from nearby Gyms at no cost. \n- If you’re lucky, you may encounter a Shiny Gengar! \n \nDo you have what it takes? Get ready to GO, Trainer—and best of luck! \n \nStay safe, and happy exploring! 	日本時間の11月3日（土）昼12時から15時までにかけて、新イベント「スペシャルレイドチャレンジ」が開催されます！ 今回、このイベントの3時間の間には、ゲンガーが「レイドバトル」に姿を現すようです！ 地域ごとの詳細は以下をご覧ください。 \n \n[イベント内容] \n- ゲンガーが「レイドバトル」に登場 \n- 近くのジムで最大5枚のレイドパスが受け取れます \n- まれに色違いのゲンガーがレイドバトルに出現 \n \nチャレンジに挑む準備は今のうちに！遊ぶ際は、周囲に注意しながらお楽しみください。 \n \n※イベントやボーナスは、当日の天候や諸事情により開催期間・場所・. 内容などが変更になる場合がございます。予めご了承ください。 	Pourrez-vous relever le défi ? Un Défi de Raid spécial aura lieu samedi 3 novembre. Pendant trois heures, Ectoplasma sera disponible en Combats de Raids. Découvrez les détails par région : \n \nHoraire  \n- Asie-Pacifique : de 12h à 15h JST (UTC +9)  \n- Europe, Moyen-Orient, Afrique et Inde : de 10h à 13h UTC  \n- Continent américain et Groenland : de 11h à 14h PDT (UTC -7)  \n  \nParticularités \n- Ectoplasma apparaîtra en Combats de Raids.  \n- Un maximum de cinq passes de Raids sera distribué gratuitement dans les Arènes locales.  \n- Si vous avez de la chance, vous rencontrerez peut-être un Ectoplasma chromatique.  \n  \nTiendrez-vous le coup ? Dresseurs, préparez-vous, et bonne chance.  \n  \nSoyez prudents, et bonne exploration.	¿Estás listo para un desafío? El sábado 3 de noviembre, habrá un desafío de incursión especial. Durante tres horas, ¡Gengar estará disponible en incursiones! Echa un vistazo a los detalles por región a continuación: \n \nFecha y horas: \n- Asia Pacífico: De 12:00 p. m. a 3:00 p. m. JST (GMT +9) \n- Europa, Oriente Medio, África e India: De 10:00 a. m. a 1:00 p. m. UTC (GMT +0) \n- América y Groenlandia: De 11:00 a. m. a 2:00 p. m. PDT (GMT −7) \n \nDetalles: \n- ¡Gengar aparecerá en incursiones! \n- Recibe hasta cinco pases de incursión de Gimnasios cercanos de forma gratuita. \n- Si tienes suerte, ¡puede que te encuentres con un Gengar variocolor! \n \n¿Te atreves con ello? Prepárate para salir a explorar, ¡y buena suerte! \n \n¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Bist du bereit für eine Herausforderung? Am 3. November, wartet eine besondere Raid-Herausforderung auf dich! Für drei Stunden erscheint Gengar in Raid-Kämpfen! Hier sind die Infos für jede Region:  \n  \nWann  \n- Asien-Pazifik: 12:00 bis 15:00 Uhr JST (GMT +9)  \n- Europa, Mittlerer Osten, Afrika und Indien: 10:00 bis 13:00 Uhr UTC (GMT +0)   \n- Amerika und Grönland: 11:00 bis 14:00 Uhr PDT (GMT -7)  \n  \nDetails  \n- Gengar erscheint in Raid-Kämpfen!  \n- Erhalte bis zu 5 kostenlose Raid-Pässe von Arenen in deiner Nähe.  \n- Wenn du Glück hast, begegnest du vielleicht einem Schillernden Gengar!  \n  \nBist du furchtlos genug? Nichts wie raus und GO, Trainer – und viel Glück!  \n  \nAllzeit sichere und schöne Entdeckungsreisen!	Te la senti di accettare la sfida? Sabato 3 novembre ti aspetta una sfida raid speciale. Per ben tre ore, Gengar sarà disponibile nei raid! Ecco i dettagli in base all’area geografica: \n \n- Orari - \nAsia Pacifica: dalle 12:00 alle 15:00 JST (GMT +9) \nEuropa, Medio Oriente, Africa e India: dalle 10:00 alle 13:00 UTC (GMT +0) \nAmerica e Groenlandia: dalle 11:00 alle 14:00 PDT (GMT -7) \n \n- Dettagli - \nGengar apparirà nei raid! \nRicevi gratuitamente fino a cinque biglietti raid dalle Palestre nelle vicinanze. \nE se sarai baciato dalla fortuna, potrai persino incontrare un Gengar cromatico! \n \nPensi di averne la stoffa? Pronti, partenza... GO! Buona fortuna! \n \nRicorda di essere sempre prudente e buon divertimento!	한국시간 11월 3일(토) 낮 12시부터 15시 사이에 새로운 이벤트 「스페셜 레이드 챌린지」가 개최됩니다! 이번 이벤트가 진행되는 3시간 동안에는 팬텀이 「레이드배틀」에 나타납니다! 지역별 자세한 내용은 아래를 확인해 주세요. \n \n[이벤트 내용] \n- 팬텀이 레이드배틀에 등장 \n- 가까운 체육관에서 최대 5장의 레이드패스를 받을 수 있습니다 \n- 가끔 색이 다른 팬텀이 레이드배틀에 출현 \n \n챌린지에 도전하기전 준비는 지금부터 하세요! 플레이할 때는 주변을 주의하면서 플레이해주세요. \n \n※이벤트와 보너스는 당일 날씨 또는 기타 사정에 의해 개최 기간, 장소, 내용 등이 변경될 수 있습니다. 미리 양해 부탁드립니다. 		新活動「團體戰大挑戰」將於台灣時間11月3日11:00～14:00登場！在這三小時內，耿鬼將會在各地道館的團體戰中現身！ \n \n[活動內容] \n- 耿鬼將在團體戰中現身！ \n- 每位訓練家最多可領取5張免費團體戰入場券。 \n- 有機會在團體戰中遇見異色耿鬼！  \n 有機會在團體戰中遇見異色耿鬼！  	Está pronto para um desafio? Um desafio especial de Reide ocorrerá sábado, dia 3 de novembro! Gengar estará disponível em Batalhas de Reide por três horas! Confira os detalhes para cada região: \n \nHora \n- Ásia-Pacífico: das 12h às 15h horário padrão do Japão (TMG +9) \n- Europa, Oriente Médio, África e Índia: das 10h às 13h Tempo Universal Coordenado (TMG +0) \n- Américas e Groenlândia: das 11h às 14h horário do Pacífico (TMG −7) \n \nDetalhes \n- Gengar aparecerá em Batalhas de Reide! \n- Receba até cinco Passes de Reide de Ginásios mais próximos sem qualquer custo. \n- Se tiver sorte, você poderá encontrar um Gengar Brilhante! \n \nVocê acha que consegue? Boa sorte, Treinador! \n \nTome cuidado e divirta-se explorando o mundo! 
news_header_adventure_sync	New Adventure Sync Keeps Track of All Your Journeys! 	新機能「いつでも冒険モード」で旅のすべてを記録！ 	Le Suivi d’exploration garde en mémoire toutes vos aventures.	¡La nueva función Sincroaventura lleva la cuenta de todas tus aventuras!	Neue Abenteuer-Sync hält mit dir Schritt!	La nuova funzionalità Sincroavventura segue ogni tuo passo!	새로운 기능 「언제나 모험 모드」에서 여행의 모든 것을 기록하자!		用新功能「時時刻刻冒險」模式來記錄冒險歷程吧！ 	O novo recurso de Sincroaventura registra todas as suas jornadas!
news_subheader_adventure_sync	New Adventure Sync Keeps Track of All Your Journeys! 	新機能「いつでも冒険モード」で旅のすべてを記録！ 	Le Suivi d’exploration garde en mémoire toutes vos aventures.	¡La nueva función Sincroaventura lleva la cuenta de todas tus aventuras!	Neue Abenteuer-Sync hält mit dir Schritt!	La nuova funzionalità Sincroavventura segue ogni tuo passo!	새로운 기능 「언제나 모험 모드」에서 여행의 모든 것을 기록하자!		用新功能「時時刻刻冒險」模式來記錄冒險歷程吧！ 	O novo recurso de Sincroaventura registra todas as suas jornadas!
news_main_text_adventure_sync	Exploring with Pokémon GO has never been easier with a new feature coming soon! Adventure Sync is a mode that can record your walking distances even when Pokémon GO is idle, working in the background to tally your distance, earn Buddy Candy, and hatch Eggs! \n \nFeatures \n- Track your kilometers, even when Pokémon GO is idle. \n- Push notifications alert when your Buddy Pokémon has earned a Candy or an Egg is ready to hatch! \n- Check in on a weekly summary of your progress.  \n \nSo let’s get motivated and GO! Stay safe, and happy exploring! 	間もなく登場する新機能「いつでも冒険モード」で、これまで以上に『Pokémon GO』の冒険が快適になります！ この機能を使えば、アプリを起動していなくても、歩行距離を記録・計測し、相棒ポケモンのアメを獲得したり、タマゴをかえしたりできます！ \n \n[機能] \n『Pokémon GO』を起動していなくても、歩いた距離を記録します。 \n相棒のポケモンがアメを獲得した時や、タマゴがかえる時にプッシュ通知でお知らせします。 \n週間統計で成果の確認ができます。 \n \nこれからも元気よく、周囲に注意しながら『Pokémon GO』をお楽しみください！  	Partir à l’aventure avec Pokémon GO n’a jamais été aussi simple. Le mode Suivi d’exploration garde en mémoire vos distances de marche en arrière-plan même quand Pokémon GO est inactif ; il garde l'œil sur les distances parcourues, les Bonbons Copains gagnés et les Œufs éclos. \n  \nParticularités  \n- Suivi des kilomètres parcourus, même quand Pokémon GO est inactif.  \n- Envoie de notifications lorsque votre Copain Pokémon gagne un Bonbon ou qu’un Œuf s’apprête à éclore.  \n- Rapports hebdomadaires de vos progrès.  \n  \nAlors préparez-vous, et en route ! Soyez prudents, et bonne exploration.	¡Explorar con Pokémon GO nunca ha sido tan fácil como con la nueva función que pronto estará disponible! Sincroaventura es un modo con el que puedes hacer un seguimiento de la distancia que camines, aun cuando Pokémon GO esté inactivo y funcionando en segundo plano, para calcular tus distancias recorridas, ganar Caramelos por caminar con tu compañero y hacer eclosionar Huevos. \n \nDetalles: \n- Haz un seguimiento de los kilómetros que recorras, aun cuando Pokémon GO esté inactivo. \n- Las notificaciones de inserción te avisarán cuando tu compañero Pokémon haya obtenido un Caramelo o cuando un Huevo esté listo para eclosionar. \n- Revisa tu progreso en un resumen semanal. \n \n¡Mantente motivado y sal a explorar! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando! 	Mit einer neuen Funktion wird das Erkunden in Pokémon GO bald noch einfacher! Abenteuer-Sync ist ein Modus, mit dem du aufzeichnen kannst, wie weit du gegangen bist, selbst wenn Pokémon GO inaktiv ist. Sie zählt im Hintergrund deine Schritte, wodurch du weiterhin Bonbons für das Laufen mit deinem Kumpel verdienst und Eier ausbrütest!  \n  \nDetails  \n- Zähle deine Kilometer, selbst wenn Pokémon GO inaktiv ist.  \n- Erhalte Push-Mitteilungen, wenn dein Pokémon-Kumpel ein Bonbon verdient hat oder ein Ei im Begriff ist zu schlüpfen!  \n- Verfolge deine Fortschritte in einer wöchentlichen Zusammenfassung.  \n  \nLass dich von Pokémon GO motivieren! Allzeit sichere und schöne Entdeckungsreisen!	Esplorare il mondo con Pokémon GO non è mai stato così semplice grazie a una nuova funzionalità presto disponibile. La funzionalità Sincroavventura, infatti, porterà traccia di quanta distanza percorri anche quando il gioco è chiuso, continuando a funzionare in background per misurare i tuoi passi, farti guadagnare caramelle con il tuo compagno e schiudere Uova. \n \n- Dettagli - \nRegistra i chilometri percorsi anche quando la app è chiusa. \nLe notifiche Push ti avvertiranno quando il tuo compagno Pokémon ha trovato una caramella oppure quando un Uovo sta per schiudersi! \nConsulta il resoconto settimanale dei tuoi progressi. \n \nAllora, mica ti servirà un altro motivo? Pronti, partenza... GO! Ricorda di essere sempre prudente e buon divertimento!	곧 등장하는 새로운 기능 「언제나 모험 모드」로 지금까지 이상으로 “Pokémon GO”의 모험이 쾌적해집니다! 이 기능을 사용하면 앱을 실행하지 않아도 걸은 거리를 기록, 측정하여 파트너 포켓몬이 사탕을 얻거나 알을 부화할 수 있습니다! \n \n기능 \n- ““Pokémon GO”를 실행하지 않아도 걸은 거리를 기록합니다. \n- 파트너 포켓몬이 사탕을 발견하거나 알을 부화할 때 푸쉬 알림이 갑니다. \n- 주간 통계로 성과를 확인할 수 있습니다. \n \n앞으로도 건강하게 주변에 주의하면서 “Pokémon GO”를 플레이해주세요! 		Pokémon GO即將登場的新功能將讓遊戲變得更好玩！只要開啟「時時刻刻冒險模式」，就算沒有開啟遊戲，也可以累積步數孵蛋，或是讓夥伴寶可夢找到糖果！ \n \n新功能介紹 \n- 可在Pokémon GO閒置時記錄行走步數 \n- 可設定在夥伴寶可夢找到糖果時和蛋孵化時發送推播通知 \n- 可確認每週運動成果 \n \n一起出門冒險和運動吧！ 	Explorar o mundo do Pokémon GO ficará ainda mais fácil com este novo recurso que chegará em breve! O modo de Sincroaventura pode registrar as distâncias que você caminha enquanto o Pokémon GO estiver inativo, operando em segundo plano para calcular a distância percorrida, receber doces de companheiro e chocar Ovos! \n \nDetalhes \n- Registre os quilômetros percorridos, mesmo que o Pokémon GO esteja inativo. \n- As notificação por push o alertarão quando o seu Pokémon companheiro tiver recebido um doce ou quando um Ovo tiver chocado! \n- Confira um resumo do seu progresso semanal. \n \nHora de agitar com o Pokémon GO! Tome cuidado e divirta-se explorando o mundo! 
news_header_nov_cd1	November Community Day sizzles with Cyndaquil! 	11月の「Pokémon GO コミュニティ・デイ」を「ヒノアラシ」と一緒に楽しもう！ 	Héricendre embrase la Journée Communauté de novembre !	¡El Día de la Comunidad de noviembre está que arde con Cyndaquil!	Hitziger Community Day im November mit Feurigel! 	Il Community Day di novembre va in fiamme con Cyndaquil!	11월의 「Pokémon GO 커뮤니티 데이」는 「브케인」과 함께 즐기자!		十一月社群日的主角寶可夢是火球鼠！	O Dia Comunitário de novembro com Cyndaquil será incandescente!
