Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_psychicspectacular	Envision Powerful Pokémon during the Psychic Spectacular!	「エスパーウィーク」で、強力なエスパータイプのポケモンを捕まえよう！	De puissants Pokémon sont à prévoir lors de la Fantasmagorie Psy !	¡Visualiza poderosos Pokémon durante el Psicoespectáculo!	Wir prophezeien mächtige Pokémon während des Psycho-Spektakels!	Ma che cosa s’intravede nella sfera di cristallo? Potentissimi Pokémon in arrivo nell’evento Psicomania!	「에스퍼위크」로 강력한 에스퍼타입 포켓몬을 잡자!		強大的超能力屬性寶可夢將在「超能力週」登場！	O que você está vendo na bola de cristal? Pokémon poderosos chegando ao Espetáculo Psíquico!
news_subheader_psychicspectacular	Envision Powerful Pokémon during the Psychic Spectacular!	「エスパーウィーク」で、強力なエスパータイプのポケモンを捕まえよう！	De puissants Pokémon sont à prévoir lors de la Fantasmagorie Psy !	¡Visualiza poderosos Pokémon durante el Psicoespectáculo!	Wir prophezeien mächtige Pokémon während des Psycho-Spektakels!	Ma che cosa s’intravede nella sfera di cristallo? Potentissimi Pokémon in arrivo nell’evento Psicomania!	「에스퍼위크」로 강력한 에스퍼타입 포켓몬을 잡자!		強大的超能力屬性寶可夢將在「超能力週」登場！	O que você está vendo na bola de cristal? Pokémon poderosos chegando ao Espetáculo Psíquico!
news_main_text_psychicspectacular	We’ve had a vision of Psychic-type Pokémon in your future! On October 5 at 1:00 p.m. PDT, the Psychic Spectacular will begin. With Mewtwo in raids, Psychic-type Pokémon such as Abra, Ralts, and Baltoy will be appearing more frequently in the wild until October 14 at 1:00 p.m. PDT. Check out the details below: \n \nDate + Time \nOct. 5, 2018, at 1:00 p.m. PDT (GMT −7) to Oct. 14, 2018, at 1:00 p.m. PDT (GMT −7) \n \nFeatures \n• Psychic-type Pokémon will appear in the wild more frequently. \n• Additional Field Research focusing on Psychic-type Pokémon will be available. \n• Shiny Drowzee has a chance to appear! \n \nWe wish you good fortune while discovering powerful Psychic-type Pokémon. Stay safe, and happy exploring!	10月6日（土）早朝から10月15日（月）早朝の間、イベント「エスパーウィーク」を開催します！イベント期間中は強力なポケモンがレイドバトルに登場するほか、ケーシィやラルトス、ヤジロンといったエスパータイプのポケモンがフィールドにたくさん出現するようになります。伝説レイドバトルには、引き続きエスパータイプのミュウツーが登場します。詳しくは以下をご覧ください： \n \n[開催日時] \n• 2018年10月6日（土）早朝から2018年10月15日（月）早朝まで \n \n[イベント内容] \n• エスパータイプのポケモンがいつもより多く出現  \n• エスパータイプのポケモンを中心とした「フィールドリサーチ」の追加 \n• 色違いの「スリープ」に出会えるかもしれません！ \n \nぜひこの機会に強力なエスパータイプのポケモンを捕まえましょう。『Pokémon GO』を遊ぶ際は、周囲に注意しながらお楽しみください。	Nous avons eu une vision... l’avenir est rempli de Pokémon de type Psy ! La Fantasmagorie Psy va commencer le 5 octobre à 13h PDT (UTC -7). Avec Mewtwo dans les Raids, des Pokémon de type Psy, tels qu’Abra, Natu et Balbuto, feront des apparitions plus fréquentes jusqu’au 14 octobre à 13h PDT (UTC -7). Voici les détails : \n \nHoraire \n• Du 5 octobre 2018 à 13h PDT (UTC -7) au 14 octobre 2018 à 13h PDT (UTC -7) \n \nParticularités \n• Les Pokémon de type Psy feront des apparitions plus fréquentes. \n• Des Études de terrain supplémentaires ayant pour sujet les Pokémon de type Psy seront disponibles. \n• Des Soporifik chromatiques pourraient apparaitre ! \n \nQue la chance soit avec vous lors de vos rencontres avec les puissants Pokémon de type Psy. Soyez prudents, et bonne exploration.	¡Vemos Pokémon de tipo Psíquico en tu futuro! El 5 de octubre a la 1:00 p. m. PDT comenzará el Psicoespectáculo. Con Mewtwo en incursiones, Pokémon de tipo Psíquico como Abra, Ralts y Baltoy aparecerán con más frecuencia en su estado salvaje hasta el 14 de octubre a la 1:00 p. m. PDT. Echa un vistazo a los detalles a continuación:  \n  \nFecha y horas:  \n•Del 5 de octubre de 2018 a la 1:00 p. m. PDT (GMT −7) al 14 de octubre de 2018 a la 1:00 p. m. PDT (GMT −7)  \n  \nDetalles:  \n• Pokémon de tipo Psíquico aparecerán con más frecuencia en su estado salvaje.  \n• Estarán disponibles tareas de investigación de campo adicionales centradas en Pokémon de tipo Psíquico.  \n• ¡Puede aparecer un Drowzee variocolor!  \n  \n¡Que tengas buena suerte descubriendo poderosos Pokémon de tipo Psíquico! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Wir sagen eine Zukunft voller Psycho-Pokémon voraus! Am 5. Oktober um 22:00 Uhr MESZ (13:00 Uhr PDT) beginnt das Psycho-Spektakel. Neben Mewtu-Raids treten Psycho-Pokémon wie Abra, Trasla und Puppance bis zum 14. Oktober um 22:00 Uhr MESZ (13:00 Uhr PDT) mit vermehrter Häufigkeit auf. Hier sind die Infos: \n \nWann \n• 5. Oktober 2018 um 22:00 Uhr MESZ (13:00 Uhr PDT) bis 14. Oktober 2018 um 22:00 Uhr MESZ (13:00 Uhr PDT) \n \nDetails \n• Wilde Psycho-Pokémon erscheinen mit vermehrter Häufigkeit. \n• Zusätzliche Feldforschungsaufgaben sind verfügbar, die sich um Psycho-Pokémon drehen. \n• Trainer haben die Chance, einem Schillernden Traumato zu begegnen \n \nWir wünschen dir viel Glück beim Entdecken von mächtigen Psycho-Pokémon. Allzeit sichere und schöne Entdeckungsreisen!	Cosa serba il tuo futuro? Apparizioni da brivido di una caterva di Pokémon di tipo Psico! Il 5 ottobre alle 22:00 ora locale (13:00 PDT) l’evento Psicomania avrà inizio. Ti aspettano apparizioni di Mewtwo nei raid e incontri con Pokémon selvatici di tipo Psico come Abra, Ralts e Baltoy fino al 14 ottobre alle 22:00 ora locale (13:00 PDT). Ecco tutte le informazioni:  \n  \n- Orari - \n• Dal 5 ottobre alle 22:00 ora locale (13:00 PDT) al 14 ottobre 2018 alle 22:00 ora locale (13:00 PDT) \n  \n- Dettagli - \n• I Pokémon selvatici di tipo Psico appariranno più frequentemente. \n• Saranno disponibili missioni di ricerca sul campo aggiuntive dedicate ai Pokémon di tipo Psico. \n• Ci sarà la possibilità di incontrare un Drowzee cromatico! \n  \nBuona fortuna per la tua caccia ai potenti Pokémon di tipo Psico. Ricorda di essere sempre prudente e buon divertimento!	10월 6일(토) 새벽부터 10월 15일(월)까지 이벤트 「에스퍼위크」를 개최합니다! 이벤트 기간에는 강력한 포켓몬이 레이드배틀에 나오며 캐이시 또는 랄토스, 오뚝군과 같은 에스퍼타입의 포켓몬이 필드에 많이 출현합니다. 전설 레이드배틀에서는 계속해서 에스퍼타입의 뮤츠가 등장합니다. 자세한 내용은 아래를 확인해 주세요: \n \n[개최일시] \n• 2018년 10월 6일(토)새벽부터 2018년 10월 15일(월)새벽까지 \n \n[이벤트 내용] \n• 에스퍼타입 포켓몬이 평소보다 많이 출현 \n• 에스퍼타입 포켓몬을 중심으로한 「필드리서치」 추가 \n• 색이 다른 슬리프와 만날 수 있는 기회! \n \n이번 기회에 강력한 에스퍼타입 포켓몬을 잡아보세요. ”Pokémon GO”를 플레이할 때는 주변을 주의하면서 플레이해주세요.		台灣時間10月6日清晨起至10月15日清晨止，遊戲內將舉辦「超能力週」活動。活動期間內，超夢將持續降臨各地道館的團體戰，而凱西、拉魯拉絲及天秤偶等超能力屬性的寶可夢也將會在地圖上大量出現。 \n \n[活動時間] \n• 台灣時間10月6日清晨起至10月15日清晨止  \n \n[活動內容] \n• 超能力屬性寶可夢出現的機率將提高 \n• 新增以超能力屬性寶可夢為主題的田野調查課題 \n• 有機會捉到異色催眠貘！  \n \n希望你能在活動時間內捉到許多強大的超能力屬性寶可夢！ 玩遊戲時請注意周遭環境，小心安全。	Nós vimos o seu futuro e ele trará Pokémon de tipo Psíquico! O Espetáculo Psíquico começará no dia 5 de outubro às 13h (horário do Pacífico). Além dos Reides com Mewtwo, outros Pokémon selvagens de tipo Psíquico como Abra, Ralts e Baltoy aparecerão com mais frequência até o dia 14 de outubro às 13h (horário do Pacífico). Confira os detalhes sobre o evento abaixo: \n \nData e hora  \n• De 5 de outubro de 2018 às 13h horário do Pacífico (TMG −7) a 14 de outubro de 2018 às 13h horário do Pacífico (TMG −7). \n \nDetalhes \n• Pokémon selvagens de tipo Psíquico aparecerão com mais frequência. \n• Uma pesquisa de campo adicional protagonizada por Pokémon de tipo Psíquico estará disponível. \n• Drowzee Brilhante poderá aparecer! \n \nDesejamos bons agouros na sua busca por Pokémon poderosos de tipo Psíquico. Tome cuidado e divirta-se explorando o mundo!
news_header_tainansafarizone	Please Join Us for the Pokémon GO Safari Zone Event in Tainan, Taiwan!	台湾の台南市で開催される「Pokémon GO Safari Zone in Tainan」に参加しよう！							一起來參加在台南舉行的「Pokémon GO Safari Zone in Tainan」吧！	
news_subheader_tainansafarizone	Please Join Us for the Pokémon GO Safari Zone Event in Tainan, Taiwan!	台湾の台南市で開催される「Pokémon GO Safari Zone in Tainan」に参加しよう！							一起來參加在台南舉行的「Pokémon GO Safari Zone in Tainan」吧！	
news_main_text_tainansafarizone	A Pokémon GO Safari Zone event in Tainan, Taiwan, is taking place from Thursday, November 1, to Monday, November 5, at the Tainan Metropolitan Park and the Chimei Museum! Dubbed Taiwan’s oldest city, Tainan is famous for its long history and abundant culture. The city boasts many historic buildings, heritage sites, and temples, as well as various local festivals, culinary delicacies, and gourmet snacks. Plus, throughout the city of Tainan, Trainers will be able to find Pokémon not normally seen in Taiwan, such as the Water- and Rock-type Pokémon Relicanth, the Psychic-type Pokémon Unown, and more! And if you’re lucky, you might even encounter a Shiny Pinsir! \n \nThis is a free event to be enjoyed by all Trainers, so make plans early to ensure you obtain transportation and accommodations for the event. \n \nWe can’t wait to see you there!	現地時間11月1日（木）～11月5日（月）にかけて、台湾の台南市で「Pokémon GO Safari Zone in Tainan」が開催されます。「台湾最古の都市」と呼ばれる台南市は、長い歴史と多様な文化があることで名を知られ、歴史的建造物、遺跡、寺院、祭事、そして美味しい料理やスイーツなど、たくさんの魅力に溢れています。このイベントのメイン会場は台南都会公園と奇美博物館になります。台南市のいたるところで、台湾では普段は遭遇できない「ジーランス」や「アンノーン」といったポケモンに出会えるでしょう！  \n \n今回のイベントは、どなたでも無料でお楽しみいただけるイベントです。 \n 台南で皆さんにお会いできるのを楽しみにしています！ \n \n※当日の天候​条件や諸​事情により​、​イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。							「Pokémon GO Safari Zone in Tainan」將於台灣時間11月1日至11月5日在台南市登場。歡迎各位訓練家一起來古都台南參加活動，感受古蹟、寺廟、傳統慶典和在地料理所構成的人文魅力！活動的主會場設於台南都會公園與奇美博物館廣場，同時在台南市全區都有機會出現平常在台灣遇不到的「古空棘魚」和「未知圖騰」等寶可夢喔！ \n \n本次活動完全免費，歡迎所有訓練家一起來共襄盛舉。 \n \n我們台南見囉！ \n \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	
news_header_octcd	October Community Day Is Magnetic with Beldum!	10月のコミュニティ・デイを「ダンバル」と一緒に楽しもう！	Avec Terhal, la Journée Communauté d’octobre est magnétique !	¡El Día de la Comunidad de octubre será magnético con Beldum!	Ein magnetischer Community Day im Oktober mit Tanhel!	Un Community Day inossidabile con Beldum è in arrivo a ottobre!	10월의 커뮤니티 데이는 「메탕」과 함께하자!		和「鐵啞鈴」一起歡度10月社群日！	O Dia Comunitário de outubro com Beldum será magnético!
news_subheader_octcd	October Community Day Is Magnetic with Beldum!	10月のコミュニティ・デイを「ダンバル」と一緒に楽しもう！	Avec Terhal, la Journée Communauté d’octobre est magnétique !	¡El Día de la Comunidad de octubre será magnético con Beldum!	Ein magnetischer Community Day im Oktober mit Tanhel!	Un Community Day inossidabile con Beldum è in arrivo a ottobre!	10월의 커뮤니티 데이는 「메탕」과 함께하자!		和「鐵啞鈴」一起歡度10月社群日！	O Dia Comunitário de outubro com Beldum será magnético!
news_main_text_octcd	Mark your calendars for October Community Day, featuring the Steel- and Psychic-type Pokémon Beldum, on Sunday, October 21! Check out the details below: \n \nDate + Time \n- October 21, 2018 \n- Asia-Pacific: 12:00 p.m. to 3:00 p.m. JST (GMT +9) \n- Europe, the Middle East, Africa, and India: 9:00 a.m. to 12:00 p.m. UTC (GMT +0) \n- The Americas and Greenland: 11:00 a.m. to 2:00 p.m. PDT (GMT −7) \n \nFeatures \n- Beldum will appear more frequently in the wild \n- Lures last three hours for the duration of the event \n- Evolve Metang up to one hour after the event to obtain Metagross that know a special move \nBonuses \n- Eggs hatch 4× faster for the duration of the event	10月のコミュニティ・デイは日本時間10月21日(日）お昼の12時から15時に開催します。今回は、はがね・エスパータイプのポケモン「ダンバル」にいつもより多く出会えるようです！ \n \n[イベント内容] \n 「ダンバル」がいつもより多く出現します \n  \n イベント期間中はルアーモジュールの効果が3時間持続します \n  \n イベント期間終了1時間後までに、「メタング」を「メタグロス」に進化させると、特別なわざを覚えます \n \n[ボーナス] \n イベント期間中はタマゴが4倍早くかえります  \n \nトレーナーの皆さんにお会いできるのを楽しみにしています！ 遊ぶ際は周囲に注意しながらお楽しみください！ \n \n※当日の天候​条件や諸​事情により​、​イベントの時間・場所・内容が変更になる場合がございます。予めご了承ください。	Notez dès maintenant la date de la prochaine Journée Communauté, qui se déroulera le dimanche 21 octobre et mettra en vedette Terhal, le Pokémon de type Acier et Psy. Voici les détails : \n \nHoraire \n- le 21 octobre 2018 \n- Asie-Pacifique : de 12h à 15h JST (UTC +9) \n- Europe, Moyen-Orient, Afrique et Inde : de 9h à 12h (UTC) \n- Continent américain et Groenland : de 11h à 14h PDT (UTC −7) \n \nParticularités \n- Terhal fera des apparitions plus fréquentes. \n- Les Modules Leurre resteront actifs pendant trois heures durant l’évènement. \n- Faites évoluer Métang jusqu’à une heure après l’évènement pour obtenir un Métalosse connaissant une attaque spéciale. \nBonus \n- Les Œufs écloront 4 fois plus vite durant l’évènement	¡Anota en tu calendario el domingo 21 de octubre como el Día de la Comunidad de octubre, con el Pokémon de tipo Acero y Psíquico Beldum! Echa un vistazo a los detalles a continuación:  \n  \nFecha y horas:  \n- 21 de octubre de 2018  \n- Asia Pacífico: De 12:00 p. m. a 3:00 p. m. JST (GMT +9)  \n- Europa, Oriente Medio, África e India: De 9:00 a. m. a 12:00 p. m. UTC (GMT +0)  \n- América y Groenlandia: De 11:00 a. m. a 2:00 p. m. PDT (GMT -7)  \n  \nDetalles:  \n- Beldum aparecerá en su estado salvaje con más frecuencia  \n- Los Módulos Cebo durarán tres horas durante el evento  \n- Haz que evolucione Metang hasta una hora después del evento para obtener a Metagross que conoce un movimiento especial  \nBonus:  \n- Haz eclosionar Huevos 4 veces más rápido de lo normal durante el transcurso del evento	Markiere Sonntag, den 21. Oktober in deinem Kalender, denn dann findet der Community Day mit dem Stahl- und Psycho-Pokémon Tanhel statt! Hier sind die Infos:  \n  \nWann  \n-21. Oktober 2018   \n- Asien-Pazifik: 12:00 bis 15:00 Uhr JST (GMT +9)  \n- Europa, Mittlerer Osten, Afrika und Indien: 9:00 bis 12:00 Uhr UTC (GMT +0)   \n-Amerika und Grönland: 11:00 bis 14:00 Uhr PDT (GMT −7)  \n  \nDetails  \n- Wilde Tanhel erscheinen mit vermehrter Häufigkeit.  \n- Lockmodule halten während des Events drei Stunden lang an.  \n- Entwickle Metang während des Events, um Metagross zu erhalten, die eine besondere Attacke beherrschen.  \nBonusse  \n Während des Events schlüpfen Eier viermal schneller.	Non dimenticare di aggiungere il Community Day del 21 ottobre al tuo calendario perché ti aspetta il Pokémon di tipo Acciaio e Psico Beldum! Ecco tutte le informazioni:  \n  \n- Orari -  \n21 ottobre 2018  \nAsia Pacifica: dalle 12:00 alle 15:00 JST (GMT +9)  \nEuropa, Medio Oriente, Africa e India: dalle 9:00 alle 12:00 UTC (GMT +0)  \nAmerica e Groenlandia: dalle 11:00 alle 14:00 PDT (GMT -7)  \n  \n- Dettagli -  \nBeldum apparirà più frequentemente allo stato selvatico.  \nI moduli esca dureranno tre ore nel corso dell’evento.  \nSe farai evolvere Metang fino a un’ora dopo la fine dell’evento otterrai un Metagross che conosce una mossa particolare.  \n- Bonus -  \nLe Uova si schiuderanno quattro volte più velocemente nel corso dell’evento.	10월의 커뮤니티 데이는 한국시간 10월 21일(일) 낮 12시부터 15시에 개최합니다. 이번에는 강철 에스퍼타입의 포켓몬 「메탕」을 평소보다 많이 만날 수 있습니다! \n \n이벤트 내용 \n- 「메탕」이 평소보다 많이 출현합니다 \n- 이벤트 기간에는 루어모듈의 효과가 3시간 유지됩니다 \n- 이벤트 종료 1시간 후까지 「메탕구」를 「메타그로스」로 진화시키면 특별한 기술을 배웁니다 \n \n보너스 \n- 이벤트 기간에는 알이 4배 빨리 부화합니다 \n \n트레이너 여러분과 만날 수 있길 기대하고 있습니다. 플레이할 때는 주변을 주의하면서 플레이해주세요! \n \n※당일 날씨 등의 사정에 따라 이벤트 시간, 장소, 내용이 변경될 수 있습니다. 미리 양해 부탁드립니다.		10月的Pokémon GO社群日將於台灣時間10月21日11:00～14:00登場！同時擁有鋼屬性與超能力屬性的寶可夢「鐵啞鈴」將於活動時間內大量出現！ \n \n活動內容 \n- 野生的鐵啞鈴將會大量出現 \n- 活動期間內誘餌模組的效果將持續3小時 \n- 只要在活動結束後1小時的最終期限前讓金屬怪進化成巨金怪，牠就能學會特別的招式 \n \n特別獎勵 \n- 活動期間內蛋孵化的速度為平常的4倍  \n \n我們非常期待能在社群日見到各位訓練家！玩遊戲時請注意周遭環境，小心自身安全。 \n \n※活動時間、地點及活動內容等有可能因為當天之天候及其他因素而有所變更。敬請見諒。	Não deixe de marcar o Dia Comunitário de outubro na sua agenda para o domingo, dia 21 de outubro. Este evento trará o Pokémon de tipo Aço e Psíquico Beldum! Confira os detalhes sobre o evento abaixo: \n \nData e hora \n- 21 de outubro de 2018 \n- Ásia-Pacífico: das 12h às 15h Horário Padrão do Japão (TMG +9) \n- Europa, Oriente Médio, África e Índia: das 9h às 12h Tempo Universal Coordenado (TMG +0) \n- Américas e Groenlândia: das 11h às 14h Horário do Pacífico (TMG −7) \n \nDetalhes \n- Beldum selvagens aparecerão com mais frequência. \n- Os Módulos Atrair durarão três horas durante os horários do evento. \n- Ao evoluir Metang até uma hora após o evento, você obterá Metagross que saberá um movimento especial. \nBônus \n- Os Ovos chocarão 4 vezes mais rápido durante os horários do evento.
news_header_152announcement	Trainers from all over the world have reported sightings of a mysterious Pokémon!	世界各地で謎のポケモンの目撃例が相次いでいます！	Des Dresseurs du monde entier ont signalé avoir vu un mystérieux Pokémon.	¡Entrenadores de todo el mundo han informado sobre avistamientos de un misterioso Pokémon!	Trainer aus aller Welt berichten von Begegnungen mit einem geheimnisvollen Pokémon!	Gli Allenatori di tutto il mondo stanno segnalando avvistamenti di un Pokémon mai visto prima!	전 세계 각지에서 수수께끼의 포켓몬의 목격 사례가 계속되고 있습니다!		世界各地相繼傳來謎樣寶可夢的目擊情報！	Treinadores de todo o mundo afirmam ter avistado um Pokémon misterioso!
