Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_septcd	Community Day Blooms in September with Chikorita! 	9月の「Pokémon GO コミュニティ・デイ」では、チコリータが大量発生!!	En septembre, la Journée Communauté est en fleur avec Germignon !	¡El Día de la Comunidad florece en septiembre con Chikorita!	Ein blühender Community Day im September mit Endivie!	A settembre il Community Day fiorisce con Chikorita!	9월의 「Pokémon GO 커뮤니티 데이」에서는 치코리타가 대량발생!! 		九月社群日的主角寶可夢是菊草葉！	O Dia Comunitário de setembro florescerá com Chikorita!
news_subheader_septcd	Community Day Blooms in September with Chikorita! 	9月の「Pokémon GO コミュニティ・デイ」では、チコリータが大量発生!!	En septembre, la Journée Communauté est en fleur avec Germignon !	¡El Día de la Comunidad florece en septiembre con Chikorita!	Ein blühender Community Day im September mit Endivie!	A settembre il Community Day fiorisce con Chikorita!	9월의 「Pokémon GO 커뮤니티 데이」에서는 치코리타가 대량발생!! 		九月社群日的主角寶可夢是菊草葉！	O Dia Comunitário de setembro florescerá com Chikorita!
news_main_text_septcd	Mark your calendars for September Community Day, featuring the Grass-type Pokémon Chikorita, on Saturday, September 22! Check out the details below: \n \n[Date + Time] \n Asia-Pacific: 12:00 P.M. to 3:00 P.M. JST (GMT +9)  \n Europe, the Middle East, Africa, and India: 9:00 A.M. to 12:00 P.M. UTC (GMT +1)  \n The Americas and Greenland: 11:00 A.M. to 2:00 P.M. PDT (GMT −7) \n \n[Features] \n Chikorita to appear more frequently in the wild \n Evolve Bayleef during the event to obtain Meganium that know a special move. \n \n[Bonuses] \n 3× Catch XP  \n \nWe can’t wait to see you out there, Trainers! Stay safe, and happy exploring! 	9月のコミュニティ・デイは日本時間9月22日（土）お昼の12時から15時に開催します。当日はチコリータにいつもより多く出会えるようです！詳しくは下記をご確認ください。 \n \n[イベント内容] \nチコリータがいつもより多く現われます \nイベント期間中に、ベイリーフをメガニウムに進化させると、特別なわざを覚えます！ \n \n[ボーナス] \nポケモンをつかまえた時にもらえるXPが3倍  \n \nトレーナーの皆さんにお会いできるのを楽しみにしています！ 遊ぶ際は周囲に注意しながらお楽しみください！  	Notez dès maintenant la date de la prochaine Journée Communauté qui se déroulera le samedi 22 septembre et mettra en vedette le Pokémon de type Plante Germignon. Voici les détails : \n \n[Date et heure] \n Asie-Pacifique : de 12h à 15h (JST) (GMT +9)  \n Europe, Moyen-Orient, Afrique et Inde : de 9h à 12h (UTC) (GMT +1)  \n Continent américain et Groenland : de 11h à 14h (PDT) (GMT -7) \n \n[Particularités] \n Germignon fera des apparitions plus fréquentes \n Faites évoluer Macronium durant l’évènement pour obtenir un Méganium connaissant une attaque spéciale. \n \n[Bonus] \n 3 fois plus de PX pour chaque capture  \n \nNous vous souhaitons une excellente Journée Communauté, Dresseur ! Soyez prudent, et bonne exploration.	¡Anota en tu calendario el sábado 22 de septiembre como el Día de la Comunidad de septiembre, con el Pokémon de tipo Planta Chikorita como protagonista! Echa un vistazo a los detalles a continuación: \n \n[Horas] \n Asia Pacífico: De 12:00 p. m. a 3:00 p. m. JST (GMT +9)  \n Europa, Oriente Medio, África e India: De 9:00 a. m. a 12:00 p. m. UTC (GMT +1) \n América y Groenlandia: De 11:00 a. m. a 2:00 p. m. PDT (GMT -7) \n \n[Detalles] \n Chikorita aparecerá en estado salvaje con más frecuencia. \n Haz evolucionar a Bayleef durante el evento para hacerte con un Meganium que conoce un movimiento especial. \n \n[Bonus] \n Triple de PX por captura. \n \n¡Esperamos verte por allí! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando! 	 Markiere deinen Kalender für den Community Day am Samstag, den 22. September mit dem Pflanzen-Pokémon Endivie! Hier sind die Infos: \n \n[Wann] \n Asien-Pazifik: 12:00 Uhr bis 15:00 Uhr JST (GMT +9) \n Europa, Mittlerer Osten und Afrika: 09:00 Uhr bis 12:00 Uhr UTC (GMT +1) \n Amerika und Grönland: 11:00 Uhr bis 14:00 Uhr PST (UTC -7) \n \n[Details] \n Wilde Endivie erscheinen mit vermehrter Häufigkeit. \n Entwickle während des Events Lorblatt, um Meganie zu erhalten, das eine besondere Attacke beherrscht. \n \n[Bonusse] \n Dreifache Menge Fang-EP \n \nWir können es kaum erwarten, dich da draußen zu sehen, Trainer! Allzeit sichere und schöne Entdeckungsreisen!	Non dimenticare di aggiungere il Community Day del 22 settembre al tuo calendario perché ti aspetta il Pokémon di tipo Erba Chikorita! Ecco tutte le informazioni: \n \n- Orari - \n Asia Pacifica: dalle 12:00 alle 15:00 JST (GMT +9)  \n Europa, Medio Oriente, Africa e India: dalle 9:00 alle 12:00 UTC (GMT +1)  \n America e Groenlandia: dalle 11:00 alle 14:00 PDT (GMT -7) \n \n- Dettagli - \n Chikorita apparirà più frequentemente allo stato selvatico \n Se farai evolvere Bayleef durante l’evento otterrai un Meganium che conosce una mossa particolare. \n \n- Bonus - \n Triplo dei PE per le catture  \n \nGambe in spalla, ci vediamo in giro! Ricorda di essere sempre prudente e buon divertimento!	9월의 커뮤니티 데이는 한국 시간 9월 22일(토) 낮 12시부터 15시에 개최합니다. 당일에는 치코리타를 평소보다 많이 만날 수 있습니다! 자세한 내용은 아래를 확인해 주세요. \n \n[이벤트 내용] \n치코리타가 평소보다 많이 출현합니다. \n이벤트 기간 중에 베이리프를 메가니움으로 진화시키면 특별한 기술을 배울 수 있습니다! \n \n[보너스] \n포켓몬을 잡았을 때 받을 수 있는 XP가 3배! \n \n트레이너 여러분과 만날 수 있길 기대하고 있습니다. 플레이할 때는 주변을 주의 하면서 플레이해주세요! 		九月的Pokémon GO社群日將於台灣時間9月22日11:00～14:00登場！主角寶可夢菊草葉將於活動時間內大量出現！ \n \n[活動內容] \n野生的菊草葉將會大量出現 \n只要在社群日活動時間內讓月桂葉進化成大竺葵，牠就能學會社群日限定的特別招式 \n \n[特別獎勵] \n捕捉寶可夢時的XP為平常的三倍  \n \n我們非常期待能在社群日見到各位訓練家！玩遊戲時請注意周遭環境，小心自身安全。 	Não deixe de marcar o Dia Comunitário de setembro na sua agenda para o sábado, dia 22 de setembro. Este evento trará o Pokémon de tipo Planta Chikorita! Confira os detalhes sobre o evento abaixo: \n \n[Horas] \n Ásia-Pacífico: 12h - 15h Horário Padrão do Japão (TMG +9)  \n Europa, Oriente Médio, África e Índia: 9h - 12h Tempo Universal Coordenado (TMG +1)  \n Américas e Groenlândia: 11h - 14h PDT Horário do Pacífico (TMG −7) \n \n[Detalhes] \n Chikorita selvagens aparecerão com mais frequência. \n Ao evoluir Bayleef durante o evento, você obterá Meganium que saberá um movimento especial. \n \n[Bônus] \n O triplo de PE de captura.  \n \nMal podemos esperar para ver você lá! Tome cuidado e divirta-se explorando o mundo! 
news_header_trading_bonus	Earn More Bonuses during This Special Trading Event!	「ポケモン交換」特別ボーナス！ 期間中にポケモンをたくさん交換しよう！	Remportez davantage de bonus lors de cet évènement spécial rempli d’échanges !	¡Obtén más bonus durante este evento especial de intercambio!	Erhalte mehr Bonusse während dieses besonderen Tausch-Events!	Ottieni ancora più bonus con un evento speciale dedicato agli scambi!	「포켓몬 교환」 특별한 보너스! 기간에 포켓몬을 많이 교환하자! 		交換寶可夢將有特別獎勵！快趁現在多多交換寶可夢吧	Ganhe mais bônus durante o evento especial de troca!
news_subheader_trading_bonus	Earn More Bonuses during This Special Trading Event!	「ポケモン交換」特別ボーナス！ 期間中にポケモンをたくさん交換しよう！	Remportez davantage de bonus lors de cet évènement spécial rempli d’échanges !	¡Obtén más bonus durante este evento especial de intercambio!	Erhalte mehr Bonusse während dieses besonderen Tausch-Events!	Ottieni ancora più bonus con un evento speciale dedicato agli scambi!	「포켓몬 교환」 특별한 보너스! 기간에 포켓몬을 많이 교환하자! 		交換寶可夢將有特別獎勵！快趁現在多多交換寶可夢吧	Ganhe mais bônus durante o evento especial de troca!
news_main_text_trading_bonus	Whether you’re seeking a new Pokédex entry or awaiting the arrival of a Lucky Pokémon, you’ll get a chance to enjoy special bonuses starting August 2 at 1:00 P.M. PDT. All trades—including Special Trades—will cost 25% less Stardust to complete! This lasts until August 19 at 9:00 P.M. PDT and applies to all friends, even brand-new ones. \n \nYou can earn more Candy during every trade, netting up to six Candies total! Plus, keep an eye out when you encounter a Pokémon not currently in your Pokédex, as you’ll receive triple XP when you gain a new entry. \n \nSo, grab your friends and make some memorable trades. Stay safe, and happy exploring! 	ポケモン図鑑に新しいポケモンを登録したい方や、「キラポケモン」を心待ちにしている方に、嬉しいおしらせです。8月3日（金）朝6時ごろ から8月20日（月）13時ごろまでの間、「ポケモン交換」に関する特別なボーナスをご用意しています！ この期間は、「特別なポケモンの交換」を含む全ての「ポケモン交換」に必要なほしのすなが、なんといつもの3/4の量になります。フレンドになったばかりのトレーナーとも交換できます！ \n \nさらに、全ての「ポケモン交換」でもらえるポケモンのアメの数も、最大で6個までに増えます。 そしてなんと、ポケモン図鑑に登録されていない野生のポケモンを捕まえると、もらえるXPが、通常の3倍に！ \n \n「ポケモン交換」をみんなで楽しみましょう。遊ぶ際は周囲に注意しながらお楽しみください！	Que vous cherchiez à compléter votre Pokédex ou à obtenir un Pokémon Chanceux, vous allez bénéficier de bonus spéciaux à partir du 2 août à 13h PDT (UTC -7). Le coût en Poussière Étoile des échanges, et des Échanges spéciaux, sera réduit de 25 % ! Cette réduction durera jusqu’au 19 août à 21h PDT (UTC -7), et s’appliquera à tous les amis, même les plus récents. \n \nVous pourrez recevoir davantage de Bonbons pour chaque échange, jusqu’à six Bonbons par Pokémon ! Et gardez un œil ouvert pour les Pokémon qui ne font pas partie de votre Pokédex ; vous recevrez le triple des PX lorsque vous ajouterez de nouvelles données. \n \nRejoignez vite vos amis pour effectuer des échanges mémorables. Soyez prudent, et bonne exploration. 	Si estás buscando registrar una nueva entrada en la Pokédex o esperas la llegada de un Pokémon con suerte, tendrás la oportunidad de disfrutar de bonus especiales a partir del 2 de agosto a la 1:00 p. m. PDT (UTC -7). Todos los intercambios, incluidos los intercambios especiales, costarán 25 % menos de Polvos Estelares para completarse. Este evento está disponible hasta el 19 de agosto a las 9:00 p. m. PDT (UTC -7) y lo podrán disfrutar todos los amigos, incluso los más nuevos. \n \nPuedes conseguir más Caramelos en cada intercambio, ¡hasta seis Caramelos por el Pokémon! Además, estate pendiente cuando te encuentres con un Pokémon que no tengas en tu Pokédex, ya que recibirás el triple de PX cuando registres una nueva entrada. \n \n¡Así que reúnete con tus amigos y realiza unos intercambios memorables! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando! 	Egal, ob du auf der Jagd nach einem neuen Pokédex-Eintrag oder einem Glücks-Pokémon bist, ab dem 2. August um 22:00 Uhr MESZ (13:00 Uhr PDT) hast du die Chance auf besondere Bonusse. Jeder Tausch – auch Spezial-Tausch – kostet 25 % weniger Sternenstaub! Das Ganze hält bis zum 20. August um 6:00 Uhr MESZ (19. August, 21:00 Uhr PDT) an und gilt für das Tauschen mit all deinen Freunden, sogar brandneuen! \n \nFür jeden Tausch kannst du mehr Bonbons erhalten – in manchen Fällen bringt das erhaltene Pokémon bis zu sechs Bonbons ein! Achte vor allem bei Begegnungen mit Pokémon darauf, ob sie schon in deinem Pokédex sind, denn für jeden neuen Eintrag erhältst du die dreifache Menge EP. \n \nAlso schnapp dir deine Freunde und tausche drauf los. Allzeit sichere und schöne Entdeckungsreisen! 	Stai cercando di riempire una casella del tuo Pokédex oppure aspetti l’arrivo di un Pokémon fortunato? Niente paura, ci sono bonus speciali in arrivo a partire dalle 22:00 (ora locale) del 2 agosto. Infatti, tutti gli scambi, inclusi quelli speciali, costeranno il 25% in meno in termini di polvere di stelle! Questo particolare bonus durerà fino alle 6:00 (ora locale) del 20 agosto e varrà con tutti gli amici, inclusi quelli nuovi.  \n  \nInoltre, ogni scambio ti permetterà di ottenere più caramelle, precisamente fino a sei per ogni Pokémon! E non è finita qui: quando incontrerai un Pokémon non ancora presente nel tuo Pokédex, la sua registrazione ti regalerà il triplo dei soliti PE!  \n  \nChe aspetti? Organizzati subito con i tuoi amici per fare degli scambi davvero memorabili. Ricorda di essere sempre prudente e buon divertimento!	포켓몬 도감에 새로운 포켓몬을 등록한 분, 또는 「반짝반짝 포켓몬」을 기대하고 있는 분들에게 희소식입니다. 8월 3일(금) 오전 6시경부터 8월 20일(월) 13시경까지 「포켓몬 교환」에 관한 특별한 보너스를 준비했습니다! 이 기간에는 「특별한 포켓몬 교환」을 포함한 모든 「포켓몬 교환」에 필요한 별의모래가 놀랍게도 평소의 3/4의 양이 됩니다. 이제 막 프렌드가 된 트레이너와도 교환할 수 있습니다! \n \n모든 「포켓몬 교환」에서 받을 수 있는 포켓몬의 사탕 수도 최대 6개까지 늘어납니다. 그리고 포켓몬 도감에 등록되지 않은 야생 포켓몬을 잡으면 얻을 수 있는 XP는 평소의 3배가 됩니다! \n \n「포켓몬 교환」을 모두와 함께 즐겨보세요. 플레이할 때는 주변에 주의하면서 플레이해주십시오! 		不論你是想要在寶可夢圖鑑上登錄新寶可夢的訓練家，還是想要交換到亮晶晶寶可夢的訓練家，我們有個天大的好消息要告訴你！自台灣時間8月3日清晨起至8月20日中午止，遊戲裡將出現許多和寶可夢交換有關的獎勵！在這段時間裡，不論你是和新朋友還是正港好朋友交換寶可夢，所有的寶可夢交換（包含特殊交換）所需的星星沙子數量將比平常少25%！ \n \n此外，活動期間內，交換寶可夢時最多可獲得6顆糖果。而且如果你能在這段期間內捉到還沒登錄到圖鑑上的寶可夢，可獲得的XP將會是平常的3倍喔！ 	Quer esteja procurando por um Pokémon novo para incluir no seu Pokédex, quer esperando pela chegada de um Pokémon sortudo, você terá a chance de aproveitar bônus especiais a partir do dia 2 de agosto às 13h (horário do Pacífico). Todas as trocas, inclusive as trocas especiais, custarão 25% a menos de Poeira Estelar até o dia 19 de agosto às 21h (horário do Pacífico) e isto se aplicará a todas as suas amizades, até as que você acabou de fazer. \n \nVocê poderá receber mais Doces por cada troca e arrecadar até seis doces pelos Pokémon! Além disso, fique ligado quando encontrar um Pokémon que ainda não esteja no seu Pokédex, porque você receberá o triplo de PE ao registrá-lo. \n \nChame seus amigos para fazer trocas inesquecíveis. Tome cuidado e divirta-se explorando o mundo! 
news_header_JA_CD_Manner		「Pokémon GO コミュニティ・デイ」をお楽しみいただくためにお願いしたいこと								
news_subheader_JA_CD_Manner		「Pokémon GO コミュニティ・デイ」をお楽しみいただくためにお願いしたいこと								
news_main_text_JA_CD_Manner		Pokémon GO は世界中の人々が外に出て、交流を深める機会を提供したい、そんな思いで開発されています。そして、Pokémon GO を通して各地域のトレーナーの皆さんが定期的に集まって楽しむことができるように、今年1月から毎月1回「Pokémon GO コミュニティ・デイ」の開催をはじめました。今月で既に7回目を迎え、世界中のトレーナーの皆さんに楽しんでいただけているようで、チーム一同大変うれしく思っています。 \n \n一方で回を重ねるにつれ、公園やその他の施設を管理されている方々から、『Pokémon GO』のプレイマナーについてのご相談をいただくことが増えています。ポケモンたちを探して現実世界を冒険することはとてもワクワクすることです。ただ、ポケモン探しに熱中しすぎるあまりつい周囲への配慮を欠き、周りの方々に不快な思いをさせてしまっていることがあるかもしれません。 \n \nこれからも「Pokémon GO コミュニティ・デイ」を皆さんにお楽しみいただけるよう、公共の場所でプレイされる場合は下記にお気をつけいただきますよう、お願いいたします。 \n \n・施設によっては駐車場が小さいところもあります。施設を利用する他の方に迷惑にならないよう、なるべく公共交通機関をお使いいただき、迷惑駐車は避けましょう。 \n・複数人のトレーナーたちと集まってプレイする際には、周囲の邪魔にならないように気を付けましょう。 \n・飲食物や煙草の吸殻など、ゴミは必ず持ち帰りましょう。 \n・周囲の環境に気を配り、訪れた場所の運営者の方に迷惑がかかることのないようにしましょう。また、せっかく訪れた素敵な場所を楽しみましょう。 \n・歴史的建造物や神社、仏閣等、その場所の設立の主旨を理解し、敬意を払いましょう。 \n・訪れた場所で開催されている Pokémon GO 以外のイベントや、その参加者の皆さんへ配慮をしましょう。 \n \n引き続き「Pokémon GO コミニュティ・デイ」をお楽しみいただくために、ご理解とご協力をよろしくお願いします。 \n \n–Pokémon GO 開発チーム一同より 								
news_header_augustresearchupdate	New August Research Tasks Feature the Electric-type Legendary Pokémon Raikou!	8月の新たな「リサーチタスク」にでんきタイプの伝説ポケモン「ライコウ」が登場！	Les nouvelles tâches d’Études d’août se focalisent sur Raikou, le Pokémon légendaire de type Électrik !	¡Nuevas tareas de investigación en agosto con el Pokémon legendario de tipo Eléctrico Raikou!	Neue Forschungsaufgaben im August mit dem Legendären Pokémon Raikou vom Typ Elektro!	Le nuove missioni di ricerca di agosto hanno come protagonista il Pokémon leggendario di tipo Elettro Raikou!	8월의 새로운 리서치 과제에 전기타입 전설의 포켓몬 「라이코」가 등장! 		八月田野調查課題的主角是電屬性的傳說的寶可夢「雷公」！	Novas tarefas de pesquisa em agosto com o Pokémon Lendário de tipo Elétrico Raikou!
