Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_yokosuka	Please join the Pokémon GO Safari Zone event in Yokosuka, Japan!	横須賀で開催される「Pokémon GO Safari Zone in YOKOSUKA」に参加しよう！					요코스카에서 개최되는 「Pokémon GO Safari Zone in YOKOSUKA」에 참가하자!		一起去參加日本橫須賀市的「Pokémon GO Safari Zone in YOKOSUKA」吧！	
news_subheader_yokosuka	Please join the Pokémon GO Safari Zone event in Yokosuka, Japan!	横須賀で開催される「Pokémon GO Safari Zone in YOKOSUKA」に参加しよう！					요코스카에서 개최되는 「Pokémon GO Safari Zone in YOKOSUKA」에 참가하자!		一起去參加日本橫須賀市的「Pokémon GO Safari Zone in YOKOSUKA」吧！	
news_main_text_yokosuka	Pokémon GO Summer Tour 2018 will end with our finale event, the Yokosuka Pokémon GO Safari Zone event, which begins Wednesday, August 29, and ends Sunday, September 2 (JST), in Yokosuka City, Kanagawa Prefecture, Japan. \n \nYokosuka is a city known for its American vibe and majestic nature. Three city parks (Mikasa, Verny, and Kurihama) will be participating in this special event. Trainers will be able to find rare Pokémon like Unown that are not normally seen in Japan as well as special Pokémon like the Grass- and Flying-type Pokémon Tropius! Please note that no special raids will take place at the event. \n \nTrainers wanting to attend this free event need to apply through Yokosuka City’s special website (<a href="http://www.yokosuka-go.jp/">http://www.yokosuka-go.jp/</a>). Applications open Friday, July 6, at 10 a.m. JST and close Friday, July 20, at 10 a.m. JST. If applications exceed the capacity of the event, a lottery will be held to select the attendees. Tickets with a 2D barcode will be sent out to the Trainers whose names are drawn. Please note that Trainers will not be able to find special Pokémon in Yokosuka without these tickets. \n \nThe Yokosuka Pokémon GO Safari Zone event will be held over the course of five days, but gameplay is designed to be a single-day experience. In order to give as many Trainers as possible the chance to take part, participation is limited to the day listed on each ticket. For example, if a Trainer uses their ticket on one day and comes back on another day with a different ticket, they will not be able to find special Pokémon on the second day. \n \nIn celebration of the Yokosuka Pokémon GO Safari Zone event, Wingull will appear more frequently worldwide. Additionally, Pokémon such as Feebas and Torchic will be found more often in all regions of Japan. Professor Willow’s Global Challenge will also take place on September 1 and 2, allowing Trainers all over the world to participate in this special event. \n \nDetails here: <a href="https://pokemongolive.com/post/safarizoneyokosuka">https://pokemongolive.com/post/safarizoneyokosuka</a> 	「Pokémon GO サマーツアー 2018」の最後を飾るのは、神奈川県横須賀市で日本時間8月29日（水）から9月2日（日）に開催される「Pokémon GO Safari Zone in YOKOSUKA」です！ \n \nアメリカンな雰囲気と豊かな自然が楽しめる横須賀市の3つの会場、「三笠公園」「ヴェルニー公園」「くりはま花の国」では、「アンノーン」や日本では姿を見ることができない、くさ・ひこうタイプのポケモン「トロピウス」など、ふだんはなかなか出会えない特別なポケモンたちがゲーム内に出現します。※特別なレイドバトルはありません。 \n \n参加は無料ですが、事前応募抽選制となります。応募期間は7月6日（金）午前10時～7月20日（金）午前10時まで。横須賀市専用特設サイト（<a href="http://www.yokosuka-go.jp/">http://www.yokosuka-go.jp/</a>）より、ぜひお友達やご家族とご一緒にご応募ください。応募多数の場合は抽選となります。当選された方には二次元バーコードがついた「参加券」をお送りします。会場にて、その二次元バーコードを読み取ることで、イベントに参加できます。「参加券」をお持ちでないトレーナーの方は、会場にお越し頂いても特別なポケモンたちに出会うことはできません。 \n \n「Pokémon GO Safari Zone in YOKOSUKA」は5日間開催しますが、なるべく多くの方にお楽しみいただけるよう、会場でのご参加及び体験はお一人様いずれか1日のみとさせていただきます。 ※期間中、参加券をお持ちになり会場にてイベントをお楽しみいただいた場合、同じ方が別の日の参加券をお持ちになり再度会場にいらしても、その二次元バーコードは読み取れず、特別なポケモンたちに出会うことはできません。 \n \n「Pokémon GO Safari Zone in YOKOSUKA」の開催を記念して、期間中は全世界で「キャモメ」、日本全国で「ヒンバス」や「アチャモ」などのポケモンに、ふだんより多く出会えるようです。会場へ来られる方も、来られない方も、「Pokémon GO Safari Zone in YOKOSUKA」をご一緒にお楽しみください！ \n \nまた、9月1日（土）と9月2日（日）には、ドルトムント、シカゴに続き、グローバルチャレンジを開催します。 \n \n詳細はこちらをご覧ください。<a href="https://pokemongolive.com/post/safarizoneyokosuka">https://pokemongolive.com/post/safarizoneyokosuka</a>					「Pokémon GO 서머투어2018」 마지막을 장식하는 것은 가나가와현 요코스카시에서 일본시각 8월 29일(수)부터 9월 2일(일)까지 개최되는 「Pokémon GO Safari Zone in YOKOSUKA」입니다! \n \n미국같은 분위기와 풍요로운 자연을 즐길 수 있는 요코스카시의 3개 회장, 미카사공원(三笠公園), 베르니공원(ヴェルニー公園), 쿠리하마 꽃의 나라(くりはま花の国)에서는 「안농」이나 일본에서 모습을 볼 수 없는 풀・비행타입의 포켓몬 「트로피우스」 등 평소에는 만날 수 없는 특별한 포켓몬들이 게임 내에 출현합니다. ※특별한 레이드배틀은 없습니다. \n \n참가는 무료지만 사전 응모 추첨제입니다. 응모 기간은 7월 6일(금) 오전 10시~ 7월 20일(금) 오전 10시까지입니다. 요코스카시 전용 특설사이트 (<a href="http://www.yokosuka-go.jp/">http://www.yokosuka-go.jp/</a>) 에서 친구와 가족과 함께 응모해주세요. 응모 다수의 경우 추첨입니다. 당첨된 분에게는 이차원 바코드가 있는 「참가권」을 보내드립니다. 회장에서 이 이차원 바코드를 스캔해서 이벤트에 참가할 수 있습니다. 「참가권」이 없는 분은 회장에 오셔도 특별한 포켓몬을 만날 수 없습니다. \n \n「Pokémon GO Safari Zone in YOKOSUKA」는 5일간 개최하지만 많은 분이 즐길 수 있도록 회장 참가는 1인당 1일로 제한합니다. ※이벤트 기간에 참가권을 가지고 회장에서 이벤트를 즐긴 경우 같은 사람이 다른 날에 참가권을 가지고 다시 회장으로 방문해도 그 이차원 바코드는 사용할 수 없고 특별한 포켓몬과도 만날 수 없습니다. \n \n「Pokémon GO Safari Zone in YOKOSUKA」의 개최 기념으로 이벤트 기간에 「갈모매」, 일본 전국에 「빈티나」나 「아차모」 등의 포켓몬을 평소보다 많이 만날 수 있습니다. 회장에 오시는 분도 못 오시는 분도 「Pokémon GO Safari Zone in YOKOSUKA」를 함께 즐겨주세요. \n \n또한, 9월 1일(토)과 9월 2일(일)에는 도르트문트, 시카고에 이어서 글로벌 챌린지도 개최합니다.\n \n 이벤트에 대한 자세한 내용은 <a href="https://pokemongolive.com/post/safarizoneyokosuka">https://pokemongolive.com/post/safarizoneyokosuka</a>요코스카시 전용 특설 사이트</a>를 확인해 주세요.		「Pokémon GO Summer Tour 2018」的最後一場活動「Pokémon GO Safari Zone in YOKOSUKA」將於日本時間8月29日至9月2日在日本神奈川縣橫須賀市登場！一起到橫須賀為夏天畫上最完美的句點吧！ \n \n擁有美麗大自然風景和美式氛圍的橫須賀市內共設有「三笠公園」、「維爾尼公園」及「濱木棉花之國」三個會場，訓練家們可以在這些會場裡見到未知圖騰及無法在日本捕捉到的熱帶龍等罕見的寶可夢。※本次活動將不會舉辦特殊的團體戰。 \n \n參加本次活動毋需付費，但請事先報名。報名時間為日本時間7月6日10:00～7月20日10:00，歡迎你和朋友家人一起上橫須賀市特設的網站報名（<a href="http://www.yokosuka-go.jp/">http://www.yokosuka-go.jp/</a>）。若報名人數過多，我們將採取隨機抽選方式決定參加權。獲選的訓練家將會收到二維條碼門票。我們會在會場讀取該二維條碼，確定到場的每一位訓練家擁有參加權。沒有門票的訓練家即使到了會場，也無法遇見上述的特別寶可夢。 \n \n「Pokémon GO Safari Zone in YOKOSUKA」的活動期間長達五天，但為了讓更多訓練家能夠參與這次的活動，每位訓練家只能選擇一天參加。 活動期間內，同一帳號只能參加一次活動。即便在參加活動後改日再次以其他二維條碼進入會場，也無法遇見特別的寶可夢。 \n \n為了慶祝「Pokémon GO Safari Zone in YOKOSUKA」登場，世界各地會出現許多長翅鷗，而日本全國還會有醜醜魚和火稚雞等寶可夢大量出現。就算無法親臨會場，也可以一起參加「Pokémon GO Safari Zone in YOKOSUKA」喔！ \n \n此外，繼德國多特蒙德及美國芝加哥之後，維羅博士的全球大挑戰將再度於9月1日～2日登場。\n \n 更多詳細資訊，請至<a href="https://pokemongolive.com/post/safarizoneyokosuka">https://pokemongolive.com/post/safarizoneyokosuka</a>横須賀市特設網站</a>確認。 	
news_header_julycommday_v2	Get a Blastoise with Hydro Cannon on July Community Day! 	7月の「Pokémon GO コミュニティ・デイ」で、ハイドロカノンを覚えた「カメックス」を手に入れよう	Obtenez un Tortank avec Hydroblast durant la Journée Communauté de juillet.	¡Consigue un Blastoise con Hidrocañón durante el Día de la Comunidad de julio!	Schnapp dir ein Turtok mit Aquahaubitze am Community Day im Juli!	Ottieni un Blastoise con la mossa Idrocannone durante il Community Day di luglio!	7월의 Pokémon GO 커뮤니티 데이에서 하이드로캐논을 배운 「거북왕」을 손에 넣자!		七月Pokémon GO社群日即將登場，別錯過學會「加農水炮」的水箭龜！	Obtenha Blastoise com Hidro Canhão no Dia Comunitário de julho!
news_subheader_julycommday_v2	Get a Blastoise with Hydro Cannon on July Community Day! 	7月の「Pokémon GO コミュニティ・デイ」で、ハイドロカノンを覚えた「カメックス」を手に入れよう	Obtenez un Tortank avec Hydroblast durant la Journée Communauté de juillet.	¡Consigue un Blastoise con Hidrocañón durante el Día de la Comunidad de julio!	Schnapp dir ein Turtok mit Aquahaubitze am Community Day im Juli!	Ottieni un Blastoise con la mossa Idrocannone durante il Community Day di luglio!	7월의 Pokémon GO 커뮤니티 데이에서 하이드로캐논을 배운 「거북왕」을 손에 넣자!		七月Pokémon GO社群日即將登場，別錯過學會「加農水炮」的水箭龜！	Obtenha Blastoise com Hidro Canhão no Dia Comunitário de julho!
news_main_text_julycommday_v2	Trainers, another classic Pokémon originally discovered in the Kanto region will be the star of the upcoming Community Day in July! On Sunday, July 8, the Water-type Pokémon Squirtle will appear in the wild more frequently for three hours, and if you evolve a Wartortle to Blastoise during that three-hour window, it will learn the Water-type move Hydro Cannon. Put those TMs away, Trainers! This special move will only be available for Blastoise that are evolved or caught during the Community Day event. Plus, you may have a chance to encounter Squirtle sporting sunglasses if you complete Field Research tasks during Community Day! Plus, Eggs put in Incubators during the event will hatch four times as fast! Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Plus, a special Community Day box will be available in the in-game shop. Visit <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> to find out when Community Day starts in your region! 	7月の「Pokémon GO コミュニティ・デイ」では、みずタイプのポケモン「ゼニガメ」が大量発生します！ \n \n次回の「Pokémon GO コミュニティ・デイ」は7月8日(日)、日本時間昼12時から15時までを予定しています。この時間中にカメールをカメックスへ進化させると、そのカメックスは特別なわざ、ハイドロカノンを覚えるようです。また、コミュニティ・デイの開催時間中に入手できる特別なフィールドリサーチタスクを完了すると、真夏の日差しに負けぬようにとサングラスをした姿のゼニガメにも出会えるようです！\n \n※イベント開催時間中に進化したカメックスのみ、特別なわざを覚えます。イベント開催時間中に捕まえた野生の「カメックス」もこのわざを覚えています。 \n \nイベント開催時間中は、ルアーモジュールの効果が3時間継続し、タマゴをかえすために必要な歩行距離が、通常の1/4になります！また、ゲーム内ショップではコミュニティ・デイの冒険に役立つお得なボックスもご用意いたします。 \n \n詳細は、<a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> をご覧ください。 	Dresseurs, un autre Pokémon classique découvert dans la région de Kanto sera la star de la Journée Communauté de juillet. Dimanche 8 juillet, le Pokémon de type Eau Carapuce fera des apparitions plus fréquentes durant une période de trois heures. Si vous faites évoluer un Carabaffe en Tortank pendant ce laps de temps, celui-ci apprendra l’attaque de type Eau, Hydroblast. Vous pouvez ranger vos CT Attaques, Dresseurs. Seuls les Tortank ayant évolué ou ayant été attrapés durant la Journée Communauté pourront apprendre cette attaque spéciale. Vous pourriez aussi rencontrer des Carapuce portant des lunettes de soleil si vous complétez des tâches d’Études de terrain pendant la Journée Communauté ! De plus, les Œufs placés en incubateurs durant cet évènement écloront quatre fois plus rapidement. Et n’oubliez pas vos Modules Leurre, qui resteront actifs pendant trois heures pour vous permettre de profiter au maximum de cet évènement. De plus, une boîte spéciale Journée Communauté sera disponible dans la Boutique du jeu. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/fr/events</a>.	¡Otro Pokémon clásico originalmente descubierto en la región de Kanto será la estrella del Día de la Comunidad de julio! El domingo 8 de julio, el Pokémon de tipo Agua Squirtle aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Wartortle a un Blastoise durante ese periodo de tres horas, aprenderá el movimiento de tipo Agua Hidrocañón. ¡Guarda esas MT! Este movimiento especial solo estará disponible para los Blastoise que hayan evolucionado o sido atrapados durante el Día de la Comunidad. Y, si completas tareas de investigación de campo durante el Día de la Comunidad, ¡puede que te encuentres con Squirtle que llevan gafas de sol! Además, ¡los Huevos que pongas en incubadoras durante el evento eclosionarán 4 veces más rápido! Y no te olvides de tus Módulos Cebo, porque permanecerán activos durante tres horas para ayudarte a que aproveches al máximo el evento. Y también habrá disponible un pack especial de Día de la Comunidad en la tienda del juego. ¡Visita <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> para averiguar cuándo empieza el Día de la Comunidad en tu región!	Im Juli ist der Star des Pokémon GO Community Day wieder eines der klassischen Pokémon, die ursprünglich in der Kanto-Region entdeckt wurden, Trainer! Am Sonntag, den 8. Juli erscheint das Wasser-Pokémon Schiggy drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden ein Schillok zu Turtok entwickelst, lernt es die exklusive Attacke Aquahaubitze. Das geht ganz ohne TMs, Trainer! Diese spezielle Attacke gibt es nur für Turtok, die am Community Day entwickelt oder gefangen werden. Außerdem schlüpfen Eier, die während des Events in Brutmaschinen gelegt wurden, viermal so schnell! Vergiss auch nicht deine Lockmodule, denn sie bleiben drei Stunden lang aktiv, damit du auch wirklich alles aus dem Event rausschlagen kannst. Besuche <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/de/events</a>, um herauszufinden, wann Community Day in deiner Gegend anfängt!	È ufficiale! Un altro Pokémon originariamente scoperto nella regione di Kanto sarà la star del Community Day di luglio. Domenica 8 luglio tantissimi Squirtle selvatici, Pokémon di tipo Acqua, appariranno più frequentemente per tre ore, inoltre se riuscirai a far evolvere un Wartortle in Blastoise durante quelle stesse tre ore, questo Pokémon imparerà la mossa di tipo Acqua Idrocannone. Manda pure in pensione tutte le tue TM attacco caricato! Tale mossa sarà disponibile solo per i Blastoise che si evolvono o che vengono catturati durante il Community Day. Inoltre, se porti a termine una missione di ricerca sul campo durante il Community Day, potresti avere la fortuna di incontrare Squirtle che sfoggia degli occhiali da sole per proteggersi dai raggi del sole estivo! Se non bastasse, le Uova messe nelle Incubatrici durante l’evento si schiuderanno quattro volte più velocemente. E non dimenticare che i tuoi moduli esca resteranno attivi per ben tre ore per sfruttare al meglio quest’occasione. Infine, nel negozio sarà disponibile una nuova offerta per celebrare l’evento. Visita <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/it/events</a> per scoprire a che ora inizia il Community Day nel tuo paese.	7월의 Pokémon GO 커뮤니티 데이에서는 물타입 포켓몬 「꼬부기」가 대량발생합니다! \n \n다음 Pokémon GO 커뮤니티 데이는 7월 8일(일) 한국시간 낮 12시부터 오후 3시까지 예정입니다. 이 시간에 어니부기를 거북왕으로 진화시키면 그 거북왕은 특별한 기술 하이드로캐논을 배우고 있습니다.또한, 커뮤니티 데이 개최 시간에 입수하는 특별한 필드리서치 과제를 완료하면 한여름의 강렬한 햇살에 지지 않도록 선글라스를 쓴 모습의 꼬부기도 만날 수 있습니다!\n \n※이벤트 개최 기간에 진화한 거북왕만이 특별한 기술을 배우고 있습니다. 이벤트 개최 시간 동안 잡은 야생의 거북왕도 이 기술을 배우고 있습니다. \n \n이벤트 개최 시간 중에 루어모듈 효과는 3시간 계속되며 알을 부화하는 데 필요한 거리가 평소의 1/4이 됩니다. 또 게임 내 숍에서는 커뮤니티 데이 모험에 필요한 도움이 되는 박스도 준비 중입니다. \n \n자세한 내용은 <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> 를 확인해 주세요. 		七月的Pokémon GO社群日將於台灣時間7月8日11:00-14:00登場。這次的主角寶可夢是水屬性的傑尼龜！活動時間內，傑尼龜將會大量出現，如果能在活動時間內讓傑尼龜一路進化成水箭龜，牠就能學會特別的招式「加農水炮」！此外，活動時間內將會有特殊的田野調查課題出現。只要完成課題，就有機會遇見戴上墨鏡來對抗炎炎夏日的傑尼龜喔！ \n \n※請注意，只有在活動時間內讓卡咪龜進化成水箭龜，牠才能學會特別的招式。此外，在活動時間內捕捉到的野生水箭龜也將擁有此特別的招式。 \n \n活動期間內，誘餌模組的效果將延長為3小時，孵蛋所需的行走距離縮短為平常的1/4！商店裡也將限時推出最適合社群日冒險的禮盒，千萬別錯過！ \n \n關於更多活動資訊，請至 <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> 確認。 	Outro Pokémon clássico originário da região de Kanto será a estrela do próximo Dia Comunitário que acontecerá em julho! No domingo, dia 8 de julho, o Pokémon de tipo Água Squirtle aparecerá mais frequentemente durante três horas, e, se você evoluir um Wartortle para Blastoise durante essas três horas, Blastoise aprenderá o movimento de tipo Água, Hidro Canhão. Você pode guardar as suas MTs! Este movimento especial só estará disponível para Blastoise que tiverem evoluído ou que tiverem sido pegos durante o Dia Comunitário. Além disso, você pode ter a chance de encontrar Squirtle usando óculos escuros, se completar as tarefas da pesquisa de campo durante o Dia Comunitário! Como se não bastasse, os Ovos colocados dentro de incubadoras durante o evento chocarão quatro vezes mais rápido! Não se esqueça de usar seus Módulos Atrair, que ficarão ativados durante três horas para ajudá-lo a aproveitar ao máximo o evento. E mais, um combo especial do Dia Comunitário estará disponível na loja do jogo. Visite <a href="https://pokemongolive.com/events/community-day/">PokemonGoLive.com/events</a> para descobrir que horas o Dia Comunitário começa na sua região!
news_header_globalchallengestarts_v2	Professor Willow's Global Challenge Is Happening Now!	「ウィロー博士のグローバルチャレンジ」が始まります！	Le Défi global du Professeur Willow est en cours !	¡Ya ha comenzado el desafío global del Profesor Willow!	Prof. Willows globale Herausforderung hat begonnen!	La sfida globale del Professor Willow è iniziata!	드디어 윌로우박사의 #GlobalChallenge 가 시작했습니다!		維羅博士的 #GlobalChallenge 開始囉！	O desafio global do Professor Willow está acontecendo agora!
news_subheader_globalchallengestarts_v2	Professor Willow's Global Challenge Is Happening Now!	「ウィロー博士のグローバルチャレンジ」が始まります！	Le Défi global du Professeur Willow est en cours !	¡Ya ha comenzado el desafío global del Profesor Willow!	Prof. Willows globale Herausforderung hat begonnen!	La sfida globale del Professor Willow è iniziata!	드디어 윌로우박사의 #GlobalChallenge 가 시작했습니다!		維羅博士的 #GlobalChallenge 開始囉！	O desafio global do Professor Willow está acontecendo agora!
news_main_text_globalchallengestarts_v2	Professor Willow’s #GlobalChallenge has now started! Work together with Trainers in your region to unlock bonuses for everyone around the world! Good luck! Or as Professor Willow would say, “Let’s GO!” \n \n Learn More: <a href="https://pokemongolive.com/post/summergameplay2018/">https://pokemongolive.com/post/summergameplay2018</a>	いよいよウィロー博士の #GlobalChallenge が始まりました！地元のトレーナーと力を合わせて、世界中のトレーナー全員がもらえるボーナスをアンロックしましょう！ \n \n <a href="https://pokemongolive.com/post/summergameplay2018/">https://pokemongolive.com/post/summergameplay2018</a>	Le #DefiGlobal du Professeur Willow a commencé ! Travaillez de concert avec les Dresseurs de votre région pour déverrouiller des bonus pour les joueurs du monde entier ! Bonne chance ! Ou comme dirait le Professeur Willow, « À vos marques, prêts, GO ! ». \n \n En savoir plus : <a href="https://pokemongolive.com/post/summergameplay2018/">https://pokemongolive.com/post/summergameplay2018</a>	¡El #desafioglobal del Profesor Willow ya está en marcha! ¡Juega junto con otros Entrenadores de tu región para desbloquear bonus para jugadores en todo el mundo! ¡Buena suerte! O, como el Profesor Willow diría, "¡Vamos allá!". \n \n Más información: <a href="https://pokemongolive.com/post/summergameplay2018/">https://pokemongolive.com/post/summergameplay2018</a>	Die #GlobaleHerausforderung von Prof. Willow ist jetzt in vollem Gange! Spiele zusammen mit Trainern in deiner Region, um rund um den Globus Bonusse für alle freizuschalten! Viel Glück! Oder wie Prof. Willow sagen würde: „Nichts wie raus und GO!“ \n \n Mehr Infos: <a href="https://pokemongolive.com/post/summergameplay2018/">https://pokemongolive.com/post/summergameplay2018</a>	La #SfidaGlobale del Professor Willow è iniziata! Alleati con Allenatori della tua area per sbloccare bonus per tutti in giro per il mondo. In bocca al lupo! O come direbbe il Professor Willow: “Pronti, partenza... GO!”. \n \n Scopri di più cliccando: <a href="https://pokemongolive.com/post/summergameplay2018/">https://pokemongolive.com/post/summergameplay2018</a>	드디어 윌로우박사의 #GlobalChallenge 가 시작했습니다! 지역 트레이너와 힘을 합쳐 전 세계 트레이너가 받을 수 있는 보너스를 언록합시다! \n \n<a href="https://pokemongolive.com/post/summergameplay2018/">https://pokemongolive.com/post/summergameplay2018</a>		維羅博士的 #GlobalChallenge 開始囉！和其他訓練家一起完成課題，解鎖超棒獎勵！ \n \n<a href="https://pokemongolive.com/post/summergameplay2018/">https://pokemongolive.com/post/summergameplay2018</a>	O #desafioglobal do Professor Willow (#GlobalChallenge) já começou! Trabalhe junto com outros Treinadores da sua região para desbloquear bônus para todo o mundo! Boa sorte! Ou como diria o Professor Willow, “vamos nessa!” \n \n Aprenda mais <a href="https://pokemongolive.com/post/summergameplay2018/">https://pokemongolive.com/post/summergameplay2018</a>.
news_header_articunoday	Unlock Articuno Day during Professor Willow’s Global Challenge! 	来週末「ウィロー博士のグローバルチャレンジ」に挑戦して、「フリーザー・デイ」をアンロックしよう！	Accédez à la Journée Artikodin au cours du Défi global du Professeur Willow ! 	¡Desbloquea el Día de Articuno durante el desafío global del Profesor Willow!	Schalte während Prof. Willows globaler Herausforderung Arktos-Tag frei!	È in arrivo l’Articuno Day durante la sfida globale del Professor Willow!	다음 주말 「윌로우박사의 글로벌 챌린지」에 도전해서 「프리져데이」를 언록하자!		一起參加下星期的「維羅博士的全球大挑戰」，解鎖「急凍鳥日」！	Desbloqueie o dia de Articuno durante o desafio global do Professor Willow! 
