Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_alola	Alolan Forms of Pokémon Originally Discovered in the Kanto Region Are Coming to Pokémon GO!	「アローラのすがた」のポケモンが、Pokémon GO にやってきます！	Les formes d’Alola de Pokémon découverts à Kanto arrivent dans Pokémon GO.	¡Formas de Alola de Pokémon originalmente descubiertos en la región de Kanto llegan a Pokémon GO!	Alola-Formen von Pokémon, die ursprünglich in der Kanto-Region entdeckt wurden, gibt‘s bald in Pokémon GO.	Le Forme di Alola di Pokémon originari della regione di Kanto approdano su Pokémon GO!	「알로라의 모습」의 포켓몬이 Pokémon GO에 옵니다!		阿羅拉的樣子的寶可夢即將加入Pokémon GO！	As Formas de Alola de Pokémon originários da região de Kanto estão chegando ao Pokémon GO!
news_subheader_alola	Alolan Forms of Pokémon Originally Discovered in the Kanto Region Are Coming to Pokémon GO!	「アローラのすがた」のポケモンが、Pokémon GO にやってきます！	Les formes d’Alola de Pokémon découverts à Kanto arrivent dans Pokémon GO.	¡Formas de Alola de Pokémon originalmente descubiertos en la región de Kanto llegan a Pokémon GO!	Alola-Formen von Pokémon, die ursprünglich in der Kanto-Region entdeckt wurden, gibt‘s bald in Pokémon GO.	Le Forme di Alola di Pokémon originari della regione di Kanto approdano su Pokémon GO!	「알로라의 모습」의 포켓몬이 Pokémon GO에 옵니다!		阿羅拉的樣子的寶可夢即將加入Pokémon GO！	As Formas de Alola de Pokémon originários da região de Kanto estão chegando ao Pokémon GO!
news_main_text_alola	Trainers, sunny days are ahead! Whether your forecast calls for rain or shine, we’re celebrating all around the world by introducing some special Pokémon from the tropical Alola region to Pokémon GO. Get ready for some of the Pokémon originally discovered in the Kanto region to appear in their Alolan forms! These unique variants were first seen in the Pokémon Sun and Pokémon Moon video games, and they will make their way to Pokémon GO in the coming weeks. Keep an eye out for news related to this exciting change—and don’t forget to tell your friends! Stay safe, and happy exploring!	トレーナーの皆さん、『ポケットモンスター サン・ムーン』の冒険の舞台アローラ地方固有の姿を持つポケモンたちが、Pokémon GO の世界にもやってくることがわかりました！ \n \n温暖な島々からなるアローラ地方独自の自然環境に適応した「アローラのすがた」は、ナッシーやライチュウなど、これまで Pokémon GO にも登場しているカントー地方の一部のポケモンたちに見られるようです。「アローラのすがた」をしたポケモンたちは、これから近々やってくるので、楽しみにお待ちください。 \n \nポケモンたちの多様な姿や個性を楽しむと同時に、Pokémon GO ではゲームプレイを通じて、皆さんがさまざまなトレーナーたちと日々交流や絆を深めるきっかけ作りやお手伝いができれば嬉しいです。 \n \n冒険の中で育まれた友情は、普段の生活でもきっと欠かせないものとなることでしょう！ Pokémon GO で遊ぶ時は、周囲に注意しながらお楽しみください。	Les beaux jours arrivent, Dresseurs ! Que la météo annonce pluie ou soleil, nous allons fêter l’occasion dans le monde entier en introduisant dans Pokémon GO certains Pokémon spéciaux de la région tropicale d’Alola. Préparez-vous à rencontrer, sous leur forme d’Alola, des Pokémon découverts dans la région de Kanto. Ces variantes uniques sont apparues pour la première fois dans les jeux vidéo Pokémon Soleil et Pokémon Lune, et elles arrivent dans Pokémon GO dans les semaines à venir. Restez à l’écoute pour plus d’informations à ce sujet... et parlez-en à vos amis ! Soyez prudent, et bonne exploration.	¡Vienen días tropicales! Sea tu pronóstico del tiempo lluvia o sol, estamos de celebración en todo el mundo con algunos Pokémon especiales de la región tropical de Alola en Pokémon GO. ¡Prepárate para encontrarte con algunos de los Pokémon descubiertos originalmente en la región de Kanto ahora en sus formas de Alola! Estas variantes únicas se vieron por primera vez en los videojuegos Pokémon Sol y Pokémon Luna, y llegarán a Pokémon GO en las próximas semanas. Estate pendiente de las noticias relacionadas con este emocionante cambio, ¡y no te olvides de decírselo a tus amigos! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Es stehen sonnige Zeiten bevor, Trainer! Egal, ob der Wetterbericht Sonne oder Regen voraussagt, wir feiern rund um den Globus mit der Einführung von besonderen Pokémon aus der tropischen Alola-Region in Pokémon GO. Manche Pokémon, die ursprünglich in der Kanto-Region entdeckt wurden, erscheinen bald in ihren Alola-Formen. Diese einzigartigen Varianten tauchten zuerst in den VideospielenPokémon Sonne und Pokémon Mond auf und werden in den kommenden Wochen ihren Weg in Pokémon GO finden. Halte zusammen mit deinen Freunden die Augen offen nach Neuigkeiten über diese aufregenden Zugänge. Allzeit sichere und schöne Entdeckungsreisen!	La bella stagione è in arrivo... Con la pioggia o con il sole, alcuni Pokémon straordinari della regione tropicale di Alola faranno capolino in Pokémon GO. Preparati, perché compariranno per la prima volta le Forme di Alola di alcuni Pokémon originari della regione di Kanto! Queste varianti regionali, uniche nel loro genere, sono state scoperte per la prima volta nei videogiochi Pokémon Sole e Pokémon Luna e nelle prossime settimane faranno rotta su Pokémon GO. Tieni gli occhi aperti per non perderti questa novità assoluta. E non dimenticare di passare parola! Ricorda di essere sempre prudente e buon divertimento!	트레이너 여러분, 「포켓몬스터썬・문」 모험의 무대 알로라지방 고유의 모습을 지닌 포켓몬이 Pokémon GO 세계에도 옵니다! \n \n온난한 기후의 섬들 알로라지방 특유의 자연환경에 적응한 「알로라의 모습」은 나시나 라이츄 등 지금까지 Pokémon GO에도 등장한 관동지방 일부 포켓몬에게 볼 수 있다고 합니다. 「알로라의 모습」을 한 포켓몬들은 앞으로도 계속해서 나온다고 하니 기대해 주세요. \n \n포켓몬들의 다양한 모습이나 개성을 즐기면서 Pokémon GO에서는 게임 플레이를 통해서 여러분이 다양한 트레이너들과 매일 교류와 인연을 깊게 할 계기를 만들거나 도움이 되었으면 좋겠습니다. \n \n모험 중 자라난 우정은 일상생활에서도 빼놓을 수 없게 될 것입니다! Pokémon GO를 플레이할 때는 주변에 주의하면서 플레이해주세요.		親愛的訓練家們： \n \n『精靈寶可夢 太陽/月亮』的舞台，阿羅拉地區那些模樣特殊的寶可夢要加入Pokémon GO囉！ \n \n「阿羅拉地區」由氣候溫暖的島嶼組成，部分的寶可夢因適應了阿羅拉地區獨有的自然環境，而擁有和其他地區不同的「阿羅拉的樣子」。Pokémon GO中的椰蛋樹、雷丘等部分來自關都地區的寶可夢將會出現「阿羅拉的樣子」，敬請期待。 \n \nPokémon GO希望能透過遊戲，讓各位有更多和其他訓練家交流的機會，也希望各位訓練家能在冒險中培育更多的友情。 玩遊戲時，請記得注意周遭環境，小心自身安全。	Dias ensolarados estão chegando! A previsão do tempo na sua região pode ser de chuva ou de sol, mas nós celebraremos por todo o mundo trazendo alguns Pokémon especiais da região tropical de Alola para o Pokémon GO. Prepare-se, pois alguns dos Pokémon originários da região de Kanto aparecerão em suas formas de Alola! Estas formas singulares foram apresentadas nos jogos de videogame Pokémon Sun e Pokémon Moon e chegarão ao Pokémon GO nas próximas semanas. Fique atento a todas as notícias a respeito desta empolgante novidade e não se esqueça de avisar os seus amigos! Tome cuidado e divirta-se explorando o mundo!
news_header_hooh	Ho-Oh’s Legendary Return Heats Up Raid Battles!	伝説のポケモン「ホウオウ」が、伝説レイドバトルに帰って来ます！	Le retour légendaire de Ho-Oh enflamme les Combats de Raids !	¡El regreso legendario de Ho-Oh caldea las incursiones!	Ho-Ohs legendäre Rückkehr heizt den Raid-Kämpfen ein!	Il ritorno del Pokémon leggendario Ho-Oh riaccende i raid!	전설의 포켓몬 「칠색조」가 전설 레이드배틀에 돌아옵니다!		傳說的寶可夢「鳳王」重返團體戰！	O retorno lendário de Ho-Oh incendeia as Batalhas de Reide!
news_subheader_hooh	Ho-Oh’s Legendary Return Heats Up Raid Battles!	伝説のポケモン「ホウオウ」が、伝説レイドバトルに帰って来ます！	Le retour légendaire de Ho-Oh enflamme les Combats de Raids !	¡El regreso legendario de Ho-Oh caldea las incursiones!	Ho-Ohs legendäre Rückkehr heizt den Raid-Kämpfen ein!	Il ritorno del Pokémon leggendario Ho-Oh riaccende i raid!	전설의 포켓몬 「칠색조」가 전설 레이드배틀에 돌아옵니다!		傳說的寶可夢「鳳王」重返團體戰！	O retorno lendário de Ho-Oh incendeia as Batalhas de Reide!
news_main_text_hooh	Trainers, get ready for a surprise: The Legendary Pokémon Ho-Oh will return to Raid Battles in Pokémon GO on May 19! A powerful Fire- and Flying-type Pokémon originally discovered in the Johto region, the Rainbow Pokémon Ho-Oh will appear in Gyms across the globe alongside Latias and Latios, which will remain in their designated regions. Plus, if you’re fortunate, you might be able to encounter a Shiny Ho-Oh after you win the battle! You can challenge Ho-Oh until June 7 and seize the opportunity to add this Legendary Pokémon to your Pokédex. So, gather your strongest party to take on Ho-Oh before it returns to the skies!	トレーナーの皆さん、 嬉しいお知らせがあります！5月19日（土）から6月7日（木）までの間、ジョウト地方の伝説のポケモン「ホウオウ」が伝説レイドバトルに帰ってきます！ ホウオウは、心正しいトレーナーの前に姿をあらわすと言い伝えられているポケモン。今回の登場では、もしかするとこれまで見たことのない金色の姿を見せてくれるかもしれません。 \n \nなお、現在異なる地域で登場している「ラティアス」・「ラティオス」も、引き続き伝説レイドバトルに登場します。 \n \n・5月19日（土）から6月7日（木）まで 「ホウオウ」が全世界に登場 \n \n・5月9日（水）から6月5日（火）まで 「ラティアス」が北米・南米・アフリカ地域に登場 「ラティオス」がアジア・ヨーロッパ地域に登場 \n \nこの機会を逃さず、他のトレーナーと協力してホウオウを捕まえましょう！ 	Dresseurs, une surprise vous attend : le 19 mai, le Pokémon légendaire Ho-Oh apparaîtra à nouveau dans les Combats de Raids de Pokémon GO. Puissant Pokémon de type Feu et Vol découvert dans la région de Johto, le Pokémon Arcenciel Ho-Oh apparaîtra dans les Arènes du monde entier auprès de Latias et Latios, qui resteront dans leur région assignée. Et si vous avez de la chance, vous rencontrerez peut-être un Ho-Oh chromatique après avoir gagné le combat ! Vous pouvez défier Ho-Oh jusqu’au 7 juin et saisir cette occasion d’ajouter le Pokémon légendaire à votre Pokédex. Rassemblez votre meilleure équipe et affrontez Ho-Oh avant qu’il ne s’envole !	¡Prepárate para una sorpresa! ¡El Pokémon legendario Ho-Oh regresará a las incursiones de Pokémon GO el 19 de mayo! Un poderoso Pokémon de tipo Fuego y Volador originalmente descubierto en la región de Johto, el Pokémon Arcoíris Ho-Oh, aparecerá en Gimnasios de todo el mundo junto a Latias y Latios, que permanecerán en sus regiones designadas. Además, si tienes suerte, puede que encuentres un Ho-Oh variocolor después de que ganes el combate. Hasta el 7 de junio podrás desafiar a Ho-Oh. Aprovecha esta oportunidad de añadir a este legendario Pokémon a tu Pokédex. ¡Prepara tu equipo más fuerte para enfrentarte a Ho-Oh antes de que regrese a los cielos!	Macht euch auf eine Überraschung gefasst, Trainer: Das Legendäre Pokémon Ho-Oh ist in Pokémon GOab dem 19. Mai wieder in Raid-Kämpfen dabei! Dieses mächtige Regenbogen-Pokémon vom Typ Feuer und Flug, das zuerst in der Johto-Region entdeckt wurde, erscheint weltweit in Arenen zusammen mit Latias und Latios, die in ihren designierten Regionen verweilen. Wenn du Glück hast, kannst du vielleicht auch einem Schillernden Ho-Oh begegnen, nachdem du den Kampf gewinnst! Du kannst Ho-Oh bis zum 7. Juni herausfordern und die Chance wahrnehmen, dieses Legendäre Pokémon deinem Pokédex hinzuzufügen. Versammle also dein stärkstes Team, um Ho-Oh entgegenzutreten, bevor es wieder in die Lüfte emporsteigt!	Pronti per una bella sorpresa? Il Pokémon leggendario Ho-Oh ritornerà nei raid di Pokémon GO a partire dal 19 maggio! Potente Pokémon di tipo Fuoco e Volante originariamente scoperto nella regione di Johto, il Pokémon Arcobaleno Ho-Oh apparirà nelle Palestre di tutto il mondo insieme a Latias e Latios, che invece rimarranno nelle loro aree assegnate. Come se non bastasse, con un pizzico di fortuna avrai anche la possibilità di un incontro con Ho-Oh cromatico dopo aver vinto la tua lotta! Potrai sfidare Ho-Oh fino al 7 giugno e cogliere l’occasione di aggiungere questo Pokémon leggendario al tuo Pokédex. Per cui chiama a raccolta la tua squadra più forte prima che Ho-Oh se ne ritorni a volare tra le nuvole.	트레이너 여러분, 기쁜 소식이 있습니다! 5월 19일(토)부터 6월 21일(목)까지 성도지방 전설의 포켓몬 「칠색조」가 전설 레이드배틀에 돌아옵니다! 칠색조는 바른 마음가짐의 트레이너 앞에 모습을 나타낸다고 전해지는 포켓몬입니다. 이번 등장에서는 지금까지 본적이 없는 금색의 모습을 보여줄지도 모릅니다. \n \n현재 다른 지역에서 등장하고 있는 「라티아스」, 「라티오스」도 계속해서 전설 레이드배틀에 등장합니다. \n \n・5월 19일(토)부터 6월 7일(목)까지  「칠색조」가 전 세계 등장 \n \n・ 5월 9일(수)부터 6월 5일(화)까지  「라티아스」는 북미, 남미, 아프리카 지역에 등장 「라티오스」는 아시아, 유럽지역에 등장 \n \n이 기회를 놓치지 말고 다른 트레이너와 협력하여 칠색조를 잡아봅시다! 		親愛的訓練家們，自5月19日起至6月7日止，城都地區的傳說的寶可夢「鳳王」將重返團體戰！據說這隻虹色寶可夢只會出現在正直的訓練家面前，也許這次能見到牠金色的身影也說不定喔！ 此外，拉帝亞斯及拉帝歐斯將持續在各地團體戰出沒，千萬別錯過這個捕捉傳說的寶可夢的絕佳機會！ \n \n・5月19日～6月7日 「鳳王」降臨全世界各地的團體戰 \n \n・5月9日～6月5日 「拉帝亞斯」於北美、南美及非洲登場 「拉帝歐斯」於亞洲及歐洲登場 	Preparado para uma grande surpresa? O Pokémon Lendário Ho-Oh retornará às Batalhas de Reide do Pokémon GO no dia 19 de maio! Um poderoso Pokémon de tipo Fogo e Voador originário da região de Johto, o Pokémon Arco-íris Ho-Oh aparecerá em Ginásios de todo o mundo com Latias e Latios, que permanecerão nas suas regiões designadas. Além disso, se você tiver sorte, poderá encontrar um Ho-Oh Brilhante depois de vencer a batalha! Você terá a chance de desafiar Ho-Oh até o dia 7 de junho e aproveitar a oportunidade para adicionar este Pokémon Lendário ao seu Pokédex. Portanto, reúna a sua equipe mais poderosa para desafiar Ho-Oh antes que ele volte a voar pelos céus!
news_header_itemincrease	New Item Capacity Upgrades Now Available in the Shop!	持てる「道具」の上限が、最大2000個になりました！	Des extensions de stockage sont disponibles dans la Boutique.	¡Ya está disponible en la tienda el nuevo aumento de espacio para objetos!	Neue Beutel-Plus-Upgrades jetzt im Shop erhältlich!	Fai ancora più spazio ai tuoi strumenti, accedi ora al negozio!	지닐 수 있는 도구의 수가 최대 2000개로 늘어납니다!		可以升級包包囉！現在最多可攜帶2000個道具！	O upgrade do estoque de itens já está disponível na loja!
news_subheader_itemincrease	New Item Capacity Upgrades Now Available in the Shop!	持てる「道具」の上限が、最大2000個になりました！	Des extensions de stockage sont disponibles dans la Boutique.	¡Ya está disponible en la tienda el nuevo aumento de espacio para objetos!	Neue Beutel-Plus-Upgrades jetzt im Shop erhältlich!	Fai ancora più spazio ai tuoi strumenti, accedi ora al negozio!	지닐 수 있는 도구의 수가 최대 2000개로 늘어납니다!		可以升級包包囉！現在最多可攜帶2000個道具！	O upgrade do estoque de itens já está disponível na loja!
news_main_text_itemincrease	Trainers, we understand that even the most dedicated adventurers can run out of space to put their stuff. So, to help you on forthcoming journeys—including May Pokémon GO Community Day, starring Charmander—we have a new item storage upgrade in the shop! Now, you can purchase even more space to allow you to carry up to 2,000 items. That’s plenty of room to store your Poké Balls, Berries, and more. Stay safe, and happy exploring!	トレーナーの皆さん、ショップの「バッグ アップグレード」により持てる道具の上限数が、最大2000個になりました。今週末に控えた5月の「Pokémon GO コミュニティ・デイ」をはじめ、さまざまな冒険シーンで是非お役立てください。 Pokémon GO で遊ぶ時は、周囲に注意しながらお楽しみください。	Dresseurs, nous savons bien que les aventuriers aguerris peuvent manquer de place pour ranger leurs affaires. Pour vous aider dans vos périples à venir, notamment pour la Journée Communauté de Pokémon GO de mai qui met en vedette Salamèche, retrouvez des extensions de stockage dans la Boutique. Vous pouvez désormais acheter plus d’espace et ainsi transporter jusqu’à 2 000 objets. Vous aurez assez de place pour stocker vos Poké Balls, vos Baies et bien plus encore. Soyez prudent, et bonne exploration.	Entendemos que hasta los aventureros más dedicados se pueden quedar sin espacio para guardar sus cosas. Por ello, para ayudarte en tus próximas aventuras, incluyendo el Día de la Comunidad de Pokémon GO de mayo que tendrá a Charmander como protagonista, tendremos un nuevo aumento de espacio para objetos en la tienda. Ahora podrás adquirir aún más espacio para que puedas guardar hasta 2000 objetos. Eso es suficiente espacio para guardar tus Poké Balls, bayas y muchas cosas más. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Wir wissen, dass selbst dem erfahrensten Abenteurer der Platz für seine Sachen ausgehen kann, Trainer. Um dir auf bevorstehenden Reisen zu helfen, beispielsweise am Pokémon GO Community Day im Mai mit Glumanda, bieten wir jetzt neue Beutel-Plus-Upgrades im Shop an! Ab sofort kannst du noch mehr Platz kaufen und bis zu 2 000 Items tragen. Das reicht sicherlich für alle deine Pokébälle, Beeren und mehr. Allzeit sichere und schöne Entdeckungsreisen!	Persino l’avventuriero più parsimonioso può trovarsi a corto di spazio nella propria Borsa. È per questo che per qualsiasi spedizione futura, incluso il Community Day con protagonista Charmander, saranno disponibili ampliamenti dello spazio della Borsa nel negozio della app. Potrai infatti scegliere di portare il limite a ben 2.000 strumenti, praticamente tutto lo spazio che vuoi per Poké Ball, bacche e tanto altro. Ricorda di essere sempre prudente e buon divertimento!	트레이너 여러분, 숍에서 「가방 업그레이드」로 지닐 수 있는 도구의 상한 수가 최대 2000개가 되었습니다. 이번 주말에 있는 「Pokémon GO 커뮤니티 데이」를 시작으로 다양한 모험 장면에서 도움이 되실 겁니다. Pokémon GO로 플레이할 때는 주변에 주의하면서 플레이해주십시오. 		親愛的訓練家們： 現在正是升級包包的好時機！我們擴充了包包的容量，你最多可以攜帶2000個道具和你一起冒險。這週末就是五月的Pokémon GO社群日，快趁這個機會多準備一些道具吧！ 玩Pokémon GO時，請注意周遭環境，並小心安全。 	Entendemos que até os aventureiros mais dedicados podem acabar sem espaço para guardar suas coisas. Por isso, para ajudar você em suas próximas jornadas, que inclui o Dia Comunitário de maio que terá Charmander como protagonista, teremos um novo upgrade do estoque de itens na loja. Você pode adquirir ainda mais espaço para carregar até 2.000 itens na sua Bolsa. É espaço suficiente para guardar suas Poké Bolas, Frutas e muito mais. Tome cuidado e divirta-se explorando o mundo!
news_header_latisswitch	Eon Pokémon Latias and Latios Are Now in New Areas! 	むげんポケモン「ラティアス」と「ラティオス」が新たな地域へ！	Les Pokémon Éon, Latias et Latios, sont maintenant dans de nouvelles régions !	¡Los Pokémon Eón Latias y Latios están ahora en zonas diferentes!	Die Äon-Pokémon Latias und Latios befinden sich jetzt in neuen Gebieten!	I Pokémon Eone Latias e Latios hanno cambiato area!	무한포켓몬 「라티아스」와 「라티오스」가 새로운 지역으로!		無限寶可夢「拉帝亞斯」及「拉帝歐斯」前往新大陸！	Os Pokémon Eternidade Latias e Latios agora podem ser encontrados em novas áreas!
