Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_aprcmtydayv2	Get an Ampharos with Dragon Pulse on April Community Day!	4月のコミュニティ・デイで、は特別なわざ「りゅうのはどう」を覚えた「デンリュウ」を手に入れよう！	Obtenez un Pharamp avec Dracochoc pour la Journée Communauté d’avril.	¡Hazte con un Ampharos con el movimiento Pulso Dragón en el Día de la Comunidad de abril!	Schnapp dir ein Ampharos mit Drachenpuls am Community Day im April!	Cattura Ampharos con la mossa Dragopulsar per il Community Day di aprile!	4월의 커뮤니티 데이에서는 특별한 기술 「용의파동」을 배운 「전룡」을 손에 넣자!		四月社群日，一起來捉學會「龍之波動」的電龍！	Obtenha Ampharos com o movimento Pulso do Dragão no Dia Comunitário de abril!
news_subheader_aprcmtydayv2	Get an Ampharos with Dragon Pulse on April Community Day!	4月のコミュニティ・デイで、は特別なわざ「りゅうのはどう」を覚えた「デンリュウ」を手に入れよう！	Obtenez un Pharamp avec Dracochoc pour la Journée Communauté d’avril.	¡Hazte con un Ampharos con el movimiento Pulso Dragón en el Día de la Comunidad de abril!	Schnapp dir ein Ampharos mit Drachenpuls am Community Day im April!	Cattura Ampharos con la mossa Dragopulsar per il Community Day di aprile!	4월의 커뮤니티 데이에서는 특별한 기술 「용의파동」을 배운 「전룡」을 손에 넣자!		四月社群日，一起來捉學會「龍之波動」的電龍！	Obtenha Ampharos com o movimento Pulso do Dragão no Dia Comunitário de abril!
news_main_text_aprcmtydayv2	Trainers, a Pokémon originally discovered in the Johto region will be the star of April’s Pokémon GO Community Day! On Sunday, April 15, Electric-type Pokémon Mareep will appear in the wild more frequently for three hours, and if you evolve a Flaaffy to Ampharos during that three-hour window, it will learn the Dragon-type move Dragon Pulse. Put those Charged TMs away, Trainers! This special move will only be available for Ampharos that are evolved or caught during Community Day. You’ll also hatch Eggs four times as fast for the duration of the Pokémon GO Community Day event. When using an Incubator, 10 km Eggs will hatch after walking 2.5 km! Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Visit PokemonGoLive.com/events to find out when Community Day starts in your region!	トレーナーの皆さん、 \n \n次回の「Pokémon GO コミュニティ・デイ」は4月15日(日)、日本時間お昼の12時から15時の開催を予定しています。 今回大量発生するポケモンは、メリープ！イベント開催中の3時間の間に、モココからデンリュウへ進化させると、そのデンリュウは特別なわざ「りゅうのはどう」を覚えるようです！「りゅうのはどう」は、ドラゴンタイプの強力なわざ！ぜひこの機会に、「りゅうのはどう」を覚えたデンリュウを手に入れましょう！  \n \n※イベント開催時間中に進化したデンリュウのみ、特別なわざを覚えます。イベント開催時間中に捕まえた野生のデンリュウも、このわざを覚えています。 \n \nイベント開催時間中はルアーモジュールの効果が3時間継続し、タマゴをかえすために必要な歩行距離が、通常の1/4になります！つまりイベント開催時間中であれば、10kmのタマゴをは2.5km歩くだけでかえすことができます。 たくさん歩いてタマゴをかえし、イベントを思いっきり楽しみましょう！ \n \n詳細は PokemonGoLive.com/events をご覧ください。 \n \nーPokémon GO チーム一同	Dresseurs, un Pokémon originaire de la région de Johto sera la star de la Journée Communauté d’avril dans Pokémon GO. Le 15 avril, pendant trois heures, le Pokémon de type Électrik Wattouat fera des apparitions fréquentes. Si vous faites évoluer un Lainergie en Pharamp durant ce laps de temps, ce dernier apprendra l’attaque de type Dragon, Dracochoc. Vous pouvez ranger vos CT Attaques Chargées, Dresseurs. Seuls les Pharamp ayant évolué ou ayant été attrapés durant la Journée Communauté pourront apprendre cette attaque spéciale. Vos Œufs écloront quatre fois plus vite pendant la Journée Communauté Pokémon GO. Si vous utilisez un Incubateur, les Œufs de 10 km écloront après avoir parcouru 2,5 km ! Et n’oubliez pas vos Modules Leurre qui resteront actifs pendant trois heures pour vous permettre de profiter au maximum de cet évènement. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur PokemonGoLive.com/fr/events.	¡Un Pokémon originalmente descubierto en la región de Johto será la estrella del Día de la Comunidad de Pokémon GO de abril! El domingo 15 de abril, el Pokémon de tipo Eléctrico Mareep aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Flaaffy a un Ampharos durante ese periodo de tres horas, aprenderá el movimiento de tipo Dragón Pulso Dragón. ¡Guarda esas MT de ataque cargado! Este movimiento especial solo estará disponible para los Ampharos que hayan evolucionado o sido atrapados durante el Día de la Comunidad. Además, podrás hacer eclosionar Huevos cuatro veces más rápido de lo normal durante el transcurso del evento del Día de la Comunidad de Pokémon GO. Cuando uses una incubadora, ¡los Huevos de 10 km eclosionarán después de caminar 2,5 km! Y no te olvides de tus Módulos Cebo, porque permanecerán activos durante tres horas para ayudarte a que aproveches al máximo el evento. ¡Visita PokemonGoLive.com/events para averiguar cuándo empieza el Día de la Comunidad en tu región!	Im April ist der Star des Pokémon GO Community Day ein Pokémon, das ursprünglich in der Johto-Region entdeckt wurde! Am Sonntag, den 15. April erscheint das Elektro-Pokémon Voltilamm drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden ein Waaty zu Ampharos entwickelst, kann es die Drachen-Attacke Drachenpuls lernen. Das geht ganz ohne Lade-TMs, Trainer! Diese spezielle Attacke gibt es nur für Ampharos, die am Community Day entwickelt oder gefangen werden. Außerdem kannst du während des Pokémon GO Community Day-Events Eier viermal schneller als sonst ausbrüten. In einer Brutmaschine schlüpfen 10-km-Eier nach nur 2,5 km! Vergiss auch nicht deine Lockmodule, denn sie bleiben drei Stunden lang aktiv, damit du auch wirklich alles aus dem Event rausschlagen kannst. Besuche PokemonGoLive.com/events, um herauszufinden, wann Community Day in deiner Gegend anfängt!	Un Pokémon originariamente scoperto nella regione di Johto sarà la star di aprile in Pokémon GO. Domenica 15 aprile il Pokémon selvatico di tipo Elettro Mareep apparirà più frequentemente per tre ore; inoltre, se riuscirai a far evolvere Flaaffy in Ampharos durante lo stesso periodo, questo imparerà Dragopulsar, una mossa esclusiva di tipo Drago. Manda pure in pensione tutte le tue TM attacco caricato! Questa mossa speciale sarà disponibile solo per gli Ampharos che si evolvono o che vengono catturati durante il Community Day. Inoltre, sempre per l’intera durata dell'evento del Community Day, le Uova si schiuderanno quattro volte più velocemente e, usando un’Incubatrice, le Uova da 10 km si chiuderanno dopo soli 2,5 km! E non dimenticare che i tuoi moduli esca resteranno attivi per ben tre ore per sfruttare al meglio quest’occasione! Visita PokemonGOLive.com per scoprire a che ora inizia il Community Day nel tuo paese.	트레이너 여러분 \n \n다음 「Pokémon GO 커뮤니티 데이」는 4월 15일(일) 한국 시간 낮 12시부터 15시까지 개최를 예정하고 있습니다. 이번에 대량발생하는 포켓몬은 메리프! 이벤트 개최 중 3시간 안에 보송송에서 전룡으로 진화시키면 그 전룡은 특별한 기술 「용의파동」을 배우고 있습니다!  「용의파동」은 드래곤타입의 강력한 기술! 이번 기회에 「용의파동」을 배운 전룡을 손에 넣어봅시다! \n \n※이벤트 개최 기간에 진화한 전룡만이 특별한 기술을 배우고 있습니다. 이벤트 개최 시간 동안 잡은 야생의 전룡도 이 기술을 배우고 있습니다. \n \n이벤트 개최 시간 중에 루어모듈 효과는 3시간 계속되며 알을 부화하는 데 필요한 거리가 평소의 1/4이 됩니다. 즉 이벤트 기간 중이라면 10km 알이 2.5km 걷기만 해도 부화할 수 있습니다. 많이 걸어 알을 부화하고 이벤트도 마음껏 즐겨보세요! \n \n자세한 내용은 PokemonGoLive.com/events 를 확인해 주세요. \n \n—The Pokémon GO 개발팀		親愛的訓練家們： \n \n四月的Pokémon GO社群日將於台灣時間4月15日11:00-14:00登場，而這次會在活動時間內大量出現的主角寶可夢是……電屬性的咩利羊！如果能在活動時間的3小時內讓茸茸羊進化成電龍，那隻電龍就能學會「龍之波動」！「龍之波動」是龍屬性的強大招式，千萬別錯過這個大好機會！ \n \n※請注意，只有在活動時間內從茸茸羊進化成電龍，牠才能學會特別的招式。此外，在活動時間內捕捉到的野生電龍也將擁有此特別的招式。 \n \n活動期間內，誘餌模組的效果將延長為3小時，孵蛋所需的步行距離也將縮減為平常的1/4。也就是說，平常要走10公里才能孵化的蛋，在活動時間內只要走2.5公里就能孵化！如果再搭配超級孵化器，那麼你只需要走1.25公里就能孵化1顆10公里的蛋！ \n \n關於更多活動資訊，請至 PokemonGoLive.com/events 確認。  \n \n—Pokémon GO開發團隊敬上	A estrela do Dia Comunitário do Pokémon GO do mês de abril será um Pokémon originário da região de Johto! No dia 15 de abril, Mareep selvagens de tipo Elétrico aparecerão com mais frequência durante três horas, e, se você evoluir Flaaffy para Ampharos durante essas três horas, Ampharos aprenderá Pulso do Dragão, um movimento de tipo Dragão. Guarde essas suas MTs ataque carregado! Este movimento especial só estará disponível para Ampharos que tiverem evoluído ou que tiverem sido pegos durante o Dia Comunitário. Além disso, seus Ovos de Pokémon chocarão quatro vezes mais rápido enquanto durar o evento do Dia Comunitário do Pokémon GO. Ao usar uma Incubadora, os Ovos de 10 km chocarão quando você tiver caminhado apenas 2,5 km! Não se esqueça dos seus Módulos Atrair, que ficarão ativados durante três horas para que possa aproveitar ao máximo o evento. Visite PokemonGoLive.com/events para descobrir que horas o Dia Comunitário começa na sua região!
news_header_latis	Latias and Latios Fly into Regional Raid Battles!	伝説のポケモン「ラティアス」・「ラティオス」がレイドバトルに登場！！	Latias et Latios atterrissent dans des Combats de Raids régionaux.	¡Latias y Latios aterrizan en incursiones de diferentes regiones!	Latias und Latios fliegen in regionale Raid-Kämpfe ein!	Latias e Latios in picchiata sui raid di tutto il mondo!	전설의 포켓몬 「라티아스」, 「라티오스」가 레이드배틀에 등장!!		傳說的寶可夢拉帝亞斯及拉帝歐斯降臨團體戰！	Latias e Latios chegarão voando nas batalhas de Reide regionais!
news_subheader_latis	Latias and Latios Fly into Regional Raid Battles!	伝説のポケモン「ラティアス」・「ラティオス」がレイドバトルに登場！！	Latias et Latios atterrissent dans des Combats de Raids régionaux.	¡Latias y Latios aterrizan en incursiones de diferentes regiones!	Latias und Latios fliegen in regionale Raid-Kämpfe ein!	Latias e Latios in picchiata sui raid di tutto il mondo!	전설의 포켓몬 「라티아스」, 「라티오스」가 레이드배틀에 등장!!		傳說的寶可夢拉帝亞斯及拉帝歐斯降臨團體戰！	Latias e Latios chegarão voando nas batalhas de Reide regionais!
news_main_text_latis	As Pokémon’s legendary year continues, two Legendary Pokémon originally discovered in the Hoenn region are appearing in Raid Battles for the first time! Dragon- and Psychic- type Pokémon Latias and Latios will appear in different areas around the world for a limited time starting April 2. The Legendary Pokémon Latias will appear in Raid Battles across Europe and Asia, while Latios will appear in North America, South America, and Africa. On May 8, the Eon Pokémon will switch locations and will be available until June 5, so all Trainers will have the opportunity to catch both Pokémon. Stay safe, and happy exploring!	『ポケットモンスター ルビー・サファイア』の冒険の舞台であるホウエン地方で見つかった2匹の伝説のポケモン「ラティアス」と「ラティオス」が、4月3日（火）から伝説レイドバトルに登場します！4月3日（火）から、ラティアスはヨーロッパ・アジア地域に、ラティオスは北米・南米・アフリカ地域に登場します。5月9日（水）からは2匹それぞれ移動し、ラティアスは北米・南米・アフリカ地域で、ラティオスはヨーロッパ・アジア地域で登場します。6月5日（火）には、2匹は連れ立ってレイドバトルから姿を消すようです。ぜひこの機会にレイドバトルへチャレンジしてみてください！	Alors que l’année légendaire de Pokémon continue, deux Pokémon légendaires originaires de la région de Hoenn apparaissent pour la première fois dans des Combats de Raids. À partir du 2 avril, les Pokémon de type Dragon et Psy, Latias et Latios, apparaîtront dans différentes régions du monde pour une durée limitée. Le Pokémon légendaire Latias apparaîtra dans les Combats de Raids en Europe et en Asie, et Latios apparaîtra en Amérique du Nord, en Amérique latine et en Afrique. Le 8 mai, les Pokémon Éon échangeront leur place et seront disponibles jusqu’au 5 juin ; les Dresseurs auront donc l’occasion d’attraper les deux Pokémon. Soyez prudent, et bonne exploration.	Para continuar con la celebración del año legendario Pokémon, dos Pokémon legendarios originalmente descubiertos en la región de Hoenn van a aparecer por primera vez en incursiones. A partir del 2 de abril, los Pokémon de tipo Dragón y Psíquico Latias y Latios van a aparecer en diferentes regiones del mundo por un tiempo limitado. El Pokémon legendario Latias aparecerá en incursiones por toda Europa y Asia, mientras que Latios lo hará en Norteamérica, Sudamérica y África. El 8 de mayo, los Pokémon Eón cambiarán de región y estarán disponibles hasta el 5 de junio, dándoles a los Entrenadores la oportunidad de atrapar a ambos Pokémon. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Im weiteren Verlauf des legendären Jahres tauchen zwei Legendäre Pokémon, die zuerst in der Hoenn-Region entdeckt wurden, zum ersten Mal in Raid-Kämpfen auf! Die Pokémon Latias und Latios sind vom Typ Drache/Psycho und werden ab dem 2. April für begrenzte Zeit in unterschiedlichen Teilen der Erde auftauchen. Das Legendäre Pokémon Latias erscheint in Raid-Kämpfen in Europa und Asien, während Latios in Nordamerika, Südamerika und Afrika vertreten sein wird. Am 8. Mai tauschen die beiden Äon-Pokémon dann die Plätze und sind bis zum 5. Juni verfügbar, sodass jeder Trainer die Möglichkeit hat, beide Pokémon zu fangen. Allzeit sichere und schöne Entdeckungsreisen!	Proseguendo con il nostro anno leggendario, due Pokémon leggendari originari della regione di Hoenn appariranno per la prima volta durante i raid. I Pokémon di tipo Drago e Psico Latias e Latios appariranno nei diversi continenti per un periodo limitato di tempo, a partire dal 2 aprile. Il Pokémon leggendario Latias apparirà nei raid nell’Asia Pacifica e in Europa, mentre Latios apparirà in Nord America, Sud America e Africa. Ma non è finita qui, perché l’8 maggio i Pokémon Eone si daranno il cambio apparendo fino al 5 giugno, così tutti gli Allenatori avranno la possibilità di catturare entrambi. Ricorda di essere sempre prudente e buon divertimento!	「포켓몬스터 루비・사파이어」의 모험 무대인 호연지방에서 발견된 2마리의 전설의 포켓몬 「라티아스」, 「라티오스」가 4월 3일(화)부터 전설 레이드배틀에 등장합니다! 4월 3일(화)부터 라티아스는 유럽, 아시아에 라티오스는 북미 남미, 아프리카 지역에 등장합니다. 5월 9일(수)부터는 2마리가 이동하여 라티아스는 북미, 남미, 아프리카 지역에 라티오스는 유럽, 아시아에 등장합니다. 6월 5일(화)에는 2마리가 떠나 레이드배틀에서 모습을 감춘다고 합니다. 이번 기회에 전설 레이드배틀에 도전해보세요!		傳說的寶可夢拉帝亞斯及拉帝歐斯將自4月3日起降臨各地的團體戰！ 自4月3日起，拉帝亞斯將出現在歐洲及亞洲，拉帝歐斯則會出現在北美、南美及非洲；自5月9日起拉帝亞斯將移動至北美、南美及非洲，而拉帝歐斯將移動至歐洲及亞洲。6月5日，這兩隻傳說的寶可夢將會離開各地的道館。千萬別錯過這短暫的機會！	O ano lendário Pokémon continua a todo vapor com dois Pokémon Lendários originários da região de Hoenn aparecendo pela primeira vez em Batalhas de Reide! Os Pokémon Lendários Latias e Latios de tipo Dragão e Psíquico aparecerão em diferentes regiões do mundo a partir do dia 2 de abril. O Pokémon Lendário Latias aparecerá em Batalhas de Reide na Europa e na Ásia, enquanto Latios aparecerá na América do Norte, na América do Sul e na África. No dia 8 de maio, os Pokémon Eternidade trocarão de lugar e estarão disponíveis até o dia 5 de junho, assim Treinadores terão a chance de pegar os dois Pokémon. Tome cuidado e divirta-se explorando o mundo!
news_header_aprilfools	Experience Pokémon GO Like NEVER BEFORE with Brand-New Graphics!	Pokémon GO に導入した最新グラフィックテクノロジーについて	Découvrez Pokémon GO comme vous ne L’AVEZ JAMAIS VU, avec un graphisme à la pointe de la technologie !	¡Disfruta de Pokémon GO como NUNCA ANTES con nuevos gráficos!	Erlebt Pokémon GO wie NIE ZUVOR mit brandneuer Grafik!	Scopri una grafica NUOVA DI ZECCA su Pokémon GO!	Pokémon GO에 도입한 최신 그래픽 테크놀로지에 대해		Pokémon GO隆重推出前所未見的嶄新繪圖技術	Aproveite gráficos impressionantes e inéditos no Pokémon GO!
news_subheader_aprilfools	Experience Pokémon GO Like NEVER BEFORE with Brand-New Graphics!	Pokémon GO に導入した最新グラフィックテクノロジーについて	Découvrez Pokémon GO comme vous ne L’AVEZ JAMAIS VU, avec un graphisme à la pointe de la technologie !	¡Disfruta de Pokémon GO como NUNCA ANTES con nuevos gráficos!	Erlebt Pokémon GO wie NIE ZUVOR mit brandneuer Grafik!	Scopri una grafica NUOVA DI ZECCA su Pokémon GO!	Pokémon GO에 도입한 최신 그래픽 테크놀로지에 대해		Pokémon GO隆重推出前所未見的嶄新繪圖技術	Aproveite gráficos impressionantes e inéditos no Pokémon GO!
news_main_text_aprilfools	Trainers, we always want to bring you the most immersive graphics experience possible, and we’re excited to share our latest breakthrough with millions of Pokémon GO Trainers around the world. Experience Pokémon GO like never before with cutting-edge 8-BIT GRAPHICS! Registering approximately twice the amount of definition of 4K, the chunky squares of each pixel provide realistic detail and unbelievable definition. Your Pokédex will feel lifelike in ways previously unimagined on any handheld device ever created. Enjoy it now!	Pokémon GO は常に技術の限界に挑戦し続け、グラフィックに関しても最新の技術を取り入れています。そして、本日より、世界でも最先端のテクノロジーを導入することを発表いたします。そのテクノロジーとは、最先端の8ビットグラフィックです。解像度は4Kの2倍、すべてのドットがより美しく表現され、「ポケモンずかん」で表現されるポケモンたちは、かつてないほど生き生きとして見えることでしょう。	Chers Dresseurs, nous essayons toujours de vous offrir la meilleure expérience graphique possible, et nous sommes heureux d’annoncer notre dernière prouesse technique aux millions de fans de Pokémon GO dans le monde. Voici Pokémon GO comme vous ne l’avez jamais vu auparavant, avec d’époustouflants GRAPHIQUES 8 BITS ! Avec une définition pratiquement double du 4K, les blocs de chaque pixel contiennent des détails du plus haut réalisme. Votre Pokédex prendra vie, d’une manière encore jamais vue sur appareils mobiles. Profitez-en vite !	Siempre nos gusta traerte la experiencia gráfica más envolvente posible, y nos emociona poder compartir nuestro logro más reciente con todos los Entrenadores de Pokémon GO de todo el mundo. ¡Disfruta como nunca antes de Pokémon GO con GRÁFICOS DE 8 BITS de última tecnología! Registrando aproximadamente el doble de definición que 4K, los robustos cuadros de cada píxel proporcionan detalles realistas y una definición increíble. Tu Pokédex tendrá un aspecto tan real, como nunca antes imaginado en ningún dispositivo portátil creado hasta ahora. ¡Disfrútala ya!	Wir wollen euch immer das grafisch umfassendste Erlebnis liefern, Trainer – und wir freuen uns, den neusten Durchbruch mit Millionen von Pokémon GO-Spielern in aller Welt zu teilen. Erlebt Pokémon GO wie nie zuvor mit atemberaubender GRAFIK IN 8-BIT! Mit einer Auflösung, die fast doppelt so viel verzeichnet wie 4K, liefern diese saftigen Pixel eine realistische Darstellung in unglaublicher Auflösung. Euer Pokédex wird sich noch lebendiger anfühlen, als ihr es euch jemals zu träumen gewagt habt. Erlebt es jetzt!	Uno dei nostri obiettivi è di portare sugli schermi di tutti gli Allenatori la grafica più realistica possibile, per questo siamo felici di annunciare un importante aggiornamento che cambierà l’esperienza di gioco a livello globale. Scopri una grafica nuova di zecca mai vista prima in Pokémon GO grazie alla rivoluzionaria tecnologia a 8 bit! Con l’impiego di una definizione doppia rispetto agli standard 4K, infatti, i quadrati di ciascun pixel porteranno il realismo dei dettagli a un livello mai immaginato. Il tuo Pokédex apparirà così realistico da rendere superato qualsiasi dispositivo mai creato in passato. Buon divertimento!	Pokémon GO는 항상 기술의 한계에 도전하며 그래픽에 관해서 최신 기술을 가지고 있습니다. 그리고 오늘 세계에서도 최첨단 테크놀로지 도입을 발표합니다. \n \n그 테크놀로지란 최첨단 8bit 그래픽입니다. 해상도는 4K의 2배 모든 도트가 더 아름답게 표현되어 「포켓몬 도감」에 표현되는 포켓몬들은 지금까지 없었던 생생함을 보여 줄 것입니다.		我們一直希望能用最頂尖的技術為世界各地的訓練家帶來最精美的介面，所以我們很高興能在此宣布：Pokémon GO將在今天導入凝聚頂尖技術的繪圖引擎！ \n \n導入最新的繪圖引擎後，Pokémon GO將得以推出走在時代最尖端的8-bit視覺效能，解析度高達4K的兩倍，每一個像素都將變得更加鮮明，「寶可夢圖鑑」上的每一隻寶可夢看起來都是前所未見地栩栩如生。 	Treinadores, queremos sempre trazer uma experiência de jogo incrível com os melhores gráficos e estamos muito empolgados por poder dividir nossa conquista com os milhares de Treinadores do Pokémon GO pelo mundo. Vocês poderão aproveitar o Pokémon GO de uma forma nova com gráficos superavançados de 8-bit, que possuem aproximadamente o dobro da qualidade da definição de 4K. Os quadrados dentro de cada pixel dão um detalhe mais realista e uma definição inacreditável ao jogo. Seu Pokédex vai parecer que tem vida própria. Esperamos que vocês se divirtam!
news_header_research	Trainers, It’s Time to Conduct Important Pokémon Research!	新要素「ポケモンリサーチ」で毎日の冒険がより楽しく！	Dresseurs, il est temps d’entreprendre des recherches Pokémon importantes.	¡Es hora de llevar a cabo importantes investigaciones Pokémon!	Es ist Zeit für wichtige Pokémon-Forschung, Trainer! 	Conduci importanti ricerche sul mondo Pokémon!	새로운 요소 「리서치」로 매일 모험이 더 즐겁게!		各位訓練家，一起來研究寶可夢吧！	Está na hora de conduzir pesquisas Pokémon importantes!
