Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_battleshowdown	Fighting-Type Pokémon Star in Our Special Battle Showdown!	「バトルウィーク」イベント開催！ジムでバトルを楽しもう!!	Une Épreuve de force met en valeur les Pokémon de type Combat !	¡Combate con los protagonistas de nuestro evento especial Desafío Lucha!	Kampf-Pokémon sind die Stars unseres besonderen Showdowns!	I Pokémon di tipo Lotta sono i protagonisti dell’evento speciale Resa dei conti!	「배틀위크」 이벤트 개최! 체육관에서 배틀을 즐기자!!		對戰週登場！一起去踢館！！	Os Pokémon de tipo Luta serão as estrelas do evento especial Desafio de Força!
news_subheader_battleshowdown	Fighting-Type Pokémon Star in Our Special Battle Showdown!	「バトルウィーク」イベント開催！ジムでバトルを楽しもう!!	Une Épreuve de force met en valeur les Pokémon de type Combat !	¡Combate con los protagonistas de nuestro evento especial Desafío Lucha!	Kampf-Pokémon sind die Stars unseres besonderen Showdowns!	I Pokémon di tipo Lotta sono i protagonisti dell’evento speciale Resa dei conti!	「배틀위크」 이벤트 개최! 체육관에서 배틀을 즐기자!!		對戰週登場！一起去踢館！！	Os Pokémon de tipo Luta serão as estrelas do evento especial Desafio de Força!
news_main_text_battleshowdown	Trainers, it’s time to test the strength of your Pokémon during a special battle event! Fighting-type Pokémon, such as Machop and Makuhita, will appear more frequently in the wild starting May 1 at 1:00 p.m. PDT. \n \nBut what’s a battle celebration without some competition at your nearby Gym? Until May 14, you’ll receive 2× bonus XP for Gym Battles and Raid Battles. Plus, Raid Battles will also award a guaranteed 3,000 Stardust for participating—and at least one Rare Candy if you win! \n \nSeveral actions at Gyms will yield bonuses, including a 2× Badge multiplier, so you can receive even more benefits at a Gym you visit frequently. Just stopping by? Spinning the Photo Disc at Gyms will also yield more items! \n \nOur Battle Showdown is sure to pack a punch, so don’t miss it!   	ジムでバトルをもっともっと楽しめるイベント「バトルウィーク」を、日本時間5月2日（水）早朝から5月14日（月）までの間、開催します。普段からバトルを楽しんでいる方はもちろん、まだバトルは初心者という方も、是非この機会にお近くのジムで、あなたのポケモンを戦わせて、腕試しをしてみましょう！イベント期間中は、ジムバトルやレイドバトルをすることで手に入るXPが、いつもの2倍に。さらに、レイドバトルに参加するだけで「ほしのすな」が3,000もらえ、勝つとさらに、「ふしぎなアメ」が必ずもらえるようになります！また、期間中はジムバッジのランクによるボーナスも2倍に。よく訪れるジムからは、より多くのXPがもらえ、ジムのフォトディスクを回したときにもらえる道具も、いつもより多くなります。そして、期間中は「バトル」を好みそうなポケモンたち、ワンリキーやマクノシタなどの、「かくとうタイプ」のポケモンたちと出会いやすくなるようです！	Dresseurs, il est temps de mettre la force de vos Pokémon à l’épreuve dans un évènement spécial combat. À partir du 1er mai à 13h00 (heure d’été du Pacifique), les Pokémon de type Combat, tels que Machoc et Makuhita, apparaitront plus fréquemment dans la nature. \n \nMais que serait une célébration des combats sans des affrontements dans les Arènes qui vous entourent ? Jusqu’au 14 mai, vous recevrez en bonus le double de PX pour vos combats d’Arènes et de Raids. En outre, les Combats de Raids attribueront 3 000 Poussières Étoiles pour toute participation, et au moins un Super Bonbon si vous remportez le combat. \n \nCertaines activités dans les Arènes offriront des bonus, notamment le double de points envers vos Badges. Vous rendre dans vos Arènes habituelles sera donc gratifiant. Vous ne faites que passer ? Faites tourner le PhotoDisque d’une Arène pour recevoir plus d’objets ! \n \nCette Épreuve de force va frapper fort, ne la manquez pas !   	¡Ha llegado la hora de poner a prueba la fuerza de tus Pokémon durante un evento especial de combates! Pokémon de tipo Lucha, como Machop y Makuhita, aparecerán en estado salvaje con más frecuencia a partir del 1 de mayo a la 1:00 p. m. PDT. \n \nPero ¿qué es una celebración de combates sin algo de competición en un Gimnasio cercano? Hasta el 14 de mayo, recibirás el doble de PX extras por los combates de Gimnasio y las incursiones. Además, en las incursiones también tendrás garantizados 3000 Polvos Estelares por participar, ¡y al menos un Caramelo Raro si ganas! \n \nEn los Gimnasios podrás hacer varias acciones que te proporcionen bonus, incluyendo el doble de PX para ganar una Medalla de Gimnasio, así que podrás recibir aún más beneficios en un Gimnasio que visites con frecuencia. ¿Que solo estás de paso? ¡Gira fotodiscos en los Gimnasios, y recibirás más objetos! \n \nSeguro que nuestro Desafío Lucha pegará fuerte, ¡así que no te lo pierdas!	Teste die Stärke deiner Pokémon während eines besonderen Kampf-Events! Wilde Kampf-Pokémon wie Machollo und Makuhita erscheinen ab dem 1. Mai um 13:00 Uhr PDT mit vermehrter Häufigkeit. \n \nKein Kampffest ist komplett ohne ein paar Arenakämpfe! Wenn du bis zum 14. Mai in einer Arena oder einem Raid-Kampf antrittst, erhältst du doppelt so viele EP wie sonst. Für die Teilnahme an Raid-Kämpfen sind dir außerdem 3 000 Sternenstaub sicher – plus mindestens ein Sonderbonbon für einen Sieg! \n \nAuch für andere Arena-Aktivitäten gibt es Bonus-Belohnungen, z. B. die doppelte Menge von EP für deinen Medaillenfortschritt, sodass du bei Arenen, die du oft besuchst, noch mehr Vorteile hast. Du siehst nur mal kurz vorbei? Drehe die Fotoscheibe bei einer Arena und erhalte mehr Items als üblich! \n \nUnser Battle Showdown hat es ganz sicher in sich – lass ihn dir nicht entgehen! 	È arrivato il momento di far mostrare i muscoli ai tuoi Pokémon nel prossimo evento dedicato alla lotta con la L maiuscola! I Pokémon selvatici di tipo Lotta come Machop e Makuhita, infatti, appariranno più spesso a partire dal 1°maggio alle 20:00 (UTC). Ma che cosa sarebbe questo evento senza qualche bella competizione presso le Palestre? Ecco perché fino al 14 maggio riceverai il doppio dei PE dalle sfide in Palestra e dai raid. In più, i raid ti garantiranno una quantità di polvere di stelle pari a 3.000 solo per avervi partecipato e una Caramella Rara a tutti coloro che porteranno a casa la vittoria! Tantissime altre attività presso le Palestre elargiranno dei bonus inaspettati, tra cui il doppio dei PE per ogni Medaglia che ti aggiudicherai. Se invece sei solo di passaggio, basterà fari girare i dischi foto delle Palestre per ricevere più strumenti. Il prossimo evento speciale Resa dei conti colpirà duro, assicurati di non mancare!	체육관에서 배틀을 더 즐길 수 있는 이벤트 「배틀위크」를 한국 시간 5월 2일(수) 새벽부터 5월 14일(월)까지 개최합니다. 평소 배틀을 즐기던 분은 물론 아직 배틀은 초보자인 분도 이번 기회에 근처의 체육관에서 여러분 포켓몬의 배틀 실력을 시험에 봅시다! 이벤트 기간에는 체육관 배틀이나 레이드 배틀을 하면 얻을 수 있는 XP가 평소의 2배가 됩니다. 그리고 레이드배틀에 참가하는 것만으로 「별의모래」가 3.000이나 받을 수 있으며 이기면 「이상한사탕」을 반드시 받을 수 있습니다! 기간에는 「배틀」을 좋아해 보이는 포켓몬 알통몬이나 마크탕의 「격투타입」 포켓몬들과 잘 만날 수 있게 됩니다.		親愛的訓練家們： \n \n該是測試寶可夢對戰實力的時候了！自日本時間5月2日清晨起至5月14日止，遊戲內將舉辦「對戰週」活動，讓各位訓練家能盡情享受對戰的樂趣。 \n \n活動期間內，「腕力」和「幕下力士」等格鬥屬性寶可夢出現的頻度將會提高。參加道館對戰及團體戰可獲得的XP將會是平常的兩倍，而且只要參加團體戰，就一定能獲得星星沙子X3000！如果幸運獲勝，更可以獲得神奇糖果！千萬別錯過精彩熱鬧的對戰週喔！	Chegou a hora de demonstrar a força dos seus Pokémon em um evento especial de batalhas! Os Pokémon selvagens de tipo Luta, como Machop e Makuhita, aparecerão com mais frequência a partir do dia 1º de maio às 13h (horário do Pacífico). \n \nO que seria de uma celebração de batalhas sem competições no Ginásio mais próximo de você? Até o dia 14 de maio, você receberá como bônus o dobro de PE em Batalhas de Ginásio e Batalhas de Reide. Além disso, receberá 3.000 de Poeira Estelar apenas por participar de Batalhas de Reide e pelo menos um Doce Raro se vencer! \n \nOs Ginásios oferecerão diversos tipos de bônus por diferentes atividades, incluindo o dobro de PE ao receber uma Insígnia de Ginásio, para que você tenha ainda mais benefícios nos Ginásios que costuma visitar com maior frequência. Está apenas de passagem? Gire os fotodiscos dos Ginásios para obter um número maior de itens! \n \nNão deixe de aproveitar a pancada que será o Desafio de Força!
news_header_zapdosresearch	New Research Tasks Feature Flying- and Electric-Type Challenges!	新たなリサーチタスク　ーでんき・ひこうタイプチャレンジー　が登場！	Des défis de types Vol et Électrik font désormais partie des nouvelles tâches d’Études.	¡Nuevas tareas de investigación con desafíos de tipo Eléctrico y Volador!	Neue Forschungsaufgaben mit Flug- und Elektro-Herausforderungen!	I Pokémon di tipo Volante ed Elettro sono i protagonisti di una nuova serie di ricerche!	새로운 리서치 과제 전기・비행타입 도전이 등장!		以電屬性及飛行屬性寶可夢為主題的新田野調查課題登場！	Os Pokémon de tipos Elétrico e Voador são os protagonistas das novas pesquisas!
news_subheader_zapdosresearch	New Research Tasks Feature Flying- and Electric-Type Challenges!	新たなリサーチタスク　ーでんき・ひこうタイプチャレンジー　が登場！	Des défis de types Vol et Électrik font désormais partie des nouvelles tâches d’Études.	¡Nuevas tareas de investigación con desafíos de tipo Eléctrico y Volador!	Neue Forschungsaufgaben mit Flug- und Elektro-Herausforderungen!	I Pokémon di tipo Volante ed Elettro sono i protagonisti di una nuova serie di ricerche!	새로운 리서치 과제 전기・비행타입 도전이 등장!		以電屬性及飛行屬性寶可夢為主題的新田野調查課題登場！	Os Pokémon de tipos Elétrico e Voador são os protagonistas das novas pesquisas!
news_main_text_zapdosresearch	Get ready for more Field Research tasks and exciting rewards in May! On May 1 at 1:00 PM PDT, a brand-new set of Field Research tasks focusing on Flying- and Electric-type Pokémon will become available, including skill-based tasks that will challenge your abilities as a Trainer. If you’re able to earn enough stamps for your Research Breakthrough, you’ll have the opportunity to catch the Legendary Electric- and Flying-type Pokémon originally discovered in the Kanto region—Zapdos! So, get out there and conduct some electrifying research this month. Stay safe, and happy exploring!	トレーナーの皆さん、毎日自分のペースで遊べる「フィールドリサーチ」は、お楽しみいただけていますか？素敵なリワードがもらえるこのフィールドリサーチに、日本時間5月2日（水）早朝、新たなタスクが登場！でんき・ひこうタイプのポケモンをテーマとしたものや、トレーナーとしての腕を試せるタスクが遊べるようになります。スタンプを７個集め「大発見」が発生すると、でんき・ひこうタイプの伝説のポケモン「サンダー」と出会えるようです！ \n \nPokémon GO で遊ぶ時は、周囲に注意しながらお楽しみください。 	De nouvelles tâches d’Études de terrain et de super récompenses arrivent en mai ! À parti du 1er mai à 13h00 (heure d’été du Pacifique), de nouvelles tâches d’Études de terrain concentrées sur les Pokémon de types Vol et Électrik seront disponibles, avec notamment des tâches qui mettront vos compétences de Dresseur à l’épreuve. Si vous obtenez assez de tampons pour compléter une Phase d’Étude, vous aurez l’occasion d’attraper Électhor, le Pokémon légendaire de type Électrik et Vol originaire de la région de Kanto. Sortez vite entreprendre des recherches électrisantes ! Soyez prudent, et bonne exploration.	¡Prepárate para hacer más tareas de investigación de campo y conseguir emocionantes recompensas en mayo! El 1 de mayo a la 1:00 p. m. PDT, estará disponible un nuevo set de tareas de investigación de campo basadas en Pokémon de tipo Eléctrico y Volador, incluyendo tareas que pondrán a prueba tus destrezas como Entrenador. Si eres capaz de conseguir suficientes sellos para obtener tu logro de investigación, tendrás la oportunidad de capturar al Pokémon legendario de tipo Eléctrico y Volador originalmente descubierto en la región de Kanto, ¡Zapdos! Así que sal afuera y lleva a cabo alguna investigación electrizante y de altura este mes. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Bereit für mehr Feldforschungsaufgaben im Mai? Ab 1. Mai um 13:00 Uhr (PDT) gibt es eine brandneue Gruppe von Feldforschungsaufgaben, die sich mit Flug- und Elektro-Pokémon beschäftigen, darunter einige Aufgaben, die deine Fähigkeiten als Trainer ganz schön auf die Probe stellen werden. Wenn du es schaffst, genug Stempel für einen Forschungsdurchbruch zu sammeln, erhältst du die Chance, das Legendäre Elektro- und Flug-Pokémon, das ursprünglich in der Kanto-Region entdeckt wurde, zu fangen – Zapdos! Also nichts wie raus und diesen Monat besonders energiegeladen forschen! Allzeit sichere und schöne Entdeckungsreisen!	Nuove ricerche sul campo e tantissimi premi speciali in arrivo a maggio! A partire dal 1° maggio alle 20:00 (UTC) sarà disponibile una nuova filza di missioni che si concentrerà sui Pokémon di tipo Volante ed Elettro e non mancheranno alcune di destrezza che metteranno alla prova le tue abilità di Allenatore. Se riuscirai a ottenere abbastanza timbri per la tua scoperta straordinaria, ti sarà offerta la possibilità di catturare Zapdos: il Pokémon di tipo Elettro e di tipo Volante originario della regione di Kanto. Perciò questo mese parti alla volta di ricerche elettrizzanti. Ricorda di essere sempre prudente e buon divertimento!	트레이너 여러분, 매일 자신의 페이스로 플레이 가능한 「필드리서치」는 즐기고 있나요? 멋진 리워드를 받을 수 있는 이 필드리서치에 한국 시간 5월 2일(수) 새벽부터 새로운 과제가 등장! 전기・비행타입 포켓몬을 테마로 내용이나, 트레이너로서의 실력을 시험할 수 있는 과제를 플레이할 수 있습니다. 스탬프를 7개 모아 「대발견」이 발생하면 전기・비행타입의 전설 포켓몬 「썬더」와 만날 수 있습니다! \n \nPokémon GO로 플레이할 때는 주변을 주의하면서 즐겨 주세요. 		自日本時間5月2日清晨起，遊戲裡將會有新的田野調查課題登場！除了有以電屬性及飛行屬性寶可夢為主題的新課題之外，更新增了測試訓練家實力的課題，請各位訓練家記得做好準備！收集7個圖章，達成突破性進展之後，就有機會可以遇見傳說的寶可夢「閃電鳥」！ \n \n玩遊戲時請注意四周環境，小心安全。 	Prepare-se para mais tarefas de pesquisa de campo e mais recompensas maravilhosas em maio! Novas tarefas de pesquisa de campo protagonizadas por Pokémon de tipos Elétrico e Voador estarão disponíveis no dia 1º de maio às 13h (horário do Pacífico), incluindo tarefas que desafiarão as suas habilidades como Treinador. Se você conseguir selos o suficiente para a sua descoberta extraordinária, terá a oportunidade de pegar o Pokémon Lendário de tipo Elétrico e Voador originário da região de Kanto, Zapdos! Então, saia por aí conduzindo pesquisas eletrizantes durante este mês. Tome cuidado e divirta-se explorando o mundo!
news_header_maycmtydayv1	May Community Day Heats Up with Charmander!	5月のコミュニティ・デイは、「ヒトカゲ」が大量発生！	La Journée Communauté de mai va chauffer avec Salamèche !	¡El Día de la Comunidad de mayo se caldea con Charmander!	Glumanda heizt den Community Day im Mai auf!	Il Community Day si incendia con Charmander!	5월 커뮤니티 데이는 「파이리」가 대량발생!		五月社群日的主角寶可夢是…小火龍！	O Dia Comunitário de maio esquenta com Charmander!
news_subheader_maycmtydayv1	May Community Day Heats Up with Charmander!	5月のコミュニティ・デイは、「ヒトカゲ」が大量発生！	La Journée Communauté de mai va chauffer avec Salamèche !	¡El Día de la Comunidad de mayo se caldea con Charmander!	Glumanda heizt den Community Day im Mai auf!	Il Community Day si incendia con Charmander!	5월 커뮤니티 데이는 「파이리」가 대량발생!		五月社群日的主角寶可夢是…小火龍！	O Dia Comunitário de maio esquenta com Charmander!
news_main_text_maycmtydayv1	Trainers, another classic Pokémon originally discovered in the Kanto region will be the star of the upcoming Community Day in May! On Saturday, May 19, Fire-type Pokémon Charmander will appear in the wild more frequently for three hours, and if you evolve a Charmeleon to Charizard during that three-hour window, it will learn an exclusive move that will be revealed in a few weeks. Put those Charged TMs away, Trainers! This special move will only be available for Charizard that are evolved or caught during Community Day. You’ll also receive 3× Stardust for every Pokémon caught for the duration of the Community Day event. Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Plus, a special Community Day box will be available in the in-game shop. Visit PokemonGoLive.com/events to find out when Community Day starts in your region!  \n \nAre you looking for Community Day event details or other Pokémon GO-related meetups happening in your city? There are many websites and platforms that Pokémon GO players use to organize with their local communities. To connect with other Trainers near you, try searching for your city name in conjunction with Pokémon GO on your preferred search engine, or finding groups in your area on social media channels, apps, and websites such as Facebook, Discord, Slack, WhatsApp, The Silph Road, and more! These groups are managed independently by players and are not sponsored by Niantic, but offer great opportunities to meet Trainers in your area.	トレーナーの皆さん \n \n次回の「Pokémon GO コミュニティ・デイ」は、日本時間5月19日(土)お昼の12時から15時の開催を予定しています。 今回大量発生するポケモンは、カントー地方のポケモン「ヒトカゲ」です！さらに、イベント開催中の3時間の間に、リザードからリザードンへ進化させると、そのリザードンは特別なわざを覚えるようです。  \n \n※イベント開催時間中に進化したリザードンのみ、特別なわざを覚えます。イベント開催時間中に捕まえた野生のリザードンも、このわざを覚えています。 \n \nイベント開催時間中は、ルアーモジュールの効果が3時間継続し、ポケモンを捕まえたときにもらえるほしのすなの量が3倍になります。また、ショップでは、コミュニティ・デイの冒険に役立つ特別なアイテムボックスもご用意いたします。 \n \n詳細は PokemonGOLive.com/events をご覧ください。 \n \nーPokémon GO チーム一同	Dresseurs, en mai un autre Pokémon classique originaire de la région de Kanto sera la star de la Journée Communauté dans Pokémon GO. Le samedi 19 mai, pendant trois heures, le Pokémon de type Feu Salamèche fera des apparitions fréquentes. Si vous faites évoluer un Reptincel en Dracaufeu durant ce laps de temps, ce dernier apprendra une attaque exclusive qui vous sera révélée dans quelques semaines. Vous pouvez ranger vos CT Attaques Chargées, Dresseurs. Seuls les Dracaufeu ayant évolué ou ayant été attrapés durant la Journée Communauté pourront apprendre cette attaque spéciale. Vous recevrez également trois fois la quantité de Poussières Étoiles pour chaque Pokémon attrapé pendant la Journée Communauté. Et n’oubliez pas vos Modules Leurre qui resteront actifs pendant trois heures pour vous permettre de profiter au maximum de cet évènement. En outre, une boîte spéciale Journée Communauté sera disponible dans la Boutique du jeu. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur PokemonGoLive.com/fr/events.  	¡Otro Pokémon clásico originalmente descubierto en la región de Kanto será la estrella del Día de la Comunidad de mayo! El sábado 19 de mayo, el Pokémon de tipo Fuego Charmander aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Charmeleon a un Charizard durante ese periodo de tres horas, aprenderá un movimiento exclusivo que será revelado dentro de varias semanas. ¡Guarda esas MT de ataque cargado! Este movimiento especial solo estará disponible para los Charizard que hayan evolucionado o sido atrapados durante el Día de la Comunidad. Además, recibirás el triple de Polvos Estelares por cada Pokémon que atrapes durante el evento del Día de la Comunidad. Y no te olvides de tus Módulos Cebo, porque permanecerán activos durante tres horas para ayudarte a que aproveches al máximo el evento. Y también habrá disponible un pack especial de Día de la Comunidad en la tienda del juego. ¡Visita PokemonGoLive.com/events para averiguar cuándo empieza el Día de la Comunidad en tu región!	Im Mai ist der Star des Pokémon GO Community Day wieder eines der klassischen Pokémon, die ursprünglich in der Kanto-Region entdeckt wurden, Trainer! Am Samstag, den 19. Mai erscheint das Feuer-Pokémon Glumanda drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden ein Glutexo zu Glurak entwickelst, kann es eine exklusive Attacke lernen, die wir etwas später enthüllen werden. Das geht ganz ohne Lade-TMs, Trainer! Diese spezielle Attacke gibt es nur für Glurak, die am Community Day entwickelt oder gefangen werden. Außerdem erhältst du für alle Pokémon, die du während des Event-Zeitraums fängst, die dreifache Menge Sternenstaub! Vergiss auch nicht deine Lockmodule, denn sie bleiben drei Stunden lang aktiv, damit du auch wirklich alles aus dem Event rausschlagen kannst. Besuche PokemonGoLive.com/events, um herauszufinden, wann Community Day in deiner Gegend anfängt!	È ufficiale! Un altro Pokémon originariamente scoperto nella regione di Kanto sarà la star del Community Day di maggio. Sabato 19 maggio tantissimi Charmander selvatici appariranno più frequentemente per tre ore, inoltre se riuscirai a far evolvere un Charmeleon in Charizard durante quelle stesse tre ore, questo Pokémon di tipo Fuoco imparerà una mossa esclusiva che sarà rivelata tra poche settimane. Manda pure in pensione tutte le tue TM attacco caricato! Questa mossa speciale sarà disponibile solo per i Charizard che si evolvono o che vengono catturati durante il Community Day. Inoltre riceverai il triplo della polvere di stelle per ogni Pokémon che catturerai nel corso dell’evento. E non dimenticare che i tuoi moduli esca resteranno attivi per ben tre ore per sfruttare al meglio quest’occasione! Infine, al negozio sarà disponibile una nuova offerta per celebrare l’evento. Visita PokemonGOLive.com/it/events per scoprire a che ora inizia il Community Day nel tuo paese.	트레이너 여러분 \n \n다음 「Pokémon GO 커뮤니티 데이」는 한국시간 5월 19일(토)12시부터 15시까지 개최 예정입니다. 이번 대량발생하는 포켓몬은 관동지방의 포켓몬 「파이리」입니다! 이벤트 개최 중 3시간 동안에 리자드에서 리자몽으로 진화하면 그 리자몽은 특별한 기술 을 배우고 있습니다.  \n \n※이벤트 개최 시간 중 진화한 리자몽만 특별한 기술을 배웁니다. 이벤트 개최 시간 중 잡은 야생 리자몽도 이 기술을 배우고 있습니다.  이벤트 개최 시간 중 루어모듈 효과가 3시간 유지되며 포켓몬을 잡았을 때 받을 수 있는 별의모래 양이 3배가 됩니다. 또 숍에서는 커뮤니티 데이 모험에 도움이 되는 특별한 아이템 박스도 준비합니다. \n \n자세한 내용은 PokemonGoLive.com/events 를 확인해 주세요. \n \n—The Pokémon GO팀		親愛的訓練家們： \n \n五月的Pokémon GO社群日將於台灣時間5月19日11:00-14:00登場。這次的主角寶可夢是來自關都地區的小火龍！活動時間內，火屬性的小火龍將會大量出現，如果能在活動時間內讓火恐龍進化成噴火龍，牠就能學會特別的招式，敬請期待！ \n \n※請注意，只有在活動時間內讓火恐龍進化成噴火龍，牠才能學會特別的招式。此外，在活動時間內捕捉到的野生噴火龍也將擁有此特別的招式。 \n \n活動期間內，誘餌模組的效果將延長為3小時，捕獲寶可夢時可獲得的星星沙子也將是平常的3倍。此外，商店裡也將限時推出最適合社群日冒險的禮盒，千萬別錯過！ \n \n關於更多活動資訊，請至 PokemonGoLive.com/events 確認。 \n \n—Pokémon GO開發團隊敬上 	Outro Pokémon clássico originário da região de Kanto será a estrela do próximo Dia Comunitário que acontecerá em maio! No domingo, dia 19 de maio, o Pokémon de tipo Fogo Charmander aparecerá mais frequentemente durante três horas, e, se você evoluir um Charmeleon para Charizard durante essas três horas, Charizard aprenderá um movimento exclusivo que será revelado em algumas semanas. Você pode guardar as suas MTs ataque carregado! Esse movimento especial só estará disponível para Charizard que tiverem evoluído ou que tiverem sido pegos durante o Dia Comunitário. Além disso, você receberá o triplo de Poeira Estelar para cada Pokémon que pegar durante o evento do Dia Comunitário. Não se esqueça de usar seus Módulos Atrair, que ficarão ativados durante três horas para ajudá-lo a aproveitar ao máximo o evento. E mais, um combo especial do Dia Comunitário estará disponível na loja do jogo. Visite PokemonGoLive.com/events para descobrir que horas o Dia Comunitário começa na sua região!
news_header_latis	Latias and Latios Fly into Regional Raid Battles!	伝説のポケモン「ラティアス」・「ラティオス」がレイドバトルに登場！！	Latias et Latios atterrissent dans des Combats de Raids régionaux.	¡Latias y Latios aterrizan en incursiones de diferentes regiones!	Latias und Latios fliegen in regionale Raid-Kämpfe ein!	Latias e Latios in picchiata sui raid di tutto il mondo!	전설의 포켓몬 「라티아스」, 「라티오스」가 레이드배틀에 등장!!		傳說的寶可夢拉帝亞斯及拉帝歐斯降臨團體戰！	Latias e Latios chegarão voando nas batalhas de Reide regionais!
