Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_itemincrease	New Item Capacity Upgrades Now Available in the Shop!	持てる「道具」の上限が、最大2000個になりました！	Des extensions de stockage sont disponibles dans la Boutique.	¡Ya está disponible en la tienda el nuevo aumento de espacio para objetos!	Neue Beutel-Plus-Upgrades jetzt im Shop erhältlich!	Fai ancora più spazio ai tuoi strumenti, accedi ora al negozio!	지닐 수 있는 도구의 수가 최대 2000개로 늘어납니다!		可以升級包包囉！現在最多可攜帶2000個道具！	O upgrade do estoque de itens já está disponível na loja!
news_subheader_itemincrease	New Item Capacity Upgrades Now Available in the Shop!	持てる「道具」の上限が、最大2000個になりました！	Des extensions de stockage sont disponibles dans la Boutique.	¡Ya está disponible en la tienda el nuevo aumento de espacio para objetos!	Neue Beutel-Plus-Upgrades jetzt im Shop erhältlich!	Fai ancora più spazio ai tuoi strumenti, accedi ora al negozio!	지닐 수 있는 도구의 수가 최대 2000개로 늘어납니다!		可以升級包包囉！現在最多可攜帶2000個道具！	O upgrade do estoque de itens já está disponível na loja!
news_main_text_itemincrease	Trainers, we understand that even the most dedicated adventurers can run out of space to put their stuff. So, to help you on forthcoming journeys—including May Pokémon GO Community Day, starring Charmander—we have a new item storage upgrade in the shop! Now, you can purchase even more space to allow you to carry up to 2,000 items. That’s plenty of room to store your Poké Balls, Berries, and more. Stay safe, and happy exploring!	トレーナーの皆さん、ショップの「バッグ アップグレード」により持てる道具の上限数が、最大2000個になりました。今週末に控えた5月の「Pokémon GO コミュニティ・デイ」をはじめ、さまざまな冒険シーンで是非お役立てください。 Pokémon GO で遊ぶ時は、周囲に注意しながらお楽しみください。	Dresseurs, nous savons bien que les aventuriers aguerris peuvent manquer de place pour ranger leurs affaires. Pour vous aider dans vos périples à venir, notamment pour la Journée Communauté de Pokémon GO de mai qui met en vedette Salamèche, retrouvez des extensions de stockage dans la Boutique. Vous pouvez désormais acheter plus d’espace et ainsi transporter jusqu’à 2 000 objets. Vous aurez assez de place pour stocker vos Poké Balls, vos Baies et bien plus encore. Soyez prudent, et bonne exploration.	Entendemos que hasta los aventureros más dedicados se pueden quedar sin espacio para guardar sus cosas. Por ello, para ayudarte en tus próximas aventuras, incluyendo el Día de la Comunidad de Pokémon GO de mayo que tendrá a Charmander como protagonista, tendremos un nuevo aumento de espacio para objetos en la tienda. Ahora podrás adquirir aún más espacio para que puedas guardar hasta 2000 objetos. Eso es suficiente espacio para guardar tus Poké Balls, bayas y muchas cosas más. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Wir wissen, dass selbst dem erfahrensten Abenteurer der Platz für seine Sachen ausgehen kann, Trainer. Um dir auf bevorstehenden Reisen zu helfen, beispielsweise am Pokémon GO Community Day im Mai mit Glumanda, bieten wir jetzt neue Beutel-Plus-Upgrades im Shop an! Ab sofort kannst du noch mehr Platz kaufen und bis zu 2 000 Items tragen. Das reicht sicherlich für alle deine Pokébälle, Beeren und mehr. Allzeit sichere und schöne Entdeckungsreisen!	Persino l’avventuriero più parsimonioso può trovarsi a corto di spazio nella propria Borsa. È per questo che per qualsiasi spedizione futura, incluso il Community Day con protagonista Charmander, saranno disponibili ampliamenti dello spazio della Borsa nel negozio della app. Potrai infatti scegliere di portare il limite a ben 2.000 strumenti, praticamente tutto lo spazio che vuoi per Poké Ball, bacche e tanto altro. Ricorda di essere sempre prudente e buon divertimento!	트레이너 여러분, 숍에서 「가방 업그레이드」로 지닐 수 있는 도구의 상한 수가 최대 2000개가 되었습니다. 이번 주말에 있는 「Pokémon GO 커뮤니티 데이」를 시작으로 다양한 모험 장면에서 도움이 되실 겁니다. Pokémon GO로 플레이할 때는 주변에 주의하면서 플레이해주십시오. 		親愛的訓練家們： 現在正是升級包包的好時機！我們擴充了包包的容量，你最多可以攜帶2000個道具和你一起冒險。這週末就是五月的Pokémon GO社群日，快趁這個機會多準備一些道具吧！ 玩Pokémon GO時，請注意周遭環境，並小心安全。 	Entendemos que até os aventureiros mais dedicados podem acabar sem espaço para guardar suas coisas. Por isso, para ajudar você em suas próximas jornadas, que inclui o Dia Comunitário de maio que terá Charmander como protagonista, teremos um novo upgrade do estoque de itens na loja. Você pode adquirir ainda mais espaço para carregar até 2.000 itens na sua Bolsa. É espaço suficiente para guardar suas Poké Bolas, Frutas e muito mais. Tome cuidado e divirta-se explorando o mundo!
news_header_maycmtydayv2	Get a Charizard with Blast Burn on May Community Day!	5月のコミュニティ・デイで、ブラストバーンを覚えた「リザードン」を手に入れよう！ 	Obtenez un Dracaufeu avec Rafale Feu lors de la Journée Communauté de mai.	¡Consigue un Charizard con Anillo Ígneo durante el Día de la Comunidad de mayo!	Schnapp dir ein Glurak mit Lohekanonade am Community Day im Mai!	Ottieni un Charizard con Incendio per il Community Day di maggio!	5월 커뮤니티 데이에서 블러스트번을 배운 「리자몽」을 손에 넣자! 		五月社群日可以見到學會「爆炸烈焰」的噴火龍！ 	Obtenha um Charizard com Queimadura Explosiva no Dia Comunitário de maio!
news_subheader_maycmtydayv2	Get a Charizard with Blast Burn on May Community Day!	5月のコミュニティ・デイで、ブラストバーンを覚えた「リザードン」を手に入れよう！ 	Obtenez un Dracaufeu avec Rafale Feu lors de la Journée Communauté de mai.	¡Consigue un Charizard con Anillo Ígneo durante el Día de la Comunidad de mayo!	Schnapp dir ein Glurak mit Lohekanonade am Community Day im Mai!	Ottieni un Charizard con Incendio per il Community Day di maggio!	5월 커뮤니티 데이에서 블러스트번을 배운 「리자몽」을 손에 넣자! 		五月社群日可以見到學會「爆炸烈焰」的噴火龍！ 	Obtenha um Charizard com Queimadura Explosiva no Dia Comunitário de maio!
news_main_text_maycmtydayv2	Trainers, another classic Pokémon originally discovered in the Kanto region will be the star of the upcoming Community Day in May! On Saturday, May 19, Fire-type Pokémon Charmander will appear in the wild more frequently for three hours, and if you evolve a Charmeleon to Charizard during that three-hour window, it will learn the Fire-type move Blast Burn. Put those Charged TMs away, Trainers! This special move will only be available for Charizard that are evolved or caught during Community Day. You’ll also receive 3× Stardust for every Pokémon caught for the duration of the Community Day event. Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Plus, a special Community Day box will be available in the in-game shop. Visit PokemonGOLive.com/events to find out when Community Day starts in your region!  \n \nAre you looking for Community Day event details or other Pokémon GO-related meetups happening in your city? There are many websites and platforms that Pokémon GO players use to organize with their local communities. To connect with other Trainers near you, try searching for your city name in conjunction with Pokémon GO on your preferred search engine, or finding groups in your area on social media channels, apps, and websites such as Facebook, Discord, Slack, WhatsApp, The Silph Road, and more! These groups are managed independently by players and are not sponsored by Niantic, but offer great opportunities to meet Trainers in your area.	トレーナーの皆さん \n \n次回の「Pokémon GO コミュニティ・デイ」は、日本時間5月19日(土)お昼の12時から15時の開催を予定しています。 今回大量発生するポケモンは、カントー地方のポケモン「ヒトカゲ」です！さらに、イベント開催中の3時間の間に、リザードからリザードンへ進化させると、そのリザードン ブラストバーン を覚えるようです。  \n \n※イベント開催時間中に進化したリザードンのみ、特別なわざを覚えます。イベント開催時間中に捕まえた野生のリザードンも、このわざを覚えています。 \n \nイベント開催時間中は、ルアーモジュールの効果が3時間継続し、ポケモンを捕まえたときにもらえるほしのすなの量が3倍になります。また、ショップでは、コミュニティ・デイの冒険に役立つ特別なアイテムボックスもご用意いたします。 \n \n詳細は PokemonGOLive.com/events をご覧ください。 \n \nーPokémon GO チーム一同	Dresseurs, en mai un autre Pokémon classique originaire de la région de Kanto sera la star de la Journée Communauté dans Pokémon GO. Le samedi 19 mai, pendant trois heures, le Pokémon de type Feu Salamèche fera des apparitions fréquentes. Si vous faites évoluer un Reptincel en Dracaufeu durant ce laps de temps, ce dernier apprendra une attaque de type Feu, Rafale Feu. Vous pouvez ranger vos CT Attaques Chargées, Dresseurs. Seuls les Dracaufeu ayant évolué ou ayant été attrapés durant la Journée Communauté pourront apprendre cette attaque spéciale. Vous recevrez également trois fois la quantité de Poussières Étoiles pour chaque Pokémon attrapé pendant la Journée Communauté. Et n’oubliez pas vos Modules Leurre qui resteront actifs pendant trois heures pour vous permettre de profiter au maximum de cet évènement. En outre, une boîte spéciale Journée Communauté sera disponible dans la Boutique du jeu. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur PokemonGoLive.com/fr/events.  \n \nVous cherchez plus de détails sur les Journées Communauté et d’autres rassemblements Pokémon GO dans vos environs ? Les joueurs de Pokémon GO utilisent plusieurs sites web et autres plateformes pour s’organiser dans leur communauté. Pour rejoindre des Dresseurs près de chez vous, cherchez le nom de votre ville en conjonction avec Pokémon GO dans un moteur de recherches, ou bien retrouver des groupes dans vos environs sur les réseaux sociaux, applications ou sites web tels que Facebook, Discord, Slack, WhatsApp, The Silph Road, etc. Ces groupes gérés par des joueurs indépendants ne sont pas sponsorisés par Niantic, mais ils présentent de bonnes occasions de rencontrer des Dresseurs dans vos environs.	¡Otro Pokémon clásico originalmente descubierto en la región de Kanto será la estrella del Día de la Comunidad de mayo! El sábado 19 de mayo, el Pokémon de tipo Fuego Charmander aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Charmeleon a un Charizard durante ese periodo de tres horas, aprenderá el movimiento de tipo Fuego Anillo Ígneo. ¡Guarda esas MT de ataque cargado! Este movimiento especial solo estará disponible para los Charizard que hayan evolucionado o sido atrapados durante el Día de la Comunidad. Además, recibirás el triple de Polvos Estelares por cada Pokémon que atrapes durante el evento del Día de la Comunidad. Y no te olvides de tus Módulos Cebo, porque permanecerán activos durante tres horas para ayudarte a que aproveches al máximo el evento. Y también habrá disponible un pack especial de Día de la Comunidad en la tienda del juego. ¡Visita PokemonGoLive.com/events para averiguar cuándo empieza el Día de la Comunidad en tu región! \n \n¿Buscas información sobre eventos del Día de la Comunidad u otros relacionados con Pokémon GO que estén teniendo lugar en tu ciudad? Existen muchos sitios web y plataformas que los jugadores de Pokémon GO usan para organizarse en sus comunidades locales. Para conectar con otros Entrenadores cerca de ti, prueba a buscar el nombre de tu ciudad junto con Pokémon GO en tu buscador preferido o a encontrar grupos en tu zona en canales de redes sociales, aplicaciones y sitios web como Facebook, Discord, Slack, WhatsApp, The Silph Road y otros más. Estos grupos están gestionados por los jugadores de forma independiente y no están patrocinados por Niantic, pero ofrecen buenas oportunidades de conocer a otros Entrenadores en tu área.	Im Mai ist der Star desPokémon GOCommunity Day wieder eines der klassischen Pokémon, die ursprünglich in der Kanto-Region entdeckt wurden, Trainer! Am Samstag, dem 19. Mai erscheint das Feuer-Pokémon Glumanda drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden ein Glutexo zu Glurak entwickelst, kann es die Feuer-Attacke Lohekanonade lernen. Das geht ganz ohne Lade-TMs, Trainer! Diese spezielle Attacke gibt es nur für Glurak, die am Community Day entwickelt oder gefangen werden. Außerdem erhältst du für alle Pokémon, die du während des Event-Zeitraums fängst, die dreifache Menge Sternenstaub! Vergiss auch nicht deine Lockmodule, denn sie bleiben drei Stunden lang aktiv, damit du auch wirklich alles aus dem Event rausschlagen kannst. Im In-Game-Shop werden außerdem besondere Community Day-Boxen erhältlich sein. Besuche PokemonGoLive.com/events, um herauszufinden, wann Community Day in deiner Gegend anfängt! \n \nSuchst du nach Infos zu Community Day-Veranstaltungen oder anderen Pokémon GO-Zusammenkünften, die in deiner Stadt stattfinden? Es gibt viele verschiedene Websites und Plattformen, über die Pokémon GO-Spieler sich innerhalb ihrer örtlichen Communities organisieren. Wenn du mit anderen Trainern in deiner Nähe Verbindung aufnehmen möchtest, empfehlen wir dir, mit deiner Lieblingssuchmaschine nach dem Namen deiner Stadt gefolgt von Pokémon GO zu suchen oder nach Gruppen in deiner Gegend auf Social Media-Kanälen, Apps und Websites wie Facebook, Discord, Slack, WhatsApp, The Silph Road und anderen zu suchen! Diese Gruppen werden von Spielern unabhängig verwaltet und nicht von Niantic gesponsert, aber sie bieten großartige Möglichkeiten, mit Trainern in deiner Gegend zusammenzukommen. 	È ufficiale! Un altro Pokémon originariamente scoperto nella regione di Kanto sarà la star del Community Day di maggio. Sabato 19 maggio, il Pokémon selvatico di tipo Fuoco Charmander apparirà più frequentemente per tre ore, inoltre se riuscirai a far evolvere un Charmeleon in Charizard durante quelle stesse tre ore, questo imparerà la mossa di tipo Fuoco Incendio. Manda pure in pensione tutte le tue TM attacco caricato! Questa mossa particolare sarà disponibile solo per i Charizard che si evolvono o che vengono catturati durante il Community Day. Inoltre riceverai il triplo della polvere di stelle per ogni Pokémon che catturerai nel corso dell’evento. E non dimenticare che i tuoi moduli esca resteranno attivi per ben tre ore per sfruttare al meglio quest’occasione! Infine, al negozio sarà disponibile una nuova offerta per celebrare l’evento. Visita PokemonGOLive.com/it/events per scoprire a che ora inizia il Community Day nel tuo paese.  \n \nSei alla ricerca di maggiori dettagli sui Community Day o altri eventi di Pokémon GO nella tua città? Esistono tantissime piattaforme digitali e siti web che i giocatori di Pokémon GO utilizzano per organizzarsi con le community locali. Se vuoi metterti in contatto con altri Allenatori della tua zona, prova a digitare il nome della tua città insieme a “Pokémon GO” nel tuo motore di ricerca preferito oppure cerca gruppi vicino a te sui social media, sulle app e sui siti web come Facebook, Slack, WhatsApp, The Silph Road e simili. Ricorda che questi gruppi sono gestiti in maniera autonoma da giocatori e non sono affiliati in alcun modo a Niantic, ma offrono ottime opportunità di incontrare altri Allenatori nella tua zona.	트레이너 여러분 \n \n다음 「Pokémon GO 커뮤니티 데이」는 한국시간 5월 19일(토)12시부터 15시까지 개최 예정입니다. 이번 대량발생하는 포켓몬은 관동지방의 포켓몬 「파이리」입니다! 이벤트 개최 중 3시간 동안에 리자드에서 리자몽으로 진화하면 그 리자몽은  블러스트번을 배우고 있습니다.  \n \n※이벤트 개최 시간 중 진화한 리자몽만 특별한 기술을 배웁니다. 이벤트 개최 시간 중 잡은 야생 리자몽도 이 기술을 배우고 있습니다.  이벤트 개최 시간 중 루어모듈 효과가 3시간 유지되며 포켓몬을 잡았을 때 받을 수 있는 별의모래 양이 3배가 됩니다. 또 숍에서는 커뮤니티 데이 모험에 도움이 되는 특별한 아이템 박스도 준비합니다. \n \n자세한 내용은 PokemonGOLive.com/events 를 확인해 주세요. \n \n—The Pokémon GO팀  		親愛的訓練家們： \n \n五月的Pokémon GO社群日將於台灣時間5月19日11:00-14:00登場。這次的主角寶可夢是來自關都地區的小火龍！活動時間內，火屬性的小火龍將會大量出現，如果能在活動時間內讓火恐龍進化成噴火龍，爆炸烈焰」！ \n \n※請注意，只有在活動時間內讓火恐龍進化成噴火龍，牠才能學會特別的招式。此外，在活動時間內捕捉到的野生噴火龍也將擁有此特別的招式。 \n \n活動期間內，誘餌模組的效果將延長為3小時，捕獲寶可夢時可獲得的星星沙子也將是平常的3倍。此外，商店裡也將限時推出最適合社群日冒險的禮盒，千萬別錯過！ \n \n關於更多活動資訊，請至 PokemonGOLive.com/events 確認。 \n \n—Pokémon GO開發團隊敬上 	Outro Pokémon clássico originário da região de Kanto será a estrela do Dia Comunitário do mês de maio! No sábado, dia 19 de maio, o Pokémon selvagem de tipo Fogo Charmander aparecerá com mais frequência durante três horas, e, se você evoluir Charmeleon para Charizard durante essas três horas, Charizard aprenderá o movimento de tipo Fogo Queimadura Explosiva. Você pode guardar as suas MTs ataque carregado! Este movimento especial só estará disponível para Charizard que tiverem evoluído ou que tiverem sido pegos durante o Dia Comunitário. Além disso, você receberá o triplo de Poeira Estelar para cada Pokémon que pegar durante o evento do Dia Comunitário. Não se esqueça de usar seus Módulos Atrair, que ficarão ativados durante três horas para ajudá-lo a aproveitar ao máximo o evento. E mais, um combo especial do Dia Comunitário estará disponível na loja do jogo. Visite PokemonGoLive.com/events para descobrir que horas o Dia Comunitário começa na sua região!  \n \nEstá à procura de detalhes sobre o Dia Comunitário ou sobre outros encontros do Pokémon GO rolando na sua cidade? Existem muitos sites e plataformas que os jogadores do Pokémon GO usam para organizar encontros perto de onde residem. Para se conectar com outros Treinadores perto de você, tente procurar pelo nome da sua cidade junto com Pokémon GO no seu mecanismo de pesquisa favorito ou encontrar grupos na sua área através das redes sociais, aplicativos e sites, como Facebook, Discord, Slack, WhatsApp, The Silph Road e mais! Esses grupos são gerenciados independentemente por jogadores e não são patrocinados pela Niantic, mas oferecem muitas oportunidades para você conhecer Treinadores onde você mora.
news_header_latisswitch	Eon Pokémon Latias and Latios Are Now in New Areas! 	むげんポケモン「ラティアス」と「ラティオス」が新たな地域へ！	Les Pokémon Éon, Latias et Latios, sont maintenant dans de nouvelles régions !	¡Los Pokémon Eón Latias y Latios están ahora en zonas diferentes!	Die Äon-Pokémon Latias und Latios befinden sich jetzt in neuen Gebieten!	I Pokémon Eone Latias e Latios hanno cambiato area!	무한포켓몬 「라티아스」와 「라티오스」가 새로운 지역으로!		無限寶可夢「拉帝亞斯」及「拉帝歐斯」前往新大陸！	Os Pokémon Eternidade Latias e Latios agora podem ser encontrados em novas áreas!
news_subheader_latisswitch	Eon Pokémon Latias and Latios Are Now in New Areas! 	むげんポケモン「ラティアス」と「ラティオス」が新たな地域へ！	Les Pokémon Éon, Latias et Latios, sont maintenant dans de nouvelles régions !	¡Los Pokémon Eón Latias y Latios están ahora en zonas diferentes!	Die Äon-Pokémon Latias und Latios befinden sich jetzt in neuen Gebieten!	I Pokémon Eone Latias e Latios hanno cambiato area!	무한포켓몬 「라티아스」와 「라티오스」가 새로운 지역으로!		無限寶可夢「拉帝亞斯」及「拉帝歐斯」前往新大陸！	Os Pokémon Eternidade Latias e Latios agora podem ser encontrados em novas áreas!
news_main_text_latisswitch	The Eon Pokémon Latias and Latios have traveled to different areas for Raid Battles! Starting May 8 at 1:00 p.m. PDT, Latias will appear in Raid Battles in North America, South America, and Africa, while Latios will appear in Europe and Asia. To help you build your best team, Pokémon like Tyranitar and Mawile—particularly well suited to counter Dragon- and Psychic-types Latias and Latios—will continue to appear in Raid Battles. Get outside and challenge these elusive Pokémon! Both Legendary Pokémon will be available in their new areas until June 5, when they leave Raid Battles. Don’t miss the chance to add both of these powerful Pokémon to your Pokédex! 	むげんポケモンのラティアスとラティオスが新たな地域へと旅立ちました。5月9日（水）午前5時からラティアスは北米・南米・アフリカ地域の伝説レイドバトルに、ラティオスは、ヨーロッパ・アジア地域の伝説レイドバトルに登場します。ドラゴン・エスパータイプのラティアスとラティオスには、あくタイプやフェアリータイプの技が有効です。あくタイプを持つバンギラスやヘルガー、フェアリータイプを持つクチートやグランブルをレイドバトルで捕まえ、ラティアス・ラティオスたちとのバトルに挑みましょう。ラティアスとラティオスの登場は、6月5日（火）まで。ぜひこの機会にレイドバトルへチャレンジしてみてください！	Les Pokémon Éon, Latias et Latios, ont rejoint différentes régions pour des Combats de Raids. À partir du 8 mai à 13h00 (heure d’été du Pacifique), Latias fera son apparition dans les Combats de Raids sur le continent américain et en Afrique, tandis que Latios apparaîtra en Europe et en Asie. Des Pokémon tels que Tyranocif et Mysdibule, particulièrement efficaces en combat contre les Pokémon de type Dragon et Psy tels que Latias et Latios, continueront à apparaître dans les Combats de Raids, vous donnant ainsi l’opportunité de former la meilleure équipe. Sortez et affrontez ces Pokémon furtifs. Ces deux Pokémon légendaires seront disponibles dans leurs régions respectives jusqu’au 5 juin, après quoi ils quitteront les Combats de Raids. Ne manquez pas l’occasion de compléter votre Pokédex avec ces deux Pokémon puissants.	Los Pokémon Eón Latias y Latios han viajado a diferentes zonas para aparecer en incursiones. A partir del 8 de mayo a la 1:00 p. m. PDT, Latias aparecerá en incursiones en Norteamérica, Sudamérica y África, mientras que Latios aparecerá en Europa y Asia. Para ayudarte a que formes el mejor equipo que puedas, seguirán apareciendo en incursiones Pokémon como Tyranitar y Mawile, particularmente buenos para enfrentarse a los Pokémon de tipo Dragón y Psíquico Latias y Latios. ¡Sal afuera y desafía a estos huidizos Pokémon! Estos dos Pokémon legendarios estarán disponibles en sus nuevas zonas hasta el 5 de junio, cuando dejarán de aparecer en incursiones. ¡No pierdas la oportunidad de añadir a estos dos poderosos Pokémon a tu Pokédex!	Die Äon-Pokémon Latias und Latios sind für Raid-Kämpfe in andere Gebiete gereist! Ab dem 8. Mai um 13:00 Uhr (PDT) erscheint Latias in Raid-Kämpfen in Nordamerika, Südamerika und Afrika, während Latios in Europa und Asien erscheint. Um dir beim Zusammenstellen deines besten Teams zu helfen, erscheinen Pokémon wie Despotar und Flunkifer, die sich besonders gut im Kampf gegen die Drachen- und Psycho-Pokémon Latias und Latios schlagen, weiterhin in Raid-Kämpfen. Geh raus und fordere diese seltenen Pokémon heraus! Beide Legendären Pokémon sind in ihren neuen Gebieten bis zum 5. Juni zu finden, danach verlassen sie die Raid-Kämpfe. Lass dir die Chance nicht entgehen, diese beiden mächtigen Pokémon deinem Pokédex hinzuzufügen!	I Pokémon Eone Latias e Latios si sono trasferiti in nuove aree per partecipare ad altri raid! A partire dalle 20:00 (UTC) di domenica 8 maggio, Latias apparirà nei raid nordamericani, sudamericani e africani mentre Latios si farà vivo in Europa e Asia Pacifica. E non è tutto! Nella speranza che possano aiutarti a realizzare la squadra migliore che c’è per affrontare questo duo di Pokémon di tipo Drago e Psico, Tyranitar e Mawile continueranno a fare capolino nei raid. Fiondati all’aria aperta e sfida questi Pokémon così sfuggenti! Latias e Latios saranno disponibili nelle rispettive nuove aree solo fino al 5 giugno, dopo di che non appariranno più nei raid. Non perdere l’opportunità di aggiungere entrambi questi potentissimi Pokémon al tuo Pokédex!	무한포켓몬 라티아스와 라티오스가 새로운 지역으로 떠났습니다. 5월 9일(수) 오전 5시부터 라티아스는 북미, 남미, 아프리카 지역의 전설 레이드배틀로, 라티오스는 유럽, 아시아지역 전설 레이드배틀에 등장합니다. 드래곤・에스퍼타입의 라티아스와 라티오스에는 악타입이나 페어리타입의 기술이 효과적입니다. 악타입을 가진 마기라스나 헬가, 페어리타입을 가진 입치트나 그랑블루를 레이드배틀에서 잡아 라티아스, 라티오스와의 배틀에 도전해봅시다. 라티아스와 라티오스의 등장은 6월 5일(화)까지입니다. 이번 기회에 레이드배틀에 도전해보세요!		無限寶可夢「拉帝亞斯」及「拉帝歐斯」已啟程前往新大陸！自日本時間5月9日凌晨5點起，拉亞斯將降臨北美、南美及非洲的團體戰；而拉帝歐斯將降臨歐洲及亞洲的團體戰。如果想擊敗同時擁有龍屬性及超能力的拉帝亞斯及拉帝歐斯，惡屬性及妖精屬性的招術將會特別有效。在團體戰中捕捉惡屬性的班基拉斯、黑魯加及妖精屬性的大嘴娃、布魯皇，然後派出牠們去迎擊拉帝亞斯和拉帝歐斯吧！拉帝亞斯及拉帝歐斯將會在6月5日離開各地道館，千萬別錯過！	Os Pokémon Eternidade Latias e Latios viajaram para novas áreas para participar de Batalhas de Reide! A partir do dia 8 de maio, às 13h (horário do Pacífico), Latias aparecerá em Batalhas de Reide na América do Norte, América do Sul e África, enquanto Latios aparecerá na Europa e na Ásia. Para ajudar você a construir a melhor equipe, Pokémon como Tyranitar e Mawile, que são perfeitos para batalhar contra Pokémon de tipo Dragão e Psíquico como Latias e Latios, continuarão a aparecer em Batalhas de Reide. Saia de casa e desafie estes Pokémon ardilosos! Ambos os Pokémon Lendários estarão disponíveis nas suas novas áreas até o dia 5 de junho, quando deixarão de aparecer nas Batalhas de Reide. Não perca a chance de adicionar estes dois poderosos Pokémon ao seu Pokédex!
news_header_summertour2018	Get Pumped Up for Pokémon GO Summer Tour 2018!	世界各地で Pokémon GO のイベントを開催！ Pokémon GO サマーツアー 2018！	La Tournée estivale Pokémon GO 2018 est bientôt là !	¡Prepárate para el Tour de Verano de 2018 de Pokémon GO!	Freu dich auf die Pokémon GO-Sommertour 2018!	Il Summer Tour 2018 di Pokémon GO sta per iniziare!	전 세계에서 Pokémon GO 이벤트를 개최! Pokémon GO 서머투어2018!		今年夏天Pokémon GO將會在世界各地舉辦許多有趣的活動！趕快確認行事曆，為「Pokémon GO Summer Tour 2018」做好準備吧！	Está na hora de se empolgar para a Turnê de Verão 2018 do Pokémon GO!
