Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_junavatar	Show Off Mythical and Legendary Looks with New T-shirt Avatar Items!	ミュウ、ラティアス・ラティオスの着せ替えアイテムが登場！	Arborez des looks fabuleux et légendaires avec les nouveaux t-shirts pour avatar.	¡Presume de un estilo singular y legendario con nuevos artículos de avatar!	Glänze im Mysteriösen und Legendären Stil mit neuen T-Shirts für deinen Avatar!	Misterioso o leggendario? Scegli il tuo look con le nuove T-shirt!	뮤, 라티아스, 라티오스 의상 아이템이 등장!		夢幻、拉帝亞斯／拉帝歐斯的換裝道具登場！	Adote um visual mítico e lendário com as novas camisetas para avatar!
news_subheader_junavatar	Show Off Mythical and Legendary Looks with New T-shirt Avatar Items!	ミュウ、ラティアス・ラティオスの着せ替えアイテムが登場！	Arborez des looks fabuleux et légendaires avec les nouveaux t-shirts pour avatar.	¡Presume de un estilo singular y legendario con nuevos artículos de avatar!	Glänze im Mysteriösen und Legendären Stil mit neuen T-Shirts für deinen Avatar!	Misterioso o leggendario? Scegli il tuo look con le nuove T-shirt!	뮤, 라티아스, 라티오스 의상 아이템이 등장!		夢幻、拉帝亞斯／拉帝歐斯的換裝道具登場！	Adote um visual mítico e lendário com as novas camisetas para avatar!
news_main_text_junavatar	Trainers, do you have legendary style? Are you interested in mythical looks? Brand-new T-shirts featuring the Mythical Pokémon Mew and the Legendary Pokémon Latias and Latios are now available in the in-game shop! These T-shirts commemorate recent events: Mew’s appearance during Special Research and the departure of Latias and Latios in Raid Battles across the world on 6/5! Both T-shirts have a casual style and will show off your dedication to filling out your Pokédex. Stay safe, and happy exploring!	幻のポケモン「ミュウ」と、伝説のポケモン「ラティアス・ラティオス」がデザインされたTシャツが、着せ替えアイテムに新登場！「ミュウ」のTシャツは、「ミュウ」のスペシャルリサーチへの登場と、みなさんの研究成果をお祝いしたもの。「ラティアス・ラティオス」のTシャツは、彼らの約2か月間にもわたる伝説レイドバトルでの活躍をたたえたものになります！ \n \nPokémon GO で遊ぶ時は、周囲に注意しながらお楽しみください。 	Dresseurs, avez-vous un style légendaire ? Aimeriez-vous avoir un look fabuleux ? De nouveaux t-shirts à l’effigie du Pokémon fabuleux Mew et des Pokémon légendaires Latias et Latios sont disponibles dans la Boutique en jeu ! Ces t-shirts rappellent des évènements récents : l’apparition de Mew dans les Études spéciales et la fin de la participation de Latias et Latios aux Combats de Raids du monde entier le 5 juin. Les deux t-shirts ont un style décontracté qui mettra en avant votre intérêt à remplir votre Pokédex. Soyez prudent, et bonne exploration.	¿Tienes un estilo legendario? ¿Te interesa uno singular? ¡Ahora hay disponibles en la tienda dentro del juego nuevas camisetas con el Pokémon singular Mew y los Pokémon legendarios Latias y Latios! Estas camisetas conmemoran eventos recientes: la aparición de Mew durante la investigación especial y la desaparición de Latias y Latios en incursiones en todo el mundo el 5 de junio. Ambas camisetas tienen un estilo informal y demostrarán tu dedicación a la hora de completar tu Pokédex. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Ist dein Stil Legendär, Trainer? Bist du interessiert an Mysteriösen Outfits? Brandneue T-Shirts mit dem Mysteriösen Pokémon Mew und den Legendären Pokémon Latias und Latios sind jetzt im In-Game-Shop erhältlich! Diese T-Shirts feiern die jüngsten Geschehnisse: Das Erscheinen von Mew in der Spezialforschung und den weltweiten Abschied von Latias und Latios aus Raid-Kämpfen am 5. Juni! Beide T-Shirts haben einen lockeren Stil und repräsentieren deine Zielstrebigkeit, mit der du deinen Pokédex vervollständigst. Allzeit sichere und schöne Entdeckungsreisen!	Cerchi uno stile leggendario? Il look misterioso ti intriga? Le nuove T-shirt con il Pokémon misterioso Mew e i Pokémon leggendari Latias e Latios sono ora disponibili nel negozio all’interno del gioco! Con queste magliette festeggiamo la recente apparizione di Mew nelle ricerche speciali e l’addio del 5 maggio di Latias e Latios dai raid in tutto il mondo! Puoi indossare le T-shirt in ogni occasione per dimostrare il tuo impegno nel completamento del Pokédex. Ricorda di essere sempre prudente e buon divertimento!	환상의 포켓몬 「뮤」와 전설의 포켓몬 「라티아스, 라티오스」가 디자인된 티셔츠가 의상 아이템에 새롭게 등장! 「뮤」 티셔츠는 「뮤」 스페셜리서치 등장과 여러분의 연구 성과를 축하한 것입니다. 「라티아스, 라티오스」 티셔츠는 그들의 2개월간에 걸쳐진 전설 레이드배틀의 활약을 기리는 것입니다! \n \nPokémon GO로 플레이할 때는 주변에 주의하면서 플레이 해주세요. 		 親愛的訓練家們： 幻之寶可夢「夢幻」和傳說的寶可夢「拉帝亞斯／拉帝歐斯」的換裝道具登場！「夢幻」的T恤是為了感謝各位訓練家踴躍參與特殊調查，而「拉帝亞斯／拉帝歐斯」T恤則是要感謝各位訓練家這兩個多月來在道館的熱情奮戰！ \n \n玩遊戲時請注意周遭環境，小心安全 	O seu estilo é lendário? Você se interessa por visuais míticos? Novas camisetas com o Pokémon Mítico Mew e os Pokémon Lendários Latias e Latios já estão disponíveis na loja do jogo! Estas camisetas celebram eventos recentes, como a aparição de Mew nas pesquisas especiais e a partida de Latias e Latios das Batalhas de Reide de todo o mundo no dia 5 de junho! As duas camisetas têm um estilo casual que demonstrará a sua dedicação em completar o seu Pokédex. Tome cuidado e divirta-se explorando o mundo!
news_header_pokemonletsgo	Say Alola to Pokémon: Let’s Go, Pikachu! and Let’s Go, Eevee! with Alolan Exeggutor	Nintendo Switchソフト『ポケモン Let's Go! ピカチュウ・Let's Go! イーブイ』発売決定を祝って、「アローラのすがた」のナッシーがPokémon GO に登場！	Souhaitez la bienvenue à Pokémon : Let’s Go, Pikachu et Let’s Go, Évoli avec Noadkoko d’Alola	Di Alola a Pokémon: Let’s Go, Pikachu! y Pokémon: Let’s Go, Eevee! con Exeggutor de Alola	Sag „Alola“ zu Pokémon: Let's Go, Pikachu! und Pokémon: Let's Go, Evoli! mit Alola-Kokowei	Arrivano Pokémon: Let’s Go, Pikachu! e Pokémon: Let’s Go, Eevee! e a dar loro il benvenuto c’è Exeggutor di Alola!	Nintendo Switch 소프트웨어 ‘포켓몬 레츠고! 피카츄, 레츠고! 이브이’ 발매 결정을 기념하여 「알로라의 모습」 나시가 Pokémon GO에 등장		為慶祝Nintendo Switch軟體『精靈寶可夢 Let's Go！皮卡丘／Let's Go！伊布』上市，椰蛋樹（阿羅拉的樣子）加入Pokémon GO！	Junte-se a Exeggutor de Alola para dar as boas-vindas aos jogos Pokémon: Let’s Go, Pikachu! e Pokémon: Let’s Go, Eevee!
news_subheader_pokemonletsgo	Say Alola to Pokémon: Let’s Go, Pikachu! and Let’s Go, Eevee! with Alolan Exeggutor	Nintendo Switchソフト『ポケモン Let's Go! ピカチュウ・Let's Go! イーブイ』発売決定を祝って、「アローラのすがた」のナッシーがPokémon GO に登場！	Souhaitez la bienvenue à Pokémon : Let’s Go, Pikachu et Let’s Go, Évoli avec Noadkoko d’Alola	Di Alola a Pokémon: Let’s Go, Pikachu! y Pokémon: Let’s Go, Eevee! con Exeggutor de Alola	Sag „Alola“ zu Pokémon: Let's Go, Pikachu! und Pokémon: Let's Go, Evoli! mit Alola-Kokowei	Arrivano Pokémon: Let’s Go, Pikachu! e Pokémon: Let’s Go, Eevee! e a dar loro il benvenuto c’è Exeggutor di Alola!	Nintendo Switch 소프트웨어 ‘포켓몬 레츠고! 피카츄, 레츠고! 이브이’ 발매 결정을 기념하여 「알로라의 모습」 나시가 Pokémon GO에 등장		為慶祝Nintendo Switch軟體『精靈寶可夢 Let's Go！皮卡丘／Let's Go！伊布』上市，椰蛋樹（阿羅拉的樣子）加入Pokémon GO！	Junte-se a Exeggutor de Alola para dar as boas-vindas aos jogos Pokémon: Let’s Go, Pikachu! e Pokémon: Let’s Go, Eevee!
news_main_text_pokemonletsgo	Pokémon: Let’s Go, Pikachu! and Pokémon: Let’s Go, Eevee! are coming to the Nintendo Switch in November 2018! Once released, Pokémon originally discovered in the Kanto region that you have caught in Pokémon GO can be brought into these two new Nintendo Switch games. In celebration of this announcement, Alolan Exeggutor will now appear all over the world in Pokémon GO! This is the first Alolan form of a Pokémon originally discovered in the Kanto region to arrive in Pokémon GO. Keep an eye out for this Pokémon’s tall and stately presence all over the world, where it will appear more often for a limited time. Enjoy, Trainers, and stay tuned for more news about Pokémon: Let’s Go, Pikachu! and Pokémon: Let’s Go, Eevee! soon.	Nintendo Switchソフト『ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ』の発売決定を祝って、Pokémon GO に「アローラのすがた」のナッシーが登場したようです！ 温暖なアローラ地方の環境に適応したアローラナッシーは高さ10.9mと、これまでに発見されていたナッシーと比べてもとにかくデカい！フィールドマップを開くと、皆さんのそばにも長〜い首を持ったアローラナッシーがいるかもしれません･･･！ぜひ探してみてください。\n  \nPokémon GOで捕まえたカントー地方に登場するポケモンたちは、『ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ』へと連れていくことができ、今回Pokémon GOに登場したアローラナッシーも、『ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ』へと連れていって一緒に冒険することができます！今年11月発売予定の新作ソフト『ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ』もお楽しみに！	Les jeux Pokémon : Let’s Go, Pikachu et Pokémon : Let’s Go, Évoli seront disponibles sur la console Nintendo Switch dès novembre 2018 ! Les Pokémon découverts dans la région de Kanto et capturés dans Pokémon GO pourront être transférés dans les deux nouveaux jeux de la Nintendo Switch dès leur sortie. Afin de célébrer cet évènement, Noadkoko d’Alola fera son apparition dans Pokémon GO partout dans le monde. Pour la première fois un Pokémon de forme d’Alola, découvert dans la région de Kanto, fera son apparition dans Pokémon GO. Partout dans le monde, guettez ce Pokémon à la stature imposante qui fera des apparitions fréquentes pendant une période limitée. Amusez-vous bien, Dresseurs, et restez connectés pour suivre la sortie prochaine de Pokémon : Let’s Go, Pikachu et de Pokémon : Let’s Go, Évoli.	¡Pokémon: Let’s Go, Pikachu! y Pokémon: Let’s Go, Eevee!, para Nintendo Switch, estarán disponibles en noviembre de 2018! Una vez que salgan al mercado, podrás llevar a estos dos nuevos juegos para Nintendo Switch los Pokémon originalmente descubiertos en la región de Kanto que hayas capturado en Pokémon GO. Y, para celebrar esta noticia, ¡Exeggutor de Alola aparecerá ahora en todo el mundo en Pokémon GO! Esta es la primera forma de Alola de un Pokémon originalmente descubierto en la región de Kanto que llega a Pokémon GO. Estate pendiente para ver la alta e imponente presencia de este Pokémon en todo el mundo, donde aparecerá más frecuentemente de lo usual por un tiempo limitado. ¡Disfruta y no te pierdas más noticias sobre Pokémon: Let’s Go, Pikachu! y Pokémon: Let’s Go, Eevee! próximamente!	Pokémon: Let's Go, Pikachu! und Pokémon: Let's Go, Evoli! gibt es ab November 2018 für Nintendo Switch! Einmal veröffentlicht, können Pokémon, die ursprünglich in der Kanto-Region entdeckt und von dir in Pokémon GO gefangen wurden, auf diese beiden neuen Spiele für Nintendo Switch übertragen werden. Anlässlich dieser Bekanntgabe erscheint Alola-Kokowei jetzt weltweit in Pokémon GO! Dies ist die erste Alola-Form eines Pokémon in Pokémon GO, das ursprünglich in der Kanto-Region entdeckt wurde. Halte auf der ganzen Welt Ausschau nach dem großen und stattlichen Auftreten dieses Pokémon – für begrenzte Zeit erscheint es in großer Anzahl. Viel Spaß, Trainer. In Kürze erhältst du mehr Infos zu Pokémon: Let's Go, Pikachu! und Pokémon: Let's Go, Evoli!	Pokémon: Let’s Go, Pikachu! e Pokémon: Let’s Go, Eevee! atterrano su Nintendo Switch a partire da novembre 2018! Dopo la pubblicazione, potrai trasferire in questi nuovi giochi per Nintendo Switch i Pokémon originari della regione di Kanto che avrai catturato in Pokémon GO! Per festeggiare l’annuncio dei nuovi titoli, Exeggutor di Alola apparirà in tutto il mondo in Pokémon GO! Si tratta della prima Forma di Alola di un Pokémon originario della regione di Kanto che approda in Pokémon GO! Non perderti questo insolito Pokémon dall’imponente statura: apparirà frequentemente in tutto il mondo per un periodo di tempo limitato. E resta all’erta per le prossime notizie su Pokémon: Let’s Go, Pikachu! e Pokémon: Let’s Go, Eevee! Ci sarà da divertirsi!	Nintendo Switch 소프트웨어 ‘포켓몬 레츠고! 피카츄, 레츠고! 이브이’ 발매 결정을 축하하며 Pokémon GO에 「알로라의 모습」 나시가 등장합니다! 온난한 기후의 알로라지방 환경에 적응한 알로라 나시는 높이 10.9m로 지금까지 발견된 나시와 비교해 엄청 큽니다! 필드맵을 열면 여러분 근처에도 긴~ 목을 가진 알로라 나시가 있을지 모릅니다…! 한번 찾아보세요.  \n \nPokémon GO에서 잡은 관동지방에 등장하는 포켓몬은 ‘포켓몬스터 레츠고! 피카츄, 레츠고! 이브이’로 데려갈 수 있으며 이번 Pokémon GO에 등장한 알로라 나시도 포켓몬스터 레츠고! 피카츄, 레츠고 이브이’에 데려가서 함께 모험할 수 있습니다!  올해 11월 발매 예정인 신작 소프트웨어 ‘포켓몬 레츠고! 피카츄, 레츠고! 이브이’도 많이 기대해 주세요!		為慶祝Nintendo Switch軟體『精靈寶可夢 Let's Go！皮卡丘／Let's Go！伊布』上市，椰蛋樹（阿羅拉的樣子）加入Pokémon GO囉！ \n \n適應了阿羅拉溫暖氣候的阿羅拉椰蛋樹身高高達10.9m，總之就是巨大到不行！打開地圖後，或許就能看見脖子超～～級長的椰蛋樹也說不定喔……？記得去找找看！ \n \n另外，你可以將在Pokémon GO裡捉到的關都地區寶可夢傳送到『精靈寶可夢 Let's Go！皮卡丘／Let's Go！伊布』，所以這次新加入的阿羅拉椰蛋樹也可以陪你在『精靈寶可夢 Let's Go！皮卡丘／Let's Go！伊布』裡冒險喔！ \n \n『精靈寶可夢 Let's Go！皮卡丘／Let's Go！伊布』將於今年11月上市，敬請期待！	Pokémon: Let’s Go, Pikachu! e Pokémon: Let’s Go, Eevee! estão chegando ao Nintendo Switch em novembro de 2018! Depois do lançamento, os Pokémon originários da região de Kanto que você tiver pego no Pokémon GO poderão ser transferidos para estes dois jogos novos do Nintendo Switch. Para celebrar este anúncio, Exeggutor de Alola agora aparecerão por todo o mundo no Pokémon GO! Esta é a primeira vez que a forma de Alola de um Pokémon originário da região de Kanto aparecerá no Pokémon GO. Fique atento para a presença majestosa e alta deste Pokémon, que aparecerá por todo o mundo com maior frequência por um tempo limitado. Divirta-se e fique ligado nas próximas notícias sobre os jogos Pokémon: Let’s Go, Pikachu! e Pokémon: Let’s Go, Eevee!, que serão anunciadas em breve.
news_header_articunoresearch	New Research Tasks Feature Water-Type Pokémon!	新たなリサーチタスク　ーみずタイプチャレンジー　が登場！	De nouvelles tâches d’Études de terrain se focalisent sur les Pokémon de type Eau.	¡Hay nuevas tareas de investigación centradas en los Pokémon de tipo Agua!	Neue Forschungsaufgaben mit Wasser-Pokémon!	Nuove missioni di ricerca con i Pokémon di tipo Acqua!	새로운 리서치 과제: 물타입 도전이 등장!		新增以水屬性寶可夢為主題的田野調查課題！	Os Pokémon de tipo Água são os protagonistas das próximas tarefas de pesquisa!
news_subheader_articunoresearch	New Research Tasks Feature Water-Type Pokémon!	新たなリサーチタスク　ーみずタイプチャレンジー　が登場！	De nouvelles tâches d’Études de terrain se focalisent sur les Pokémon de type Eau.	¡Hay nuevas tareas de investigación centradas en los Pokémon de tipo Agua!	Neue Forschungsaufgaben mit Wasser-Pokémon!	Nuove missioni di ricerca con i Pokémon di tipo Acqua!	새로운 리서치 과제: 물타입 도전이 등장!		新增以水屬性寶可夢為主題的田野調查課題！	Os Pokémon de tipo Água são os protagonistas das próximas tarefas de pesquisa!
news_main_text_articunoresearch	Get ready for more Field Research tasks and exciting rewards in June! On June 1 at 1:00 p.m. PDT, a brand-new set of Field Research tasks focusing on Water-type Pokémon will become available. These tasks will particularly highlight Water-type Pokémon such as Seel, Kingler, and Horsea. If you’re able to earn enough stamps for your Research Breakthrough, you’ll have the opportunity to catch the Legendary Ice- and Flying-type Pokémon originally discovered in the Kanto region—Articuno! Also, if you haven’t caught the Legendary Electric- and Flying-type Pokémon Zapdos, work toward a Research Breakthrough this week before it goes away! So get out there and conduct some cool research next month.	トレーナーの皆さん、毎日自分のペースで遊べる「フィールドリサーチ」は、お楽しみいただけていますか？素敵なリワードがもらえるこのフィールドリサーチに、日本時間6月2日（土）早朝、新たなタスクが登場！ \n \n 今回は、みずタイプのポケモンをテーマとしたタスクが遊べるようになるほか、スタンプを7個集め「大発見」が発生すると、こおり・ひこうタイプの伝説のポケモン「フリーザー」と出会えるようです！ \n \n 現在「大発見」で出会える伝説のポケモン「サンダー」をまだ捕まえていないトレーナーは、ぜひ今週中に捕まえましょう！ \n \n Pokémon GO で遊ぶ時は、周囲に注意しながらお楽しみください。 	Préparez-vous pour l’arrivée de nouvelles tâches d’Études de terrain et de super récompenses en juin ! Le 1er juin à 13h00 (heure d’été du Pacifique), une nouvelle série de tâches d’Études de terrain se focalisant sur les Pokémon de type Eau sera disponible. Ces tâches mettront en vedette des Pokémon de type Eau, tels qu’Otaria, Krabboss et Hypotrempe. Si vous obtenez assez de tampons pour compléter une Phase d’Étude, vous aurez l’occasion d’attraper Artikodin, le Pokémon légendaire de type Glace et Vol découvert dans la région de Kanto. Si vous n’avez pas attrapé Électhor, le Pokémon légendaire de type Électrik et Vol, terminez une Phase d’Étude cette semaine avant qu’il ne disparaisse ! Sortez vite pour entreprendre des recherches amusantes !	¡Prepárate para hacer más tareas de investigación de campo y conseguir emocionantes recompensas en junio! El 1 de junio a la 1:00 p. m. PDT, estará disponible un nuevo set de tareas de investigación de campo basadas en Pokémon de tipo Agua. Estas tareas se centrarán particularmente en Pokémon de tipo Agua, como Seel, Kingler y Horsea. Si eres capaz de conseguir suficientes sellos para obtener tu logro de investigación, tendrás la oportunidad de capturar al Pokémon legendario de tipo Hielo y Volador originalmente descubierto en la región de Kanto, ¡Articuno! Y, si no has capturado al Pokémon legendario de tipo Eléctrico y Volador Zapdos, ¡ponte con un logro de investigación esta semana antes de que desaparezca! Así que sal afuera y lleva a cabo alguna investigación refrescante y de altura el próximo mes.	Bereit für mehr Feldforschungsaufgaben und tollen Belohnungen im Juni? Ab 1. Juni um 13:00 Uhr (PDT) gibt es einen brandneuen Satz von Feldforschungsaufgaben, die sich um Wasser-Pokémon drehen. Diese Aufgaben heben insbesondere Wasser-Pokémon wie Jurob, Kingler und Seeper hervor. Wenn du es schaffst, genug Stempel für einen Forschungsdurchbruch zu sammeln, erhältst du die Chance, das Legendäre Eis- und Flug-Pokémon, das ursprünglich in der Kanto-Region entdeckt wurde, zu fangen – Arktos! Wenn du also Zapdos, das Legendäre Pokémon vom Typ Elektro und Flug bisher noch nicht gefangen hast, bleibt dir noch eine Woche Zeit, um einen Forschungsdurchbruch zu erreichen, bevor es verschwindet! Also nichts wie raus, denn nächsten Monat wird Feldforschung besonders erfrischend!	Preparati per nuove missioni di ricerca e tantissime ricompense speciali in arrivo a giugno! Il 1° giugno alle 20:00 (UTC), una nuova serie di missioni di ricerca sul campo incentrate sui Pokémon di tipo Acqua diverranno disponibili. In particolare, sotto i riflettori appariranno Pokémon di tipo Acqua come Seel, Kingler e Horsea. Se riuscirai a ottenere abbastanza timbri per la tua scoperta straordinaria, ti sarà offerta la possibilità di catturare Articuno: il Pokémon di tipo Ghiaccio e Volante originario della regione di Kanto. E se non sei riuscito ancora a catturare il Pokémon leggendario di tipo Elettro e Volante Zapdos, non dimenticare di darti da fare questa settimana. Ti serve a tutti i costi una scoperta straordinaria! Perciò questo mese parti alla volta di ricerche rinfrescanti.	트레이너 여러분 매일 자신의 페이스로 플레이 가능한 「필드리서치」는 즐기고 있나요? 멋진 리워드를 받을 수 있는 이 필드리서치에 한국 시간 6월 2일(토) 새벽부터 새로운 과제가 등장! \n  \n 이번에는 물타입 포켓몬을 주제로 한 과제를 플레이할 수 있으며 스탬프를 7개 모아 「대발견」이 발생하면 얼음・비행타입의 전설 포켓몬 「프리져」와 만날 수 있습니다! \n  \n 현재 「대발견」으로 만날 수 있는 전설의 포켓몬 「썬더」를 아직 못 잡은 트레이너는 꼭 이번 주 중으로 잡아봅시다! \n  \n Pokémon GO로 플레이할 때는 주변을 주의하면서 즐겨 주세요 		親愛的訓練家們：\n  \n 準備好要迎接更多田野調查課題和新獎勵了嗎？自台灣時間6月2日清晨起，遊戲中將新增許多以水屬性寶可夢為主題的課題。如果能集滿7個圖章，讓博士的研究有突破性進展，同時擁有冰屬性及飛行屬性的傳說的寶可夢「急凍鳥」就會現身！\n  \n 還沒捕捉到「閃電鳥」的訓練家們，請記得在本週內讓博士的研究有突破性的進展並捕捉閃電鳥，千萬別錯過！\n  \n 玩遊戲時，請注意周遭環境並小心安全。 	Prepare-se para mais tarefas de pesquisa de campo e mais recompensas maravilhosas em junho! Novas tarefas de pesquisa de campo protagonizadas por Pokémon de tipo Água estarão disponíveis no dia 1º de junho às 13h (horário do Pacífico). O foco principal dessas tarefas será os Pokémon de tipo Água, como Seel, Kingler e Horsea. Se você conseguir selos o suficiente para a sua descoberta extraordinária, terá a oportunidade de pegar o Pokémon Lendário de tipo Gelo e Voador originário da região de Kanto, Articuno! Além disso, se você ainda não tiver pego o Pokémon Lendário de tipo Elétrico e Voador Zapdos, empenhe-se para fazer uma descoberta extraordinária esta semana antes que Zapdos vá embora! Então, saia por aí conduzindo pesquisas arrepiantes durante o mês que vem.
news_header_juncmtyday	Larvitar Rocks June Community Day!	6月のコミュニティ・デイは、「ヨーギラス」が大量発生！	Embrylex en vedette lors de la Journée Communauté de juin !	¡La tierra tiembla con Larvitar el Día de la Comunidad de junio!	Larvitar bringt den Community Day im Juni zum Beben!	Un Community Day di giugno a muso duro con Larvitar!	6월의 커뮤니티 데이는 「애버라스」가 대량발생!		六月社群日的主角寶可夢是幼基拉斯！	Larvitar vai abalar o Dia Comunitário de junho!
