Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_eggstravaganza	The Pokémon GO Eggstravaganza Returns for More Hatching Excitement! 	ポケモンのタマゴを探せ！	Le Festival des Œufs de Pokémon GO sera l’occasion de nombreuses éclosions.	¡Regresa el emocionante Festival de Primavera de Pokémon GO con más eclosiones!	DasPokémon GO-Ei-Spektakel sorgt erneut für viel Trubel ums Ausbrüten von Eiern!	È di nuovo Uova à gogo in Pokémon GO!	포켓몬의 알을 찾아라! 		「全民找蛋大作戰」重返Pokémon GO！	A Extravagância de Ovos volta ao Pokémon GO para mais chocadas empolgantes! 
news_subheader_eggstravaganza	The Pokémon GO Eggstravaganza Returns for More Hatching Excitement! 	ポケモンのタマゴを探せ！	Le Festival des Œufs de Pokémon GO sera l’occasion de nombreuses éclosions.	¡Regresa el emocionante Festival de Primavera de Pokémon GO con más eclosiones!	DasPokémon GO-Ei-Spektakel sorgt erneut für viel Trubel ums Ausbrüten von Eiern!	È di nuovo Uova à gogo in Pokémon GO!	포켓몬의 알을 찾아라! 		「全民找蛋大作戰」重返Pokémon GO！	A Extravagância de Ovos volta ao Pokémon GO para mais chocadas empolgantes! 
news_main_text_eggstravaganza	The Pokémon GO Eggstravaganza is coming back on March 22 at 1:00 p.m. PDT! This year, an even greater variety of Pokémon will be found in 2 km Eggs, and only those Eggs will be available from PokéStops throughout the event! This means that Pokémon that normally hatch from 5 km or 10 km Eggs, such as Wynaut or Ralts, will be found in 2 km Eggs until the event ends on April 2 at 1:00 p.m. PDT. Plus: enjoy bonus Candy for each hatched Egg, and double Stardust throughout the event! The in-game shop also has special boxes to help you get the most out of hatching your Eggs, which include Super Incubators and Star Pieces. Stay safe, and happy exploring!	今年も3月23日(金)早朝から、「ポケモンのタマゴを探せ！」イベントを開催します。今年は、去年より多くのポケモンたちが、タマゴからかえるかもしれません。 \n \n4月2日(月)までの期間中、ポケストップから手に入るタマゴが、すべて2kmのタマゴになります。ふだん5km、10kmのタマゴからかえる、ソーナノやラルトスといったポケモンたちは、2kmのタマゴからかえるように！ほかにも、ピチュー、トゲピーなどのベビーポケモンたちがいつもより多くタマゴからかえるようです。 \n \nさらに、期間中もらえるほしのすなが通常の2倍になり、タマゴをかえすことでもらえるポケモンのアメも、いつもより多くなります！この機会に、ぜひタマゴをたくさんかえし、ポケモンたちをどんどん進化させましょう！ \n \nさらに、ゲーム内ショップでは、スーパーふかそうちやほしのかけらが入った「スペシャルボックス」も登場！ 日本にもそろそろ春が訪れます。春の陽気に誘われて、冒険に出かけよう！	Le Festival des Œufs de Pokémon GO sera de retour le 22 mars à 13h00 (heure d’été du Pacifique). Cette année, des Pokémon encore plus variés écloront d’Œufs de 2 km ; durant l’évènement, seuls ces Œufs seront disponibles dans les PokéStops. Ceci signifie que les Pokémon qui normalement éclosent d’Œufs de 5 ou 10 km, tels que Tarsal ou Okéoké, écloront d’Œufs de 2 km jusqu’à la fin de l’évènement le 2 avril à 13h00 (heure d’été du Pacifique). De plus, vous recevrez des Bonbons bonus et le double de Poussières Étoiles pour chaque Œuf qui éclora durant l’évènement. Dans la Boutique du jeu vous trouverez des boîtes spéciales contenant des Super-incubateurs et des Morceaux d’Étoiles, qui vous feront profiter au mieux de l’éclosion de vos Œufs. Soyez prudent, et bonne exploration !	¡El Festival de Primavera de Pokémon GO regresa el 22 de marzo a la 1:00 p. m. PDT! ¡Este año, podrás encontrar una variedad aún mayor de Pokémon en Huevos de 2 km que estarán disponibles en las Poképaradas durante el evento! Esto significa que los Pokémon que normalmente eclosionan de Huevos de 5 o 10 km, como Wynaut o Ralts, se podrán encontrar en Huevos de 2 km hasta que el evento finalice el 2 de abril a la 1:00 p. m. PDT. También recibirás Caramelos adicionales por cada Huevo que hagas eclosionar y el doble de Polvos Estelares a lo largo del evento. En la tienda dentro del juego también encontrarás packs especiales que te ayudarán a sacarle el máximo provecho a la eclosión de Huevos. Estos packs incluyen superincubadoras y Trozos Estrella. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	DasPokémon GO-Ei-Spektakel kehrt am 22. März um 13:00 Uhr (PDT) zurück! Dieses Jahr wirst du eine noch größere Pokémon-Vielfalt in 2-km-Eiern finden und für die Dauer des Events erhältst du bei PokéStops nur solche Eier! Das bedeutet, dass du Pokémon, die normalerweise aus 5-km- oder 10-km-Eiern schlüpfen, z. B. Isso oder Trasla, bis zum Ende des Events am 2. April um 13:00 (PDT) in 2-km-Eiern finden kannst. Außerdem erhältst du während des ganzen Events Bonus-Bonbons für jedes geschlüpfte Ei und doppelt so viel Sternenstaub! Im In-Game-Shop werden Spezialboxen erhältlich sein, um dir beim Ausbrüten zu helfen, darunter Super-Brutmaschinen und Sternenstücke. Allzeit sichere und schöne Entdeckungsreisen!	L’iniziativa incentrata sulle Uova di Pokémon GO ritorna a partire dal 22 marzo alle 20:00 (UTC)! Quest’anno nelle Uova da 2 km sarà possibile trovare una varietà ancora maggiore di Pokémon e per l’intera durata dell’evento presso i Pokéstop sarà possibile ottenere solo queste Uova speciali! Questo vuol dire che Pokémon che normalmente nascono dalle Uova da 5 o 10 km, come Wynaut e Ralts, nasceranno invece dalle Uova da 2 km fino al termine dell’evento previsto per il 2 aprile alle 20:00 (UTC). Come se non bastasse, per ogni Uovo che farai schiudere durante l’evento riceverai più caramelle e il doppio della polvere di stelle. Infine, il negozio all’interno del gioco metterà a disposizione delle offerte per Superincubatrici e Pezzi Stella per trarre il massimo dalla schiusa delle tue Uova. Ricorda di essere sempre prudente e buon divertimento!	올해도 3월 23일(금) 새벽부터 「포켓몬의 알을 찾아라!」 이벤트를 개최합니다. 올해는 작년보다 많은 포켓몬이 알에서 부화할지 모릅니다. 4월 2일(월)까지 이벤트 동안 포켓스톱에서 손에 넣을 수 있는 알은 2km 알만입니다. 평소 5km, 10km 알에서 부화하는 마자와 랄토스 등의 포켓몬이 2km 알에서 부화합니다! 그 외에도 피츄, 토게피 등의 베이비 포켓몬이 평소보다 많이 알에서 부화합니다. 이 기간에는 얻을 수 있는 별의모래도 평소의 2배가 되며 알에서 부화하면 받을 수 있는 포켓몬의 사탕도 평소보다 많아집니다! 이 기회에 포켓몬을 많이 진화시켜봅시다! 게임 내 숍에서는 슈퍼부화장치나 별의조각이 들어 있는 「스페셜박스」도 등장! \n \n이제 곧 완연한 봄입니다. 꽃피는 봄을 만끽하며 모험에 떠납시다		自3月23日清晨起，遊戲內將舉辦「全民找蛋大作戰」活動。今年或許有更多機會可以孵出特定的寶可夢也說不定喔！ \n \n自3月23日起至4月2日止，寶可補給站只會出現2公里的蛋，而這些蛋能孵出的寶可夢種類將會比平常更多！小果然、拉魯拉絲等平常只能從5公里蛋或10公里蛋裡孵出的寶可夢將會出現在2公里蛋裡，而且蛋孵出皮丘、波克比的機率也會比平常高。 \n \n除此之外，活動期間內星星沙子將會是平常的兩倍，蛋孵化時可獲得的糖果數量也會比平常多，所以快趁這個機會讓同行的寶可夢進化吧！ \n \n為了幫各位訓練家更有效率地孵蛋，商店裡將同時推出內含超級孵化器及星星碎片等道具的特別禮盒。 \n \n一起出門冒險吧！	O evento Extravagância de Ovos do Pokémon GO está voltando no dia 22 de março às 13h (horário do Pacífico)! Este ano, uma maior variedade de Pokémon poderá ser encontrada em Ovos de 2 km e somente estes Ovos estarão disponíveis nas Poképaradas durante o evento! Isto significa que os Pokémon que geralmente chocam de Ovos de 5 ou 10 km, como Wynaut ou Ralts, serão encontrados em Ovos de 2 km até o final do evento no dia 2 de abril às 13h (horário do Pacífico). E mais, receba mais doces para cada Ovo chocado e também o dobro de Poeira Estelar durante o evento! Há combos especiais na loja do jogo que ajudarão você a aproveitar ao máximo este evento com Superincubadoras e Pedaços de Estrela. Tome cuidado e divirta-se explorando o mundo!
news_header_marcmtyday	Gear Up for March’s Community Day, Starring Bulbasaur!	次回のPokémon GO コミュニティ・デイは3月25日(日)、フシギダネが大量発生！	Préparez-vous pour la Journée Communauté de mars avec Bulbizarre.	¡Prepárate para el Día de la Comunidad de marzo, con Bulbasaur como estrella!	Rüste dich für den Community Day im März, diesmal mit Bisasam!	Preparati per il Community Day di marzo: il protagonista sarà Bulbasaur!	다음 Pokémon GO 커뮤니티 데이는 3월 25일(일), 이상해씨가 대량발생!		下次Pokémon GO社群日是3月25日星期日！主角寶可夢是妙蛙種子！	Está na hora de se equipar com Bulbasaur para o Dia Comunitário de março!
news_subheader_marcmtyday	Gear Up for March’s Community Day, Starring Bulbasaur!	次回のPokémon GO コミュニティ・デイは3月25日(日)、フシギダネが大量発生！	Préparez-vous pour la Journée Communauté de mars avec Bulbizarre.	¡Prepárate para el Día de la Comunidad de marzo, con Bulbasaur como estrella!	Rüste dich für den Community Day im März, diesmal mit Bisasam!	Preparati per il Community Day di marzo: il protagonista sarà Bulbasaur!	다음 Pokémon GO 커뮤니티 데이는 3월 25일(일), 이상해씨가 대량발생!		下次Pokémon GO社群日是3月25日星期日！主角寶可夢是妙蛙種子！	Está na hora de se equipar com Bulbasaur para o Dia Comunitário de março!
news_main_text_marcmtyday	Trainers, we have another opportunity to catch a special Pokémon for March’s Pokémon GO Community Day! On Sunday, March 25, Bulbasaur will appear in the wild more frequently for three hours, and if you evolve an Ivysaur to Venusaur during that three-hour window, it will learn the Grass-type move Frenzy Plant! Visit PokemonGoLive.com/events to find out when Community Day starts in your region!  \n \nAre you looking for Community Day event details or other Pokémon GO-related meetups happening in your city? There are many websites and platforms that Pokémon GO players use to organize with their local communities. To connect with other Trainers near you, try searching for your city name in conjunction with Pokémon GO on your preferred search engine, or finding groups in your area on social media channels, apps, and websites such as Facebook, Discord, Slack, WhatsApp, and more! These groups are managed independently by players and are not sponsored by Niantic, but offer great opportunities to meet Trainers in your area. \n \nStay safe, and happy exploring!	トレーナーの皆さん、 \n \n次回の「Pokémon GO コミュニティ・デイ」は3月25日(日)、日本時間お昼の12時から午後3時の開催を予定しています。今回大量発生するポケモンは、フシギダネ！イベント開催中の3時間の間に、フシギソウからフシギバナへ進化させると、強力なくさタイプのわざ「ハードプラント」を特別に覚えるようです。 \n \n※イベント開催時間中に進化したフシギバナのみ、特別なわざを覚えます。イベント開催時間中に出現する野生のフシギバナも、このわざを覚えています。 \n \nさらに、イベント開催時間中はルアーモジュールの効果が3時間継続し、どんなポケモンを捕まえても、XPがいつもの3倍得られます！トレーナーレベルを上げるチャンスでもあります！ 詳細は PokemonGoLive.com/events をご覧ください。 	Dresseurs, vous aurez de nouveau l’occasion d’attraper un Pokémon spécial durant la Journée Communauté de mars de Pokémon GO. Le dimanche 25 mars, pendant trois heures, Bulbizarre fera des apparitions fréquentes dans la nature. Si vous faites évoluer Herbizarre en Florizarre durant ce laps de temps, ce dernier apprendra l’attaque de type Plante, Végé-Attak. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur PokemonGoLive.com/fr/events. Soyez prudent, et bonne exploration.	¡Tendrás otra oportunidad de capturar un Pokémon especial durante el Día de la Comunidad de Pokémon GO de marzo! El domingo 25 de marzo, Bulbasaur aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Ivysaur a un Venusaur durante ese periodo de tres horas, ¡aprenderá Planta Feroz, un movimiento de tipo Planta! ¡VisitaPokemonGoLive.com/events para averiguar cuándo empieza el Día de la Comunidad en tu región! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Am Pokémon GO Community Day im März gibt es wieder eine Möglichkeit, ein besonderes Pokémon zu fangen, Trainer! Am Sonntag, dem 25. März erscheinen wilde Bisasam drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden ein Bisaknosp zu Bisaflor entwickelst, kann es die Pflanzen-Attacke Flora-Statue lernen! Besuche PokemonGoLive.com/events, um herauszufinden, wann Community Day in deiner Gegend anfängt! Allzeit sichere und schöne Entdeckungsreisen!	È in arrivo un’altra incredibile opportunità di catturare un Pokémon storico per il Community Day di marzo su Pokémon GO! Domenica 25 marzo tantissimi Bulbasaur selvatici appariranno più frequentemente per tre ore, inoltre se riuscirai a far evolvere un Ivysaur in Venusaur durante quelle stesse tre ore, questo imparerà la mossa di tipo Erba Radicalbero! Visita PokemonGOLive.com per scoprire a che ora inizia il Community Day nel tuo paese. Ricorda di essere sempre prudente e buon divertimento!	트레이너 여러분 \n \n다음 「Pokémon GO 커뮤니티 데이」는 3월 25일(일) 한국시간 낮 12시부터 오후 3시 개최를 예정하고 있습니다. 이번에 대량발생하는 포켓몬은 이상해씨! 이벤트 개최 중인 3시간 동안 이상해씨에서 이상해꽃으로 진화시키면 강력한 풀타입 기술 「하드플랜트」를 특별하게 배우고 있습니다. \n \n※이벤트 개최 시간 중 진화한 이상해꽃만 특별한 기술을 배웁니다. 이벤트 개최 시간 중 출현하는 야생의 이상해꽃도 이 기술을 배우고 있습니다.  \n \n이벤트 개최 시간 중 루어모듈의 효과가 3시간 계속되며 어떤 포켓몬을 잡아도 XP가 3배 얻을 수 있습니다. 트레이너 레벨을 올릴 기회입니다!  자세한 내용은 Visit PokemonGoLive.com/events 를 확인해 주세요. 		親愛的訓練家們，下次Pokémon GO社群日將於台灣時間3月25日11:00~14:00舉行，這次的主角寶可夢是……妙蛙種子！如果你能在活動時間內捉到野生的妙蛙花，或是能在活動時間內讓妙蛙草進化為妙蛙花，這些妙蛙花將能學會「瘋狂植物」這個特殊招式。這可是一招連用了招式學習器都學不到的強大草屬性招式喔！除此之外，活動時間內誘餌模組的效果將延長為3小時，而且捕捉到任何寶可夢時皆可獲得3倍XP！這可是個提升訓練家等級的好機會，千萬別錯過！更多關於社群日的最新消息，請上 PokemonGoLive.com/events 確認。	Vocês terão mais uma chance de pegar um Pokémon especial no Dia Comunitário do Pokémon Go do mês de março! No domingo, dia 25 de março, Bulbasaur selvagens aparecerão com mais frequência durante três horas, e, se você evoluir Ivysaur para Venusaur durante essas três horas, Venusaur aprenderá o movimento Planta Mortal! Visitem PokemonGoLive.com/events para descobrir que horas o Dia Comunitário começa na sua região! Tome cuidado e divirta-se explorando o mundo!
news_header_lugiareturns	Legendary Pokémon Lugia Soars Back to Raid Battles in Pokémon GO   	伝説のポケモン「ルギア」がレイドバトルに帰って来ます！	Le Pokémon légendaire Lugia survole à nouveau les Combats de Raids de Pokémon GO. 	¡El Pokémon legendario Lugia llega de nuevo a incursiones de Pokémon GO!	Das Legendäre Pokémon Lugia erhebt sich erneut für Raid-Kämpfe in Pokémon GO!	Il Pokémon leggendario Lugia ritorna nei raid di Pokémon GO!	전설의 포켓몬 「루기아」가 레이드배틀에 돌아옵니다!		傳說的寶可夢洛奇亞重返Pokémon GO！	O Pokémon Lendário Lugia está voando de volta para as Batalhas de Reide do Pokémon GO!
news_subheader_lugiareturns	Legendary Pokémon Lugia Soars Back to Raid Battles in Pokémon GO   	伝説のポケモン「ルギア」がレイドバトルに帰って来ます！	Le Pokémon légendaire Lugia survole à nouveau les Combats de Raids de Pokémon GO. 	¡El Pokémon legendario Lugia llega de nuevo a incursiones de Pokémon GO!	Das Legendäre Pokémon Lugia erhebt sich erneut für Raid-Kämpfe in Pokémon GO!	Il Pokémon leggendario Lugia ritorna nei raid di Pokémon GO!	전설의 포켓몬 「루기아」가 레이드배틀에 돌아옵니다!		傳說的寶可夢洛奇亞重返Pokémon GO！	O Pokémon Lendário Lugia está voando de volta para as Batalhas de Reide do Pokémon GO!
news_main_text_lugiareturns	The Legendary Pokémon Lugia will return to Raid Battles in Pokémon GO on March 16! A powerful Psychic- and Flying-type Pokémon originally discovered in the Johto region, Lugia will know the newly improved Flying-type move Sky Attack. So gather your strongest party to take on this Legendary Pokémon before it returns to the sea on April 2! Stay safe, and happy exploring! 	昨夏、伝説レイドの幕開けを派手に飾ったあの伝説のポケモン「ルギア」が、3月17日（土）から4月2日（月）までの間、レイドバトルに帰って来ます！『ポケットモンスター 金・銀』の舞台であるジョウト地方の伝説のポケモン「ルギア」は、エスパー・ひこうタイプの強力なポケモン。今回登場するルギアは、ひこうタイプのわざ「ゴッドバード」を覚えているようです。これまで伝説レイドに登場していたレックウザと入れ替わり、レイドバトルをさらに盛り上げます。レイドバトルでルギアに勝つことができれば、捕まえる大チャンスです。この機会を逃さず、他のトレーナーと協力してルギアを捕まえましょう！	À partir du 16 mars, le Pokémon légendaire Lugia apparaîtra à nouveau dans les Combats de Raids de Pokémon GO. Puissant Pokémon de type Psy et Vol originaire de la région de Johto, Lugia connaîtra une nouvelle version de l’attaque de type Vol, Piqué. Rassemblez votre meilleure équipe pour affronter ce Pokémon légendaire avant qu’il nous quitte à nouveau le 2 avril ! Soyez prudent, et bonne exploration. 	¡El Pokémon legendario Lugia vuelve a incursiones de Pokémon GO el 16 de marzo! Lugia, un poderoso Pokémon de tipo Psíquico y Volador originalmente descubierto en la región de Johto, conocerá una nueva versión más potente del movimiento de tipo Volador Ataque Aéreo. ¡Prepara tu equipo más fuerte para enfrentarte a este Pokémon legendario antes de que se vuelva al mar el 2 de abril! ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Das Legendäre Pokémon Lugia kehrt am 16. März zurück für Raid-Kämpfe in Pokémon GO. Dieses mächtige Pokémon vom Typ Psycho und Flug, das zuerst in der Johto-Region entdeckt wurde, beherrscht eine neue, verstärkte Version von Himmelsfeger, eine Attacke vom Typ Flug. Also versammle deine stärkste Truppe und fordere dieses Legendäre Pokémon heraus, bevor es am 2. April wieder in Richtung Meer verschwindet! Allzeit sichere und schöne Entdeckungsreisen!	Il Pokémon leggendario Lugia ritorna nei raid di Pokémon GO il 16 marzo! Poderoso Pokémon di tipo Psico e Volante originariamente scoperto nella regione di Johto, Lugia ora conosce la versione potenziata della mossa di tipo Volante Aeroattacco. Per cui chiama a raccolta la tua squadra più forte per affrontare questo Pokémon leggendario prima che torni a presidiare i mari il 2 aprile. Ricorda di essere sempre prudente e buon divertimento!	작년 여름 전설 레이드의 시작을 화려하게 장식한 전설의 포켓몬 「루기아」가 3월 17일( 토)부터 4월 2일(월)까지 레이드배틀에 돌아옵니다! 「포켓몬스터 금・은」의 무대인 성도지방의 전설의 포켓몬 「루기아」는 에스퍼・비행타입을 지닌 강력한 포켓몬입니다. 이번에 등장하는 루기아는 비행타입의 기술 「불새」를 배우고 있습니다. 지금까지 전설 레이드에 등장한 레쿠쟈 다음으로 나타나 레이드배틀을 더욱 뜨겁게 만듭니다. 레이드배틀에서 루기아에게 이기면 잡을 기회입니다. 이 기회를 놓치지 말고 다른 트레이너와 협력하여 루기아를 잡아봅시다!		傳說的寶可夢洛奇亞將自3月17日起重返Pokémon GO！在烈空坐離開各地道館後，洛奇亞這隻城都地區的傳說的寶可夢將重新回到團體戰。被稱做是海神的牠同時擁有超能力及飛行兩種屬性，而且這次的「神鳥猛擊」將比過去更為強大。洛奇亞預計會在4月2日離開各地道館，請各位訓練家努力挑戰，千萬別錯過這個天大的好機會！	O Pokémon Lendário Lugia retornará às Batalhas de Reide do Pokémon GO no dia 16 de março! Lugia é um poderoso Pokémon de tipo Psíquico e Voador originário da região de Johto, que sabe uma versão aprimorada do movimento de tipo Voador, Ataque do Céu. Reúna a sua equipe mais poderosa e enfrente este Pokémon Lendário, antes que ele volte para o oceano no dia 2 de abril! Tome cuidado e divirta-se explorando o mundo!
news_header_minieggevent	Windy Weather Blows In a Special Egg Event 	強風の日に出会うことが多いポケモンがタマゴからいつもより多く登場！	Le vent amène un évènement spécial Œuf 	¡El viento sopla en un evento especial de Huevos Pokémon!	Windiges Wetter bringt ein besonderes Event mit sich!	Il vento soffia... le Uova si schiudono!	강한 바람의 날에 만나기 쉬운 포켓몬이 알에서 쉽게 등장!		孵出更多能在起風的日子遇的寶可夢	O vento sopra... os ovos chocam!
