Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_pokemonday	Grab a Throwback Look:  Pokémon FireRed and Pokémon LeafGreen Trainer Outfits Now Available on Pokémon Day!	ポケモン誕生の日！懐かしいあの主人公たちの着せ替えアイテムが登場！	Retrouvez un look classique : des tenues de Dresseur Rouge Feu et Vert Feuille sont disponibles lors de la Journée Pokémon.	        ¡Vístete con un estilo clásico! ¡Conjuntos de Entrenador de Pokémon Edición Rojo Fuego y Pokémon Edición Verde Hoja ahora disponibles para el Día de Pokémon!    	Hol dir einen klassischen Look: Trainer-Outfits im Stil von Pokémon Feuerrote und Blattgrüne Edition sind jetzt am Pokémon Day erhältlich!	Dai al tuo avatar un look classico ispirato a Rosso Fuoco e a Verde Foglia, disponibile adesso per il Pokémon Day!	포켓몬 탄생의 날! 옛날 주인공 의상 아이템이 등장!		寶可夢生日快樂！一起換上那套讓人懷念的服飾吧！	Adote um visual clássico com uniformes do Pokémon FireRed e do Pokémon LeafGreen, disponíveis para o Dia de Pokémon!
news_subheader_pokemonday	Grab a Throwback Look:  Pokémon FireRed and Pokémon LeafGreen Trainer Outfits Now Available on Pokémon Day!	ポケモン誕生の日！懐かしいあの主人公たちの着せ替えアイテムが登場！	Retrouvez un look classique : des tenues de Dresseur Rouge Feu et Vert Feuille sont disponibles lors de la Journée Pokémon.	¡Vístete con un estilo clásico! ¡Conjuntos de Entrenador de Pokémon Edición Rojo Fuego y Pokémon Edición Verde Hoja ahora disponibles para el Día de Pokémon!	Hol dir einen klassischen Look: Trainer-Outfits im Stil von Pokémon Feuerrote und Blattgrüne Edition sind jetzt am Pokémon Day erhältlich!	Dai al tuo avatar un look classico ispirato a Rosso Fuoco e a Verde Foglia, disponibile adesso per il Pokémon Day!	포켓몬 탄생의 날! 옛날 주인공 의상 아이템이 등장!		寶可夢生日快樂！一起換上那套讓人懷念的服飾吧！	Adote um visual clássico com uniformes do Pokémon FireRed e do Pokémon LeafGreen, disponíveis para o Dia de Pokémon!
news_main_text_pokemonday	Time for a throwback! Celebrate Pokémon Day with Trainer avatar items available from Pokémon FireRed and Pokémon LeafGreen. Plus, festive Pikachu wearing party hats will be available in the wild from February 26 at 2:00 P.M. PST to February 28 at 1:00 P.M. PST. Stay safe and happy exploring!	ポケモン誕生の日を記念して、『ポケットモンスター ファイアレッド・リーフグリーン』主人公の着せ替えアイテムがPokémon GO に登場しました！「カントー」メダルがブロンズ以上であればゲーム内ショップで購入できます！ そして、かわいいとんがり帽子をかぶったピカチュウが、日本時間2月27日早朝から2月28日まで登場します。 ポケモン誕生の日を一緒にお祝いしましょう！	Un petit retour en arrière ! Fêtez la Journée Pokémon avec des objets classiques pour avatar de Pokémon Version Rouge Feu et Pokémon Version Vert Feuille.  Des Pikachu coiffés de chapeaux de fête seront également disponibles dans la nature du 26 février à 14h (heure du Pacifique) au 28 février à 13h (heure du Pacifique). Soyez prudent, et bonne exploration.	¡Viajemos en el tiempo! ¡Celebra el Día de Pokémon con clásicos artículos de avatar de Entrenador de Pokémon Edición Rojo Fuego y Pokémon Edición Verde Hoja! Además, habrá festivos Pikachu que llevan gorros de fiesta, disponibles en estado salvaje desde la 2:00 p. m. PST del 26 de febrero hasta la 1:00 p. m. PST del 28 de febrero. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Zeit für einen Retro-Look! Feiere Pokémon Day in klassischen Avatar-Artikeln im Stil von Pokémon Feuerrote und Blattgrüne Edition. Zusätzlich erscheinen vom 26. Februar um 14:00 Uhr PST bis zum 28. Februar um 13:00 PST wilde Pikachu mit Partyhütchen. Allzeit sichere und schöne Entdeckungsreisen!	Nostalgia del passato? Festeggia il Pokémon Day dando al tuo avatar un look classico ispirato a Rosso Fuoco e a Verde Foglia. Inoltre tantissimi Pikachu selvatici che indossano un cappellino a tema appariranno dalle 23:00 (CET) del 26 febbraio alle 22:00 (CET) del 28 febbraio. Ricorda di essere sempre prudente e buon divertimento!	포켓몬 탄생의 날을 기념해서 「포켓몬스터 파이어레드・리프그린」의 주인공 의상 아이템이 Pokémon GO에 등장했습니다! 「관동」 메달의 브론즈이상이라면 게임내 숍에서 구입할 수 있습니다! 그리고 귀여운 고깔모자를 쓴 피카츄가 한국시간 2월 27일 새벽부터 2월 28일까지 등장합니다. 포켓몬 탄생의 날을 같이 축하합시다!		為了慶祝寶可夢的生日，商店裡推出『精靈寶可夢 火紅/葉綠』的換裝道具囉！只要是擁有關都銅徽章的訓練家，都可以進行選購！ 除此之外，自日本時間2月27日清晨起至2月28日止，地圖上將會出現戴著生日帽的可愛皮卡丘，和牠一起慶祝寶可夢的生日吧！	Que tal um visual retrô? Comemore o Dia de Pokémon com um visual clássico de Treinador inspirado em Pokémon FireRed e Pokémon LeafGreen. Além disso, Pikachu selvagens usando chapéus de festa estarão disponíveis a partir das 14h (PST) do dia 26 de fevereiro. Tome cuidado e divirta-se explorando o mundo!
news_header_legendaryweek	Kyogre and Groudon Join Rayquaza for a Legendary Week of Raid Battles!	伝説のポケモンとのレイドバトル週間: グラードン、カイオーガ、レックウザとバトルしよう！	Kyogre et Groudon rejoignent Rayquaza pour une semaine légendaire de Combats de Raids.	¡Kyogre y Groudon se unen a Rayquaza para una semana legendaria de incursiones!	Kyogre und Groudon schließen sich in einer Legendären Woche voller Raid-Kämpfe Rayquaza an!	Kyogre e Groudon si uniscono a Rayquaza per una leggendaria settimana di raid!	전설의 포켓몬과의 레이드배틀 주간: 그란돈, 가이오가, 레쿠쟈와 배틀하자!		傳說的寶可夢固拉多、蓋歐卡及烈空坐同時降臨團體戰！	Kyogre e Groudon se juntam a Rayquaza para uma semana lendária de Batalhas de Reide!
news_subheader_legendaryweek	Kyogre and Groudon Join Rayquaza for a Legendary Week of Raid Battles!	伝説のポケモンとのレイドバトル週間: グラードン、カイオーガ、レックウザとバトルしよう！ 	Kyogre et Groudon rejoignent Rayquaza pour une semaine légendaire de Combats de Raids.	¡Kyogre y Groudon se unen a Rayquaza para una semana legendaria de incursiones!	Kyogre und Groudon schließen sich in einer Legendären Woche voller Raid-Kämpfe Rayquaza an!	Kyogre e Groudon si uniscono a Rayquaza per una leggendaria settimana di raid!	전설의 포켓몬과의 레이드배틀 주간: 그란돈, 가이오가, 레쿠쟈와 배틀하자!		傳說的寶可夢固拉多、蓋歐卡及烈空坐同時降臨團體戰！	Kyogre e Groudon se juntam a Rayquaza para uma semana lendária de Batalhas de Reide!
news_main_text_legendaryweek	Now is the time to test your strength! Legendary Pokémon Kyogre and Groudon return to Raid Battles alongside Rayquaza for a limited time. Power up your strongest Pokémon, grab your friends, and head to nearby Gyms for a chance to battle and catch them until March 5. These battles will be tough, so we have new special boxes debuting on February 24 to help you prepare. Visit the in-game store to find out more! Stay safe, and happy exploring!	ホウエン地方の伝説のポケモン、グラードン・カイオーガが、レックウザと共にレイドバトルに2月24日から3月5日まで再登場します。レイドバトル参加に必要なプレミアムレイドパスの入った「スペシャルボックス」が、2月25日よりショップ内で登場していますので、是非準備に役立ててください。 Pokémon GO をプレイする時は周りをよく見て、常に注意してください。 	Il est temps de mettre votre puissance à l’épreuve ! Pour une durée limitée, les Pokémon légendaires Kyogre et Groudon apparaîtront à nouveau dans les Combats de Raids aux côtés de Rayquaza. Jusqu’au 5 mars, boostez vos Pokémon les plus forts, rassemblez vos amis, et dirigez-vous vers les Arènes les plus proches pour les combattre et les attraper. Ces combats seront rudes, nous proposons donc de nouvelles boîtes spéciales à partir du 24 février pour vous aider. Rendez-vous dans la Boutique du jeu pour en savoir plus. Soyez prudent, et bonne exploration.	¡Ahora es el momento de poner a prueba lo fuerte que eres! Los Pokémon legendarios Kyogre y Groudon vuelven a las incursiones junto con Rayquaza por un tiempo limitado. Dales más poder a tus Pokémon más fuertes, reúnete con tus amigos y dirigíos a Gimnasios cercanos para poder combatir contra ellos y capturarlos hasta el 5 de marzo. Estos combates serán difíciles, así que tendremos nuevos packs especiales a partir del 24 de febrero para ayudarte a que te prepares. Visita la tienda del juego para obtener más información. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Zeit, deine Kräfte zu testen! Die Legendären Pokémon Kyogre und Groudon erscheinen jetzt neben Rayquaza für begrenzte Zeit erneut in Raid-Kämpfen. Du solltest deine stärksten Pokémon hochleveln, deine Freunde zusammentrommeln und Arenen in deiner Nähe besuchen, um die Gelegenheit, diese Pokémon bis zum 5. März herauszufordern und zu fangen, nicht zu verpassen. Zur Vorbereitung auf diese schwierigen Kämpfe bieten wir ab 24. Februar neue Spezialboxen an. Besuche den In-Game-Shop, um mehr zu erfahren! Allzeit sichere und schöne Entdeckungsreisen!	È giunto il momento di mettere alla prova la tua forza. I Pokémon leggendari Kyogre e Groudon ricompariranno nei raid a fianco di Rayquaza per un periodo limitato di tempo. Potenzia i tuoi Pokémon più forti, raduna gli amici e visita le Palestre vicine per avere la possibilità di sfidarli e catturarli fino al 5 marzo. Saranno incontri molto difficili, per aiutarti abbiamo preparato delle offerte speciali disponibili dal 24 febbraio. Visita il negozio all’interno del gioco per scoprire tutti i dettagli. Ricorda di essere sempre prudente e buon divertimento!	호연지방 전설의 포켓몬 그란돈, 가이오가가  레쿠쟈와 함께 레이드배틀에 2월 24일부터 3월 5일까지 다시 등장합니다. 레이드배틀 참가에 필요한 프리미엄 레이드패스가 들어 있는 「스페셜박스」를 2월 25일부터 숍 내에 등장하니 플레이에 유용하게 사용하세요. Pokémon GO 를 플레이할 때는 주변에 주의하면서 플레이해주세요! 		自2月24日起至3月5日止，固拉多、蓋歐卡和烈空坐這三隻來自豐緣地區的傳說的寶可夢將同時降臨各地的團體戰，千萬別錯過！為了讓各位訓練家能更有效率地準備道具，商店也會自2月24日起推出內含特級團體戰入場券的特別禮盒，敬請多加利用。玩 Pokémon GO 時，請務必小心安全。  	Está na hora de testar a sua força! Os Pokémon Lendários Kyogre e Groudon retornam às Batalhas de Reide, juntando-se a Rayquaza por tempo limitado. Prepare seus Pokémon mais fortes, chame seus amigos e visite os Ginásios mais próximos para ter a chance de batalhar contra e pegar estes Pokémon até o dia 5 de março. Estas batalhas serão duras, e, por isso, lançaremos novos combos especiais no dia 24 de fevereiro que o ajudarão a se preparar. Visite a loja do jogo para maiores informações! Tome cuidado e divirta-se explorando o mundo!
news_header_chiayi									2018台灣燈會在嘉義 	
news_subheader_chiayi									2018台灣燈會在嘉義 	
news_main_text_chiayi									自2月26日起至3月3日止，Pokémon GO 將在嘉義縣主辦的2018台灣燈會中舉辦「 Pokémon GO Safari Zone in 2018 台灣燈會在嘉義」！活動期間內，迷你龍、魔牆人偶、卡蒂狗、燈籠魚及電燈怪等眾多寶可夢將會在不同時間出現。更多關於 Safari Zone 活動的訊息，請上我們的官方部落格確認。	
news_header_rocket	It’s Good Being Bad with These Team Rocket Avatar Items!	ロケット団着せ替えアイテム：みんなで悪の組織になりきろう！	C’est un plaisir d’être méchant avec ces objets pour avatars de la Team Rocket.	¡Viene bien ser malote con estos artículos de avatar del Team Rocket!	Schön taff mit diesen Team Rocket-Avatar-Artikeln!	Una volta tanto il crimine paga con gli oggetti avatar del Team Rocket!	로켓단 의상 아이템: 모두 악당이 되어보자!		火箭隊虛擬人偶：換上火箭隊的衣服，一起加入邪惡組織吧！	É bom ser do mau com estes itens da Equipe Rocket!
