Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_febcmtydayreminder	On February 24, Dratini Stars in Pokémon GO Community Day!	[訂正] 2月の「Pokémon GO コミュニティ・デイ」：2月24日ミニリュウが大量発生！	Le 24 février, Minidraco sera la star de la Journée Communauté de Pokémon GO.	¡El 24 de febrero Dratini es la estrella en el Día de la Comunidad de Pokémon GO!	Am 24. Februar ist Dratini der Star des Pokémon GO Community Day!	Il 24 febbraio, il protagonista del Community Day sarà Dratini!	2월 24일의 「Pokémon GO 커뮤니티 데이」는 미뇽이 대량발생!		【訂正】2月的社群日主角寶可夢是迷你龍！	No dia 24 de fevereiro, Dratini será a estrela do Dia Comunitário do Pokémon GO!
news_subheader_febcmtydayreminder	On February 24, Dratini Stars in Pokémon GO Community Day!	[訂正] 2月の「Pokémon GO コミュニティ・デイ」：2月24日ミニリュウが大量発生！	Le 24 février, Minidraco sera la star de la Journée Communauté de Pokémon GO.	¡El 24 de febrero Dratini es la estrella en el Día de la Comunidad de Pokémon GO!	Am 24. Februar ist Dratini der Star des Pokémon GO Community Day!	Il 24 febbraio, il protagonista del Community Day sarà Dratini!	2월 24일의 「Pokémon GO 커뮤니티 데이」는 미뇽이 대량발생!		【訂正】2月的社群日主角寶可夢是迷你龍！	No dia 24 de fevereiro, Dratini será a estrela do Dia Comunitário do Pokémon GO!
news_main_text_febcmtydayreminder	Trainers, don’t miss a unique chance to catch a special Pokémon during this month’s Community Day! On February 24, Dratini will appear in the wild more frequently for three hours, and if you evolve a Dragonair into Dragonite during that three-hour window, it will learn the special move Draco Meteor. Put those Charged TMs away, Trainers! This special move will only be available for Dragonite that are evolved or caught during Community Day. Plus, all Pokémon caught during event hours will also award 3× Stardust! Don’t forget your Lure Modules, as they will remain active for three hours to help you get the most out of the event. Visit PokemonGoLive.com/events to find out when Community Day starts in your region!	2月24日12:00 - 15:00に開催される「Pokémon GO コミュニティ・デイ」では、3時間ミニリュウが大量発生！この時間中にカイリューへ進化させると、通常、わざマシンでは覚えさせることのできない「りゅうせいぐん」を覚えます。「りゅうせいぐん」は、威力のとても高いドラゴンタイプのわざ！レックウザにも「こうかばつぐん」で、大ダメージを与えることができます！ イベント開催中にポケモンを捕まえると、「ほしのすな」がいつもの3倍もらえます。ルアーモジュールの効果も3時間継続しますので、この機会にたくさんのポケモンを捕まえよう！ イベントの詳細は PokemonGoLive.com/events でご確認下さい。	Dresseurs, ne manquez pas votre chance d’attraper un Pokémon spécial lors de la Journée Communauté de ce mois. Pendant trois heures le 24 février, Minidraco apparaîtra plus fréquemment dans la nature, et si vous faites évoluer Draco en Dracolosse, il apprendra l’attaque spéciale Draco Météore. Vous pouvez ranger vos CT Attaques Chargées, Dresseurs. Seuls les Dracolosse qui évoluent ou sont attrapés pendant la Journée Communauté pourront apprendre cette attaque spéciale. En outre, les Pokémon attrapés durant cet évènement vous rapporteront trois fois la quantité de Poussière Étoile. Et n’oubliez pas vos Modules Leurre qui resteront actifs pendant trois heures, vous permettant de profiter au maximum de cet évènement. Pour savoir quand la Journée Communauté commencera dans votre région, rendez-vous sur PokemonGoLive.com/events.	¡No te pierdas una oportunidad única de capturar un Pokémon especial durante el Día de la Comunidad de este mes! El 24 de febrero Dratini aparecerá en estado salvaje más frecuentemente durante tres horas y, si consigues hacer evolucionar un Dragonair a un Dragonite durante ese periodo de tres horas, aprenderá el movimiento especial Cometa Draco. ¡Guarda esas MT de ataque cargado! Este movimiento especial solo estará disponible para los Dragonite que hayan evolucionado o sido atrapados durante el Día de la Comunidad. Además, todos los Pokémon capturados durante las horas de este evento también te concederán tres veces la cantidad usual de Polvos Estelares. Y no te olvides de tus Módulos Cebo, porque permanecerán activos durante tres horas para ayudarte a que aproveches al máximo el evento. ¡Visita PokemonGoLive.com/events para averiguar cuándo empieza el Día de la Comunidad en tu región!	Lasst euch nicht die Chance entgehen, am Community Day dieses Monats ein besonderes Pokémon zu fangen, Trainer! Am 24. Februar erscheinen wilde Dratini drei Stunden lang mit vermehrter Häufigkeit, und wenn du innerhalb dieser drei Stunden Dragonir zu Dragoran entwickelst, kann es die besondere Attacke Draco Meteor lernen. Das geht ganz ohne Lade-TMs, Trainer! Diese spezielle Attacke gibt es nur für Dragoran, die am Community Day entwickelt oder gefangen werden. Außerdem erhältst du für alle Pokémon, die du während des Event-Zeitraums fängst, die dreifache Menge Sternenstaub! Vergesst auch nicht eure Lockmodule, denn sie bleiben drei Stunden lang aktiv, damit du auch wirklich alles aus dem Event rausschlagen kannst. Besuche PokemonGoLive.com/events, um herauszufinden, wann Community Day in deiner Gegend anfängt!	Ehi, Allenatore, non perdere un’occasione unica di catturare un Pokémon speciale durante il Community Day di questo mese! Il 24 febbraio Dratini apparirà come Pokémon selvatico con una frequenza maggiore per tre ore e, se farai evolvere Dragonair in Dragonite in questo stesso frangente, il Pokémon imparerà la mossa speciale Dragobolide. Manda pure in pensione tutte le TM attacco caricato che hai! Questa mossa speciale sarà disponibile solo per i Dragonite che si sono evoluti o che sono stati catturati durante il Community Day. Tra l’altro, tutti i Pokémon catturati nel corso dell’evento ti faranno guadagnare il triplo della polvere di stelle! E non dimenticare che i tuoi moduli esca resteranno attivi per ben tre ore per sfruttare al meglio quest’occasione! Visita PokemonGOLive.com per scoprire a che ora inizia il Community Day nel tuo paese.	2월 24일의 12시~ 15시까지 개최되는 「Pokémon GO 커뮤니티 데이」에서는 3시간 동안 미뇽이 대량발생! 이 시간 내에 망나뇽으로 진화시키면 기술머신으로는 배울 수 없는 「용성군」을 배웁니다! 「용성군」은 위력이 강한 드래곤타입의 기술입니다! 레쿠쟈에도 「효과가 굉장함」으로 큰 데미지를 줄 수 있습니다! 이벤트 기간에 포켓몬을 잡으면 「별의모래」가 평소의 3배 얻을 수 있습니다. 루어모듈 효과도 3시간 계속되니 이번 기회에 많은 포켓몬을 잡아봅시다! 이벤트의 자세한 내용은 PokemonGoLive.com/events 에서 확인해 주세요. 몬스터볼과 루어모듈의 준비를 잊지 마세요! 		2月的社群日是2月24日，當天台灣時間11:00-14:00的這3個小時內，迷你龍將大量出現！如果能在這3小時內讓手上的迷你龍或哈克龍一路進化成快龍，那隻快龍將能學會無法從招式學習器學到的「流星群」招式！活動期間內，捉到寶可夢時可獲得的星星沙子是平常的3倍，誘餌模組的效果也將延長至3小時。 請上我們的網站 PokemonGoLive.com/events 確認當天各地迷你龍出現的時間。快趁現在多準備一些精靈球和誘餌模組吧！  	Treinadores, não percam a chance de pegar um Pokémon especial no Dia Comunitário deste mês! No dia 24 de fevereiro, Dratini selvagens aparecerão com mais frequência durante três horas e se você evoluir Dragonair para Dragonite durante essas três horas, Dragonite aprenderá o movimento especial Meteoro do Dragão. Podem guardar suas MTs ataque carregado, Treinadores! Este movimento especial só estará disponível para Dragonite que tiverem evoluído ou tiverem sido pegos durante o Dia Comunitário. Além disso, todos os Pokémon pegos durante os horários do evento fornecerão o triplo de Poeira Estelar! Não se esqueçam dos seus Módulos Atrair, que ficarão ativados durante três horas para ajudá-los a aproveitar ao máximo o evento. Visitem PokemonGoLive.com/events para descobrir a que horas o Dia Comunitário começa na sua região!
news_header_lny	Earn Extra Stardust with These Pokémon on Lunar New Year!	旧正月にはこのポケモンを捕まえて、いつもより多く「ほしのすな」をもらおう！	Obtenez de la Poussière Étoile supplémentaire pour le Nouvel An lunaire.	¡Consigue Polvos Estelares adicionales con estos Pokémon en el evento del Año Nuevo Lunar!	Verdiene mit diesen Pokémon zum Mondneujahr Extra-Sternenstaub!	Ricevi più polvere di stelle con questi Pokémon in occasione del Capodanno lunare.	설날에는 이 포켓몬을 잡아 평소보다 많은 「별의모래」를 받자!		過年時捉到這些寶可夢可以獲得額外的星星沙子！	Receba Poeira Estelar a mais com estes Pokémon no Ano Novo Lunar!
news_subheader_lny	Earn Extra Stardust with these Pokémon on Lunar New Year!	旧正月にはこのポケモンを捕まえて、いつもより多く「ほしのすな」をもらおう！	Obtenez de la Poussière Étoile supplémentaire pour le Nouvel An lunaire.	¡Consigue Polvos Estelares adicionales con estos Pokémon en el evento del Año Nuevo Lunar!	Verdiene mit diesen Pokémon zum Mondneujahr Extra-Sternenstaub!	Ricevi più polvere di stelle con questi Pokémon in occasione del Capodanno lunare.	설날에는 이 포켓몬을 잡아 평소보다 많은 「별의모래」를 받자!		過年時捉到這些寶可夢可以獲得額外的星星沙子！	Receba Poeira Estelar a mais com estes Pokémon no Ano Novo Lunar!
news_main_text_lny	Celebrate the good fortune of the Lunar New Year with Pokémon GO! From February 15 at 1:00 P.M. PST to February 17 at 1:00 P.M. PST, Trainers who catch a Growlithe, Eevee, Snubbull, Poochyena, or Electrike will receive bonus Stardust. Stay safe and happy exploring!	本日から2月17日まで、「ガーディ」、「イーブイ」、「ブルー」、「ポチエナ」、「ラクライ」をゲットすると、いつもより多く「ほしのすな」をもらえます。	Que la chance vous sourie pour le Nouvel An lunaire dans Pokémon GO ! Du 15 février à 13h (heure du Pacifique) au 17 février à 13h (heure du Pacifique), les Dresseurs qui attrapent un Caninos, Évoli, Snubbull, Medhyèna ou Dynavolt recevront de la Poussière Étoile supplémentaire. Soyez prudent, et bonne exploration.	¡Celebra la buena fortuna del Año Nuevo Lunar con Pokémon GO! Desde la 1:00 p. m. (PST) del 15 de febrero hasta la 1 p. m. (PST) del 17 de febrero, los Entrenadores que atrapen a Growlithe, Eevee, Snubbull, Poochyena o Electrike recibirán Polvos Estelares extras. ¡Recuerda estar alerta a tus alrededores mientras disfrutas explorando!	Pokémon GO wünscht ein glückliches neues Mondjahr! Vom 15. Februar um 13:00 Uhr PST bis zum 17. Februar um 13:00 Uhr PST erhalten alle Trainer, die ein Fukano, Evoli, Snubbull, Fiffyen oder Frizelbliz fangen, zusätzlichen Sternenstaub. Allzeit sichere und schöne Entdeckungsreisen!	Il Capodanno lunare porterà fortuna a tutti i giocatori di Pokémon GO! Dalle 22:00 (CET) del 15 febbraio alle 22:00 (CET) del 17 febbraio, gli Allenatori che cattureranno Growlithe, Eevee, Snubbull, Poochyena o Electrike riceveranno un bonus di polvere di stelle. Ricorda di essere sempre prudente e buon divertimento!	오늘부터 2월 17일까지 「가디」, 「이브이」, 「블루」, 「포챠나」, 「썬더라이」를 잡으면 평소보다 많이 「별의모래」를 받을 수 있습니다.		恭喜發財！自即日起至2月17日止，捉到卡蒂狗、伊布、布魯、土狼犬、落雷獸這些寶可夢時，可以獲得額外的星星沙子喔！	Comemore a boa sorte do Ano Novo Lunar com Pokémon GO! Do dia 15 de fevereiro às 13h até o dia 17 de fevereiro às 13h (horário do pacífico), os Treinadores que pegarem Growlithe, Eevee, Snubbull, Poochyena ou Electrike receberão Poeira Estelar a mais. Tome cuidado e divirta-se explorando o mundo!
news_header_chiayi									2018台灣燈會在嘉義 	
news_subheader_chiayi									2018台灣燈會在嘉義 	
news_main_text_chiayi									自2月26日起至3月3日止，Pokémon GO 將在嘉義縣主辦的2018台灣燈會中舉辦「 Pokémon GO Safari Zone in 2018 台灣燈會在嘉義」！活動期間內，迷你龍、魔牆人偶、卡蒂狗、燈籠魚及電燈怪等眾多寶可夢將會在不同時間出現。更多關於 Safari Zone 活動的訊息，請上我們的官方部落格確認。	
news_header_rocket	It’s Good Being Bad with These Team Rocket Avatar Items!	ロケット団着せ替えアイテム：みんなで悪の組織になりきろう！	C’est un plaisir d’être méchant avec ces objets pour avatars de la Team Rocket.	¡Viene bien ser malote con estos artículos de avatar del Team Rocket!	Schön taff mit diesen Team Rocket-Avatar-Artikeln!	Una volta tanto il crimine paga con gli oggetti avatar del Team Rocket!	로켓단 의상 아이템: 모두 악당이 되어보자!		火箭隊虛擬人偶：換上火箭隊的衣服，一起加入邪惡組織吧！	É bom ser do mau com estes itens da Equipe Rocket!
